,backend,archt,rotations,entangler,sabre,mapomatic,DD,mem,qubits,layers,parameters,depth,cnots,shots,p=50,p=0,p=5,p=25,p=75,p=95,p=100
0,ibmq_ehningen,linear,['ry'],cz,False,False,False,False,5,0,5,6,0,1000,0.9894990165842172,0.9792499545356156,0.9831883997988132,0.9867645348068244,0.9910171365731116,0.9939904322332692,0.9962808963171924
1,ibmq_ehningen,linear,['ry'],cz,False,False,False,False,5,1,10,34,10,1000,0.9635420963704936,0.8914881642315823,0.9093942274527882,0.9482523827717224,0.9711761798964396,0.9832943051213094,0.9886321765523244
2,ibmq_ehningen,linear,['ry'],cz,False,False,False,False,5,2,15,60,26,1000,0.8796173591143062,0.6822279126529619,0.7359899989926396,0.8354855193476468,0.9149388353938924,0.938768653189696,0.9602517876324886
3,ibmq_ehningen,linear,['ry'],cz,False,False,False,False,5,3,20,86,42,1000,0.822818940858731,0.582527568692268,0.6931708899474206,0.7480415253294623,0.8606078226222709,0.8832258130504246,0.9116781257201312
4,ibmq_ehningen,linear,['ry'],cz,False,False,False,False,5,4,25,112,58,1000,0.7400630363393277,0.5638600718115531,0.6519250702860544,0.7137148756583507,0.770422868741399,0.8306282608111525,0.8852650803662141
5,ibmq_ehningen,linear,['ry'],cz,False,False,False,False,5,5,30,138,74,1000,0.7156954020177889,0.4885933383547121,0.6016451890300354,0.6368574042845214,0.7527241842553671,0.8307024163567466,0.8382086730114693
6,ibmq_ehningen,linear,['ry'],cz,False,False,False,False,5,6,35,164,90,1000,0.6857485889499295,0.523026772353852,0.5413358564990713,0.6390237925544476,0.747855914396119,0.8100112263904828,0.8421223006394787
7,ibmq_ehningen,linear,['ry'],cz,False,False,False,False,5,7,40,190,106,1000,0.674263414544662,0.454941276113265,0.534159342127922,0.6183063470404666,0.7294203174351339,0.7977395899957918,0.8112423426439922
8,ibmq_ehningen,linear,['ry'],cz,False,False,False,False,5,8,45,216,122,1000,0.6494134045133193,0.4228380758068512,0.4979382538984594,0.5631720200304595,0.7030375899700998,0.7873529898041357,0.8538875574535282
9,ibmq_ehningen,linear,['ry'],cz,False,False,False,False,5,9,50,242,138,1000,0.6314190043025931,0.4524410221054876,0.4925295180117438,0.5689440035086225,0.6879882185810167,0.7384994039083498,0.7856238321774843
10,ibmq_ehningen,linear,['ry'],cz,False,False,False,False,5,10,55,268,154,1000,0.6243935461349454,0.3581600268278416,0.4851762043400277,0.5555160730164526,0.6881481364526134,0.7486151666055698,0.786239798031344
11,ibmq_ehningen,linear,['ry'],cz,False,False,False,False,5,11,60,294,170,1000,0.6185223659142257,0.4234325531223586,0.4701388944566347,0.5492687731461512,0.6747057335267951,0.7458967377855199,0.801626866355328
