Iteration,custom_tag,backend,cost_approx,cost_exact,cosine_sim,acc_cost_approx,acc_cost_exact,fidelities,fidelities_cost,fidelities_grad,archt,rhs,qubits,layers,parameters,seed_init,exact,shots,depth,cnots,operator,innerp,cost,optimizer,rotations,entangler,mixer,driver,driver_per,initial_qaoa,sabre,mapomatic,DD
0,full_vqa_exact_bfgs_1,simulator,-0.0012006271007936576,-0.0012006271007936576,0.9999999999999998,-0.0012006271007936576,-0.0012006271007936576,0.007704695594254147,0.007704695594254147,0.007704695594254147,linear_alternating,hnx,5.0,2.0,21.0,8.0,True,1000.0,,,exact,Statevec,Sato21_Innerp,L_BFGS_B,ry,cx,rx,rzz,ryy,hadamards,True,False,False
1,,,-0.07017349068533531,-0.07017349068533531,1.0,-0.5308795877814256,-0.5308795877814256,0.6201472969095222,0.2725376374978473,0.2725376374978473,,,,,,,,,,,,,,,,,,,,,,,
2,,,-0.011201919686551313,-0.011201919686551313,1.0000000000000002,-0.5309141839527189,-0.5309141839527189,0.619037551462822,0.010327056022003756,0.010327056022003756,,,,,,,,,,,,,,,,,,,,,,,
3,,,-0.48158416347450245,-0.48158416347450245,1.0000000000000002,-2.0628119589393714,-2.0628119589393714,0.7578347636452535,0.64108653347515,0.64108653347515,,,,,,,,,,,,,,,,,,,,,,,
4,,,-0.5053451139618901,-0.5053451139618901,1.0,-2.1262796531013035,-2.1262796531013035,0.7652518237174105,0.5780399697772388,0.5780399697772388,,,,,,,,,,,,,,,,,,,,,,,
5,,,-0.5308795877814256,-0.5308795877814256,1.0,-3.0791953790475635,-3.0791953790475635,0.8084681087703905,0.6201472969095222,0.6201472969095222,,,,,,,,,,,,,,,,,,,,,,,
6,,,-6.781172785838293e-05,-6.781172785838293e-05,0.9999999999999998,-3.125685323432732,-3.125685323432732,0.8101482370267434,0.005335642468693682,0.005335642468693682,,,,,,,,,,,,,,,,,,,,,,,
7,,,-0.5249744208380039,-0.5249744208380039,1.0000000000000002,-3.3631631322881486,-3.3631631322881486,0.8220707456529683,0.6017327597191935,0.6017327597191935,,,,,,,,,,,,,,,,,,,,,,,
8,,,-0.5309141839527189,-0.5309141839527189,1.0,-3.555435911909667,-3.555435911909667,0.8273940401349977,0.619037551462822,0.619037551462822,,,,,,,,,,,,,,,,,,,,,,,
9,,,-0.5851023935752799,-0.5851023935752799,1.0000000000000002,-3.6510255824118136,-3.6510255824118136,0.8339757482372044,0.6334498141912771,0.6334498141912771,,,,,,,,,,,,,,,,,,,,,,,
10,,,-0.8640509062811168,-0.8640509062811168,1.0,-3.914326016185029,-3.914326016185029,0.8654304784214593,0.6844278969061796,0.6844278969061796,,,,,,,,,,,,,,,,,,,,,,,
11,,,-1.9717212350802154,-1.9717212350802154,1.0,-4.248368651992058,-4.248368651992058,0.8760608061030087,0.752914361270415,0.752914361270415,,,,,,,,,,,,,,,,,,,,,,,
12,,,-1.8189236235440984,-1.8189236235440984,1.0,-4.635205390756768,-4.635205390756768,0.8546124381808217,0.751720869259753,0.751720869259753,,,,,,,,,,,,,,,,,,,,,,,
13,,,-2.0628119589393714,-2.0628119589393714,0.9999999999999999,-5.0330211729811625,-5.0330211729811625,0.8247917162829768,0.7578347636452535,0.7578347636452535,,,,,,,,,,,,,,,,,,,,,,,
14,,,-0.8464600763400374,-0.8464600763400374,1.0,-5.51812350999898,-5.51812350999898,0.7974857101199471,0.6528444261882987,0.6528444261882987,,,,,,,,,,,,,,,,,,,,,,,
15,,,-2.1262796531013035,-2.1262796531013035,1.0,-5.772161206448516,-5.772161206448516,0.8133193296016529,0.7652518237174105,0.7652518237174105,,,,,,,,,,,,,,,,,,,,,,,
16,,,-3.0791953790475635,-3.0791953790475635,1.0,-6.080684079926845,-6.080684079926845,0.8639289303230578,0.8084681087703905,0.8084681087703905,,,,,,,,,,,,,,,,,,,,,,,
17,,,-0.3421980794506249,-0.3421980794506249,0.9999999999999998,-6.169758055375356,-6.169758055375356,0.8673308243195613,0.43340679309126673,0.43340679309126673,,,,,,,,,,,,,,,,,,,,,,,
18,,,-3.125685323432732,-3.125685323432732,0.9999999999999998,-6.205684953427602,-6.205684953427602,0.866088454309756,0.8101482370267434,0.8101482370267434,,,,,,,,,,,,,,,,,,,,,,,
19,,,-3.163720168828497,-3.163720168828497,1.0,-6.231264829794546,-6.231264829794546,0.8707238133607362,0.8250598500328303,0.8250598500328303,,,,,,,,,,,,,,,,,,,,,,,
20,,,-3.3631631322881486,-3.3631631322881486,1.0000000000000002,-6.2616727266339405,-6.2616727266339405,0.881163009890918,0.8220707456529683,0.8220707456529683,,,,,,,,,,,,,,,,,,,,,,,
21,,,-3.555435911909667,-3.555435911909667,1.0,-6.335414691108804,-6.335414691108804,0.9165429726803457,0.8273940401349977,0.8273940401349977,,,,,,,,,,,,,,,,,,,,,,,
22,,,-3.6510255824118136,-3.6510255824118136,1.0000000000000002,-6.391108149728144,-6.391108149728144,0.9554259251069825,0.8339757482372044,0.8339757482372044,,,,,,,,,,,,,,,,,,,,,,,
23,,,-3.914326016185029,-3.914326016185029,1.0,-6.440680173036001,-6.440680173036001,0.9642362123977319,0.8654304784214593,0.8654304784214593,,,,,,,,,,,,,,,,,,,,,,,
24,,,-4.248368651992058,-4.248368651992058,1.0,-6.472338706170641,-6.472338706170641,0.9722943440766064,0.8760608061030087,0.8760608061030087,,,,,,,,,,,,,,,,,,,,,,,
