Iteration,custom_tag,backend,cost_approx,cost_exact,cosine_sim,acc_cost_approx,acc_cost_exact,fidelities,fidelities_cost,fidelities_grad,archt,rhs,qubits,layers,parameters,seed_init,exact,shots,depth,cnots,operator,innerp,cost,optimizer,rotations,entangler,mixer,driver,driver_per,initial_qaoa,sabre,mapomatic,DD
0,full_vqa_aer_bfgs_1,simulator,103.93681616907267,103.70540904009341,0.9999542414490579,103.93681616907267,103.70540904009341,0.0023503468190869837,0.0023503468190869837,0.0023503468190869837,linear_alternating,hnx,5.0,3.0,29.0,0.0,False,100000.0,13.0,0.0,SatoLiu21,HTest,Sato21_Nonnorm,L_BFGS_B,ry,cz,rx,rzz,ryy,hadamards,True,False,False
1,,,57.55989297439562,57.30988706639798,0.9999265232690631,57.55989297439562,57.30988706639798,0.01161140569188732,0.01161140569188732,0.01161140569188732,,,,,,,,,17.0,2.0,,,,,,,,,,,,,
2,,,28.808783419159226,28.650046924683917,0.9999284018432797,28.808783419159226,28.650046924683917,0.00038057949124988086,0.00038057949124988086,0.00038057949124988086,,,,,,,,,18.0,3.0,,,,,,,,,,,,,
3,,,4.2526525875407115,4.252104271820681,0.9999598470643952,4.2526525875407115,4.252104271820681,0.014466108875179762,0.014466108875179762,0.014466108875179762,,,,,,,,,19.0,4.0,,,,,,,,,,,,,
4,,,0.4330077419489577,0.43394342556947807,0.999970850313946,0.4330077419489577,0.43394342556947807,0.06351501341332902,0.06351501341332902,0.06351501341332902,,,,,,,,,20.0,5.0,,,,,,,,,,,,,
5,,,-0.44484043474935103,-0.44926730939247067,0.9998452562133471,-0.44484043474935103,-0.44926730939247067,0.17057561596345877,0.17057561596345877,0.17057561596345877,,,,,,,,,174.0,59.0,,,,,,,,,,,,,
6,,,-0.6376743698929157,-0.6455712139191968,0.9998388146490478,-0.6376743698929157,-0.6455712139191968,0.288152162303475,0.288152162303475,0.288152162303475,,,,,,,,,,,,,,,,,,,,,,,
7,,,-0.938308101921413,-0.9416625494166097,0.9999415133308838,-0.938308101921413,-0.9416625494166097,0.5809294963296459,0.5809294963296459,0.5809294963296459,,,,,,,,,,,,,,,,,,,,,,,
8,,,-1.2353995750485098,-1.234861526106126,0.9997885918852476,-1.2353995750485098,-1.234861526106126,0.7466287744876002,0.7466287744876002,0.7466287744876002,,,,,,,,,,,,,,,,,,,,,,,
9,,,-1.406014163183471,-1.411282721911176,0.9995857526775728,-1.406014163183471,-1.411282721911176,0.7875308375922867,0.7875308375922867,0.7875308375922867,,,,,,,,,,,,,,,,,,,,,,,
