Iteration,custom_tag,backend,cost_approx,cost_exact,cosine_sim,acc_cost_approx,acc_cost_exact,fidelities,fidelities_cost,fidelities_grad,archt,rhs,qubits,layers,parameters,seed_init,exact,shots,depth,cnots,operator,innerp,cost,optimizer,rotations,entangler,mixer,driver,driver_per,initial_qaoa,sabre,mapomatic,DD
0,full_vqa_exact_bfgs_1,simulator,0.6043683456384066,0.6043683456384066,1.0000000000000002,0.6043683456384066,0.6043683456384066,0.0017484553022306005,0.0017484553022306005,0.0017484553022306005,linear_alternating,hn,5.0,3.0,29.0,5.0,True,1000.0,,,exact,Statevec,BravoPrieto20_Local,L_BFGS_B,ry,cz,rx,rzz,ryy,hadamards,True,False,False
1,,,0.4772597518310698,0.4772597518310698,0.9999999999999999,0.4772597518310698,0.4772597518310698,0.0003362079009395622,0.0003362079009395622,0.0003362079009395622,,,,,,,,,,,,,,,,,,,,,,,
2,,,0.4009083547328654,0.4009083547328654,1.0,0.4009083547328654,0.4009083547328654,0.005936672851591786,0.005936672851591786,0.005936672851591786,,,,,,,,,,,,,,,,,,,,,,,
3,,,0.38497618436169995,0.38497618436169995,1.0,0.38497618436169995,0.38497618436169995,0.006163602805300129,0.006163602805300129,0.006163602805300129,,,,,,,,,,,,,,,,,,,,,,,
4,,,0.27855097411644164,0.27855097411644164,1.0,0.27855097411644164,0.27855097411644164,0.03754505040310345,0.03754505040310345,0.03754505040310345,,,,,,,,,,,,,,,,,,,,,,,
5,,,0.24087589947032717,0.24087589947032717,1.0,0.24087589947032717,0.24087589947032717,0.05775394592286579,0.05775394592286579,0.05775394592286579,,,,,,,,,,,,,,,,,,,,,,,
6,,,0.22051315671650215,0.22051315671650215,1.0,0.22051315671650215,0.22051315671650215,0.07593294579583607,0.07593294579583607,0.07593294579583607,,,,,,,,,,,,,,,,,,,,,,,
7,,,0.20670525389087485,0.20670525389087485,0.9999999999999998,0.20670525389087485,0.20670525389087485,0.07731625039332604,0.07731625039332604,0.07731625039332604,,,,,,,,,,,,,,,,,,,,,,,
8,,,0.20553019254754137,0.20553019254754137,1.0,0.20553019254754137,0.20553019254754137,0.07801031361952403,0.07801031361952403,0.07801031361952403,,,,,,,,,,,,,,,,,,,,,,,
9,,,0.20454542506576426,0.20454542506576426,0.9999999999999998,0.20454542506576426,0.20454542506576426,0.07908462372862134,0.07908462372862134,0.07908462372862134,,,,,,,,,,,,,,,,,,,,,,,
