Iteration,custom_tag,backend,cost_approx,cost_exact,cosine_sim,acc_cost_approx,acc_cost_exact,fidelities,fidelities_cost,fidelities_grad,archt,rhs,qubits,layers,parameters,seed_init,exact,shots,depth,cnots,operator,innerp,cost,optimizer,rotations,entangler,mixer,driver,driver_per,initial_qaoa,sabre,mapomatic,DD
0,full_vqa_exact_bfgs_1,simulator,0.46766492981998853,0.46766492981998853,1.0,0.46766492981998853,0.46766492981998853,0.001723769988609733,0.001723769988609733,0.001723769988609733,linear_alternating,hnx,5.0,0.0,5.0,11.0,True,1000.0,,,exact,Statevec,BravoPrieto20_Local,L_BFGS_B,ry,cz,rx,rzz,ryy,hadamards,True,False,False
1,,,0.39765149691838736,0.39765149691838736,1.0,0.39765149691838736,0.39765149691838736,0.015114450128967014,0.015114450128967014,0.015114450128967014,,,,,,,,,,,,,,,,,,,,,,,
2,,,0.3666927063165337,0.3666927063165337,0.9999999999999999,0.3666927063165337,0.3666927063165337,0.07878381384870893,0.07878381384870893,0.07878381384870893,,,,,,,,,,,,,,,,,,,,,,,
3,,,0.5634469901352486,0.5634469901352486,1.0000000000000002,0.3294173874807538,0.3294173874807538,0.19967058981051763,0.021617841847252593,0.021617841847252593,,,,,,,,,,,,,,,,,,,,,,,
4,,,0.3294173874807538,0.3294173874807538,0.9999999999999999,0.31255837052231183,0.31255837052231183,0.22559454987114888,0.19967058981051763,0.19967058981051763,,,,,,,,,,,,,,,,,,,,,,,
5,,,0.3611683915364312,0.3611683915364312,1.0,0.288660414198468,0.288660414198468,0.20104634398059662,0.13862211788010875,0.13862211788010875,,,,,,,,,,,,,,,,,,,,,,,
6,,,0.31255837052231183,0.31255837052231183,1.0,0.24848316241233034,0.24848316241233034,0.1533574262129757,0.22559454987114888,0.22559454987114888,,,,,,,,,,,,,,,,,,,,,,,
7,,,0.288660414198468,0.288660414198468,1.0,0.22108604464421197,0.22108604464421197,0.07908718444020647,0.20104634398059662,0.20104634398059662,,,,,,,,,,,,,,,,,,,,,,,
8,,,0.24848316241233034,0.24848316241233034,1.0000000000000002,0.21954532406497174,0.21954532406497174,0.08865747459284343,0.1533574262129757,0.1533574262129757,,,,,,,,,,,,,,,,,,,,,,,
9,,,0.22108604464421197,0.22108604464421197,1.0,0.2193719411470775,0.2193719411470775,0.0912856886356183,0.07908718444020647,0.07908718444020647,,,,,,,,,,,,,,,,,,,,,,,
10,,,0.21954532406497174,0.21954532406497174,1.0,0.2193364140302982,0.2193364140302982,0.08941784314665314,0.08865747459284343,0.08865747459284343,,,,,,,,,,,,,,,,,,,,,,,
11,,,0.2193719411470775,0.2193719411470775,0.9999999999999999,0.21933585271344894,0.21933585271344894,0.08902690506383659,0.0912856886356183,0.0912856886356183,,,,,,,,,,,,,,,,,,,,,,,
12,,,0.2193364140302982,0.2193364140302982,1.0,0.2193354809265351,0.2193354809265351,0.08834588467512275,0.08941784314665314,0.08941784314665314,,,,,,,,,,,,,,,,,,,,,,,
13,,,0.21933585271344894,0.21933585271344894,1.0000000000000002,0.21933404293073427,0.21933404293073427,0.08500355225276558,0.08902690506383659,0.08902690506383659,,,,,,,,,,,,,,,,,,,,,,,
14,,,0.2193354809265351,0.2193354809265351,1.0000000000000002,0.21933091890755543,0.21933091890755543,0.07677372877993532,0.08834588467512275,0.08834588467512275,,,,,,,,,,,,,,,,,,,,,,,
15,,,0.21933404293073427,0.21933404293073427,1.0,0.21932397138338527,0.21932397138338527,0.05787357909389456,0.08500355225276558,0.08500355225276558,,,,,,,,,,,,,,,,,,,,,,,
16,,,0.21933091890755543,0.21933091890755543,1.0,0.21931293696607188,0.21931293696607188,0.03016651141084973,0.07677372877993532,0.07677372877993532,,,,,,,,,,,,,,,,,,,,,,,
17,,,0.21932397138338527,0.21932397138338527,1.0000000000000002,0.21930292809962273,0.21930292809962273,0.008132254046581779,0.05787357909389456,0.05787357909389456,,,,,,,,,,,,,,,,,,,,,,,
18,,,0.21931293696607188,0.21931293696607188,1.0000000000000002,0.21929957738660177,0.21929957738660177,1.9095768543085457e-06,0.03016651141084973,0.03016651141084973,,,,,,,,,,,,,,,,,,,,,,,
19,,,0.21930292809962273,0.21930292809962273,0.9999999999999998,0.2192982869197835,0.2192982869197835,5.8369937128585517e-05,0.008132254046581779,0.008132254046581779,,,,,,,,,,,,,,,,,,,,,,,
20,,,0.21929957738660177,0.21929957738660177,1.0,0.21929825288363666,0.21929825288363666,2.8369500457586246e-05,1.9095768543085457e-06,1.9095768543085457e-06,,,,,,,,,,,,,,,,,,,,,,,
21,,,0.2192982869197835,0.2192982869197835,1.0000000000000002,0.21929824801133718,0.21929824801133718,7.396083714058599e-06,5.8369937128585517e-05,5.8369937128585517e-05,,,,,,,,,,,,,,,,,,,,,,,
22,,,0.21929825288363666,0.21929825288363666,0.9999999999999999,0.21929824610327847,0.21929824610327847,6.20342126013898e-07,2.8369500457586246e-05,2.8369500457586246e-05,,,,,,,,,,,,,,,,,,,,,,,
23,,,0.21929824801133718,0.21929824801133718,1.0,0.21929824610327847,0.21929824610327847,6.20342126013898e-07,7.396083714058599e-06,7.396083714058599e-06,,,,,,,,,,,,,,,,,,,,,,,
24,,,0.21929824610327847,0.21929824610327847,1.0,,,,6.20342126013898e-07,6.20342126013898e-07,,,,,,,,,,,,,,,,,,,,,,,
