Iteration,custom_tag,backend,cost_approx,cost_exact,cosine_sim,acc_cost_approx,acc_cost_exact,fidelities,fidelities_cost,fidelities_grad,archt,rhs,qubits,layers,parameters,seed_init,exact,shots,depth,cnots,operator,innerp,cost,optimizer,rotations,entangler,mixer,driver,driver_per,initial_qaoa,sabre,mapomatic,DD
0,full_vqa_exact_bfgs_1,simulator,56.401099306906424,56.401099306906424,1.0,56.401099306906424,56.401099306906424,0.0001120576105558572,0.0001120576105558572,0.0001120576105558572,linear_alternating,hnx,8.0,3.0,50.0,2.0,True,1000.0,,,exact,Statevec,Sato21_Nonnorm,L_BFGS_B,ry,cz,rx,rzz,ryy,hadamards,True,False,False
1,,,34.444037853563756,34.444037853563756,0.9999999999999998,34.444037853563756,34.444037853563756,6.75417902968547e-07,6.75417902968547e-07,6.75417902968547e-07,,,,,,,,,,,,,,,,,,,,,,,
2,,,22.360720331847272,22.360720331847272,0.9999999999999999,22.360720331847272,22.360720331847272,1.4109497345173649e-06,1.4109497345173649e-06,1.4109497345173649e-06,,,,,,,,,,,,,,,,,,,,,,,
3,,,17.92961569754664,17.92961569754664,1.0,17.92961569754664,17.92961569754664,2.039136482356212e-06,2.039136482356212e-06,2.039136482356212e-06,,,,,,,,,,,,,,,,,,,,,,,
4,,,15.390137334354,15.390137334354,1.0,15.390137334354,15.390137334354,7.21021003834957e-08,7.21021003834957e-08,7.21021003834957e-08,,,,,,,,,,,,,,,,,,,,,,,
5,,,10.586390305828392,10.586390305828392,0.9999999999999999,10.586390305828392,10.586390305828392,0.00033053928909912314,0.00033053928909912314,0.00033053928909912314,,,,,,,,,,,,,,,,,,,,,,,
6,,,7.899752163472304,7.899752163472304,1.0000000000000002,7.899752163472304,7.899752163472304,0.007825607560861054,0.007825607560861054,0.007825607560861054,,,,,,,,,,,,,,,,,,,,,,,
7,,,3.7614828013357884,3.7614828013357884,1.0000000000000002,3.7614828013357884,3.7614828013357884,0.012970940052913115,0.012970940052913115,0.012970940052913115,,,,,,,,,,,,,,,,,,,,,,,
8,,,2.995985468152165,2.995985468152165,0.9999999999999999,2.995985468152165,2.995985468152165,0.01955224071507458,0.01955224071507458,0.01955224071507458,,,,,,,,,,,,,,,,,,,,,,,
9,,,2.4274188716123026,2.4274188716123026,1.0,2.4274188716123026,2.4274188716123026,0.029951425533654593,0.029951425533654593,0.029951425533654593,,,,,,,,,,,,,,,,,,,,,,,
10,,,0.9601146262204235,0.9601146262204235,1.0,0.9601146262204235,0.9601146262204235,0.07926538557983544,0.07926538557983544,0.07926538557983544,,,,,,,,,,,,,,,,,,,,,,,
11,,,-0.28063443340748656,-0.28063443340748656,1.0,-0.28063443340748656,-0.28063443340748656,0.15742163468957768,0.15742163468957768,0.15742163468957768,,,,,,,,,,,,,,,,,,,,,,,
12,,,-1.1829036164539823,-1.1829036164539823,1.0,-1.1829036164539823,-1.1829036164539823,0.19666592272460914,0.19666592272460914,0.19666592272460914,,,,,,,,,,,,,,,,,,,,,,,
13,,,-2.0123959202620068,-2.0123959202620068,1.0,-2.0123959202620068,-2.0123959202620068,0.2617442980136406,0.2617442980136406,0.2617442980136406,,,,,,,,,,,,,,,,,,,,,,,
14,,,-3.0420026014305455,-3.0420026014305455,0.9999999999999999,-3.0420026014305455,-3.0420026014305455,0.39013869083859487,0.39013869083859487,0.39013869083859487,,,,,,,,,,,,,,,,,,,,,,,
15,,,-3.6856001305704273,-3.6856001305704273,0.9999999999999999,-3.6856001305704273,-3.6856001305704273,0.5002242977234715,0.5002242977234715,0.5002242977234715,,,,,,,,,,,,,,,,,,,,,,,
16,,,-4.159641437049271,-4.159641437049271,1.0,-4.159641437049271,-4.159641437049271,0.5616158194020666,0.5616158194020666,0.5616158194020666,,,,,,,,,,,,,,,,,,,,,,,
17,,,-4.424650636568337,-4.424650636568337,1.0,-4.424650636568337,-4.424650636568337,0.6112942712129071,0.6112942712129071,0.6112942712129071,,,,,,,,,,,,,,,,,,,,,,,
18,,,-4.729710196918409,-4.729710196918409,0.9999999999999998,-4.729710196918409,-4.729710196918409,0.679800275731065,0.679800275731065,0.679800275731065,,,,,,,,,,,,,,,,,,,,,,,
19,,,-5.149703607367915,-5.149703607367915,1.0000000000000002,-5.149703607367915,-5.149703607367915,0.7775516841961371,0.7775516841961371,0.7775516841961371,,,,,,,,,,,,,,,,,,,,,,,
20,,,-5.25618377541404,-5.25618377541404,0.9999999999999999,-5.25618377541404,-5.25618377541404,0.8222370079970444,0.8222370079970444,0.8222370079970444,,,,,,,,,,,,,,,,,,,,,,,
21,,,-5.514078218705675,-5.514078218705675,1.0,-5.514078218705675,-5.514078218705675,0.8325545299920049,0.8325545299920049,0.8325545299920049,,,,,,,,,,,,,,,,,,,,,,,
22,,,-5.594957289290486,-5.594957289290486,1.0,-5.594957289290486,-5.594957289290486,0.8338498888183867,0.8338498888183867,0.8338498888183867,,,,,,,,,,,,,,,,,,,,,,,
23,,,-5.805621872466924,-5.805621872466924,0.9999999999999999,-5.805621872466924,-5.805621872466924,0.8373368282954521,0.8373368282954521,0.8373368282954521,,,,,,,,,,,,,,,,,,,,,,,
24,,,-6.095239123115382,-6.095239123115382,1.0000000000000002,-6.095239123115382,-6.095239123115382,0.8212268948317981,0.8212268948317981,0.8212268948317981,,,,,,,,,,,,,,,,,,,,,,,
25,,,-6.530231568153344,-6.530231568153344,1.0,-6.530231568153344,-6.530231568153344,0.7558031354025471,0.7558031354025471,0.7558031354025471,,,,,,,,,,,,,,,,,,,,,,,
26,,,-6.753622309323878,-6.753622309323878,1.0,-6.753622309323878,-6.753622309323878,0.7406002835583722,0.7406002835583722,0.7406002835583722,,,,,,,,,,,,,,,,,,,,,,,
27,,,-7.208974745348876,-7.208974745348876,0.9999999999999999,-7.208974745348876,-7.208974745348876,0.8125111475869133,0.8125111475869133,0.8125111475869133,,,,,,,,,,,,,,,,,,,,,,,
28,,,-7.388800837026065,-7.388800837026065,1.0,-7.388800837026065,-7.388800837026065,0.829200471714437,0.829200471714437,0.829200471714437,,,,,,,,,,,,,,,,,,,,,,,
29,,,-7.765738883950423,-7.765738883950423,1.0,-7.765738883950423,-7.765738883950423,0.8598549649703094,0.8598549649703094,0.8598549649703094,,,,,,,,,,,,,,,,,,,,,,,
30,,,-8.344223469982712,-8.344223469982712,1.0000000000000002,-8.344223469982712,-8.344223469982712,0.8825406997137992,0.8825406997137992,0.8825406997137992,,,,,,,,,,,,,,,,,,,,,,,
31,,,-8.49271475278774,-8.49271475278774,1.0000000000000002,-8.49271475278774,-8.49271475278774,0.8769232213312048,0.8769232213312048,0.8769232213312048,,,,,,,,,,,,,,,,,,,,,,,
32,,,-8.88949499203604,-8.88949499203604,1.0000000000000002,-8.88949499203604,-8.88949499203604,0.8883407463896827,0.8883407463896827,0.8883407463896827,,,,,,,,,,,,,,,,,,,,,,,
33,,,-9.091835157836927,-9.091835157836927,0.9999999999999999,-9.091835157836927,-9.091835157836927,0.8963803450238768,0.8963803450238768,0.8963803450238768,,,,,,,,,,,,,,,,,,,,,,,
34,,,-9.499257177697249,-9.499257177697249,1.0,-9.499257177697249,-9.499257177697249,0.9036628598286921,0.9036628598286921,0.9036628598286921,,,,,,,,,,,,,,,,,,,,,,,
35,,,-10.027871778865011,-10.027871778865011,1.0,-10.027871778865011,-10.027871778865011,0.8904483546714511,0.8904483546714511,0.8904483546714511,,,,,,,,,,,,,,,,,,,,,,,
36,,,-10.726072332847577,-10.726072332847577,1.0000000000000002,-10.726072332847577,-10.726072332847577,0.9053103567162348,0.9053103567162348,0.9053103567162348,,,,,,,,,,,,,,,,,,,,,,,
37,,,-11.290001218522749,-11.290001218522749,0.9999999999999999,-11.290001218522749,-11.290001218522749,0.8992099238024301,0.8992099238024301,0.8992099238024301,,,,,,,,,,,,,,,,,,,,,,,
