Iteration,custom_tag,backend,cost_approx,cost_exact,cosine_sim,acc_cost_approx,acc_cost_exact,fidelities,fidelities_cost,fidelities_grad,archt,rhs,qubits,layers,parameters,seed_init,exact,shots,depth,cnots,operator,innerp,cost,optimizer,rotations,entangler,mixer,driver,driver_per,initial_qaoa,sabre,mapomatic,DD
0,full_vqa_exact_bfgs_1,simulator,-0.040899973892370545,-0.040899973892370545,1.0,-0.040899973892370545,-0.040899973892370545,0.045023908989551144,0.045023908989551144,0.045023908989551144,linear_alternating,hnx,3.0,0.0,3.0,0.0,True,1000.0,,,exact,Statevec,Sato21_Innerp,L_BFGS_B,ry,cz,rx,rzz,ryy,hadamards,True,False,False
1,,,-0.2668661516656949,-0.2668661516656949,1.0,-0.6526994642550425,-0.6526994642550425,0.8793426266358976,0.3436007384901827,0.3436007384901827,,,,,,,,,,,,,,,,,,,,,,,
2,,,-0.10844802807789311,-0.10844802807789311,1.0000000000000002,-0.6612700965954914,-0.6612700965954914,0.9028644138286075,0.15815779849020437,0.15815779849020437,,,,,,,,,,,,,,,,,,,,,,,
3,,,-0.6526994642550425,-0.6526994642550425,0.9999999999999998,-0.6620721397442584,-0.6620721397442584,0.9076176985680949,0.8793426266358976,0.8793426266358976,,,,,,,,,,,,,,,,,,,,,,,
4,,,-2.1115127518904863e-05,-2.1115127518904863e-05,1.0,-0.6639778020522832,-0.6639778020522832,0.9151430040253633,1.3940848398307204e-05,1.3940848398307204e-05,,,,,,,,,,,,,,,,,,,,,,,
5,,,-0.12707014866167196,-0.12707014866167196,1.0,-0.666650410258185,-0.666650410258185,0.9238090391299789,0.2711307335412851,0.2711307335412851,,,,,,,,,,,,,,,,,,,,,,,
6,,,-0.6612700965954914,-0.6612700965954914,0.9999999999999999,-0.6666666612016239,-0.6666666612016239,0.9238310673998665,0.9028644138286075,0.9028644138286075,,,,,,,,,,,,,,,,,,,,,,,
7,,,-0.6356340830324355,-0.6356340830324355,1.0,-0.6666666666573607,-0.6666666666573607,0.9238310708608403,0.907708803731079,0.907708803731079,,,,,,,,,,,,,,,,,,,,,,,
8,,,-0.6620721397442584,-0.6620721397442584,1.0,-0.6666666666573607,-0.6666666666573607,0.9238310708608403,0.9076176985680949,0.9076176985680949,,,,,,,,,,,,,,,,,,,,,,,
9,,,-0.6639778020522832,-0.6639778020522832,1.0,,,,0.9151430040253633,0.9151430040253633,,,,,,,,,,,,,,,,,,,,,,,
10,,,-0.666650410258185,-0.666650410258185,1.0000000000000002,,,,0.9238090391299789,0.9238090391299789,,,,,,,,,,,,,,,,,,,,,,,
11,,,-0.6666666612016239,-0.6666666612016239,1.0,,,,0.9238310673998665,0.9238310673998665,,,,,,,,,,,,,,,,,,,,,,,
12,,,-0.6666666666573607,-0.6666666666573607,0.9999999999999999,,,,0.9238310708608403,0.9238310708608403,,,,,,,,,,,,,,,,,,,,,,,
