Iteration,custom_tag,backend,cost_approx,cost_exact,cosine_sim,acc_cost_approx,acc_cost_exact,fidelities,fidelities_cost,fidelities_grad,archt,rhs,qubits,layers,parameters,seed_init,exact,shots,depth,cnots,operator,innerp,cost,optimizer,rotations,entangler,mixer,driver,driver_per,initial_qaoa,sabre,mapomatic,DD
0,full_vqa_exact_bfgs_1,simulator,-0.0161086678252935,-0.0161086678252935,1.0,-0.0161086678252935,-0.0161086678252935,0.005143131215207453,0.005143131215207453,0.005143131215207453,linear_alternating,hnx,8.0,1.0,22.0,13.0,True,1000.0,,,exact,Statevec,Sato21_Innerp,L_BFGS_B,ry,cz,rx,rzz,ryy,hadamards,True,False,False
1,,,-0.25448126463946374,-0.25448126463946374,1.0,-1.5190273759616764,-1.5190273759616764,0.522101924766232,0.13812235650728055,0.13812235650728055,,,,,,,,,,,,,,,,,,,,,,,
2,,,-0.02644757846068283,-0.02644757846068283,1.0,-1.5235882126844504,-1.5235882126844504,0.5327063222954482,0.07473844978315256,0.07473844978315256,,,,,,,,,,,,,,,,,,,,,,,
3,,,-1.5150179000199595,-1.5150179000199595,1.0,-5.253541223011576,-5.253541223011576,0.6749443169137274,0.5097230954956425,0.5097230954956425,,,,,,,,,,,,,,,,,,,,,,,
4,,,-1.5190273759616764,-1.5190273759616764,1.0,-5.42330993426428,-5.42330993426428,0.7447818171927669,0.522101924766232,0.522101924766232,,,,,,,,,,,,,,,,,,,,,,,
5,,,-1.1775384115509602,-1.1775384115509602,1.0,-8.054713012452082,-8.054713012452082,0.7722480495590154,0.6000515172483716,0.6000515172483716,,,,,,,,,,,,,,,,,,,,,,,
6,,,-1.5235882126844504,-1.5235882126844504,1.0,-9.106295245491346,-9.106295245491346,0.7876510362330397,0.5327063222954482,0.5327063222954482,,,,,,,,,,,,,,,,,,,,,,,
7,,,-0.061776318434457814,-0.061776318434457814,0.9999999999999999,-10.844112605393208,-10.844112605393208,0.7786954613550268,0.1722025201188812,0.1722025201188812,,,,,,,,,,,,,,,,,,,,,,,
8,,,-4.133244584640302,-4.133244584640302,1.0,-14.791871471004628,-14.791871471004628,0.8251239041552534,0.6929339002023831,0.6929339002023831,,,,,,,,,,,,,,,,,,,,,,,
9,,,-3.1218183472413323,-3.1218183472413323,1.0,-17.850101586687938,-17.850101586687938,0.8592012843871377,0.6063419703203592,0.6063419703203592,,,,,,,,,,,,,,,,,,,,,,,
10,,,-5.253541223011576,-5.253541223011576,1.0,-20.012716638056357,-20.012716638056357,0.8842180956875928,0.6749443169137274,0.6749443169137274,,,,,,,,,,,,,,,,,,,,,,,
