Iteration,custom_tag,backend,cost_approx,cost_exact,cosine_sim,acc_cost_approx,acc_cost_exact,fidelities,fidelities_cost,fidelities_grad,archt,rhs,qubits,layers,parameters,seed_init,exact,shots,depth,cnots,operator,innerp,cost,optimizer,rotations,entangler,mixer,driver,driver_per,initial_qaoa,sabre,mapomatic,DD
0,full_vqa_exact_bfgs_1,simulator,0.9800222102967198,0.9800222102967198,1.0,0.9800222102967198,0.9800222102967198,0.0020322316834905938,0.0020322316834905938,0.0020322316834905938,linear_alternating,hnx,3.0,0.0,3.0,7.0,True,1000.0,,,exact,Statevec,BravoPrieto20_Global,L_BFGS_B,ry,cz,rx,rzz,ryy,hadamards,True,False,False
1,,,0.8917495408563486,0.8917495408563486,1.0000000000000002,0.8917495408563486,0.8917495408563486,0.04075624154921342,0.04075624154921342,0.04075624154921342,,,,,,,,,,,,,,,,,,,,,,,
2,,,0.9896600876338737,0.9896600876338737,0.9999999999999999,0.8772852614749234,0.8772852614749234,0.06886943436613067,0.00030818941745869863,0.00030818941745869863,,,,,,,,,,,,,,,,,,,,,,,
3,,,0.9530656080906809,0.9530656080906809,1.0,0.5745277446900019,0.5745277446900019,0.9003866438434984,0.08935834032626816,0.08935834032626816,,,,,,,,,,,,,,,,,,,,,,,
4,,,0.8772852614749234,0.8772852614749234,1.0,0.5674405423712505,0.5674405423712505,0.9075478643051462,0.06886943436613067,0.06886943436613067,,,,,,,,,,,,,,,,,,,,,,,
5,,,0.8612622298684313,0.8612622298684313,0.9999999999999998,0.5522146150362715,0.5522146150362715,0.9165926089827519,0.11794675566496585,0.11794675566496585,,,,,,,,,,,,,,,,,,,,,,,
6,,,0.770143531721018,0.770143531721018,0.9999999999999999,0.550558874183117,0.550558874183117,0.9182750869002297,0.44088721017286725,0.44088721017286725,,,,,,,,,,,,,,,,,,,,,,,
7,,,0.8219308381024442,0.8219308381024442,1.0,0.5505058153313013,0.5505058153313013,0.91876335961194,0.24680922848755393,0.24680922848755393,,,,,,,,,,,,,,,,,,,,,,,
8,,,0.5745277446900019,0.5745277446900019,1.0000000000000002,0.5501812559788769,0.5501812559788769,0.9224186375180172,0.9003866438434984,0.9003866438434984,,,,,,,,,,,,,,,,,,,,,,,
9,,,0.9810102085448547,0.9810102085448547,1.0000000000000002,0.5500401140643983,0.5500401140643983,0.92368509743183,0.008506788190868536,0.008506788190868536,,,,,,,,,,,,,,,,,,,,,,,
10,,,0.983679648603314,0.983679648603314,0.9999999999999999,0.5500001348620541,0.5500001348620541,0.9238310324090809,0.13683183996905782,0.13683183996905782,,,,,,,,,,,,,,,,,,,,,,,
11,,,0.5855945391786361,0.5855945391786361,1.0000000000000002,0.5500000008904598,0.5500000008904598,0.9238310647664161,0.6952450747808315,0.6952450747808315,,,,,,,,,,,,,,,,,,,,,,,
12,,,0.9968772480886573,0.9968772480886573,0.9999999999999999,0.5500000000121538,0.5500000000121538,0.9238310707734381,0.0008629729547315597,0.0008629729547315597,,,,,,,,,,,,,,,,,,,,,,,
13,,,0.6967585246390668,0.6967585246390668,1.0,0.5500000000121538,0.5500000000121538,0.9238310707734381,0.6377835390000257,0.6377835390000257,,,,,,,,,,,,,,,,,,,,,,,
14,,,0.5674405423712505,0.5674405423712505,0.9999999999999999,,,,0.9075478643051462,0.9075478643051462,,,,,,,,,,,,,,,,,,,,,,,
15,,,0.5522146150362715,0.5522146150362715,1.0,,,,0.9165926089827519,0.9165926089827519,,,,,,,,,,,,,,,,,,,,,,,
16,,,0.550558874183117,0.550558874183117,1.0000000000000002,,,,0.9182750869002297,0.9182750869002297,,,,,,,,,,,,,,,,,,,,,,,
17,,,0.5505058153313013,0.5505058153313013,1.0000000000000002,,,,0.91876335961194,0.91876335961194,,,,,,,,,,,,,,,,,,,,,,,
18,,,0.5501812559788769,0.5501812559788769,1.0,,,,0.9224186375180172,0.9224186375180172,,,,,,,,,,,,,,,,,,,,,,,
19,,,0.5500401140643983,0.5500401140643983,1.0,,,,0.92368509743183,0.92368509743183,,,,,,,,,,,,,,,,,,,,,,,
20,,,0.5500001348620541,0.5500001348620541,1.0,,,,0.9238310324090809,0.9238310324090809,,,,,,,,,,,,,,,,,,,,,,,
21,,,0.5500000008904598,0.5500000008904598,1.0000000000000002,,,,0.9238310647664161,0.9238310647664161,,,,,,,,,,,,,,,,,,,,,,,
22,,,0.5500000000121538,0.5500000000121538,0.9999999999999999,,,,0.9238310707734381,0.9238310707734381,,,,,,,,,,,,,,,,,,,,,,,
