Iteration,custom_tag,backend,cost_approx,cost_exact,cosine_sim,acc_cost_approx,acc_cost_exact,fidelities,fidelities_cost,fidelities_grad,archt,rhs,qubits,layers,parameters,seed_init,exact,shots,depth,cnots,operator,innerp,cost,optimizer,rotations,entangler,mixer,driver,driver_per,initial_qaoa,sabre,mapomatic,DD
0,full_vqa_aer_nft_hyper_2,simulator,-0.004091638657634829,-0.0036442885338923456,,-0.004091638657634829,-0.0036442885338923456,0.0005001098418146151,0.0005001098418146151,,linear_alternating,hnx,5.0,3.0,29.0,14.0,False,10000.0,13.0,0.0,SatoLiu21,HTest,Sato21_Innerp,NFT,ry,cz,rx,rzz,ryy,hadamards,True,False,False
1,,,-0.023581250000000005,-0.024545786968441157,,-0.6725023028326883,-0.02137544211093687,0.007211803199175512,0.005685881552339728,,,,,,,,,,17.0,2.0,,,,,,,,,,,,,
2,,,-0.00032935028153343026,-0.0004988913557674179,,-1.1403485880179465,-0.024562292941666855,0.011200943249141917,0.001916560106076259,,,,,,,,,,18.0,3.0,,,,,,,,,,,,,
3,,,-0.01917770757391657,-0.02054353323124778,,-1.4630903907751438,-0.027703110515496256,0.024544839286243295,0.016165880545762054,,,,,,,,,,19.0,4.0,,,,,,,,,,,,,
4,,,-0.0025828394103956528,-0.003591192357943877,,-1.8294860223334626,-0.11646705146220239,0.10902707539346863,4.965733916394154e-05,,,,,,,,,,20.0,5.0,,,,,,,,,,,,,
5,,,-0.003600239148630869,-0.0023728011543303973,,-1.9739196673596675,-0.3295447896618389,0.412186750747593,0.0013365835513009128,,,,,,,,,,174.0,59.0,,,,,,,,,,,,,
6,,,-0.02747313316940597,-0.025358086256183323,,-2.114556848701883,-0.7164975814388732,0.4431561706036684,0.034682325496677616,,,,,,,,,,,,,,,,,,,,,,,,
7,,,-0.1069933370452858,-0.10973337895847829,,-2.0472298673513047,-0.7765303543036768,0.4425962589927825,0.10085439568644951,,,,,,,,,,,,,,,,,,,,,,,,
8,,,-0.0021138521909744947,-0.0021991027220739775,,-2.134618531781557,-0.7523334019498832,0.5068290636990206,0.009218669773886775,,,,,,,,,,,,,,,,,,,,,,,,
9,,,-0.0028611778846153804,-0.003974684707854546,,-2.4278343484772877,-0.6997628605576585,0.5261105289920351,0.025061881153898846,,,,,,,,,,,,,,,,,,,,,,,,
