Iteration,custom_tag,backend,cost_approx,cost_exact,cosine_sim,acc_cost_approx,acc_cost_exact,fidelities,fidelities_cost,fidelities_grad,archt,rhs,qubits,layers,parameters,seed_init,exact,shots,depth,cnots,operator,innerp,cost,optimizer,rotations,entangler,mixer,driver,driver_per,initial_qaoa,sabre,mapomatic,DD
0,full_vqa_exact_bfgs_1,simulator,-0.006070392071827085,-0.006070392071827085,1.0,-0.006070392071827085,-0.006070392071827085,0.009303118930477035,0.009303118930477035,0.009303118930477035,linear_alternating,hnx,5.0,1.0,13.0,10.0,True,1000.0,,,exact,Statevec,Sato21_Innerp,L_BFGS_B,ry,cz,rx,rzz,ryy,hadamards,True,False,False
1,,,-0.16048794251401005,-0.16048794251401005,0.9999999999999998,-1.124014873912549,-1.124014873912549,0.7196501178235228,0.19377568829198116,0.19377568829198116,,,,,,,,,,,,,,,,,,,,,,,
2,,,-0.0572636688487908,-0.0572636688487908,1.0,-1.129040121034877,-1.129040121034877,0.7136528036554332,0.11517815043254613,0.11517815043254613,,,,,,,,,,,,,,,,,,,,,,,
3,,,-1.0959499205407401,-1.0959499205407401,1.0,-2.0436194123774256,-2.0436194123774256,0.7736290601463919,0.6898802730721412,0.6898802730721412,,,,,,,,,,,,,,,,,,,,,,,
4,,,-1.124014873912549,-1.124014873912549,1.0,-2.236674292240306,-2.236674292240306,0.7620093549617393,0.7196501178235228,0.7196501178235228,,,,,,,,,,,,,,,,,,,,,,,
5,,,-0.23132886359170576,-0.23132886359170576,0.9999999999999998,-2.674137450264007,-2.674137450264007,0.7909043165195969,0.2571511535767811,0.2571511535767811,,,,,,,,,,,,,,,,,,,,,,,
6,,,-1.129040121034877,-1.129040121034877,0.9999999999999998,-2.9646179621499487,-2.9646179621499487,0.8500708573097322,0.7136528036554332,0.7136528036554332,,,,,,,,,,,,,,,,,,,,,,,
7,,,-1.2298353851573756,-1.2298353851573756,1.0,-3.254148560445233,-3.254148560445233,0.8966797316646187,0.705128652175009,0.705128652175009,,,,,,,,,,,,,,,,,,,,,,,
8,,,-2.0436194123774256,-2.0436194123774256,0.9999999999999999,-3.4820069290358786,-3.4820069290358786,0.9241126963010435,0.7736290601463919,0.7736290601463919,,,,,,,,,,,,,,,,,,,,,,,
9,,,-1.9194283186862806,-1.9194283186862806,0.9999999999999999,-3.613409730921978,-3.613409730921978,0.9204595378753265,0.6886199942261815,0.6886199942261815,,,,,,,,,,,,,,,,,,,,,,,
10,,,-2.236674292240306,-2.236674292240306,1.0000000000000002,-3.655151986263013,-3.655151986263013,0.9213092595123062,0.7620093549617393,0.7620093549617393,,,,,,,,,,,,,,,,,,,,,,,
11,,,-2.674137450264007,-2.674137450264007,1.0,-3.753746537942204,-3.753746537942204,0.9224466488619822,0.7909043165195969,0.7909043165195969,,,,,,,,,,,,,,,,,,,,,,,
12,,,-2.9646179621499487,-2.9646179621499487,1.0,-3.819651473631851,-3.819651473631851,0.9320487308695411,0.8500708573097322,0.8500708573097322,,,,,,,,,,,,,,,,,,,,,,,
13,,,-2.940145331415966,-2.940145331415966,1.0,-3.8642252388993668,-3.8642252388993668,0.9362436720321549,0.9109506613849406,0.9109506613849406,,,,,,,,,,,,,,,,,,,,,,,
14,,,-3.254148560445233,-3.254148560445233,1.0,-3.8937370423984903,-3.8937370423984903,0.9423212729380557,0.8966797316646187,0.8966797316646187,,,,,,,,,,,,,,,,,,,,,,,
