Iteration,custom_tag,backend,cost_approx,cost_exact,cosine_sim,acc_cost_approx,acc_cost_exact,fidelities,fidelities_cost,fidelities_grad,archt,rhs,qubits,layers,parameters,seed_init,exact,shots,depth,cnots,operator,innerp,cost,optimizer,rotations,entangler,mixer,driver,driver_per,initial_qaoa,sabre,mapomatic,DD
0,full_vqa_exact_bfgs_1,simulator,46.20821139614488,46.20821139614488,1.0,46.20821139614488,46.20821139614488,7.347218631137022e-06,7.347218631137022e-06,7.347218631137022e-06,linear_alternating,hnx,8.0,0.0,8.0,3.0,True,1000.0,,,exact,Statevec,Sato21_Nonnorm,L_BFGS_B,ry,cz,rx,rzz,ryy,hadamards,True,False,False
1,,,35.85430297577178,35.85430297577178,0.9999999999999999,35.85430297577178,35.85430297577178,1.6143135257944847e-05,1.6143135257944847e-05,1.6143135257944847e-05,,,,,,,,,,,,,,,,,,,,,,,
2,,,29.337753319600036,29.337753319600036,1.0000000000000002,29.337753319600036,29.337753319600036,3.405438627957448e-05,3.405438627957448e-05,3.405438627957448e-05,,,,,,,,,,,,,,,,,,,,,,,
3,,,26.082836136270675,26.082836136270675,0.9999999999999999,26.082836136270675,26.082836136270675,9.890481547336593e-06,9.890481547336593e-06,9.890481547336593e-06,,,,,,,,,,,,,,,,,,,,,,,
4,,,0.1314557665348877,0.1314557665348877,1.0000000000000002,0.1314557665348877,0.1314557665348877,1.5416483820297312e-05,1.5416483820297312e-05,1.5416483820297312e-05,,,,,,,,,,,,,,,,,,,,,,,
5,,,0.0021480208436139778,0.0021480208436139778,1.0,0.0021480208436139778,0.0021480208436139778,1.786850349796577e-05,1.786850349796577e-05,1.786850349796577e-05,,,,,,,,,,,,,,,,,,,,,,,
6,,,1.4966033029484604e-06,1.4966033029484604e-06,1.0000000000000002,1.4966033029484604e-06,1.4966033029484604e-06,1.76790620976789e-05,1.76790620976789e-05,1.76790620976789e-05,,,,,,,,,,,,,,,,,,,,,,,
7,,,-1.4071013712008157e-06,-1.4071013712008157e-06,1.0,-1.4071013712008157e-06,-1.4071013712008157e-06,1.767315039813541e-05,1.767315039813541e-05,1.767315039813541e-05,,,,,,,,,,,,,,,,,,,,,,,
8,,,-1.4073464835523566e-06,-1.4073464835523566e-06,1.0,-1.4073464835523566e-06,-1.4073464835523566e-06,1.7674941769688012e-05,1.7674941769688012e-05,1.7674941769688012e-05,,,,,,,,,,,,,,,,,,,,,,,
9,,,-1.4080766480617763e-06,-1.4080766480617763e-06,0.9999999999999998,-1.4080766480617763e-06,-1.4080766480617763e-06,1.768330640728283e-05,1.768330640728283e-05,1.768330640728283e-05,,,,,,,,,,,,,,,,,,,,,,,
10,,,-1.4099033679918818e-06,-1.4099033679918818e-06,0.9999999999999998,-1.4099033679918818e-06,-1.4099033679918818e-06,1.770903140032246e-05,1.770903140032246e-05,1.770903140032246e-05,,,,,,,,,,,,,,,,,,,,,,,
11,,,-1.4147905420358587e-06,-1.4147905420358587e-06,1.0,-1.4147905420358587e-06,-1.4147905420358587e-06,1.7785754572983517e-05,1.7785754572983517e-05,1.7785754572983517e-05,,,,,,,,,,,,,,,,,,,,,,,
12,,,-1.4276239721717385e-06,-1.4276239721717385e-06,1.0000000000000002,-1.4276239721717385e-06,-1.4276239721717385e-06,1.800039974153157e-05,1.800039974153157e-05,1.800039974153157e-05,,,,,,,,,,,,,,,,,,,,,,,
13,,,-1.4622418930607433e-06,-1.4622418930607433e-06,1.0,-1.4622418930607433e-06,-1.4622418930607433e-06,1.8603847344675723e-05,1.8603847344675723e-05,1.8603847344675723e-05,,,,,,,,,,,,,,,,,,,,,,,
14,,,-1.5601695983816796e-06,-1.5601695983816796e-06,1.0000000000000002,-1.5601695983816796e-06,-1.5601695983816796e-06,2.0371142175345795e-05,2.0371142175345795e-05,2.0371142175345795e-05,,,,,,,,,,,,,,,,,,,,,,,
15,,,-1.8937392814340085e-06,-1.8937392814340085e-06,1.0,-1.8937392814340085e-06,-1.8937392814340085e-06,2.6576459137351142e-05,2.6576459137351142e-05,2.6576459137351142e-05,,,,,,,,,,,,,,,,,,,,,,,
16,,,-7.398373169874183e-06,-7.398373169874183e-06,1.0,-0.010626405636165353,-0.010626405636165353,0.01081391194239184,8.379270856382324e-05,8.379270856382324e-05,,,,,,,,,,,,,,,,,,,,,,,
17,,,-0.0003416473637219603,-0.0003416473637219603,1.0,-0.010626415606122092,-0.010626415606122092,0.010820382359516724,0.0002477391185659418,0.0002477391185659418,,,,,,,,,,,,,,,,,,,,,,,
18,,,-0.010626387459216773,-0.010626387459216773,1.0000000000000002,-0.01064619820767526,-0.01064619820767526,0.011147441228165989,0.01080860906239509,0.01080860906239509,,,,,,,,,,,,,,,,,,,,,,,
19,,,0.07273219009090982,0.07273219009090982,1.0000000000000002,-0.010672323583351023,-0.010672323583351023,0.01136162450035654,0.08236610798688238,0.08236610798688238,,,,,,,,,,,,,,,,,,,,,,,
20,,,-0.010626405636165353,-0.010626405636165353,0.9999999999999999,-0.01084380339311593,-0.01084380339311593,0.012474220574091102,0.01081391194239184,0.01081391194239184,,,,,,,,,,,,,,,,,,,,,,,
21,,,8.631389161306211,8.631389161306211,1.0,-0.011206616312357053,-0.011206616312357053,0.014475335507169456,6.316905187745414e-08,6.316905187745414e-08,,,,,,,,,,,,,,,,,,,,,,,
22,,,-0.010626393076988186,-0.010626393076988186,1.0,-0.012349324048647985,-0.012349324048647985,0.02072496320664801,0.010830057184555736,0.010830057184555736,,,,,,,,,,,,,,,,,,,,,,,
23,,,-0.010626415606122092,-0.010626415606122092,0.9999999999999999,-0.01589693592472107,-0.01589693592472107,0.04572439622426225,0.010820382359516724,0.010820382359516724,,,,,,,,,,,,,,,,,,,,,,,
24,,,-0.01064619820767526,-0.01064619820767526,1.0,-0.028186701501298712,-0.028186701501298712,0.21945232249131774,0.011147441228165989,0.011147441228165989,,,,,,,,,,,,,,,,,,,,,,,
25,,,-0.010672323583351023,-0.010672323583351023,1.0,-0.042372086666730265,-0.042372086666730265,0.3939826926546119,0.01136162450035654,0.01136162450035654,,,,,,,,,,,,,,,,,,,,,,,
26,,,-0.01084380339311593,-0.01084380339311593,1.0,-0.13678718066614334,-0.13678718066614334,0.6898276845887708,0.012474220574091102,0.012474220574091102,,,,,,,,,,,,,,,,,,,,,,,
27,,,-0.011206616312357053,-0.011206616312357053,0.9999999999999998,-0.19230673907420512,-0.19230673907420512,0.38818439984116065,0.014475335507169456,0.014475335507169456,,,,,,,,,,,,,,,,,,,,,,,
28,,,-0.012349324048647985,-0.012349324048647985,1.0,-0.37948814955846183,-0.37948814955846183,0.5184105810606388,0.02072496320664801,0.02072496320664801,,,,,,,,,,,,,,,,,,,,,,,
29,,,-0.01589693592472107,-0.01589693592472107,1.0,-0.6721109426760031,-0.6721109426760031,0.6500881723808061,0.04572439622426225,0.04572439622426225,,,,,,,,,,,,,,,,,,,,,,,
30,,,-0.028186701501298712,-0.028186701501298712,1.0000000000000002,-1.0330677121586194,-1.0330677121586194,0.4088291109317024,0.21945232249131774,0.21945232249131774,,,,,,,,,,,,,,,,,,,,,,,
31,,,-0.042372086666730265,-0.042372086666730265,1.0000000000000002,-1.4731205876189966,-1.4731205876189966,0.45167527426109505,0.3939826926546119,0.3939826926546119,,,,,,,,,,,,,,,,,,,,,,,
32,,,-0.07650739239197489,-0.07650739239197489,1.0,-2.14243117070575,-2.14243117070575,0.733709341246199,0.6293212084367702,0.6293212084367702,,,,,,,,,,,,,,,,,,,,,,,
33,,,-0.12113363484042487,-0.12113363484042487,1.0,-3.012296132344785,-3.012296132344785,0.7749870242353413,0.2889099168411085,0.2889099168411085,,,,,,,,,,,,,,,,,,,,,,,
34,,,-0.13678718066614334,-0.13678718066614334,1.0,-3.8910844216672964,-3.8910844216672964,0.6489061788907851,0.6898276845887708,0.6898276845887708,,,,,,,,,,,,,,,,,,,,,,,
35,,,0.8351295580151762,0.8351295580151762,1.0,-4.544265992203603,-4.544265992203603,0.610858573992113,0.0015007801966371952,0.0015007801966371952,,,,,,,,,,,,,,,,,,,,,,,
36,,,-0.19230673907420512,-0.19230673907420512,1.0000000000000002,-5.805545504969811,-5.805545504969811,0.6569310378703692,0.38818439984116065,0.38818439984116065,,,,,,,,,,,,,,,,,,,,,,,
37,,,-0.37948814955846183,-0.37948814955846183,1.0,-7.892244487108928,-7.892244487108928,0.6648496110088414,0.5184105810606388,0.5184105810606388,,,,,,,,,,,,,,,,,,,,,,,
38,,,4.227498869230245,4.227498869230245,0.9999999999999999,-10.291989208807383,-10.291989208807383,0.6660570136061326,0.018292695348809132,0.018292695348809132,,,,,,,,,,,,,,,,,,,,,,,
39,,,0.2876164450238741,0.2876164450238741,0.9999999999999998,-11.55374241759531,-11.55374241759531,0.6674178000636509,0.004271270443487553,0.004271270443487553,,,,,,,,,,,,,,,,,,,,,,,
40,,,-0.6721109426760031,-0.6721109426760031,0.9999999999999999,-12.611001252241719,-12.611001252241719,0.7302918771124911,0.6500881723808061,0.6500881723808061,,,,,,,,,,,,,,,,,,,,,,,
41,,,33.73102470949453,33.73102470949453,1.0,-13.279689894033062,-13.279689894033062,0.7450717814824014,0.01884269021546493,0.01884269021546493,,,,,,,,,,,,,,,,,,,,,,,
42,,,-0.8180140291379602,-0.8180140291379602,1.0,-14.630463844724154,-14.630463844724154,0.7139608242742058,0.6377127937221996,0.6377127937221996,,,,,,,,,,,,,,,,,,,,,,,
43,,,-1.0330677121586194,-1.0330677121586194,1.0000000000000002,-16.082692856143236,-16.082692856143236,0.6720942515424446,0.4088291109317024,0.4088291109317024,,,,,,,,,,,,,,,,,,,,,,,
44,,,-0.8789839499802014,-0.8789839499802014,1.0000000000000002,-18.31982648339471,-18.31982648339471,0.7958530154175867,0.45824320385865974,0.45824320385865974,,,,,,,,,,,,,,,,,,,,,,,
45,,,-1.4731205876189966,-1.4731205876189966,1.0000000000000002,-19.05160926961285,-19.05160926961285,0.8079636116750927,0.45167527426109505,0.45167527426109505,,,,,,,,,,,,,,,,,,,,,,,
46,,,0.49052921812609873,0.49052921812609873,1.0,-19.401894887536685,-19.401894887536685,0.8110465752286977,0.5454216621496492,0.5454216621496492,,,,,,,,,,,,,,,,,,,,,,,
47,,,-2.14243117070575,-2.14243117070575,1.0,-20.1922779910205,-20.1922779910205,0.8158698003419471,0.733709341246199,0.733709341246199,,,,,,,,,,,,,,,,,,,,,,,
48,,,-2.691218040031625,-2.691218040031625,1.0000000000000002,-20.752355478104505,-20.752355478104505,0.823151543321551,0.47963452871691137,0.47963452871691137,,,,,,,,,,,,,,,,,,,,,,,
49,,,-3.012296132344785,-3.012296132344785,1.0,-20.82735129754498,-20.82735129754498,0.8220712901507322,0.7749870242353413,0.7749870242353413,,,,,,,,,,,,,,,,,,,,,,,
50,,,1.514873746391182,1.514873746391182,0.9999999999999999,-20.86691662019688,-20.86691662019688,0.823764347063509,0.138123882791606,0.138123882791606,,,,,,,,,,,,,,,,,,,,,,,
51,,,-3.8910844216672964,-3.8910844216672964,1.0,-20.86691662019688,-20.86691662019688,0.823764347063509,0.6489061788907851,0.6489061788907851,,,,,,,,,,,,,,,,,,,,,,,
52,,,33.32529825469097,33.32529825469097,1.0,,,,0.22848311686300518,0.22848311686300518,,,,,,,,,,,,,,,,,,,,,,,
53,,,-4.544265992203603,-4.544265992203603,1.0,,,,0.610858573992113,0.610858573992113,,,,,,,,,,,,,,,,,,,,,,,
54,,,-4.760233992374504,-4.760233992374504,1.0000000000000002,,,,0.6768593764895172,0.6768593764895172,,,,,,,,,,,,,,,,,,,,,,,
55,,,-5.805545504969811,-5.805545504969811,0.9999999999999998,,,,0.6569310378703692,0.6569310378703692,,,,,,,,,,,,,,,,,,,,,,,
56,,,4.3420099668005365,4.3420099668005365,1.0,,,,0.23898326179243273,0.23898326179243273,,,,,,,,,,,,,,,,,,,,,,,
57,,,-7.892244487108928,-7.892244487108928,0.9999999999999999,,,,0.6648496110088414,0.6648496110088414,,,,,,,,,,,,,,,,,,,,,,,
58,,,-5.09065967279376,-5.09065967279376,1.0,,,,0.4718320740500763,0.4718320740500763,,,,,,,,,,,,,,,,,,,,,,,
