Iteration,custom_tag,backend,cost_approx,cost_exact,cosine_sim,acc_cost_approx,acc_cost_exact,fidelities,fidelities_cost,fidelities_grad,archt,rhs,qubits,layers,parameters,seed_init,exact,shots,depth,cnots,operator,innerp,cost,optimizer,rotations,entangler,mixer,driver,driver_per,initial_qaoa,sabre,mapomatic,DD
0,full_vqa_exact_bfgs_1,simulator,-7.79318558351858e-05,-7.79318558351858e-05,1.0000000000000002,-7.79318558351858e-05,-7.79318558351858e-05,0.0004201634504016715,0.0004201634504016715,0.0004201634504016715,linear_alternating,hnx,8.0,2.0,36.0,11.0,True,1000.0,,,exact,Statevec,Sato21_Innerp,L_BFGS_B,ry,cz,rx,rzz,ryy,hadamards,True,False,False
1,,,-0.01344682879264867,-0.01344682879264867,1.0,-0.06068765159220484,-0.06068765159220484,0.09082631444121672,0.03667432065755331,0.03667432065755331,,,,,,,,,,,,,,,,,,,,,,,
2,,,-0.007267420238484384,-0.007267420238484384,0.9999999999999999,-0.06069604431443816,-0.06069604431443816,0.09018956292096358,0.007212086227004389,0.007212086227004389,,,,,,,,,,,,,,,,,,,,,,,
3,,,-0.046661995622500105,-0.046661995622500105,1.0,-0.5867534550767978,-0.5867534550767978,0.2525393614125898,0.09279296964312758,0.09279296964312758,,,,,,,,,,,,,,,,,,,,,,,
4,,,-0.05984308100732734,-0.05984308100732734,1.0,-0.5923247805923539,-0.5923247805923539,0.26697562484881543,0.09573952844462934,0.09573952844462934,,,,,,,,,,,,,,,,,,,,,,,
5,,,-0.06068765159220484,-0.06068765159220484,0.9999999999999999,-0.7389281978086154,-0.7389281978086154,0.3424125680985782,0.09082631444121672,0.09082631444121672,,,,,,,,,,,,,,,,,,,,,,,
6,,,-0.00010647687323347076,-0.00010647687323347076,1.0,-1.5648772836200724,-1.5648772836200724,0.442059761185323,0.0004163577786104658,0.0004163577786104658,,,,,,,,,,,,,,,,,,,,,,,
7,,,-0.05820262165066122,-0.05820262165066122,1.0,-1.7648106768600842,-1.7648106768600842,0.3842591467659148,0.07586560943079547,0.07586560943079547,,,,,,,,,,,,,,,,,,,,,,,
8,,,-0.06069604431443816,-0.06069604431443816,1.0,-4.400675751666402,-4.400675751666402,0.5946497618814036,0.09018956292096358,0.09018956292096358,,,,,,,,,,,,,,,,,,,,,,,
9,,,-0.09990824515766278,-0.09990824515766278,1.0000000000000002,-4.688931344967703,-4.688931344967703,0.5838767998701692,0.11629545255784643,0.11629545255784643,,,,,,,,,,,,,,,,,,,,,,,
