Iteration,custom_tag,backend,cost_approx,cost_exact,cosine_sim,acc_cost_approx,acc_cost_exact,fidelities,fidelities_cost,fidelities_grad,archt,rhs,qubits,layers,parameters,seed_init,exact,shots,depth,cnots,operator,innerp,cost,optimizer,rotations,entangler,mixer,driver,driver_per,initial_qaoa,sabre,mapomatic,DD
0,full_vqa_exact_bfgs_1,simulator,-0.0012319642058206733,-0.0012319642058206733,1.0,-0.0012319642058206733,-0.0012319642058206733,0.002859286541025183,0.002859286541025183,0.002859286541025183,linear_alternating,hnx,8.0,3.0,50.0,10.0,True,1000.0,,,exact,Statevec,Sato21_Innerp,L_BFGS_B,ry,cz,rx,rzz,ryy,hadamards,True,False,False
1,,,-0.06386823877419595,-0.06386823877419595,1.0000000000000002,-0.28979698440540586,-0.28979698440540586,0.34452287466110104,0.12930960139029624,0.12930960139029624,,,,,,,,,,,,,,,,,,,,,,,
2,,,-3.873983771655849e-05,-3.873983771655849e-05,1.0,-0.6926094416542855,-0.6926094416542855,0.47158396416934145,4.123579703977246e-06,4.123579703977246e-06,,,,,,,,,,,,,,,,,,,,,,,
3,,,-0.28979698440540586,-0.28979698440540586,1.0000000000000002,-0.7715134514041232,-0.7715134514041232,0.49128643186784715,0.34452287466110104,0.34452287466110104,,,,,,,,,,,,,,,,,,,,,,,
4,,,-0.2889450163586,-0.2889450163586,0.9999999999999999,-1.5321284860083921,-1.5321284860083921,0.5569303578217146,0.345030598808282,0.345030598808282,,,,,,,,,,,,,,,,,,,,,,,
5,,,-0.28979698440540586,-0.28979698440540586,1.0000000000000002,-1.6475439809399226,-1.6475439809399226,0.5400432277759096,0.34452287466110104,0.34452287466110104,,,,,,,,,,,,,,,,,,,,,,,
6,,,-0.30688734683315766,-0.30688734683315766,1.0,-5.508517602083973,-5.508517602083973,0.6048726148790439,0.3527655050695428,0.3527655050695428,,,,,,,,,,,,,,,,,,,,,,,
7,,,-0.38204317062050597,-0.38204317062050597,0.9999999999999999,-5.630942869171915,-5.630942869171915,0.6083225307267843,0.3843194163285425,0.3843194163285425,,,,,,,,,,,,,,,,,,,,,,,
8,,,-0.6926094416542855,-0.6926094416542855,0.9999999999999998,-6.320353145918574,-6.320353145918574,0.6139178384854983,0.47158396416934145,0.47158396416934145,,,,,,,,,,,,,,,,,,,,,,,
9,,,-0.0017377202874660162,-0.0017377202874660162,1.0,-6.539661604089288,-6.539661604089288,0.6137584677530648,0.002730587017701745,0.002730587017701745,,,,,,,,,,,,,,,,,,,,,,,
10,,,-2.9341812895524598e-05,-2.9341812895524598e-05,0.9999999999999999,-8.019471166248772,-8.019471166248772,0.6391585026915216,0.017279962447805112,0.017279962447805112,,,,,,,,,,,,,,,,,,,,,,,
11,,,-2.7877602283052676e-05,-2.7877602283052676e-05,0.9999999999999998,-9.849255494198399,-9.849255494198399,0.6758312455875574,6.310435957745403e-05,6.310435957745403e-05,,,,,,,,,,,,,,,,,,,,,,,
12,,,-0.0002854029292402853,-0.0002854029292402853,1.0,-11.500451068435359,-11.500451068435359,0.7053898758898306,0.003972467152018066,0.003972467152018066,,,,,,,,,,,,,,,,,,,,,,,
13,,,-5.095048524946289e-06,-5.095048524946289e-06,0.9999999999999998,-13.895084179090688,-13.895084179090688,0.7249933748431359,0.0002086116483619572,0.0002086116483619572,,,,,,,,,,,,,,,,,,,,,,,
14,,,-0.0004985607109704748,-0.0004985607109704748,1.0000000000000002,-15.409628963686465,-15.409628963686465,0.7387323131505327,0.0015726366128713436,0.0015726366128713436,,,,,,,,,,,,,,,,,,,,,,,
