Iteration,custom_tag,backend,cost_approx,cost_exact,cosine_sim,acc_cost_approx,acc_cost_exact,fidelities,fidelities_cost,fidelities_grad,archt,rhs,qubits,layers,parameters,seed_init,exact,shots,depth,cnots,operator,innerp,cost,optimizer,rotations,entangler,mixer,driver,driver_per,initial_qaoa,sabre,mapomatic,DD
0,full_vqa_exact_bfgs_1,simulator,-3.448351020562357e-07,-3.448351020562357e-07,1.0,-3.448351020562357e-07,-3.448351020562357e-07,1.8187331307565536e-05,1.8187331307565536e-05,1.8187331307565536e-05,linear,hnx,5.0,3.0,20.0,13.0,True,1000.0,,,exact,Statevec,Sato21_Innerp,L_BFGS_B,ry,cz,rx,rzz,ryy,hadamards,True,False,False
1,,,-0.005472125363431626,-0.005472125363431626,0.9999999999999998,-0.02282229904989406,-0.02282229904989406,0.14204478764034573,0.04785405194538782,0.04785405194538782,,,,,,,,,,,,,,,,,,,,,,,
2,,,-0.0009743130498026868,-0.0009743130498026868,1.0,-0.022822360058229522,-0.022822360058229522,0.14195165770095727,0.036356679279627005,0.036356679279627005,,,,,,,,,,,,,,,,,,,,,,,
3,,,-0.019264514208729752,-0.019264514208729752,1.0,-0.8582596532790078,-0.8582596532790078,0.6856319104839015,0.13836208664975558,0.13836208664975558,,,,,,,,,,,,,,,,,,,,,,,
4,,,-0.022752652811361993,-0.022752652811361993,1.0,-0.8589439072077942,-0.8589439072077942,0.6847516672270135,0.14468822095951275,0.14468822095951275,,,,,,,,,,,,,,,,,,,,,,,
5,,,-0.022822080832255516,-0.022822080832255516,1.0,-0.9091554750102185,-0.9091554750102185,0.6964450337651437,0.14218885606404405,0.14218885606404405,,,,,,,,,,,,,,,,,,,,,,,
6,,,-0.007303052079216555,-0.007303052079216555,1.0000000000000002,-1.3919303643883005,-1.3919303643883005,0.7611338950572221,0.01744743125661893,0.01744743125661893,,,,,,,,,,,,,,,,,,,,,,,
7,,,-0.02282229904989406,-0.02282229904989406,1.0,-1.6224170266986047,-1.6224170266986047,0.7996144212462648,0.14204478764034573,0.14204478764034573,,,,,,,,,,,,,,,,,,,,,,,
8,,,-0.004336199673862888,-0.004336199673862888,1.0,-2.265308032985762,-2.265308032985762,0.8001405767414398,0.007516460334948018,0.007516460334948018,,,,,,,,,,,,,,,,,,,,,,,
9,,,-0.02281943494178605,-0.02281943494178605,1.0,-2.5212559033681377,-2.5212559033681377,0.8249201199464221,0.14128398960406088,0.14128398960406088,,,,,,,,,,,,,,,,,,,,,,,
