Iteration,custom_tag,backend,cost_approx,cost_exact,cosine_sim,acc_cost_approx,acc_cost_exact,fidelities,fidelities_cost,fidelities_grad,archt,rhs,qubits,layers,parameters,seed_init,exact,shots,depth,cnots,operator,innerp,cost,optimizer,rotations,entangler,mixer,driver,driver_per,initial_qaoa,sabre,mapomatic,DD
0,full_vqa_exact_bfgs_1,simulator,-0.6325855780891806,-0.6325855780891806,1.0,-0.6325855780891806,-0.6325855780891806,0.5235146501161637,0.5235146501161637,0.5235146501161637,linear_alternating,hnx,5.0,1.0,13.0,5.0,True,1000.0,,,exact,Statevec,Sato21_Innerp,L_BFGS_B,ry,cz,rx,rzz,ryy,hadamards,True,False,False
1,,,-0.5470313922789444,-0.5470313922789444,1.0000000000000002,-1.6964765204888648,-1.6964765204888648,0.6389136038224702,0.6214975438198286,0.6214975438198286,,,,,,,,,,,,,,,,,,,,,,,
2,,,-1.6964765204888648,-1.6964765204888648,1.0,-1.7616668378286238,-1.7616668378286238,0.6607301472640091,0.6389136038224702,0.6389136038224702,,,,,,,,,,,,,,,,,,,,,,,
3,,,-0.881369939863034,-0.881369939863034,1.0,-2.1609803604371383,-2.1609803604371383,0.7173538278360782,0.6945696077492483,0.6945696077492483,,,,,,,,,,,,,,,,,,,,,,,
4,,,-1.7616668378286238,-1.7616668378286238,1.0,-2.729485759065164,-2.729485759065164,0.788910781140582,0.6607301472640091,0.6607301472640091,,,,,,,,,,,,,,,,,,,,,,,
5,,,-2.1609803604371383,-2.1609803604371383,0.9999999999999999,-2.958824985962165,-2.958824985962165,0.8090593250313238,0.7173538278360782,0.7173538278360782,,,,,,,,,,,,,,,,,,,,,,,
6,,,-0.2787187841340347,-0.2787187841340347,1.0000000000000002,-3.0666299528755165,-3.0666299528755165,0.8146983457608595,0.35657627181821094,0.35657627181821094,,,,,,,,,,,,,,,,,,,,,,,
7,,,-2.729485759065164,-2.729485759065164,1.0,-3.182232093602595,-3.182232093602595,0.8202965436200262,0.788910781140582,0.788910781140582,,,,,,,,,,,,,,,,,,,,,,,
8,,,-2.958824985962165,-2.958824985962165,1.0,-3.3424362872859565,-3.3424362872859565,0.822428385075277,0.8090593250313238,0.8090593250313238,,,,,,,,,,,,,,,,,,,,,,,
9,,,-3.0666299528755165,-3.0666299528755165,1.0,-3.366215767783669,-3.366215767783669,0.8211097543103404,0.8146983457608595,0.8146983457608595,,,,,,,,,,,,,,,,,,,,,,,
