Iteration,custom_tag,backend,cost_approx,cost_exact,cosine_sim,acc_cost_approx,acc_cost_exact,fidelities,fidelities_cost,fidelities_grad,archt,rhs,qubits,layers,parameters,seed_init,exact,shots,depth,cnots,operator,innerp,cost,optimizer,rotations,entangler,mixer,driver,driver_per,initial_qaoa,sabre,mapomatic,DD
0,full_vqa_exact_bfgs_1,simulator,1.0743055441120952,1.0743055441120952,1.0,1.0743055441120952,1.0743055441120952,6.790579221148582e-05,6.790579221148582e-05,6.790579221148582e-05,linear_alternating,hn,5.0,3.0,29.0,13.0,True,1000.0,,,exact,Statevec,Sato21_Nonnorm,L_BFGS_B,ry,cz,rx,rzz,ryy,hadamards,True,False,False
1,,,0.0739622887120368,0.0739622887120368,1.0,0.0739622887120368,0.0739622887120368,0.008754807758746307,0.008754807758746307,0.008754807758746307,,,,,,,,,,,,,,,,,,,,,,,
2,,,-0.06944280801680615,-0.06944280801680615,1.0,-0.06944280801680615,-0.06944280801680615,0.031296507147779415,0.031296507147779415,0.031296507147779415,,,,,,,,,,,,,,,,,,,,,,,
3,,,-0.19270304998812013,-0.19270304998812013,0.9999999999999999,-0.19270304998812013,-0.19270304998812013,0.14279606346229307,0.14279606346229307,0.14279606346229307,,,,,,,,,,,,,,,,,,,,,,,
4,,,-0.36296771335833605,-0.36296771335833605,1.0,-0.36296771335833605,-0.36296771335833605,0.6044948537360881,0.6044948537360881,0.6044948537360881,,,,,,,,,,,,,,,,,,,,,,,
5,,,-0.5116231200190446,-0.5116231200190446,1.0,-0.5116231200190446,-0.5116231200190446,0.7016623972318539,0.7016623972318539,0.7016623972318539,,,,,,,,,,,,,,,,,,,,,,,
6,,,36.3624903953569,36.3624903953569,1.0000000000000002,-0.8816663174646552,-0.8816663174646552,0.6522136733184871,0.015516579207035903,0.015516579207035903,,,,,,,,,,,,,,,,,,,,,,,
7,,,-0.659976642519697,-0.659976642519697,0.9999999999999999,-1.5906069853585958,-1.5906069853585958,0.741457864993076,0.744752303656234,0.744752303656234,,,,,,,,,,,,,,,,,,,,,,,
8,,,-0.8816663174646552,-0.8816663174646552,1.0,-1.9901809512531996,-1.9901809512531996,0.8066944850009521,0.6522136733184871,0.6522136733184871,,,,,,,,,,,,,,,,,,,,,,,
9,,,-1.5906069853585958,-1.5906069853585958,1.0000000000000002,-2.3805633028484623,-2.3805633028484623,0.7876756360432733,0.741457864993076,0.741457864993076,,,,,,,,,,,,,,,,,,,,,,,
10,,,0.8559343871189968,0.8559343871189968,1.0,-2.5257102359493393,-2.5257102359493393,0.7769570791228327,0.2835746127589572,0.2835746127589572,,,,,,,,,,,,,,,,,,,,,,,
11,,,-1.9901809512531996,-1.9901809512531996,1.0,-2.853234195777824,-2.853234195777824,0.7890279748499482,0.8066944850009521,0.8066944850009521,,,,,,,,,,,,,,,,,,,,,,,
12,,,-1.9157606180538358,-1.9157606180538358,0.9999999999999999,-3.1740393231742483,-3.1740393231742483,0.8393858607012201,0.6131772042475242,0.6131772042475242,,,,,,,,,,,,,,,,,,,,,,,
13,,,-2.3805633028484623,-2.3805633028484623,1.0,-3.6659569520796538,-3.6659569520796538,0.8234324190534789,0.7876756360432733,0.7876756360432733,,,,,,,,,,,,,,,,,,,,,,,
14,,,-2.5257102359493393,-2.5257102359493393,1.0,-4.142019997604302,-4.142019997604302,0.8367600906524519,0.7769570791228327,0.7769570791228327,,,,,,,,,,,,,,,,,,,,,,,
15,,,-2.853234195777824,-2.853234195777824,1.0,-4.614642413384422,-4.614642413384422,0.8003969608851295,0.7890279748499482,0.7890279748499482,,,,,,,,,,,,,,,,,,,,,,,
