Iteration,custom_tag,backend,cost_approx,cost_exact,cosine_sim,acc_cost_approx,acc_cost_exact,fidelities,fidelities_cost,fidelities_grad,archt,rhs,qubits,layers,parameters,seed_init,exact,shots,depth,cnots,operator,innerp,cost,optimizer,rotations,entangler,mixer,driver,driver_per,initial_qaoa,sabre,mapomatic,DD
0,full_vqa_aer_bfgs_1,simulator,75.98412386420358,75.7025224279003,0.9999536583795067,75.98412386420358,75.7025224279003,0.01047465164069068,0.01047465164069068,0.01047465164069068,linear_alternating,hnx,5.0,3.0,29.0,10.0,False,100000.0,13.0,0.0,SatoLiu21,HTest,Sato21_Nonnorm,L_BFGS_B,ry,cz,rx,rzz,ryy,hadamards,True,False,False
1,,,37.61989046839047,37.58229825852441,0.9999396513145167,37.61989046839047,37.58229825852441,0.027920589262020425,0.027920589262020425,0.027920589262020425,,,,,,,,,17.0,2.0,,,,,,,,,,,,,
2,,,26.03132992441238,26.00772340172977,0.9999577481421256,26.03132992441238,26.00772340172977,0.06360481085111556,0.06360481085111556,0.06360481085111556,,,,,,,,,18.0,3.0,,,,,,,,,,,,,
3,,,10.520120561503346,10.501413603128961,0.9998870542815503,10.520120561503346,10.501413603128961,0.08372184371954162,0.08372184371954162,0.08372184371954162,,,,,,,,,19.0,4.0,,,,,,,,,,,,,
4,,,5.160396115188418,5.123043980375245,0.9998709453090999,5.160396115188418,5.123043980375245,0.08014798298288946,0.08014798298288946,0.08014798298288946,,,,,,,,,20.0,5.0,,,,,,,,,,,,,
5,,,2.2639979214149584,2.155291715710332,0.9996395220820864,2.2639979214149584,2.155291715710332,0.10216353847976067,0.10216353847976067,0.10216353847976067,,,,,,,,,174.0,59.0,,,,,,,,,,,,,
6,,,0.41490823034920443,0.465787875352336,0.998629863559818,0.41490823034920443,0.465787875352336,0.13182072169697143,0.13182072169697143,0.13182072169697143,,,,,,,,,,,,,,,,,,,,,,,
7,,,-0.205083798100255,-0.18881348576812032,0.9979507813136836,-0.205083798100255,-0.18881348576812032,0.17193810363948583,0.17193810363948583,0.17193810363948583,,,,,,,,,,,,,,,,,,,,,,,
8,,,-1.090506759571216,-1.1298433678731148,0.9993769171536078,-1.090506759571216,-1.1298433678731148,0.31980484962125544,0.31980484962125544,0.31980484962125544,,,,,,,,,,,,,,,,,,,,,,,
9,,,-2.339132897907512,-2.242078223998764,0.9988572501765846,-2.339132897907512,-2.242078223998764,0.5513176288436836,0.5513176288436836,0.5513176288436836,,,,,,,,,,,,,,,,,,,,,,,
10,,,-3.326156082111774,-3.233245884972524,0.9988322985135496,-3.326156082111774,-3.233245884972524,0.7671581053057704,0.7671581053057704,0.7671581053057704,,,,,,,,,,,,,,,,,,,,,,,
11,,,-3.8933057156224766,-3.8710782712071388,0.997451914207877,-3.8933057156224766,-3.8710782712071388,0.8554298557440545,0.8554298557440545,0.8554298557440545,,,,,,,,,,,,,,,,,,,,,,,
12,,,-4.143960109395414,-4.114277244506793,0.9984766676295086,-4.143960109395414,-4.114277244506793,0.8971228628881398,0.8971228628881398,0.8971228628881398,,,,,,,,,,,,,,,,,,,,,,,
13,,,-4.237228388608403,-4.216416541168056,0.98201650060606,-4.237228388608403,-4.216416541168056,0.9093974190254437,0.9093974190254437,0.9093974190254437,,,,,,,,,,,,,,,,,,,,,,,
14,,,-4.285805510580166,-4.244486735882785,0.9920876291041572,-4.285805510580166,-4.244486735882785,0.9153353047341141,0.9153353047341141,0.9153353047341141,,,,,,,,,,,,,,,,,,,,,,,
15,,,-4.209562358360724,-4.324828688918276,0.9858814857818174,-4.298088640461577,-4.245276896933616,0.9154123363331833,0.9244246569145943,0.9244246569145943,,,,,,,,,,,,,,,,,,,,,,,
16,,,-4.262375985265649,-4.256618953807984,0.9878073854550272,-4.390550981385929,-4.292752226762504,0.9217933900146129,0.916535127000858,0.916535127000858,,,,,,,,,,,,,,,,,,,,,,,
17,,,-4.298088640461577,-4.245276896933616,0.9932281217493197,-4.49811803754689,-4.391026019879206,0.9323979238389819,0.9154123363331833,0.9154123363331833,,,,,,,,,,,,,,,,,,,,,,,
18,,,-4.282517734038593,-4.245286032124928,0.9856048208359285,-4.49811803754689,-4.391026019879206,0.9323979238389819,0.9154132277693037,0.9154132277693037,,,,,,,,,,,,,,,,,,,,,,,
19,,,-4.299274851665528,-4.245276896933616,0.9883806579141927,-4.49811803754689,-4.391026019879206,0.9323979238389819,0.9154123363331833,0.9154123363331833,,,,,,,,,,,,,,,,,,,,,,,
20,,,-4.291774256301093,-4.167801183776349,0.9954202660050251,,,,0.9378697707451514,0.9378697707451514,,,,,,,,,,,,,,,,,,,,,,,
21,,,-4.271446310635091,-4.329621514940346,0.9929682670787712,,,,0.9338563330027863,0.9338563330027863,,,,,,,,,,,,,,,,,,,,,,,
22,,,-4.390550981385929,-4.292752226762504,0.9885716852771694,,,,0.9217933900146129,0.9217933900146129,,,,,,,,,,,,,,,,,,,,,,,
23,,,-4.384321027768013,-4.375902647031463,0.9938722661839705,,,,0.9376620530210489,0.9376620530210489,,,,,,,,,,,,,,,,,,,,,,,
24,,,-4.49811803754689,-4.391026019879206,0.9800138227868512,,,,0.9323979238389819,0.9323979238389819,,,,,,,,,,,,,,,,,,,,,,,
25,,,-4.367298671530855,-4.423317648969694,0.988290921073081,,,,0.9579339345335699,0.9579339345335699,,,,,,,,,,,,,,,,,,,,,,,
26,,,-4.448298828918712,-4.435470669665828,0.9762643253341557,,,,0.9406840181928783,0.9406840181928783,,,,,,,,,,,,,,,,,,,,,,,
27,,,-4.402998198164653,-4.396726022615048,0.9790840708331757,,,,0.9333663921067288,0.9333663921067288,,,,,,,,,,,,,,,,,,,,,,,
28,,,-4.417733070438295,-4.391085961944823,0.9894311754940586,,,,0.9324080136345541,0.9324080136345541,,,,,,,,,,,,,,,,,,,,,,,
29,,,-4.346739478260301,-4.3910260278490005,0.9799435887606197,,,,0.9323979251803759,0.9323979251803759,,,,,,,,,,,,,,,,,,,,,,,
30,,,-4.350858897813406,-4.391026019879207,0.9756969681761896,,,,0.9323979238389819,0.9323979238389819,,,,,,,,,,,,,,,,,,,,,,,
