Iteration,custom_tag,backend,cost_approx,cost_exact,cosine_sim,acc_cost_approx,acc_cost_exact,fidelities,fidelities_cost,fidelities_grad,archt,rhs,qubits,layers,parameters,seed_init,exact,shots,depth,cnots,operator,innerp,cost,optimizer,rotations,entangler,mixer,driver,driver_per,initial_qaoa,sabre,mapomatic,DD
0,full_vqa_exact_bfgs_1,simulator,0.9999949436889726,0.9999949436889726,1.0,0.9999949436889726,0.9999949436889726,2.171246889445231e-05,2.171246889445231e-05,2.171246889445231e-05,linear_alternating,hnx,8.0,2.0,36.0,2.0,True,1000.0,,,exact,Statevec,BravoPrieto20_Global,L_BFGS_B,ry,cz,rx,rzz,ryy,hadamards,True,False,False
1,,,0.9997619042997966,0.9997619042997966,0.9999999999999999,0.9999877062453688,0.9999877062453688,0.009467921015652823,0.00020446494624723724,0.00020446494624723724,,,,,,,,,,,,,,,,,,,,,,,
2,,,0.9999877062453688,0.9999877062453688,1.0,0.9999645704891503,0.9999645704891503,0.0006236311178979748,0.009467921015652823,0.009467921015652823,,,,,,,,,,,,,,,,,,,,,,,
3,,,0.999999021340158,0.999999021340158,1.0000000000000002,0.9991352346304851,0.9991352346304851,4.522145263986822e-05,0.0004898748534756653,0.0004898748534756653,,,,,,,,,,,,,,,,,,,,,,,
4,,,0.9999645704891503,0.9999645704891503,1.0000000000000002,0.9991235261738657,0.9991235261738657,4.0603316179364195e-05,0.0006236311178979748,0.0006236311178979748,,,,,,,,,,,,,,,,,,,,,,,
5,,,0.9996173587163417,0.9996173587163417,1.0,0.9981934612245473,0.9981934612245473,3.688018110992441e-05,9.250825169541473e-05,9.250825169541473e-05,,,,,,,,,,,,,,,,,,,,,,,
6,,,0.9999999928357157,0.9999999928357157,0.9999999999999998,0.9979421073654093,0.9979421073654093,4.734730382641532e-06,1.5422443005393686e-06,1.5422443005393686e-06,,,,,,,,,,,,,,,,,,,,,,,
7,,,0.9991605763705986,0.9991605763705986,1.0,0.9971587200783714,0.9971587200783714,0.0008156754739808929,3.4528020008604405e-05,3.4528020008604405e-05,,,,,,,,,,,,,,,,,,,,,,,
8,,,0.9991352346304851,0.9991352346304851,1.0,0.9967907140734639,0.9967907140734639,0.00036631722581981625,4.522145263986822e-05,4.522145263986822e-05,,,,,,,,,,,,,,,,,,,,,,,
9,,,0.9999998847337245,0.9999998847337245,1.0,0.9964175456046089,0.9964175456046089,8.740951432255132e-06,0.0003199964825435998,0.0003199964825435998,,,,,,,,,,,,,,,,,,,,,,,
10,,,0.9999755487463861,0.9999755487463861,0.9999999999999998,0.9956799797134989,0.9956799797134989,0.0013814982276479254,0.00021271867438083902,0.00021271867438083902,,,,,,,,,,,,,,,,,,,,,,,
11,,,0.9999969764013295,0.9999969764013295,1.0,0.9940908198421321,0.9940908198421321,0.00033145144948264573,0.00017089286327397492,0.00017089286327397492,,,,,,,,,,,,,,,,,,,,,,,
12,,,0.9998625059536581,0.9998625059536581,1.0,0.9927821623269318,0.9927821623269318,2.6537048792414892e-05,0.0005289139307106378,0.0005289139307106378,,,,,,,,,,,,,,,,,,,,,,,
13,,,0.9997997274166808,0.9997997274166808,1.0,0.9913934148899192,0.9913934148899192,2.8504520130938252e-05,0.00012247667394456609,0.00012247667394456609,,,,,,,,,,,,,,,,,,,,,,,
14,,,0.9991235261738657,0.9991235261738657,0.9999999999999998,0.9911301442205586,0.9911301442205586,2.4953505589130816e-05,4.0603316179364195e-05,4.0603316179364195e-05,,,,,,,,,,,,,,,,,,,,,,,
15,,,0.9988265946052693,0.9988265946052693,1.0,0.9901200650530554,0.9901200650530554,5.98152678392478e-06,2.1450578579825214e-05,2.1450578579825214e-05,,,,,,,,,,,,,,,,,,,,,,,
16,,,0.998262934988571,0.998262934988571,1.0,0.9895573795103934,0.9895573795103934,1.2799814177067287e-05,0.0001660841903527577,0.0001660841903527577,,,,,,,,,,,,,,,,,,,,,,,
17,,,0.9981934612245473,0.9981934612245473,1.0000000000000002,0.9889037087788786,0.9889037087788786,6.917025989899237e-05,3.688018110992441e-05,3.688018110992441e-05,,,,,,,,,,,,,,,,,,,,,,,
