Iteration,custom_tag,backend,cost_approx,cost_exact,cosine_sim,acc_cost_approx,acc_cost_exact,fidelities,fidelities_cost,fidelities_grad,archt,rhs,qubits,layers,parameters,seed_init,exact,shots,depth,cnots,operator,innerp,cost,optimizer,rotations,entangler,mixer,driver,driver_per,initial_qaoa,sabre,mapomatic,DD
0,full_vqa_exact_bfgs_1,simulator,-0.00020281077805991372,-0.00020281077805991372,0.9999999999999999,-0.00020281077805991372,-0.00020281077805991372,4.442382068988069e-05,4.442382068988069e-05,4.442382068988069e-05,linear,hnx,5.0,1.0,10.0,2.0,True,1000.0,,,exact,Statevec,Sato21_Innerp,L_BFGS_B,ry,cz,rx,rzz,ryy,hadamards,True,False,False
1,,,-0.012460650799822323,-0.012460650799822323,1.0,-0.3581746695582352,-0.3581746695582352,0.5061933913130845,0.04038954945625325,0.04038954945625325,,,,,,,,,,,,,,,,,,,,,,,
2,,,-0.11015743557202562,-0.11015743557202562,1.0000000000000002,-0.35830532594189746,-0.35830532594189746,0.5020199949056957,0.3314547128176534,0.3314547128176534,,,,,,,,,,,,,,,,,,,,,,,
3,,,-0.07321240006138273,-0.07321240006138273,1.0,-2.129088244732701,-2.129088244732701,0.8118420333220452,0.16617547496044027,0.16617547496044027,,,,,,,,,,,,,,,,,,,,,,,
4,,,-0.3427626999862554,-0.3427626999862554,1.0,-2.1436282848860957,-2.1436282848860957,0.8230644977756435,0.5269748621418098,0.5269748621418098,,,,,,,,,,,,,,,,,,,,,,,
5,,,-0.350851676531067,-0.350851676531067,1.0,-2.57100169322702,-2.57100169322702,0.8375563480061682,0.4789016519243592,0.4789016519243592,,,,,,,,,,,,,,,,,,,,,,,
6,,,-0.3581746695582352,-0.3581746695582352,0.9999999999999999,-2.6081072066528614,-2.6081072066528614,0.8418820591077921,0.5061933913130845,0.5061933913130845,,,,,,,,,,,,,,,,,,,,,,,
7,,,-0.013872280709875362,-0.013872280709875362,1.0,-2.681449099878911,-2.681449099878911,0.8553437634777752,0.044524170718323985,0.044524170718323985,,,,,,,,,,,,,,,,,,,,,,,
8,,,-0.35830532594189746,-0.35830532594189746,1.0,-2.76633103883534,-2.76633103883534,0.8724417789228945,0.5020199949056957,0.5020199949056957,,,,,,,,,,,,,,,,,,,,,,,
9,,,-1.829021569555351,-1.829021569555351,1.0,-2.8168216342959,-2.8168216342959,0.8773724936826315,0.8151064859977977,0.8151064859977977,,,,,,,,,,,,,,,,,,,,,,,
10,,,-0.7068607909350391,-0.7068607909350391,1.0000000000000002,-2.9245452434576285,-2.9245452434576285,0.8814653365222148,0.6289247238366873,0.6289247238366873,,,,,,,,,,,,,,,,,,,,,,,
11,,,-2.129088244732701,-2.129088244732701,1.0000000000000002,-3.081264219593445,-3.081264219593445,0.8781475741662834,0.8118420333220452,0.8118420333220452,,,,,,,,,,,,,,,,,,,,,,,
12,,,-0.00031001362858344906,-0.00031001362858344906,1.0,-3.2200563523906,-3.2200563523906,0.8675593876028188,9.417884362328507e-06,9.417884362328507e-06,,,,,,,,,,,,,,,,,,,,,,,
13,,,-0.27682286819752716,-0.27682286819752716,1.0,-3.290155566396641,-3.290155566396641,0.8321481469358053,0.46486441271778084,0.46486441271778084,,,,,,,,,,,,,,,,,,,,,,,
14,,,-2.1436282848860957,-2.1436282848860957,1.0,-3.4491892562200954,-3.4491892562200954,0.8834704282963961,0.8230644977756435,0.8230644977756435,,,,,,,,,,,,,,,,,,,,,,,
15,,,-2.072271304520591,-2.072271304520591,1.0000000000000002,-3.5079965520125214,-3.5079965520125214,0.9206472564759476,0.8233261719924376,0.8233261719924376,,,,,,,,,,,,,,,,,,,,,,,
16,,,-2.57100169322702,-2.57100169322702,1.0000000000000002,-3.620314699495999,-3.620314699495999,0.9400285049186068,0.8375563480061682,0.8375563480061682,,,,,,,,,,,,,,,,,,,,,,,
17,,,-2.6081072066528614,-2.6081072066528614,1.0000000000000002,-3.6443915788683348,-3.6443915788683348,0.9432811616987403,0.8418820591077921,0.8418820591077921,,,,,,,,,,,,,,,,,,,,,,,
18,,,-2.681449099878911,-2.681449099878911,1.0,-3.6523386389212376,-3.6523386389212376,0.9452461685367775,0.8553437634777752,0.8553437634777752,,,,,,,,,,,,,,,,,,,,,,,
19,,,-2.76633103883534,-2.76633103883534,1.0,-3.6549275087073605,-3.6549275087073605,0.9469154108623025,0.8724417789228945,0.8724417789228945,,,,,,,,,,,,,,,,,,,,,,,
20,,,-2.8168216342959,-2.8168216342959,1.0,-3.658943422567576,-3.658943422567576,0.9495802626762997,0.8773724936826315,0.8773724936826315,,,,,,,,,,,,,,,,,,,,,,,
21,,,-2.9245452434576285,-2.9245452434576285,1.0000000000000002,-3.665400453882623,-3.665400453882623,0.9534796275446532,0.8814653365222148,0.8814653365222148,,,,,,,,,,,,,,,,,,,,,,,
22,,,-0.6078786984998166,-0.6078786984998166,1.0,-3.6711404263816685,-3.6711404263816685,0.9550612630754927,0.33930613332644083,0.33930613332644083,,,,,,,,,,,,,,,,,,,,,,,
23,,,-3.081264219593445,-3.081264219593445,1.0,-3.6734495090990844,-3.6734495090990844,0.9545594288215352,0.8781475741662834,0.8781475741662834,,,,,,,,,,,,,,,,,,,,,,,
24,,,-1.3077854025945908,-1.3077854025945908,1.0,-3.674300772785815,-3.674300772785815,0.9540818534282626,0.5232754193327019,0.5232754193327019,,,,,,,,,,,,,,,,,,,,,,,
25,,,-3.2200563523906,-3.2200563523906,1.0,-3.675195912035625,-3.675195912035625,0.9537149260914829,0.8675593876028188,0.8675593876028188,,,,,,,,,,,,,,,,,,,,,,,
26,,,-3.290155566396641,-3.290155566396641,0.9999999999999998,-3.6802062747853093,-3.6802062747853093,0.9513164936033507,0.8321481469358053,0.8321481469358053,,,,,,,,,,,,,,,,,,,,,,,
27,,,-3.4491892562200954,-3.4491892562200954,1.0,-3.687302798862985,-3.687302798862985,0.946018427299842,0.8834704282963961,0.8834704282963961,,,,,,,,,,,,,,,,,,,,,,,
28,,,-3.5079965520125214,-3.5079965520125214,1.0,-3.693790161943773,-3.693790161943773,0.9408760420547739,0.9206472564759476,0.9206472564759476,,,,,,,,,,,,,,,,,,,,,,,
29,,,-3.620314699495999,-3.620314699495999,0.9999999999999999,-3.7099067059403787,-3.7099067059403787,0.9303493354613034,0.9400285049186068,0.9400285049186068,,,,,,,,,,,,,,,,,,,,,,,
30,,,-3.6201065892481097,-3.6201065892481097,0.9999999999999999,-3.753200698395657,-3.753200698395657,0.9320837670632866,0.9442122011527238,0.9442122011527238,,,,,,,,,,,,,,,,,,,,,,,
31,,,-3.6443915788683348,-3.6443915788683348,1.0,-3.856765670505109,-3.856765670505109,0.9271738848404566,0.9432811616987403,0.9432811616987403,,,,,,,,,,,,,,,,,,,,,,,
32,,,-3.6523386389212376,-3.6523386389212376,1.0,-3.8794876106025162,-3.8794876106025162,0.9350131982275042,0.9452461685367775,0.9452461685367775,,,,,,,,,,,,,,,,,,,,,,,
33,,,-3.6549275087073605,-3.6549275087073605,1.0,-3.8845339798213154,-3.8845339798213154,0.9270694403385298,0.9469154108623025,0.9469154108623025,,,,,,,,,,,,,,,,,,,,,,,
34,,,-3.658943422567576,-3.658943422567576,0.9999999999999999,-3.9045855745506914,-3.9045855745506914,0.931915609514443,0.9495802626762997,0.9495802626762997,,,,,,,,,,,,,,,,,,,,,,,
35,,,-3.665400453882623,-3.665400453882623,1.0,-3.9187899525850347,-3.9187899525850347,0.9330713294518936,0.9534796275446532,0.9534796275446532,,,,,,,,,,,,,,,,,,,,,,,
36,,,-3.6711404263816685,-3.6711404263816685,1.0,-3.940604509568987,-3.940604509568987,0.9351432297114398,0.9550612630754927,0.9550612630754927,,,,,,,,,,,,,,,,,,,,,,,
37,,,-3.6734495090990844,-3.6734495090990844,0.9999999999999999,-3.947659314793683,-3.947659314793683,0.9339037359545191,0.9545594288215352,0.9545594288215352,,,,,,,,,,,,,,,,,,,,,,,
38,,,-3.674300772785815,-3.674300772785815,1.0,-3.956754665021563,-3.956754665021563,0.9342861220541079,0.9540818534282626,0.9540818534282626,,,,,,,,,,,,,,,,,,,,,,,
39,,,-3.675195912035625,-3.675195912035625,1.0,-3.9684828420236995,-3.9684828420236995,0.9392812218824416,0.9537149260914829,0.9537149260914829,,,,,,,,,,,,,,,,,,,,,,,
40,,,-3.6802062747853093,-3.6802062747853093,1.0,-3.97827443906734,-3.97827443906734,0.9420810025495693,0.9513164936033507,0.9513164936033507,,,,,,,,,,,,,,,,,,,,,,,
41,,,-3.6856938820585334,-3.6856938820585334,1.0,-3.979318869559396,-3.979318869559396,0.9444172829048609,0.9381658948083529,0.9381658948083529,,,,,,,,,,,,,,,,,,,,,,,
