Iteration,custom_tag,backend,cost_approx,cost_exact,cosine_sim,acc_cost_approx,acc_cost_exact,fidelities,fidelities_cost,fidelities_grad,archt,rhs,qubits,layers,parameters,seed_init,exact,shots,depth,cnots,operator,innerp,cost,optimizer,rotations,entangler,mixer,driver,driver_per,initial_qaoa,sabre,mapomatic,DD
0,full_vqa_aer_spsa_custom_hyper_1,simulator,0.6938788718419481,0.6789229497376476,,0.6938788718419481,0.6789229497376476,0.0009865643466903126,0.0009865643466903126,,linear_alternating,hnx,5.0,3.0,29.0,9.0,False,10000.0,13.0,0.0,SatoLiu21,HTest,Sato21_Nonnorm,SPSA,ry,cz,rx,rzz,ryy,hadamards,True,False,False
1,,,0.6843301384810108,0.6789229497376476,,0.5703212259161382,0.5911105307906608,0.004283324948727686,0.0009865643466903126,,,,,,,,,,17.0,2.0,,,,,,,,,,,,,
2,,,0.686112151218218,0.6789229497376476,,0.42753303528582476,0.42672502394853795,0.00039374914898165144,0.0009865643466903126,,,,,,,,,,18.0,3.0,,,,,,,,,,,,,
3,,,0.6766738403016945,0.6789229497376476,,0.27816179987645573,0.27426605070331556,0.008276919506026745,0.0009865643466903126,,,,,,,,,,19.0,4.0,,,,,,,,,,,,,
4,,,0.6763573273944912,0.6789229497376476,,0.13234071678251846,0.13614399595083004,0.029185330175232404,0.0009865643466903126,,,,,,,,,,20.0,5.0,,,,,,,,,,,,,
5,,,0.6792229028396191,0.6789229497376476,,0.037800296442780816,0.03902811861198477,0.004361094840212242,0.0009865643466903126,,,,,,,,,,174.0,59.0,,,,,,,,,,,,,
6,,,0.697336530954168,0.6789229497376476,,0.0027479287484294362,0.002591461691359448,0.007260441590277715,0.0009865643466903126,,,,,,,,,,,,,,,,,,,,,,,,
7,,,0.6733707490365662,0.6789229497376476,,-0.002055673299075355,-0.001544799085899827,0.00868003974927262,0.0009865643466903126,,,,,,,,,,,,,,,,,,,,,,,,
8,,,0.6722170889555599,0.6789229497376476,,-0.0013683380443940273,-0.0014169694859396985,0.008703252028160337,0.0009865643466903126,,,,,,,,,,,,,,,,,,,,,,,,
9,,,0.686128874747648,0.6789229497376476,,-0.0009095581162214951,-0.001468381702470728,0.008820970967515851,0.0009865643466903126,,,,,,,,,,,,,,,,,,,,,,,,
10,,,0.6811855532697599,0.6789229497376476,,-0.0011139261601617208,-0.0015191405593473106,0.00931312469976038,0.0009865643466903126,,,,,,,,,,,,,,,,,,,,,,,,
11,,,0.6800130826804962,0.6789229497376476,,-0.0009383798775421488,-0.00117835534351746,0.007453057277982159,0.0009865643466903126,,,,,,,,,,,,,,,,,,,,,,,,
12,,,0.6577116317181035,0.6789229497376476,,-0.001544267461067395,-0.001263078560950665,0.0077511833374261365,0.0009865643466903126,,,,,,,,,,,,,,,,,,,,,,,,
13,,,0.6812055979299894,0.6789229497376476,,-0.001204990914219064,-0.001268473228389927,0.007898983424146352,0.0009865643466903126,,,,,,,,,,,,,,,,,,,,,,,,
14,,,0.6606406622747187,0.6789229497376476,,-0.0009378771187729837,-0.0013684950371502642,0.007944646523315942,0.0009865643466903126,,,,,,,,,,,,,,,,,,,,,,,,
15,,,0.686576589710915,0.6789229497376476,,-0.0012287871889272053,-0.0014057180585343501,0.00821010989329264,0.0009865643466903126,,,,,,,,,,,,,,,,,,,,,,,,
16,,,0.672251888041827,0.6789229497376476,,-0.0017057402394741814,-0.001356605955160457,0.007934204248162697,0.0009865643466903126,,,,,,,,,,,,,,,,,,,,,,,,
17,,,0.6821191034133598,0.6789229497376476,,-0.000984764458667533,-0.0012315837375743957,0.00927614521135718,0.0009865643466903126,,,,,,,,,,,,,,,,,,,,,,,,
18,,,0.7014232776740096,0.6789229497376476,,-0.0018929519530034892,-0.0014701771911790193,0.008889604289166455,0.0009865643466903126,,,,,,,,,,,,,,,,,,,,,,,,
19,,,0.6578768979090136,0.6789229497376476,,-0.0013439855276914797,-0.0014758934667097009,0.008799245827393635,0.0009865643466903126,,,,,,,,,,,,,,,,,,,,,,,,
20,,,0.6795293344789902,0.6789229497376476,,-0.002784246293790824,-0.001497021648943523,0.009099614391423403,0.0009865643466903126,,,,,,,,,,,,,,,,,,,,,,,,
21,,,0.6715525851856857,0.6789229497376476,,-0.0013973796085505104,-0.001430366731940403,0.009746464464459356,0.0009865643466903126,,,,,,,,,,,,,,,,,,,,,,,,
22,,,0.6791860167745251,0.6789229497376476,,-0.0017364102934423755,-0.0014604818181377902,0.009685965416966669,0.0009865643466903126,,,,,,,,,,,,,,,,,,,,,,,,
23,,,0.7015905129683123,0.6789229497376476,,-0.001364975908603991,-0.001634041967916823,0.010381287044455484,0.0009865643466903126,,,,,,,,,,,,,,,,,,,,,,,,
24,,,0.6795186361351723,0.6789229497376476,,-0.0019318764319501444,-0.0014747624585908896,0.011780934913971142,0.0009865643466903126,,,,,,,,,,,,,,,,,,,,,,,,
25,,,0.6885473523054954,0.6789229497376476,,-0.0014658007568416939,-0.0015813289213245198,0.012513576953002328,0.0009865643466903126,,,,,,,,,,,,,,,,,,,,,,,,
26,,,0.689639195852152,0.6945333263005217,,-0.0006650560637118566,-0.0007320149527734988,0.014698210036034599,0.007167434106412454,,,,,,,,,,,,,,,,,,,,,,,,
27,,,0.6344097681967114,0.64179488807808,,-0.00213854140750337,-0.0016426849717794396,0.012270926759763252,0.00047589429214586976,,,,,,,,,,,,,,,,,,,,,,,,
28,,,0.5703212259161382,0.5911105307906608,,-0.0024618917863487664,-0.001648426480366966,0.012421735353215722,0.004283324948727686,,,,,,,,,,,,,,,,,,,,,,,,
29,,,0.4982065024794,0.4976840003220281,,0.00022962291050275521,0.00023462957110396182,0.013853434762370814,0.000363681013867366,,,,,,,,,,,,,,,,,,,,,,,,
30,,,0.7430917421481438,0.7122680160173841,,0.0007072580263852064,0.00043853551523905426,0.004027803623648854,0.010471663294649818,,,,,,,,,,,,,,,,,,,,,,,,
31,,,0.42753303528582476,0.42672502394853795,,0.007392907266370181,0.007900550204686559,0.014267357671979827,0.00039374914898165144,,,,,,,,,,,,,,,,,,,,,,,,
32,,,0.47785172624501066,0.49778358563969866,,-0.011969964965033362,-0.01132853617525853,0.03434972571215456,0.009308739008504464,,,,,,,,,,,,,,,,,,,,,,,,
33,,,0.34381413402448363,0.3430009362264605,,-0.011765929104394113,-0.011582459594306191,0.035038559828452616,0.0022458694925732276,,,,,,,,,,,,,,,,,,,,,,,,
34,,,0.27816179987645573,0.27426605070331556,,-0.0133178352962522,-0.011669583311508394,0.03696872291497184,0.008276919506026745,,,,,,,,,,,,,,,,,,,,,,,,
35,,,0.19046690918529663,0.19391279315325435,,-0.009364261526592676,-0.008142691296659442,0.043879392841537135,0.019187674003770895,,,,,,,,,,,,,,,,,,,,,,,,
36,,,0.3649851263158523,0.3510930826095231,,-0.01516129511990698,-0.013589480656922547,0.035536101432302625,0.00140161632020278,,,,,,,,,,,,,,,,,,,,,,,,
37,,,0.13234071678251846,0.13614399595083004,,-0.009146119373115139,-0.009088037163692973,0.0506735937925347,0.029185330175232404,,,,,,,,,,,,,,,,,,,,,,,,
38,,,0.07125572317034977,0.07363550149350932,,-0.013119302650822305,-0.011807792327802349,0.04090872917822983,0.013631797868943423,,,,,,,,,,,,,,,,,,,,,,,,
39,,,0.22967739034930845,0.23396894392162804,,-0.011468572804941887,-0.011616560820564718,0.0621679619688185,0.04412051789202828,,,,,,,,,,,,,,,,,,,,,,,,
40,,,0.037800296442780816,0.03902811861198477,,-0.05775832925342345,-0.05876914482753528,0.14400808104765858,0.004361094840212242,,,,,,,,,,,,,,,,,,,,,,,,
41,,,0.07966245128334079,0.07774920325103919,,-0.08905623920179105,-0.08936172360774325,0.13129089776501673,0.0028314119622587885,,,,,,,,,,,,,,,,,,,,,,,,
42,,,0.015484428108252686,0.014402981425132588,,-0.05807976039515432,-0.060930783984750936,0.12417390859187259,0.006246346532659727,,,,,,,,,,,,,,,,,,,,,,,,
43,,,0.0027479287484294362,0.002591461691359448,,-0.12987761653001254,-0.12991473029908063,0.22563335024352785,0.007260441590277715,,,,,,,,,,,,,,,,,,,,,,,,
44,,,-0.00011764628804677932,-0.0015592058120852282,,-0.24637782857591953,-0.2430819674070796,0.36106798032393567,0.008669514307225524,,,,,,,,,,,,,,,,,,,,,,,,
45,,,0.020028719253540377,0.019778968375097673,,-0.2457879873431879,-0.24251259922390161,0.31014385991775484,0.005957821226634113,,,,,,,,,,,,,,,,,,,,,,,,
46,,,-0.002055673299075355,-0.001544799085899827,,-0.28339493116643444,-0.28736601413565144,0.30525253993643053,0.00868003974927262,,,,,,,,,,,,,,,,,,,,,,,,
47,,,0.00261472957356133,0.002662570909936563,,-0.44543742696223226,-0.43041884711906603,0.3768808176927985,0.008695908360842853,,,,,,,,,,,,,,,,,,,,,,,,
48,,,0.009954766395971816,0.007060267574276741,,-0.42902683173616535,-0.4249496124538369,0.47075647042775987,0.008350161603187361,,,,,,,,,,,,,,,,,,,,,,,,
49,,,-0.0013683380443940273,-0.0014169694859396985,,-0.27369203735965597,-0.2732435871527053,0.40927581867263324,0.008703252028160337,,,,,,,,,,,,,,,,,,,,,,,,
