Iteration,custom_tag,backend,cost_approx,cost_exact,cosine_sim,acc_cost_approx,acc_cost_exact,fidelities,fidelities_cost,fidelities_grad,archt,rhs,qubits,layers,parameters,seed_init,exact,shots,depth,cnots,operator,innerp,cost,optimizer,rotations,entangler,mixer,driver,driver_per,initial_qaoa,sabre,mapomatic,DD
0,full_vqa_exact_bfgs_1,simulator,-0.0004503451326369536,-0.0004503451326369536,1.0,-0.0004503451326369536,-0.0004503451326369536,0.004497257321299563,0.004497257321299563,0.004497257321299563,linear_alternating,hnx,3.0,0.0,3.0,1.0,True,1000.0,,,exact,Statevec,Sato21_Innerp,L_BFGS_B,ry,cz,rx,rzz,ryy,hadamards,True,False,False
1,,,-0.017821174570056882,-0.017821174570056882,1.0000000000000002,-0.16356305198006835,-0.16356305198006835,0.3642782736849281,0.00945669613676064,0.00945669613676064,,,,,,,,,,,,,,,,,,,,,,,
2,,,-0.10342960809555453,-0.10342960809555453,1.0,-0.16364524343593165,-0.16364524343593165,0.36487895778174084,0.22801721171304723,0.22801721171304723,,,,,,,,,,,,,,,,,,,,,,,
3,,,-0.07677799709312448,-0.07677799709312448,1.0,-0.5436364844042254,-0.5436364844042254,0.7061246107500244,0.12074588312638214,0.12074588312638214,,,,,,,,,,,,,,,,,,,,,,,
4,,,-0.16340820676771556,-0.16340820676771556,1.0,-0.6035136619345548,-0.6035136619345548,0.8818476810306076,0.3650452932427723,0.3650452932427723,,,,,,,,,,,,,,,,,,,,,,,
5,,,-0.16356305198006835,-0.16356305198006835,1.0,-0.6541163851650201,-0.6541163851650201,0.9034008910738482,0.3642782736849281,0.3642782736849281,,,,,,,,,,,,,,,,,,,,,,,
6,,,-0.02645518800768497,-0.02645518800768497,0.9999999999999998,-0.6661151554075415,-0.6661151554075415,0.9227523673169876,0.01472476771338507,0.01472476771338507,,,,,,,,,,,,,,,,,,,,,,,
7,,,-0.16364524343593165,-0.16364524343593165,1.0,-0.6666188476588153,-0.6666188476588153,0.9237190144383036,0.36487895778174084,0.36487895778174084,,,,,,,,,,,,,,,,,,,,,,,
8,,,-0.2079897355214169,-0.2079897355214169,0.9999999999999999,-0.6666643498751018,-0.6666643498751018,0.9238300009628087,0.43474615192602006,0.43474615192602006,,,,,,,,,,,,,,,,,,,,,,,
9,,,-0.44856896341105784,-0.44856896341105784,1.0,-0.6666666423764168,-0.6666666423764168,0.9238310364788132,0.659809465535066,0.659809465535066,,,,,,,,,,,,,,,,,,,,,,,
10,,,-0.031000274214223307,-0.031000274214223307,0.9999999999999998,-0.6666666666296156,-0.6666666666296156,0.923831070747516,0.05890536355274998,0.05890536355274998,,,,,,,,,,,,,,,,,,,,,,,
11,,,-0.5436364844042254,-0.5436364844042254,1.0000000000000002,-0.6666666666296156,-0.6666666666296156,0.923831070747516,0.7061246107500244,0.7061246107500244,,,,,,,,,,,,,,,,,,,,,,,
12,,,-0.6035136619345548,-0.6035136619345548,1.0000000000000002,,,,0.8818476810306076,0.8818476810306076,,,,,,,,,,,,,,,,,,,,,,,
13,,,-0.3567544274463246,-0.3567544274463246,0.9999999999999999,,,,0.5781994533647915,0.5781994533647915,,,,,,,,,,,,,,,,,,,,,,,
14,,,-0.6541163851650201,-0.6541163851650201,0.9999999999999999,,,,0.9034008910738482,0.9034008910738482,,,,,,,,,,,,,,,,,,,,,,,
15,,,-0.6661151554075415,-0.6661151554075415,1.0,,,,0.9227523673169876,0.9227523673169876,,,,,,,,,,,,,,,,,,,,,,,
16,,,-0.6666188476588153,-0.6666188476588153,1.0,,,,0.9237190144383036,0.9237190144383036,,,,,,,,,,,,,,,,,,,,,,,
17,,,-0.6666643498751018,-0.6666643498751018,0.9999999999999999,,,,0.9238300009628087,0.9238300009628087,,,,,,,,,,,,,,,,,,,,,,,
18,,,-0.6666666423764168,-0.6666666423764168,1.0,,,,0.9238310364788132,0.9238310364788132,,,,,,,,,,,,,,,,,,,,,,,
19,,,-0.6666666666296156,-0.6666666666296156,1.0,,,,0.923831070747516,0.923831070747516,,,,,,,,,,,,,,,,,,,,,,,
