Iteration,custom_tag,backend,cost_approx,cost_exact,cosine_sim,acc_cost_approx,acc_cost_exact,fidelities,fidelities_cost,fidelities_grad,archt,rhs,qubits,layers,parameters,seed_init,exact,shots,depth,cnots,operator,innerp,cost,optimizer,rotations,entangler,mixer,driver,driver_per,initial_qaoa,sabre,mapomatic,DD
0,full_vqa_exact_bfgs_1,simulator,-0.0040880190219211585,-0.0040880190219211585,1.0000000000000002,-0.0040880190219211585,-0.0040880190219211585,0.0072506209776306,0.0072506209776306,0.0072506209776306,linear,hnx,5.0,2.0,15.0,10.0,True,1000.0,,,exact,Statevec,Sato21_Innerp,L_BFGS_B,ry,cz,rx,rzz,ryy,hadamards,True,False,False
1,,,-0.14209278488815724,-0.14209278488815724,0.9999999999999999,-0.9373467549040139,-0.9373467549040139,0.6680781690520811,0.2768527345920259,0.2768527345920259,,,,,,,,,,,,,,,,,,,,,,,
2,,,-0.09441001678384749,-0.09441001678384749,0.9999999999999998,-0.944247586519511,-0.944247586519511,0.6654811713576914,0.2782419776954588,0.2782419776954588,,,,,,,,,,,,,,,,,,,,,,,
3,,,-0.9303932399069753,-0.9303932399069753,1.0,-1.4106391448507085,-1.4106391448507085,0.7332092984756765,0.6608520715385989,0.6608520715385989,,,,,,,,,,,,,,,,,,,,,,,
4,,,-0.9373467549040139,-0.9373467549040139,1.0,-2.2363745944278075,-2.2363745944278075,0.8050357389587454,0.6680781690520811,0.6680781690520811,,,,,,,,,,,,,,,,,,,,,,,
5,,,-0.24525569114129833,-0.24525569114129833,1.0,-2.6309573529434322,-2.6309573529434322,0.848574808714747,0.3867005059441096,0.3867005059441096,,,,,,,,,,,,,,,,,,,,,,,
6,,,-0.944247586519511,-0.944247586519511,1.0,-3.222269965735414,-3.222269965735414,0.8822405273384251,0.6654811713576914,0.6654811713576914,,,,,,,,,,,,,,,,,,,,,,,
7,,,-0.09034508928608932,-0.09034508928608932,0.9999999999999999,-3.33294423424407,-3.33294423424407,0.8872002234185803,0.3659516360335861,0.3659516360335861,,,,,,,,,,,,,,,,,,,,,,,
8,,,-1.4106391448507085,-1.4106391448507085,1.0,-3.4789726420526352,-3.4789726420526352,0.888327488173854,0.7332092984756765,0.7332092984756765,,,,,,,,,,,,,,,,,,,,,,,
9,,,-1.9047508501964021,-1.9047508501964021,1.0,-3.7420218084238597,-3.7420218084238597,0.9103298082080147,0.7750942937544103,0.7750942937544103,,,,,,,,,,,,,,,,,,,,,,,
10,,,-1.2285153400791067,-1.2285153400791067,1.0000000000000002,-3.7646573606599256,-3.7646573606599256,0.9163422075855934,0.7971444140081487,0.7971444140081487,,,,,,,,,,,,,,,,,,,,,,,
11,,,-2.2363745944278075,-2.2363745944278075,1.0,-3.7889563302973923,-3.7889563302973923,0.9241212786302548,0.8050357389587454,0.8050357389587454,,,,,,,,,,,,,,,,,,,,,,,
12,,,-0.5919625043265031,-0.5919625043265031,1.0,-3.8048414301756592,-3.8048414301756592,0.9282545843254975,0.7029252252890615,0.7029252252890615,,,,,,,,,,,,,,,,,,,,,,,
13,,,-2.6309573529434322,-2.6309573529434322,0.9999999999999999,-3.8190610906254774,-3.8190610906254774,0.9282002627415714,0.848574808714747,0.848574808714747,,,,,,,,,,,,,,,,,,,,,,,
14,,,-3.222269965735414,-3.222269965735414,1.0,-3.831700823675968,-3.831700823675968,0.9281868840982682,0.8822405273384251,0.8822405273384251,,,,,,,,,,,,,,,,,,,,,,,
15,,,-1.9120977196198876,-1.9120977196198876,0.9999999999999999,-3.8519460561528036,-3.8519460561528036,0.9287704625354153,0.8553426628806977,0.8553426628806977,,,,,,,,,,,,,,,,,,,,,,,
16,,,-3.33294423424407,-3.33294423424407,1.0,-3.887353101557873,-3.887353101557873,0.9320520693647916,0.8872002234185803,0.8872002234185803,,,,,,,,,,,,,,,,,,,,,,,
17,,,-3.4789726420526352,-3.4789726420526352,1.0000000000000002,-3.953300153891504,-3.953300153891504,0.9261739036415981,0.888327488173854,0.888327488173854,,,,,,,,,,,,,,,,,,,,,,,
18,,,-3.7420218084238597,-3.7420218084238597,0.9999999999999999,-3.98572374786752,-3.98572374786752,0.9280833264840955,0.9103298082080147,0.9103298082080147,,,,,,,,,,,,,,,,,,,,,,,
19,,,-3.7646573606599256,-3.7646573606599256,1.0,-4.001240767530508,-4.001240767530508,0.9237308796701984,0.9163422075855934,0.9163422075855934,,,,,,,,,,,,,,,,,,,,,,,
20,,,-3.7889563302973923,-3.7889563302973923,1.0,-4.0037304354520185,-4.0037304354520185,0.9257948088059067,0.9241212786302548,0.9241212786302548,,,,,,,,,,,,,,,,,,,,,,,
21,,,-3.8048414301756592,-3.8048414301756592,1.0,-4.006173577434571,-4.006173577434571,0.9251589331829908,0.9282545843254975,0.9282545843254975,,,,,,,,,,,,,,,,,,,,,,,
