Iteration,custom_tag,backend,cost_approx,cost_exact,cosine_sim,acc_cost_approx,acc_cost_exact,fidelities,fidelities_cost,fidelities_grad,archt,rhs,qubits,layers,parameters,seed_init,exact,shots,depth,cnots,operator,innerp,cost,optimizer,rotations,entangler,mixer,driver,driver_per,initial_qaoa,sabre,mapomatic,DD
0,full_vqa_aer_spsa_custom_hyper_1,simulator,-0.0004797666562344675,-0.0004753348227156277,,-0.0004797666562344675,-0.0004753348227156277,0.018454754132197104,0.018454754132197104,,linear_alternating,hnx,5.0,3.0,29.0,6.0,False,100000.0,13.0,0.0,SatoLiu21,HTest,Sato21_Innerp,SPSA,ry,cz,rx,rzz,ryy,hadamards,True,False,False
1,,,-0.0005018421776189157,-0.0004753348227156277,,-0.00048032958210420613,-0.00047639636813239216,0.018502017773327512,0.018454754132197104,,,,,,,,,,17.0,2.0,,,,,,,,,,,,,
2,,,-0.0004634203124284213,-0.0004753348227156277,,-0.001055373211452195,-0.0010363826866544733,0.02426406264915936,0.018454754132197104,,,,,,,,,,18.0,3.0,,,,,,,,,,,,,
3,,,-0.0004899225384201131,-0.0004753348227156277,,-0.0010405529881581672,-0.001078891122287203,0.02524190325942529,0.018454754132197104,,,,,,,,,,19.0,4.0,,,,,,,,,,,,,
4,,,-0.0005130506532413573,-0.0004753348227156277,,-0.0012127952097133314,-0.0010792190405087756,0.025258498005098055,0.018454754132197104,,,,,,,,,,20.0,5.0,,,,,,,,,,,,,
5,,,-0.0005479437852887418,-0.0004753348227156277,,-0.0011703752600194129,-0.0010930033468209528,0.025227921635628352,0.018454754132197104,,,,,,,,,,174.0,59.0,,,,,,,,,,,,,
6,,,-0.000503465371463101,-0.0004753348227156277,,-0.0012482594524417959,-0.0011956438292001275,0.025978051626351237,0.018454754132197104,,,,,,,,,,,,,,,,,,,,,,,,
7,,,-0.00043278065487668295,-0.0004753348227156277,,-0.0014313319546498523,-0.0012315823171108985,0.02593606938918599,0.018454754132197104,,,,,,,,,,,,,,,,,,,,,,,,
8,,,-0.00052921877497705,-0.0004753348227156277,,-0.001052379995135093,-0.0012312586087008612,0.02594585565062175,0.018454754132197104,,,,,,,,,,,,,,,,,,,,,,,,
9,,,-0.0004518971037528012,-0.0004753348227156277,,-0.0012149690386947902,-0.0013369017616547364,0.02653963844947501,0.018454754132197104,,,,,,,,,,,,,,,,,,,,,,,,
10,,,-0.0004675056227125522,-0.0004753348227156277,,-0.0011463895080891114,-0.001300040187136792,0.025894723242174112,0.018454754132197104,,,,,,,,,,,,,,,,,,,,,,,,
11,,,-0.0005336227672927047,-0.0004753348227156277,,-0.0013824584220574205,-0.001231573353342061,0.025934388755864415,0.018454754132197104,,,,,,,,,,,,,,,,,,,,,,,,
12,,,-0.0005110130839399239,-0.0004753348227156277,,-0.00137010971445179,-0.0015130455524895508,0.027649949899086392,0.018454754132197104,,,,,,,,,,,,,,,,,,,,,,,,
13,,,-0.0004894875887500692,-0.0004753348227156277,,-0.0014621651897069375,-0.001513814040579416,0.027706873196231614,0.018454754132197104,,,,,,,,,,,,,,,,,,,,,,,,
14,,,-0.0006217692831257714,-0.0004753348227156277,,-0.0014685420283564816,-0.0015158330194650954,0.0276796703560234,0.018454754132197104,,,,,,,,,,,,,,,,,,,,,,,,
15,,,-0.00039895608681686805,-0.0004753348227156277,,-0.0018744030023042403,-0.0017131487947302556,0.029446622697283324,0.018454754132197104,,,,,,,,,,,,,,,,,,,,,,,,
16,,,-0.0005280808136464862,-0.0004753348227156277,,-0.002203758622098915,-0.002264806896679064,0.032459735130605134,0.018454754132197104,,,,,,,,,,,,,,,,,,,,,,,,
17,,,-0.0006492207054512128,-0.0004753348227156277,,-0.003952910439540266,-0.003743031113659445,0.03738518054333325,0.018454754132197104,,,,,,,,,,,,,,,,,,,,,,,,
18,,,-0.0004653079618970946,-0.0004753348227156277,,-0.0038575964028546134,-0.003744408025377889,0.03732795911908585,0.018454754132197104,,,,,,,,,,,,,,,,,,,,,,,,
19,,,-0.0005591967176331063,-0.0004753348227156277,,-0.004443788493808186,-0.004466531080097947,0.03902594841418687,0.018454754132197104,,,,,,,,,,,,,,,,,,,,,,,,
20,,,-0.00046565043755918476,-0.0004753348227156277,,-0.009546819464132833,-0.009622324874347504,0.05530658117279305,0.018454754132197104,,,,,,,,,,,,,,,,,,,,,,,,
21,,,-0.0005271916298051244,-0.0004753348227156277,,-0.012378056010543167,-0.012728191695726839,0.06651879867834214,0.018454754132197104,,,,,,,,,,,,,,,,,,,,,,,,
22,,,-0.0006363849176183962,-0.0004753348227156277,,-0.02248368060033457,-0.022359077099324713,0.0942615649296887,0.018454754132197104,,,,,,,,,,,,,,,,,,,,,,,,
23,,,-0.0005324715077421619,-0.0004753348227156277,,-0.02368846703082137,-0.02333812593311869,0.102333144057424,0.018454754132197104,,,,,,,,,,,,,,,,,,,,,,,,
24,,,-0.00043235483055715054,-0.0004753348227156277,,-0.02713331329318765,-0.02753425032621145,0.10457759925531135,0.018454754132197104,,,,,,,,,,,,,,,,,,,,,,,,
25,,,-0.0004890117479366416,-0.0004753348227156277,,-0.03406438175449801,-0.033652789351277586,0.11218688433987399,0.018454754132197104,,,,,,,,,,,,,,,,,,,,,,,,
26,,,-0.000266915034465862,-0.0003116988298155295,,-0.03478848608262669,-0.034845303446997926,0.11136739594919225,0.011358123827101892,,,,,,,,,,,,,,,,,,,,,,,,
27,,,-0.00041908757531170686,-0.00047649934438563223,,-0.03576562302982169,-0.03504586348927244,0.11199139603798546,0.021596014251694762,,,,,,,,,,,,,,,,,,,,,,,,
28,,,-0.00048032958210420613,-0.00047639636813239216,,-0.07385347525173579,-0.07420911516873172,0.2105324003650188,0.018502017773327512,,,,,,,,,,,,,,,,,,,,,,,,
29,,,-0.0055989572505977135,-0.005362705525972278,,-0.08291242534595772,-0.08300535556681338,0.21554691525339745,0.051539985279257364,,,,,,,,,,,,,,,,,,,,,,,,
30,,,-0.002070147317255561,-0.001906725409260793,,-0.0909224716382698,-0.0906176836699222,0.22424598630012482,1.0367955083729593e-05,,,,,,,,,,,,,,,,,,,,,,,,
31,,,-0.001055373211452195,-0.0010363826866544733,,-0.1061693978093166,-0.10506021562554022,0.2558670404246286,0.02426406264915936,,,,,,,,,,,,,,,,,,,,,,,,
32,,,-0.00037780848532570924,-0.00041393739344047976,,-0.10481651752301839,-0.1057391533902638,0.2597583047526489,0.011265035706813968,,,,,,,,,,,,,,,,,,,,,,,,
33,,,-0.001634408675879662,-0.0015595495189059854,,-0.10179530850518348,-0.1021226295701213,0.2677713704587091,0.04001380470934625,,,,,,,,,,,,,,,,,,,,,,,,
34,,,-0.0010405529881581672,-0.001078891122287203,,-0.125831496065127,-0.12567913327630886,0.3139809163647147,0.02524190325942529,,,,,,,,,,,,,,,,,,,,,,,,
35,,,-0.0005017918268769665,-0.0005489992437722427,,-0.15885620539358375,-0.15776327648459632,0.32995831755868155,0.014367791274207882,,,,,,,,,,,,,,,,,,,,,,,,
36,,,-0.0005717320378151283,-0.0006091234855542105,,-0.15660515222910995,-0.15690421856784975,0.3297746234059992,0.021260208381121623,,,,,,,,,,,,,,,,,,,,,,,,
37,,,-0.0012127952097133314,-0.0010792190405087756,,-0.1566566807622269,-0.15746692786847946,0.3266199137761821,0.025258498005098055,,,,,,,,,,,,,,,,,,,,,,,,
38,,,-0.0016236536189461206,-0.001554840491475237,,-0.14032615704839196,-0.14078643575078162,0.32833867947307044,0.02326082231631857,,,,,,,,,,,,,,,,,,,,,,,,
39,,,-0.0008288778743804335,-0.0008266744071966699,,-0.11765447154258281,-0.11932762456835072,0.3103491305577073,0.024512641832347644,,,,,,,,,,,,,,,,,,,,,,,,
40,,,-0.0011703752600194129,-0.0010930033468209528,,-0.15751924523621255,-0.15769500058149316,0.31469751453735684,0.025227921635628352,,,,,,,,,,,,,,,,,,,,,,,,
41,,,-0.00021548445241118333,-0.00021887502494614286,,-0.20466471196667146,-0.2066222497923178,0.35719877106517606,0.014950428823496793,,,,,,,,,,,,,,,,,,,,,,,,
42,,,-0.0021595442396842085,-0.0020061491038614906,,-0.2585893429469998,-0.2570173849649687,0.4246069060672705,0.02849185087277623,,,,,,,,,,,,,,,,,,,,,,,,
43,,,-0.0012482594524417959,-0.0011956438292001275,,-0.22032634384000435,-0.21992807810455914,0.39185434235928057,0.025978051626351237,,,,,,,,,,,,,,,,,,,,,,,,
44,,,-0.0005402353251525929,-0.0005000925683715048,,-0.23663112240949352,-0.23584089321240642,0.3540475939236639,0.0233702357711817,,,,,,,,,,,,,,,,,,,,,,,,
45,,,-0.0016363564327378135,-0.0016176069708686027,,-0.369804321286776,-0.36877562175608114,0.6070837137932195,0.021986604342354738,,,,,,,,,,,,,,,,,,,,,,,,
46,,,-0.0014313319546498523,-0.0012315823171108985,,-0.30148715502121365,-0.2999601625216555,0.41304632364645133,0.02593606938918599,,,,,,,,,,,,,,,,,,,,,,,,
47,,,-0.0017398329524541422,-0.0015483069866767546,,-0.6827264048587549,-0.6796428961763227,0.6964556804585308,0.02768720183502824,,,,,,,,,,,,,,,,,,,,,,,,
48,,,-0.0015375936836198932,-0.001542005467801868,,-0.34033748959918814,-0.34164794227182427,0.46407135331312055,0.02559258780307251,,,,,,,,,,,,,,,,,,,,,,,,
49,,,-0.001052379995135093,-0.0012312586087008612,,-0.6320238781512605,-0.6294519966033539,0.6746215694200844,0.02594585565062175,,,,,,,,,,,,,,,,,,,,,,,,
50,,,-0.00039083582529006445,-0.0004400734639133666,,-0.7506614928050047,-0.7439826834589929,0.6010132812662211,0.019576274629111254,,,,,,,,,,,,,,,,,,,,,,,,
51,,,-0.00245574039677071,-0.0024484022253630274,,-0.5861447822464073,-0.5900380308230656,0.5736014861058066,0.03154471531051311,,,,,,,,,,,,,,,,,,,,,,,,
52,,,-0.0012149690386947902,-0.0013369017616547364,,-0.6555091918716577,-0.6583138581791457,0.6291038819982357,0.02653963844947501,,,,,,,,,,,,,,,,,,,,,,,,
53,,,-0.00037301592198564655,-0.00027613837055189065,,-0.7537541021158923,-0.7551514137321589,0.6223759267693524,0.023657312305388648,,,,,,,,,,,,,,,,,,,,,,,,
54,,,-0.0018629543284708835,-0.001935770510130324,,-0.6465633701784155,-0.6490562026330801,0.5523074648971626,0.02334460695487145,,,,,,,,,,,,,,,,,,,,,,,,
55,,,-0.0011463895080891114,-0.001300040187136792,,-0.6581583730433422,-0.6675459986314616,0.651844528934445,0.025894723242174112,,,,,,,,,,,,,,,,,,,,,,,,
56,,,-0.0008764060906407381,-0.0009160275635194617,,-0.7135975385834847,-0.7093113262865904,0.6519342964082264,0.025282630104935973,,,,,,,,,,,,,,,,,,,,,,,,
57,,,-0.0008940606631056335,-0.000984508406986494,,-0.47282366028814843,-0.46390325916992514,0.4679587685047169,0.022527666608328216,,,,,,,,,,,,,,,,,,,,,,,,
58,,,-0.0013824584220574205,-0.001231573353342061,,-0.5380375923880726,-0.5350337084956324,0.523606615330547,0.025934388755864415,,,,,,,,,,,,,,,,,,,,,,,,
59,,,-0.003038054333136979,-0.0028777295960911494,,-0.5965718060387183,-0.5851144778824416,0.5966869701589189,0.0342747543082373,,,,,,,,,,,,,,,,,,,,,,,,
60,,,-1.7322766278682955e-06,-1.0084786176749608e-05,,-0.31468295072871205,-0.3125787801672802,0.4176952578177391,0.01304585732611017,,,,,,,,,,,,,,,,,,,,,,,,
61,,,-0.00137010971445179,-0.0015130455524895508,,-0.6865687153466008,-0.6862466133347642,0.5730565327534108,0.027649949899086392,,,,,,,,,,,,,,,,,,,,,,,,
62,,,-0.0017558383289206863,-0.001780534643830418,,-0.6299806802148046,-0.6371725094802704,0.6784204800619785,0.034306649322820876,,,,,,,,,,,,,,,,,,,,,,,,
63,,,-0.0015908068385180692,-0.001543917803772578,,-1.2195321959564545,-1.21530150135834,0.7117383197174593,0.020808176872759772,,,,,,,,,,,,,,,,,,,,,,,,
64,,,-0.0014621651897069375,-0.001513814040579416,,-1.147319050453516,-1.1633509595214344,0.68161490262777,0.027706873196231614,,,,,,,,,,,,,,,,,,,,,,,,
65,,,-0.001261873199517858,-0.001265054532084969,,-1.138297954719078,-1.1218781295872748,0.6967530075492486,0.027190367462227773,,,,,,,,,,,,,,,,,,,,,,,,
66,,,-0.0014775837799502658,-0.001591785217752528,,-1.7438109258725099,-1.7006803313297985,0.7892552199783603,0.0226551970930197,,,,,,,,,,,,,,,,,,,,,,,,
67,,,-0.0014685420283564816,-0.0015158330194650954,,-1.584825559347121,-1.5909675090121629,0.8237127088462504,0.0276796703560234,,,,,,,,,,,,,,,,,,,,,,,,
68,,,-0.002954058217290665,-0.003126590445317145,,-0.5020459728002813,-0.5022454263770293,0.5148607134261582,0.03961490182512304,,,,,,,,,,,,,,,,,,,,,,,,
69,,,-0.0004117718875501997,-0.0004014670978859684,,-0.5230106579337725,-0.5195264409260342,0.6222671559481129,0.014761588060957623,,,,,,,,,,,,,,,,,,,,,,,,
