Iteration,custom_tag,backend,cost_approx,cost_exact,cosine_sim,acc_cost_approx,acc_cost_exact,fidelities,fidelities_cost,fidelities_grad,archt,rhs,qubits,layers,parameters,seed_init,exact,shots,depth,cnots,operator,innerp,cost,optimizer,rotations,entangler,mixer,driver,driver_per,initial_qaoa,sabre,mapomatic,DD
0,full_vqa_exact_bfgs_1,simulator,0.9795066698001679,0.9795066698001679,1.0000000000000002,0.9795066698001679,0.9795066698001679,0.02687122458302964,0.02687122458302964,0.02687122458302964,linear_alternating,hnx,3.0,0.0,3.0,4.0,True,1000.0,,,exact,Statevec,BravoPrieto20_Global,L_BFGS_B,ry,cz,rx,rzz,ryy,hadamards,True,False,False
1,,,0.927073412264773,0.927073412264773,1.0,0.9017353668293401,0.9017353668293401,0.02143132516998972,0.039080644259544196,0.039080644259544196,,,,,,,,,,,,,,,,,,,,,,,
2,,,0.9947682271355932,0.9947682271355932,0.9999999999999999,0.88989935225823,0.88989935225823,0.032092554916362155,0.045311431529683914,0.045311431529683914,,,,,,,,,,,,,,,,,,,,,,,
3,,,0.9017353668293401,0.9017353668293401,0.9999999999999999,0.8423996887333085,0.8423996887333085,0.18807724651406751,0.02143132516998972,0.02143132516998972,,,,,,,,,,,,,,,,,,,,,,,
4,,,0.942670120401168,0.942670120401168,0.9999999999999998,0.759680824158615,0.759680824158615,0.27876151152157547,0.01744841741053809,0.01744841741053809,,,,,,,,,,,,,,,,,,,,,,,
5,,,0.88989935225823,0.88989935225823,1.0000000000000002,0.7423174334151852,0.7423174334151852,0.2863257693248595,0.032092554916362155,0.032092554916362155,,,,,,,,,,,,,,,,,,,,,,,
6,,,0.8423996887333085,0.8423996887333085,1.0000000000000002,0.6904785346787427,0.6904785346787427,0.33726560889781115,0.18807724651406751,0.18807724651406751,,,,,,,,,,,,,,,,,,,,,,,
7,,,0.8808707089177849,0.8808707089177849,1.0,0.6285876117315242,0.6285876117315242,0.7304189352567316,0.2309666542158479,0.2309666542158479,,,,,,,,,,,,,,,,,,,,,,,
8,,,0.759680824158615,0.759680824158615,0.9999999999999999,0.5843183732506204,0.5843183732506204,0.7482293002263906,0.27876151152157547,0.27876151152157547,,,,,,,,,,,,,,,,,,,,,,,
9,,,0.9570451112446073,0.9570451112446073,0.9999999999999999,0.5619105617191648,0.5619105617191648,0.8160194379883564,0.23923662728622536,0.23923662728622536,,,,,,,,,,,,,,,,,,,,,,,
10,,,0.9943628838472702,0.9943628838472702,0.9999999999999998,0.5550268653236283,0.5550268653236283,0.8755018970457886,0.0066121044036858735,0.0066121044036858735,,,,,,,,,,,,,,,,,,,,,,,
11,,,0.9995872382963799,0.9995872382963799,1.0000000000000002,0.550355187081411,0.550355187081411,0.9210935400221829,0.005595043708255372,0.005595043708255372,,,,,,,,,,,,,,,,,,,,,,,
12,,,0.9911847313475658,0.9911847313475658,1.0000000000000002,0.5500213502862232,0.5500213502862232,0.923771910387671,0.020698160862732507,0.020698160862732507,,,,,,,,,,,,,,,,,,,,,,,
13,,,0.9993091318714458,0.9993091318714458,0.9999999999999999,0.5500005286531626,0.5500005286531626,0.9238297177522593,0.04345075090069238,0.04345075090069238,,,,,,,,,,,,,,,,,,,,,,,
14,,,0.7423174334151852,0.7423174334151852,1.0,0.5500000075212369,0.5500000075212369,0.9238310138063319,0.2863257693248595,0.2863257693248595,,,,,,,,,,,,,,,,,,,,,,,
15,,,0.6904785346787427,0.6904785346787427,1.0,0.5500000000124937,0.5500000000124937,0.9238310707733036,0.33726560889781115,0.33726560889781115,,,,,,,,,,,,,,,,,,,,,,,
16,,,0.6285876117315242,0.6285876117315242,1.0,0.5500000000124937,0.5500000000124937,0.9238310707733036,0.7304189352567316,0.7304189352567316,,,,,,,,,,,,,,,,,,,,,,,
17,,,0.5843183732506204,0.5843183732506204,1.0,,,,0.7482293002263906,0.7482293002263906,,,,,,,,,,,,,,,,,,,,,,,
18,,,0.5619105617191648,0.5619105617191648,1.0,,,,0.8160194379883564,0.8160194379883564,,,,,,,,,,,,,,,,,,,,,,,
19,,,0.5550268653236283,0.5550268653236283,1.0,,,,0.8755018970457886,0.8755018970457886,,,,,,,,,,,,,,,,,,,,,,,
20,,,0.550355187081411,0.550355187081411,1.0,,,,0.9210935400221829,0.9210935400221829,,,,,,,,,,,,,,,,,,,,,,,
21,,,0.5500213502862232,0.5500213502862232,1.0,,,,0.923771910387671,0.923771910387671,,,,,,,,,,,,,,,,,,,,,,,
22,,,0.5500005286531626,0.5500005286531626,0.9999999999999999,,,,0.9238297177522593,0.9238297177522593,,,,,,,,,,,,,,,,,,,,,,,
23,,,0.5500000075212369,0.5500000075212369,1.0000000000000002,,,,0.9238310138063319,0.9238310138063319,,,,,,,,,,,,,,,,,,,,,,,
24,,,0.5500000000124937,0.5500000000124937,1.0,,,,0.9238310707733036,0.9238310707733036,,,,,,,,,,,,,,,,,,,,,,,
