Iteration,custom_tag,backend,cost_approx,cost_exact,cosine_sim,acc_cost_approx,acc_cost_exact,fidelities,fidelities_cost,fidelities_grad,archt,rhs,qubits,layers,parameters,seed_init,exact,shots,depth,cnots,operator,innerp,cost,optimizer,rotations,entangler,mixer,driver,driver_per,initial_qaoa,sabre,mapomatic,DD
0,full_vqa_aer_nft_hyper_1,simulator,-0.003656761268781295,-0.0036442885338923456,,-0.003656761268781295,-0.0036442885338923456,0.0005001098418146151,0.0005001098418146151,,linear_alternating,hnx,5.0,3.0,29.0,14.0,False,10000.0,13.0,0.0,SatoLiu21,HTest,Sato21_Innerp,NFT,ry,cz,rx,rzz,ryy,hadamards,True,False,False
1,,,-0.020980915653119735,-0.024545786968441157,,-1.5821116099614163,-0.021160329508736697,0.007240813361494997,0.005685881552339728,,,,,,,,,,17.0,2.0,,,,,,,,,,,,,
2,,,-0.0006277133471877707,-0.0004988913557674179,,-2.1032476148796535,-0.02436877755794206,0.011705836577150288,0.001916560106076259,,,,,,,,,,18.0,3.0,,,,,,,,,,,,,
3,,,-0.018948353160152157,-0.020213734082979044,,-2.3887946183953015,-0.027033563482074616,0.025803217057001546,0.01614711167740645,,,,,,,,,,19.0,4.0,,,,,,,,,,,,,
4,,,-0.0038135916406071275,-0.0036443988428221524,,-2.596127659574466,-0.11916922813516484,0.11560390512145441,4.531518018559561e-05,,,,,,,,,,20.0,5.0,,,,,,,,,,,,,
5,,,-0.003867657992565051,-0.0025245685257854955,,-2.669276847290641,-0.3377263690208038,0.4261627716634143,0.000976402903554632,,,,,,,,,,174.0,59.0,,,,,,,,,,,,,
6,,,-0.026495463812436285,-0.02449327224636982,,-2.5716220826792253,-0.7357023542928132,0.45395336881091,0.033950340568928025,,,,,,,,,,,,,,,,,,,,,,,,
7,,,-0.10709085612254489,-0.1115773096784588,,-2.756186726659168,-0.7633013946463919,0.4520170628455591,0.10649239522061275,,,,,,,,,,,,,,,,,,,,,,,,
8,,,-0.0022206515668631716,-0.0023017338446431152,,-2.756186726659168,-0.7323102587071102,0.5067249153431813,0.009832949543007246,,,,,,,,,,,,,,,,,,,,,,,,
9,,,-0.0030044647261963566,-0.003989849111732307,,,-0.6699821990214114,0.5238826549707731,0.0242650047782029,,,,,,,,,,,,,,,,,,,,,,,,
10,,,-0.3209839566621523,-0.31903386189107,,,-0.742752867386742,0.5544038301002834,0.40527613434751397,,,,,,,,,,,,,,,,,,,,,,,,
11,,,-0.021413285911875118,-0.02524310689361188,,,-0.7897444844897997,0.5713593697316443,0.0928495523685297,,,,,,,,,,,,,,,,,,,,,,,,
12,,,-0.4228323538321722,-0.42027620147474176,,,-0.9145761589595995,0.6302567723788994,0.38254539448803715,,,,,,,,,,,,,,,,,,,,,,,,
13,,,-0.18749319807794984,-0.1923817118587912,,,-0.9306153489019561,0.6470051565959278,0.22275818138985023,,,,,,,,,,,,,,,,,,,,,,,,
14,,,-0.12021834805993083,-0.11992410270374897,,,-0.9501390365361841,0.6497252525416578,0.23123475775571456,,,,,,,,,,,,,,,,,,,,,,,,
15,,,-0.13311662989520134,-0.12094186831916431,,,-0.9501955192259064,0.6498105451218655,0.08071390429505937,,,,,,,,,,,,,,,,,,,,,,,,
16,,,-0.31758307438794714,-0.3083396377642599,,,-0.9527186755023745,0.6505695883974197,0.4444957781611596,,,,,,,,,,,,,,,,,,,,,,,,
17,,,-0.19740674157303373,-0.19032237259290619,,,-0.978396717469913,0.6538187209983432,0.10678790460356834,,,,,,,,,,,,,,,,,,,,,,,,
18,,,-0.6042682632236568,-0.5689548953030963,,,-0.9773517521400902,0.6544256019107157,0.46228885022411464,,,,,,,,,,,,,,,,,,,,,,,,
