Iteration,custom_tag,backend,cost_approx,cost_exact,cosine_sim,acc_cost_approx,acc_cost_exact,fidelities,fidelities_cost,fidelities_grad,archt,rhs,qubits,layers,parameters,seed_init,exact,shots,depth,cnots,operator,innerp,cost,optimizer,rotations,entangler,mixer,driver,driver_per,initial_qaoa,sabre,mapomatic,DD
0,full_vqa_aer_bfgs_1,simulator,-0.004085678367662694,-0.004906349946774988,0.9959392796741356,-0.004085678367662694,-0.004906349946774988,0.011595498333289716,0.011595498333289716,0.011595498333289716,linear_alternating,hnx,5.0,3.0,29.0,11.0,False,10000.0,13.0,0.0,SatoLiu21,HTest,Sato21_Innerp,L_BFGS_B,ry,cz,rx,rzz,ryy,hadamards,True,False,False
1,,,-0.13228803809153633,-0.13064418514046672,0.9993306075298873,-0.7931891790167019,-0.7719483306077006,0.6257949456495431,0.20506428665499615,0.20506428665499615,,,,,,,,,17.0,2.0,,,,,,,,,,,,,
2,,,-0.0032463854523773978,-0.004067086938876254,0.9981048501890366,-0.7931891790167019,-0.7719483306077006,0.6257949456495431,0.03935013179403914,0.03935013179403914,,,,,,,,,18.0,3.0,,,,,,,,,,,,,
3,,,-0.7522964350180504,-0.7704557812986167,0.9994029418878013,-0.7931891790167019,-0.7719483306077006,0.6257949456495431,0.614389556687242,0.614389556687242,,,,,,,,,19.0,4.0,,,,,,,,,,,,,
4,,,-0.7931891790167019,-0.7719483306077006,0.9990417519448255,,,,0.6257949456495431,0.6257949456495431,,,,,,,,,20.0,5.0,,,,,,,,,,,,,
5,,,-0.17088292565562596,-0.1686239698407286,0.9995282447812565,,,,0.5016228967871292,0.5016228967871292,,,,,,,,,174.0,59.0,,,,,,,,,,,,,
6,,,-0.7463705308775737,-0.771501523008215,0.9993816438737394,,,,0.6296777728133719,0.6296777728133719,,,,,,,,,,,,,,,,,,,,,,,
7,,,-0.7725031617816758,-0.7719483798662312,0.9992879686902882,,,,0.6258054105889476,0.6258054105889476,,,,,,,,,,,,,,,,,,,,,,,
8,,,-0.7728256607183195,-0.771948330608526,0.9992265856696136,,,,0.6257949458136496,0.6257949458136496,,,,,,,,,,,,,,,,,,,,,,,
9,,,-0.765504531861054,-0.7719483306077006,0.9994793397407061,,,,0.6257949456495431,0.6257949456495431,,,,,,,,,,,,,,,,,,,,,,,
