Iteration,custom_tag,backend,cost_approx,cost_exact,cosine_sim,acc_cost_approx,acc_cost_exact,fidelities,fidelities_cost,fidelities_grad,archt,rhs,qubits,layers,parameters,seed_init,exact,shots,depth,cnots,operator,innerp,cost,optimizer,rotations,entangler,mixer,driver,driver_per,initial_qaoa,sabre,mapomatic,DD
0,full_vqa_aer_nft_hyper_1,simulator,32.17757056624836,33.51390074907339,,32.17757056624836,33.51390074907339,0.018454754132197104,0.018454754132197104,,linear_alternating,hnx,5.0,3.0,29.0,6.0,False,1000.0,13.0,0.0,SatoLiu21,HTest,Sato21_Nonnorm,NFT,ry,cz,rx,rzz,ryy,hadamards,True,False,False
1,,,28.288315858526964,28.11928282124523,,-1.3926489247701634,27.642842708497994,0.007308207394208717,0.009881054929121325,,,,,,,,,,17.0,2.0,,,,,,,,,,,,,
2,,,34.32912749597416,34.437120911765405,,-2.6586702198260874,18.507022239615683,0.0329830208189164,0.008596067329983739,,,,,,,,,,18.0,3.0,,,,,,,,,,,,,
3,,,40.12658985126003,39.314008381936205,,-4.265686637322253,18.379365098094386,0.07515441934280948,0.004267161772620801,,,,,,,,,,19.0,4.0,,,,,,,,,,,,,
4,,,18.95775401756004,18.598015749776323,,-3.9902652349994048,17.06036254189653,0.16162147004048014,0.034678589247060874,,,,,,,,,,20.0,5.0,,,,,,,,,,,,,
5,,,19.00438791949087,18.70277036247919,,-4.253874246858251,14.863329359979197,0.14280254724315378,0.15738574735989,,,,,,,,,,174.0,59.0,,,,,,,,,,,,,
6,,,15.76508076751546,16.346868132908096,,-5.499384205729252,10.559536550341827,0.1674777541689852,0.019566463092799576,,,,,,,,,,,,,,,,,,,,,,,,
7,,,15.001820112113036,16.22305733875758,,-4.627847314857206,10.571102664996397,0.16453778515476614,0.18082594352538253,,,,,,,,,,,,,,,,,,,,,,,,
8,,,15.847065409949924,16.385734246745603,,-4.627847314857206,10.212070753480514,0.19407756927230493,0.0014092140454037216,,,,,,,,,,,,,,,,,,,,,,,,
9,,,17.79335523310447,18.20470515310344,,,8.021699803877725,0.12326906021634786,0.050286133987259896,,,,,,,,,,,,,,,,,,,,,,,,
10,,,13.604781926532363,14.442827704122429,,,7.751375022381109,0.1292984031667455,0.11854171912412081,,,,,,,,,,,,,,,,,,,,,,,,
11,,,14.898709733715382,15.404971842180332,,,7.579069653424426,0.1330138608257963,0.1434142598550573,,,,,,,,,,,,,,,,,,,,,,,,
12,,,36.72242588480517,36.57570275783727,,,7.51682428787341,0.1542921402012394,0.02424858841779918,,,,,,,,,,,,,,,,,,,,,,,,
13,,,14.604344119618752,14.534407186836487,,,7.385229675849438,0.0001595213309853193,0.019171213323867606,,,,,,,,,,,,,,,,,,,,,,,,
14,,,14.967019703248743,14.685348297565497,,,7.141611291504589,0.00015743948677317526,0.1938581532605232,,,,,,,,,,,,,,,,,,,,,,,,
15,,,15.826913547321071,15.779855955338945,,,4.906771367635555,0.00035496359988742513,0.011052893646954172,,,,,,,,,,,,,,,,,,,,,,,,
16,,,12.668279966474634,12.904075334621844,,,4.882657860302668,0.00017396917998753424,0.21950943924741206,,,,,,,,,,,,,,,,,,,,,,,,
17,,,14.23504433320638,13.56389486991644,,,4.962118165418955,0.0008573673096074281,0.1360426548226821,,,,,,,,,,,,,,,,,,,,,,,,
18,,,8.09467788708631,7.511356478769588,,,4.718056115410338,0.0006175749055122144,0.0646081697652149,,,,,,,,,,,,,,,,,,,,,,,,
19,,,14.471809858805873,14.942547376168559,,,3.8745938004173293,0.0016922784756061731,0.030216804805913614,,,,,,,,,,,,,,,,,,,,,,,,
20,,,12.185750698488274,11.625281203471342,,,3.520823493703935,0.000616240895471312,0.104132861036705,,,,,,,,,,,,,,,,,,,,,,,,
21,,,15.531553836779844,15.806516102861783,,,0.3966406553793617,0.28672588613462147,0.04190437114751205,,,,,,,,,,,,,,,,,,,,,,,,
22,,,12.821643211500072,12.792271834706476,,,0.07902917167342348,0.28889291989186816,0.09230572555988278,,,,,,,,,,,,,,,,,,,,,,,,
23,,,8.597485807645887,8.663601823839773,,,-0.1260989106297955,0.29608549781387805,0.004002748678787329,,,,,,,,,,,,,,,,,,,,,,,,
24,,,8.284345522839436,8.20375337544859,,,-0.0866829574724554,0.2988605306081794,0.3352943075256206,,,,,,,,,,,,,,,,,,,,,,,,
25,,,7.833865005520657,8.528476124570519,,,-0.15205629495063622,0.2976682949185387,0.36768508126897864,,,,,,,,,,,,,,,,,,,,,,,,
26,,,6.795987280065747,7.332802407141588,,,-0.1885364290594432,0.2962460094032112,0.0025874301396262736,,,,,,,,,,,,,,,,,,,,,,,,
27,,,20.218849385657684,19.74833584996728,,,-0.6457637185690572,0.30173959262816874,7.167811299251923e-05,,,,,,,,,,,,,,,,,,,,,,,,
28,,,24.904854086340304,25.298386160376236,,,-0.7694637490097563,0.296063776632356,8.827490559698006e-05,,,,,,,,,,,,,,,,,,,,,,,,
29,,,19.003604231073083,18.201473106303812,,,-1.2154985136287613,0.5520455368199405,2.488766726597888e-05,,,,,,,,,,,,,,,,,,,,,,,,
30,,,7.077482132789327,7.299181734093807,,,-1.3528553872940816,0.5520455368199405,0.0005168158218064846,,,,,,,,,,,,,,,,,,,,,,,,
31,,,12.000422320877703,11.842844914116101,,,-1.4374931915932532,0.5528643709314822,0.012562297965494355,,,,,,,,,,,,,,,,,,,,,,,,
32,,,13.052291694094617,13.380742613973247,,,-1.481176360741127,0.5533348638273449,0.019244935443653986,,,,,,,,,,,,,,,,,,,,,,,,
33,,,6.899287843379939,7.451862559349149,,,-1.4704217077775286,0.556498379368816,0.08189555023423832,,,,,,,,,,,,,,,,,,,,,,,,
34,,,8.272448634800712,7.90161325042511,,,-2.355780089968391,0.7070960934386348,0.09291955592966174,,,,,,,,,,,,,,,,,,,,,,,,
35,,,15.410809897171594,15.98936768992072,,,-2.3627659653857354,0.7228667338643396,0.002662398394933627,,,,,,,,,,,,,,,,,,,,,,,,
36,,,11.681375401093119,11.892803860960047,,,-2.364843187359694,0.7225808690409425,0.00010381734692484034,,,,,,,,,,,,,,,,,,,,,,,,
37,,,13.447099646474639,13.138974705486678,,,-2.3769675419155867,0.7221229705605718,0.0007913464053571656,,,,,,,,,,,,,,,,,,,,,,,,
38,,,6.386043844783128,6.730175095937015,,,-2.3744545592624755,0.7223918986633696,0.004003798786077759,,,,,,,,,,,,,,,,,,,,,,,,
39,,,6.5144290323699865,6.828882171133907,,,-2.421092879229697,0.7837074893272741,0.007011572735019483,,,,,,,,,,,,,,,,,,,,,,,,
40,,,4.4286839938695595,4.388589092131601,,,-2.4394116279651445,0.7834460325779963,0.0006532210365028037,,,,,,,,,,,,,,,,,,,,,,,,
41,,,8.757772732845693,8.710062031367471,,,-2.574869070231734,0.7933465990519829,0.3442528726012673,,,,,,,,,,,,,,,,,,,,,,,,
42,,,-0.5113192006797918,0.07792621836244457,,,-2.9101484991793076,0.8516694109349666,0.38668173272627027,,,,,,,,,,,,,,,,,,,,,,,,
43,,,22.73183149703879,23.974506168699516,,,-3.0131042697125188,0.8826316258202224,0.1693845171652751,,,,,,,,,,,,,,,,,,,,,,,,
44,,,33.04533901507775,32.621851847467205,,,-2.988389274091192,0.8832614931742626,0.11951020602906005,,,,,,,,,,,,,,,,,,,,,,,,
45,,,9.858347818965086,10.113684073694907,,,-3.000295034970879,0.8867973823573381,0.20367847287210433,,,,,,,,,,,,,,,,,,,,,,,,
46,,,14.466453555467078,14.761903750144516,,,-2.9896332614145518,0.8870828673512082,0.09536654267177272,,,,,,,,,,,,,,,,,,,,,,,,
