Iteration,custom_tag,backend,cost_approx,cost_exact,cosine_sim,acc_cost_approx,acc_cost_exact,fidelities,fidelities_cost,fidelities_grad,archt,rhs,qubits,layers,parameters,seed_init,exact,shots,depth,cnots,operator,innerp,cost,optimizer,rotations,entangler,mixer,driver,driver_per,initial_qaoa,sabre,mapomatic,DD
0,full_vqa_exact_bfgs_1,simulator,0.9999684662676378,0.9999684662676378,1.0,0.9999684662676378,0.9999684662676378,0.0007362073762982378,0.0007362073762982378,0.0007362073762982378,linear_alternating,hnx,5.0,2.0,21.0,6.0,True,1000.0,,,exact,Statevec,BravoPrieto20_Global,L_BFGS_B,ry,cz,rx,rzz,ryy,hadamards,True,False,False
1,,,0.9973402627886956,0.9973402627886956,1.0,0.9938653273744154,0.9938653273744154,0.04924637049766571,0.00542772707519285,0.00542772707519285,,,,,,,,,,,,,,,,,,,,,,,
2,,,0.9989206486431078,0.9989206486431078,1.0,0.9938364598137814,0.9938364598137814,0.05302107388824533,0.001501778816256903,0.001501778816256903,,,,,,,,,,,,,,,,,,,,,,,
3,,,0.9938653273744154,0.9938653273744154,1.0,0.9741126174554096,0.9741126174554096,0.049049847093398824,0.04924637049766571,0.04924637049766571,,,,,,,,,,,,,,,,,,,,,,,
4,,,0.9980175466550948,0.9980175466550948,1.0000000000000002,0.9720853602471023,0.9720853602471023,0.03699549335286539,0.00919756980369923,0.00919756980369923,,,,,,,,,,,,,,,,,,,,,,,
5,,,0.994058257475616,0.994058257475616,0.9999999999999999,0.9709232349406155,0.9709232349406155,0.035916406122051055,0.056905965096145,0.056905965096145,,,,,,,,,,,,,,,,,,,,,,,
6,,,0.9938364598137814,0.9938364598137814,1.0000000000000002,0.9595177562941843,0.9595177562941843,0.01515252351988312,0.05302107388824533,0.05302107388824533,,,,,,,,,,,,,,,,,,,,,,,
7,,,0.9904711508796087,0.9904711508796087,1.0000000000000002,0.9560834813594596,0.9560834813594596,0.00875190128608306,0.05799288626030276,0.05799288626030276,,,,,,,,,,,,,,,,,,,,,,,
8,,,0.9741126174554096,0.9741126174554096,0.9999999999999998,0.9489219087433856,0.9489219087433856,0.0006068746101324243,0.049049847093398824,0.049049847093398824,,,,,,,,,,,,,,,,,,,,,,,
9,,,0.9999951932052215,0.9999951932052215,1.0,0.9427466979426162,0.9427466979426162,0.0008780050400237209,0.00042180317379454993,0.00042180317379454993,,,,,,,,,,,,,,,,,,,,,,,
