Iteration,custom_tag,backend,cost_approx,cost_exact,cosine_sim,acc_cost_approx,acc_cost_exact,fidelities,fidelities_cost,fidelities_grad,archt,rhs,qubits,layers,parameters,seed_init,exact,shots,depth,cnots,operator,innerp,cost,optimizer,rotations,entangler,mixer,driver,driver_per,initial_qaoa,sabre,mapomatic,DD
0,full_vqa_aer_spsa_custom_hyper_1,simulator,-8.231251876992243e-06,-1.7874797964278793e-05,,-8.231251876992243e-06,-1.7874797964278793e-05,0.0023503468190869837,0.0023503468190869837,,linear_alternating,hnx,5.0,3.0,29.0,0.0,False,100000.0,13.0,0.0,SatoLiu21,HTest,Sato21_Innerp,SPSA,ry,cz,rx,rzz,ryy,hadamards,True,False,False
1,,,-2.6196679109280676e-05,-1.7874797964278793e-05,,-1.7533685958071133e-05,-1.78783234606116e-05,0.002350607712751487,0.0023503468190869837,,,,,,,,,,17.0,2.0,,,,,,,,,,,,,
2,,,-2.8260041076766195e-05,-1.7874797964278793e-05,,-4.559784499980652e-06,-1.8038542875003244e-05,0.002358789885413078,0.0023503468190869837,,,,,,,,,,18.0,3.0,,,,,,,,,,,,,
3,,,-1.1256865454803402e-05,-1.7874797964278793e-05,,-2.1993538443680933e-05,-1.803774965020035e-05,0.0023587122714882423,0.0023503468190869837,,,,,,,,,,19.0,4.0,,,,,,,,,,,,,
4,,,-1.8540189792750986e-05,-1.7874797964278793e-05,,-3.814137203438286e-07,-1.8050869065037086e-05,0.002357518847075819,0.0023503468190869837,,,,,,,,,,20.0,5.0,,,,,,,,,,,,,
5,,,-1.05794937451827e-05,-1.7874797964278793e-05,,-1.169307890811481e-05,-1.815555609967061e-05,0.002358346205013382,0.0023503468190869837,,,,,,,,,,174.0,59.0,,,,,,,,,,,,,
6,,,-3.418096527304378e-06,-1.7874797964278793e-05,,-1.699295213066519e-05,-1.8158547397980698e-05,0.0023592112020661034,0.0023503468190869837,,,,,,,,,,,,,,,,,,,,,,,,
7,,,-3.671835998518421e-05,-1.7874797964278793e-05,,-7.275797288718902e-06,-1.8190435620491438e-05,0.0023588204254418577,0.0023503468190869837,,,,,,,,,,,,,,,,,,,,,,,,
8,,,-2.3883729119084412e-05,-1.7874797964278793e-05,,-9.059867605134479e-06,-1.834704517337635e-05,0.0023754300282063847,0.0023503468190869837,,,,,,,,,,,,,,,,,,,,,,,,
9,,,-6.899535423925648e-06,-1.7874797964278793e-05,,-3.619139472096868e-05,-1.8409622064379787e-05,0.002383734870620129,0.0023503468190869837,,,,,,,,,,,,,,,,,,,,,,,,
