Iteration,custom_tag,backend,cost_approx,cost_exact,cosine_sim,acc_cost_approx,acc_cost_exact,fidelities,fidelities_cost,fidelities_grad,archt,rhs,qubits,layers,parameters,seed_init,exact,shots,depth,cnots,operator,innerp,cost,optimizer,rotations,entangler,mixer,driver,driver_per,initial_qaoa,sabre,mapomatic,DD
0,full_vqa_aer_powell_1,simulator,-0.002689075630252102,-0.006307050592968754,,-0.002689075630252102,-0.006307050592968754,0.03913904888276439,0.03913904888276439,,linear_alternating,hnx,5.0,3.0,29.0,13.0,False,100.0,13.0,0.0,SatoLiu21,HTest,Sato21_Innerp,POWELL,ry,cz,rx,rzz,ryy,hadamards,True,False,False
1,,,-0.0030769230769230826,-0.006307050592968754,,-0.3844000000000003,-0.24830631588826826,0.342231040744514,0.03913904888276439,,,,,,,,,,17.0,2.0,,,,,,,,,,,,,
2,,,-0.02725806451612904,-0.010969117390094641,,-0.6049999999999999,-0.4513575460902743,0.5339967538255491,0.05463480992719343,,,,,,,,,,18.0,3.0,,,,,,,,,,,,,
3,,,-0.010362694300518128,-0.006517286700302628,,-0.3432653061224491,-0.23193371398449225,0.38491342906861054,0.029699302843642396,,,,,,,,,,19.0,4.0,,,,,,,,,,,,,
4,,,-0.003846153846153852,-0.010969117390094641,,,,,0.05463480992719343,,,,,,,,,,20.0,5.0,,,,,,,,,,,,,
5,,,-0.0065771812080536824,-0.010338363947923424,,,,,0.05166271633288058,,,,,,,,,,174.0,59.0,,,,,,,,,,,,,
6,,,-0.020000000000000004,-0.009083275463945623,,,,,0.045121393298272895,,,,,,,,,,,,,,,,,,,,,,,,
7,,,-0.013519553072625696,-0.008145143271291478,,,,,0.039726574690213436,,,,,,,,,,,,,,,,,,,,,,,,
8,,,-0.00013333333333333358,-0.009158477127736438,,,,,0.04553720552283185,,,,,,,,,,,,,,,,,,,,,,,,
9,,,-0.0134228187919463,-0.009007286702689753,,,,,0.04469850597000297,,,,,,,,,,,,,,,,,,,,,,,,
10,,,-0.014814814814814808,-0.009083275463945623,,,,,0.045121393298272895,,,,,,,,,,,,,,,,,,,,,,,,
11,,,-0.012941176470588235,-0.010492172873139836,,,,,0.053389924658844526,,,,,,,,,,,,,,,,,,,,,,,,
12,,,-0.0010714285714285732,-0.00030903202193662455,,,,,0.006276478016195094,,,,,,,,,,,,,,,,,,,,,,,,
13,,,-0.016133333333333333,-0.009083275463945623,,,,,0.045121393298272895,,,,,,,,,,,,,,,,,,,,,,,,
14,,,-0.011824817518248166,-0.005268914426456566,,,,,0.030287775815039625,,,,,,,,,,,,,,,,,,,,,,,,
15,,,-0.002077922077922082,-0.010399870297834369,,,,,0.05118177227193859,,,,,,,,,,,,,,,,,,,,,,,,
16,,,-0.008421052631578939,-0.007840245123567053,,,,,0.04014612077182509,,,,,,,,,,,,,,,,,,,,,,,,
17,,,-0.0154140127388535,-0.009705694271328613,,,,,0.04780373256630479,,,,,,,,,,,,,,,,,,,,,,,,
18,,,-0.0,-0.008655870852545766,,,,,0.04337013800989977,,,,,,,,,,,,,,,,,,,,,,,,
19,,,-0.031690140845070436,-0.009337793448863603,,,,,0.04619495640993771,,,,,,,,,,,,,,,,,,,,,,,,
20,,,-0.010657894736842097,-0.009408968079285195,,,,,0.04650033369714223,,,,,,,,,,,,,,,,,,,,,,,,
21,,,-0.010588235294117641,-0.009242966706094315,,,,,0.0457917866814858,,,,,,,,,,,,,,,,,,,,,,,,
22,,,-0.0,-0.009301925616402544,,,,,0.046041981473298466,,,,,,,,,,,,,,,,,,,,,,,,
23,,,-0.02102189781021898,-0.009365192489991344,,,,,0.04631222016865976,,,,,,,,,,,,,,,,,,,,,,,,
24,,,-0.0011842105263157915,-0.009324144832475397,,,,,0.046136675214436026,,,,,,,,,,,,,,,,,,,,,,,,
25,,,-0.01953757225433526,-0.009348289901451002,,,,,0.046239837232775124,,,,,,,,,,,,,,,,,,,,,,,,
26,,,-0.002222222222222226,-0.009332587692276002,,,,,0.04617271691330502,,,,,,,,,,,,,,,,,,,,,,,,
27,,,-0.03038759689922481,-0.009341807247383144,,,,,0.04621211247432672,,,,,,,,,,,,,,,,,,,,,,,,
28,,,-0.0310344827586207,-0.009335349014087795,,,,,0.04618451195915263,,,,,,,,,,,,,,,,,,,,,,,,
29,,,-0.0035211267605633864,-0.009337793448863603,,,,,0.04619495640993771,,,,,,,,,,,,,,,,,,,,,,,,
