Iteration,custom_tag,backend,cost_approx,cost_exact,cosine_sim,acc_cost_approx,acc_cost_exact,fidelities,fidelities_cost,fidelities_grad,archt,rhs,qubits,layers,parameters,seed_init,exact,shots,depth,cnots,operator,innerp,cost,optimizer,rotations,entangler,mixer,driver,driver_per,initial_qaoa,sabre,mapomatic,DD
0,full_vqa_exact_bfgs_1,simulator,-3.9322018243495657e-05,-3.9322018243495657e-05,1.0,-3.9322018243495657e-05,-3.9322018243495657e-05,0.003399828522572181,0.003399828522572181,0.003399828522572181,linear_alternating,hnx,5.0,3.0,29.0,14.0,True,1000.0,,,exact,Statevec,Sato21_Innerp,L_BFGS_B,ry,cx,rx,rzz,ryy,hadamards,True,False,False
1,,,-0.008737322326058604,-0.008737322326058604,0.9999999999999999,-0.00034702236976574325,-0.00034702236976574325,0.000689545144398629,0.003830775964807061,0.003830775964807061,,,,,,,,,,,,,,,,,,,,,,,
2,,,-0.00034702236976574325,-0.00034702236976574325,1.0000000000000002,-0.023202861124093414,-0.023202861124093414,0.015850905918959112,0.000689545144398629,0.000689545144398629,,,,,,,,,,,,,,,,,,,,,,,
3,,,-0.011592009108353951,-0.011592009108353951,0.9999999999999999,-0.023391075926778943,-0.023391075926778943,0.015772370625805686,0.015925881152352345,0.015925881152352345,,,,,,,,,,,,,,,,,,,,,,,
4,,,-0.0015512717481956711,-0.0015512717481956711,0.9999999999999999,-0.15265640362925473,-0.15265640362925473,0.3048608657239629,0.013277400680371445,0.013277400680371445,,,,,,,,,,,,,,,,,,,,,,,
5,,,-0.023023812704444677,-0.023023812704444677,1.0,-0.1528222452767805,-0.1528222452767805,0.3025315360172247,0.016902266674184426,0.016902266674184426,,,,,,,,,,,,,,,,,,,,,,,
6,,,-0.023202861124093414,-0.023202861124093414,1.0,-0.17098020425984378,-0.17098020425984378,0.3071301277371174,0.015850905918959112,0.015850905918959112,,,,,,,,,,,,,,,,,,,,,,,
7,,,-0.0003420000289438199,-0.0003420000289438199,1.0,-0.5166216132687218,-0.5166216132687218,0.5023126436517751,0.006879913441072476,0.006879913441072476,,,,,,,,,,,,,,,,,,,,,,,
8,,,-0.0007538892422798468,-0.0007538892422798468,1.0000000000000002,-0.5505466023788831,-0.5505466023788831,0.5044366496294345,0.0034682393923716123,0.0034682393923716123,,,,,,,,,,,,,,,,,,,,,,,
9,,,-0.0010464844348499203,-0.0010464844348499203,1.0,-0.9362417725424215,-0.9362417725424215,0.6182649961678209,0.016237513014766863,0.016237513014766863,,,,,,,,,,,,,,,,,,,,,,,
10,,,-0.00011258983870752245,-0.00011258983870752245,1.0,-0.9980136833603803,-0.9980136833603803,0.6918304408233886,3.9606416703471994e-05,3.9606416703471994e-05,,,,,,,,,,,,,,,,,,,,,,,
11,,,-0.023391075926778943,-0.023391075926778943,1.0000000000000002,-1.0741604984630237,-1.0741604984630237,0.6990904977018634,0.015772370625805686,0.015772370625805686,,,,,,,,,,,,,,,,,,,,,,,
12,,,-0.04820038321356051,-0.04820038321356051,1.0,-1.4729418483818044,-1.4729418483818044,0.7066209339260401,0.13455841895474677,0.13455841895474677,,,,,,,,,,,,,,,,,,,,,,,
