Iteration,custom_tag,backend,cost_approx,cost_exact,cosine_sim,acc_cost_approx,acc_cost_exact,fidelities,fidelities_cost,fidelities_grad,archt,rhs,qubits,layers,parameters,seed_init,exact,shots,depth,cnots,operator,innerp,cost,optimizer,rotations,entangler,mixer,driver,driver_per,initial_qaoa,sabre,mapomatic,DD
0,full_vqa_exact_bfgs_1,simulator,-3.3718802154916136e-07,-3.3718802154916136e-07,0.9999999999999999,-3.3718802154916136e-07,-3.3718802154916136e-07,0.000570304043495902,0.000570304043495902,0.000570304043495902,linear_alternating,hnx,8.0,3.0,50.0,11.0,True,1000.0,,,exact,Statevec,Sato21_Innerp,L_BFGS_B,ry,cz,rx,rzz,ryy,hadamards,True,False,False
1,,,-4.815761765008179e-05,-4.815761765008179e-05,1.0,-0.0001321482486830754,-0.0001321482486830754,0.00049208922036098,2.2995074900287713e-05,2.2995074900287713e-05,,,,,,,,,,,,,,,,,,,,,,,
2,,,-1.9815001028398323e-05,-1.9815001028398323e-05,0.9999999999999999,-0.00013364771183022302,-0.00013364771183022302,0.00040857792298230276,0.0007822159560090962,0.0007822159560090962,,,,,,,,,,,,,,,,,,,,,,,
3,,,-0.00013066630836181794,-0.00013066630836181794,1.0,-0.01792211697482598,-0.01792211697482598,0.03779885382263586,0.0004094511995741653,0.0004094511995741653,,,,,,,,,,,,,,,,,,,,,,,
4,,,-0.0001321482486830754,-0.0001321482486830754,1.0000000000000002,-0.017933415470096917,-0.017933415470096917,0.03822534983896523,0.00049208922036098,0.00049208922036098,,,,,,,,,,,,,,,,,,,,,,,
5,,,-8.531152620558156e-05,-8.531152620558156e-05,1.0,-0.03765729706242076,-0.03765729706242076,0.1418695992226383,1.6423055449326738e-06,1.6423055449326738e-06,,,,,,,,,,,,,,,,,,,,,,,
6,,,-0.00013364771183022302,-0.00013364771183022302,1.0000000000000002,-0.26448356817884744,-0.26448356817884744,0.31840830435553014,0.00040857792298230276,0.00040857792298230276,,,,,,,,,,,,,,,,,,,,,,,
7,,,-0.0002735758476783825,-0.0002735758476783825,1.0,-0.26711166966728006,-0.26711166966728006,0.3032131439678099,0.0006330296410254759,0.0006330296410254759,,,,,,,,,,,,,,,,,,,,,,,
8,,,-0.002222852577617925,-0.002222852577617925,1.0000000000000002,-0.3730172080965198,-0.3730172080965198,0.3397886473591351,0.0036252435288222267,0.0036252435288222267,,,,,,,,,,,,,,,,,,,,,,,
9,,,-0.013542618433965778,-0.013542618433965778,0.9999999999999999,-0.5268529327302488,-0.5268529327302488,0.5014132377709678,0.0377351809933051,0.0377351809933051,,,,,,,,,,,,,,,,,,,,,,,
10,,,-0.010827387683763835,-0.010827387683763835,0.9999999999999999,-2.3890373533775136,-2.3890373533775136,0.6766527238882409,0.018510471905320233,0.018510471905320233,,,,,,,,,,,,,,,,,,,,,,,
11,,,-0.01790569869125215,-0.01790569869125215,1.0,-2.4030014449868453,-2.4030014449868453,0.678805886508773,0.038207559322967086,0.038207559322967086,,,,,,,,,,,,,,,,,,,,,,,
12,,,-0.01792211697482598,-0.01792211697482598,1.0000000000000002,-2.648778214560258,-2.648778214560258,0.6657980382811268,0.03779885382263586,0.03779885382263586,,,,,,,,,,,,,,,,,,,,,,,
13,,,-0.00020023566493974,-0.00020023566493974,1.0,-3.5659144517803747,-3.5659144517803747,0.680212475447779,0.0009011392944268414,0.0009011392944268414,,,,,,,,,,,,,,,,,,,,,,,
14,,,-2.3848001313997643e-05,-2.3848001313997643e-05,1.0,-3.9391912224119863,-3.9391912224119863,0.6805563399158737,3.457207898353261e-08,3.457207898353261e-08,,,,,,,,,,,,,,,,,,,,,,,
15,,,-0.003978626941551105,-0.003978626941551105,1.0000000000000002,-4.265832144449846,-4.265832144449846,0.7070106301418546,0.02446587546967049,0.02446587546967049,,,,,,,,,,,,,,,,,,,,,,,
16,,,-6.321141655286153e-05,-6.321141655286153e-05,1.0,-6.222573035614222,-6.222573035614222,0.7295829233269673,5.233282275898224e-07,5.233282275898224e-07,,,,,,,,,,,,,,,,,,,,,,,
17,,,-0.017867758663717197,-0.017867758663717197,1.0,-7.568589100216377,-7.568589100216377,0.7480731751854431,0.0391074728449998,0.0391074728449998,,,,,,,,,,,,,,,,,,,,,,,
18,,,-0.017933415470096917,-0.017933415470096917,1.0,-9.232722052467777,-9.232722052467777,0.7701580355295552,0.03822534983896523,0.03822534983896523,,,,,,,,,,,,,,,,,,,,,,,
19,,,-0.020001949088163475,-0.020001949088163475,1.0,-10.212305424303528,-10.212305424303528,0.7789591237214588,0.04321160665366874,0.04321160665366874,,,,,,,,,,,,,,,,,,,,,,,
20,,,-0.028621288048850634,-0.028621288048850634,1.0,-11.972643892749632,-11.972643892749632,0.7904402392208291,0.06689322815825507,0.06689322815825507,,,,,,,,,,,,,,,,,,,,,,,
21,,,-0.03765729706242076,-0.03765729706242076,0.9999999999999999,-13.133622414089407,-13.133622414089407,0.7900587420471934,0.1418695992226383,0.1418695992226383,,,,,,,,,,,,,,,,,,,,,,,
22,,,-0.12279272374042591,-0.12279272374042591,1.0,-14.324681862121661,-14.324681862121661,0.7974188951848598,0.26830094097622376,0.26830094097622376,,,,,,,,,,,,,,,,,,,,,,,
23,,,-0.02339837461543722,-0.02339837461543722,0.9999999999999999,-15.531264018236554,-15.531264018236554,0.8001627554921267,0.0545249044590786,0.0545249044590786,,,,,,,,,,,,,,,,,,,,,,,
24,,,-0.2520551659293298,-0.2520551659293298,1.0000000000000002,-15.915332087418154,-15.915332087418154,0.8120960269926167,0.3279530757269044,0.3279530757269044,,,,,,,,,,,,,,,,,,,,,,,
25,,,-0.26448356817884744,-0.26448356817884744,1.0,-18.540358838701405,-18.540358838701405,0.8233940480240259,0.31840830435553014,0.31840830435553014,,,,,,,,,,,,,,,,,,,,,,,
26,,,-4.24550317621993e-05,-4.24550317621993e-05,1.0000000000000002,-20.653539246929054,-20.653539246929054,0.8323793601803728,7.659586262901574e-05,7.659586262901574e-05,,,,,,,,,,,,,,,,,,,,,,,
27,,,-0.00011732150595763039,-0.00011732150595763039,0.9999999999999999,-22.89533974256736,-22.89533974256736,0.8581706973261677,0.0004102832793193997,0.0004102832793193997,,,,,,,,,,,,,,,,,,,,,,,
28,,,-0.0008143546972984737,-0.0008143546972984737,0.9999999999999999,-27.42592129665682,-27.42592129665682,0.878358830978869,0.002928219014765503,0.002928219014765503,,,,,,,,,,,,,,,,,,,,,,,
29,,,-0.26711166966728006,-0.26711166966728006,1.0,-29.58793735982136,-29.58793735982136,0.8835139019652126,0.3032131439678099,0.3032131439678099,,,,,,,,,,,,,,,,,,,,,,,
30,,,-0.3730172080965198,-0.3730172080965198,1.0000000000000002,-30.28565955834296,-30.28565955834296,0.8909352226106044,0.3397886473591351,0.3397886473591351,,,,,,,,,,,,,,,,,,,,,,,
31,,,-0.020907377829853694,-0.020907377829853694,1.0,-32.82171983175967,-32.82171983175967,0.8969169457601146,0.04446285255139103,0.04446285255139103,,,,,,,,,,,,,,,,,,,,,,,
32,,,-0.5268529327302488,-0.5268529327302488,1.0000000000000002,-34.96710088825523,-34.96710088825523,0.910897286205825,0.5014132377709678,0.5014132377709678,,,,,,,,,,,,,,,,,,,,,,,
33,,,-2.2088429026759435,-2.2088429026759435,1.0,-36.374840328027915,-36.374840328027915,0.9203821717607567,0.6662530909416604,0.6662530909416604,,,,,,,,,,,,,,,,,,,,,,,
34,,,-0.020167640609596502,-0.020167640609596502,1.0000000000000002,-38.63132289703133,-38.63132289703133,0.9246845836274983,0.07267013049426829,0.07267013049426829,,,,,,,,,,,,,,,,,,,,,,,
35,,,-1.4020965713972855,-1.4020965713972855,1.0,-40.29068529026688,-40.29068529026688,0.9271316281272156,0.6593828232573955,0.6593828232573955,,,,,,,,,,,,,,,,,,,,,,,
36,,,-2.3890373533775136,-2.3890373533775136,1.0000000000000002,-42.12318548216,-42.12318548216,0.9267439305343614,0.6766527238882409,0.6766527238882409,,,,,,,,,,,,,,,,,,,,,,,
37,,,-0.0003196661582547328,-0.0003196661582547328,0.9999999999999998,-42.80975883892242,-42.80975883892242,0.9182012048376901,0.001598177193445964,0.001598177193445964,,,,,,,,,,,,,,,,,,,,,,,
38,,,-0.31303201340099845,-0.31303201340099845,1.0000000000000002,-44.47595380683388,-44.47595380683388,0.9217814540633184,0.4230341496990618,0.4230341496990618,,,,,,,,,,,,,,,,,,,,,,,
39,,,-2.4030014449868453,-2.4030014449868453,1.0,-44.991945396177094,-44.991945396177094,0.9211641337409628,0.678805886508773,0.678805886508773,,,,,,,,,,,,,,,,,,,,,,,
40,,,-2.648778214560258,-2.648778214560258,1.0,-45.7852728353433,-45.7852728353433,0.9176482700052748,0.6657980382811268,0.6657980382811268,,,,,,,,,,,,,,,,,,,,,,,
41,,,-0.30062002356197765,-0.30062002356197765,1.0000000000000002,-46.57445502885182,-46.57445502885182,0.901222846256301,0.4171434998516213,0.4171434998516213,,,,,,,,,,,,,,,,,,,,,,,
42,,,-3.5659144517803747,-3.5659144517803747,1.0,-47.52316824867485,-47.52316824867485,0.8951645928551452,0.680212475447779,0.680212475447779,,,,,,,,,,,,,,,,,,,,,,,
43,,,-0.018852695731503864,-0.018852695731503864,1.0,-48.01697931566448,-48.01697931566448,0.8971688164475786,0.0828425877101113,0.0828425877101113,,,,,,,,,,,,,,,,,,,,,,,
44,,,-2.387361521358805,-2.387361521358805,0.9999999999999998,-48.33621431217432,-48.33621431217432,0.8968687556700651,0.6404224921842046,0.6404224921842046,,,,,,,,,,,,,,,,,,,,,,,
45,,,-3.9391912224119863,-3.9391912224119863,1.0,-48.93378097253265,-48.93378097253265,0.894464818115206,0.6805563399158737,0.6805563399158737,,,,,,,,,,,,,,,,,,,,,,,
46,,,-0.09820112753433756,-0.09820112753433756,1.0,-50.04162577378931,-50.04162577378931,0.8900581604830556,0.1615649693500078,0.1615649693500078,,,,,,,,,,,,,,,,,,,,,,,
47,,,-3.9288932483110104,-3.9288932483110104,1.0,-51.95028917495041,-51.95028917495041,0.8783628277545453,0.717724039690998,0.717724039690998,,,,,,,,,,,,,,,,,,,,,,,
48,,,-4.265832144449846,-4.265832144449846,1.0,-55.67655159690708,-55.67655159690708,0.8405169736824751,0.7070106301418546,0.7070106301418546,,,,,,,,,,,,,,,,,,,,,,,
49,,,-3.2482883278159442,-3.2482883278159442,1.0,-57.695144877054325,-57.695144877054325,0.8331077934907076,0.6924326960074645,0.6924326960074645,,,,,,,,,,,,,,,,,,,,,,,
50,,,-6.222573035614222,-6.222573035614222,1.0,-65.11310956822257,-65.11310956822257,0.8679178362370175,0.7295829233269673,0.7295829233269673,,,,,,,,,,,,,,,,,,,,,,,
51,,,-3.964517350372867,-3.964517350372867,1.0,-65.11310956822257,-65.11310956822257,0.8679178362370175,0.7454016203884998,0.7454016203884998,,,,,,,,,,,,,,,,,,,,,,,
52,,,-7.568589100216377,-7.568589100216377,1.0000000000000002,,,,0.7480731751854431,0.7480731751854431,,,,,,,,,,,,,,,,,,,,,,,
53,,,-7.866691353765993,-7.866691353765993,1.0,,,,0.7777125409018912,0.7777125409018912,,,,,,,,,,,,,,,,,,,,,,,
54,,,-9.232722052467777,-9.232722052467777,0.9999999999999999,,,,0.7701580355295552,0.7701580355295552,,,,,,,,,,,,,,,,,,,,,,,
55,,,-3.035444310457066,-3.035444310457066,1.0,,,,0.7104769937789549,0.7104769937789549,,,,,,,,,,,,,,,,,,,,,,,
56,,,-10.212305424303528,-10.212305424303528,1.0,,,,0.7789591237214588,0.7789591237214588,,,,,,,,,,,,,,,,,,,,,,,
57,,,-8.132477079533984,-8.132477079533984,1.0,,,,0.7641318795641564,0.7641318795641564,,,,,,,,,,,,,,,,,,,,,,,
58,,,-11.972643892749632,-11.972643892749632,1.0,,,,0.7904402392208291,0.7904402392208291,,,,,,,,,,,,,,,,,,,,,,,
59,,,-2.0795822350839144,-2.0795822350839144,1.0000000000000002,,,,0.6173692243295927,0.6173692243295927,,,,,,,,,,,,,,,,,,,,,,,
60,,,-13.133622414089407,-13.133622414089407,1.0000000000000002,,,,0.7900587420471934,0.7900587420471934,,,,,,,,,,,,,,,,,,,,,,,
61,,,-8.662128496518068,-8.662128496518068,1.0,,,,0.8021771330640342,0.8021771330640342,,,,,,,,,,,,,,,,,,,,,,,
62,,,-14.324681862121661,-14.324681862121661,1.0,,,,0.7974188951848598,0.7974188951848598,,,,,,,,,,,,,,,,,,,,,,,
63,,,-10.702331516516622,-10.702331516516622,1.0,,,,0.7829748646963642,0.7829748646963642,,,,,,,,,,,,,,,,,,,,,,,
64,,,-15.531264018236554,-15.531264018236554,1.0,,,,0.8001627554921267,0.8001627554921267,,,,,,,,,,,,,,,,,,,,,,,
65,,,-15.915332087418154,-15.915332087418154,1.0,,,,0.8120960269926167,0.8120960269926167,,,,,,,,,,,,,,,,,,,,,,,
66,,,-18.540358838701405,-18.540358838701405,1.0,,,,0.8233940480240259,0.8233940480240259,,,,,,,,,,,,,,,,,,,,,,,
67,,,-16.242067098021405,-16.242067098021405,0.9999999999999998,,,,0.8209253235151434,0.8209253235151434,,,,,,,,,,,,,,,,,,,,,,,
68,,,-20.653539246929054,-20.653539246929054,1.0,,,,0.8323793601803728,0.8323793601803728,,,,,,,,,,,,,,,,,,,,,,,
69,,,-22.89533974256736,-22.89533974256736,1.0,,,,0.8581706973261677,0.8581706973261677,,,,,,,,,,,,,,,,,,,,,,,
70,,,-27.42592129665682,-27.42592129665682,1.0000000000000002,,,,0.878358830978869,0.878358830978869,,,,,,,,,,,,,,,,,,,,,,,
71,,,-27.57490777771176,-27.57490777771176,1.0,,,,0.8863703793007062,0.8863703793007062,,,,,,,,,,,,,,,,,,,,,,,
72,,,-29.58793735982136,-29.58793735982136,1.0000000000000002,,,,0.8835139019652126,0.8835139019652126,,,,,,,,,,,,,,,,,,,,,,,
73,,,-30.28565955834296,-30.28565955834296,0.9999999999999999,,,,0.8909352226106044,0.8909352226106044,,,,,,,,,,,,,,,,,,,,,,,
74,,,-32.82171983175967,-32.82171983175967,0.9999999999999999,,,,0.8969169457601146,0.8969169457601146,,,,,,,,,,,,,,,,,,,,,,,
75,,,-34.96710088825523,-34.96710088825523,1.0,,,,0.910897286205825,0.910897286205825,,,,,,,,,,,,,,,,,,,,,,,
76,,,-36.374840328027915,-36.374840328027915,1.0,,,,0.9203821717607567,0.9203821717607567,,,,,,,,,,,,,,,,,,,,,,,
77,,,-38.63132289703133,-38.63132289703133,1.0,,,,0.9246845836274983,0.9246845836274983,,,,,,,,,,,,,,,,,,,,,,,
78,,,-40.29068529026688,-40.29068529026688,1.0000000000000002,,,,0.9271316281272156,0.9271316281272156,,,,,,,,,,,,,,,,,,,,,,,
79,,,-42.12318548216,-42.12318548216,1.0000000000000002,,,,0.9267439305343614,0.9267439305343614,,,,,,,,,,,,,,,,,,,,,,,
80,,,-42.80975883892242,-42.80975883892242,1.0,,,,0.9182012048376901,0.9182012048376901,,,,,,,,,,,,,,,,,,,,,,,
81,,,-44.47595380683388,-44.47595380683388,0.9999999999999998,,,,0.9217814540633184,0.9217814540633184,,,,,,,,,,,,,,,,,,,,,,,
82,,,-44.991945396177094,-44.991945396177094,1.0,,,,0.9211641337409628,0.9211641337409628,,,,,,,,,,,,,,,,,,,,,,,
83,,,-45.7852728353433,-45.7852728353433,1.0,,,,0.9176482700052748,0.9176482700052748,,,,,,,,,,,,,,,,,,,,,,,
84,,,-46.57445502885182,-46.57445502885182,1.0,,,,0.901222846256301,0.901222846256301,,,,,,,,,,,,,,,,,,,,,,,
85,,,-47.52316824867485,-47.52316824867485,1.0,,,,0.8951645928551452,0.8951645928551452,,,,,,,,,,,,,,,,,,,,,,,
86,,,-48.01697931566448,-48.01697931566448,1.0000000000000002,,,,0.8971688164475786,0.8971688164475786,,,,,,,,,,,,,,,,,,,,,,,
87,,,-48.33621431217432,-48.33621431217432,1.0000000000000002,,,,0.8968687556700651,0.8968687556700651,,,,,,,,,,,,,,,,,,,,,,,
88,,,-48.93378097253265,-48.93378097253265,1.0,,,,0.894464818115206,0.894464818115206,,,,,,,,,,,,,,,,,,,,,,,
89,,,-50.04162577378931,-50.04162577378931,1.0000000000000002,,,,0.8900581604830556,0.8900581604830556,,,,,,,,,,,,,,,,,,,,,,,
90,,,-51.95028917495041,-51.95028917495041,1.0000000000000002,,,,0.8783628277545453,0.8783628277545453,,,,,,,,,,,,,,,,,,,,,,,
91,,,-55.67655159690708,-55.67655159690708,1.0,,,,0.8405169736824751,0.8405169736824751,,,,,,,,,,,,,,,,,,,,,,,
92,,,-57.695144877054325,-57.695144877054325,1.0,,,,0.8331077934907076,0.8331077934907076,,,,,,,,,,,,,,,,,,,,,,,
93,,,-65.11310956822257,-65.11310956822257,0.9999999999999999,,,,0.8679178362370175,0.8679178362370175,,,,,,,,,,,,,,,,,,,,,,,
