Iteration,custom_tag,backend,cost_approx,cost_exact,cosine_sim,acc_cost_approx,acc_cost_exact,fidelities,fidelities_cost,fidelities_grad,archt,rhs,qubits,layers,parameters,seed_init,exact,shots,depth,cnots,operator,innerp,cost,optimizer,rotations,entangler,mixer,driver,driver_per,initial_qaoa,sabre,mapomatic,DD
0,full_vqa_exact_bfgs_1,simulator,0.5184332993803722,0.5184332993803722,1.0000000000000002,0.5184332993803722,0.5184332993803722,0.003908215545320344,0.003908215545320344,0.003908215545320344,linear_alternating,hnx,5.0,0.0,5.0,10.0,True,1000.0,,,exact,Statevec,BravoPrieto20_Local,L_BFGS_B,ry,cz,rx,rzz,ryy,hadamards,True,False,False
1,,,0.38565330495565914,0.38565330495565914,1.0,0.38565330495565914,0.38565330495565914,0.04909389569395058,0.04909389569395058,0.04909389569395058,,,,,,,,,,,,,,,,,,,,,,,
2,,,0.6235339206530729,0.6235339206530729,1.0,0.2437592938994321,0.2437592938994321,0.27657021437413964,0.0017787002597710868,0.0017787002597710868,,,,,,,,,,,,,,,,,,,,,,,
3,,,0.4041793798619992,0.4041793798619992,1.0000000000000002,0.21850005190953414,0.21850005190953414,0.3428101462633594,0.05818408475720429,0.05818408475720429,,,,,,,,,,,,,,,,,,,,,,,
4,,,0.2437592938994321,0.2437592938994321,1.0,0.2092485386623948,0.2092485386623948,0.3354714768373699,0.27657021437413964,0.27657021437413964,,,,,,,,,,,,,,,,,,,,,,,
5,,,0.21850005190953414,0.21850005190953414,1.0000000000000002,0.2065041998342504,0.2065041998342504,0.30861268384193835,0.3428101462633594,0.3428101462633594,,,,,,,,,,,,,,,,,,,,,,,
6,,,0.2092485386623948,0.2092485386623948,0.9999999999999999,0.20506254722162975,0.20506254722162975,0.2593337105734392,0.3354714768373699,0.3354714768373699,,,,,,,,,,,,,,,,,,,,,,,
7,,,0.2065041998342504,0.2065041998342504,0.9999999999999999,0.20503318436256773,0.20503318436256773,0.24877212629285075,0.30861268384193835,0.30861268384193835,,,,,,,,,,,,,,,,,,,,,,,
8,,,0.20506254722162975,0.20506254722162975,0.9999999999999999,0.20501188809072038,0.20501188809072038,0.23930452432314428,0.2593337105734392,0.2593337105734392,,,,,,,,,,,,,,,,,,,,,,,
9,,,0.20503318436256773,0.20503318436256773,1.0000000000000002,0.20485978199986904,0.20485978199986904,0.1534260008576739,0.24877212629285075,0.24877212629285075,,,,,,,,,,,,,,,,,,,,,,,
10,,,0.20501188809072038,0.20501188809072038,1.0,0.2047303239355799,0.2047303239355799,0.069146899031477,0.23930452432314428,0.23930452432314428,,,,,,,,,,,,,,,,,,,,,,,
11,,,0.20485978199986904,0.20485978199986904,0.9999999999999998,0.20465192221166364,0.20465192221166364,0.010982796268610002,0.1534260008576739,0.1534260008576739,,,,,,,,,,,,,,,,,,,,,,,
12,,,0.2047303239355799,0.2047303239355799,1.0000000000000002,0.2046426060825292,0.2046426060825292,0.0009316899855183198,0.069146899031477,0.069146899031477,,,,,,,,,,,,,,,,,,,,,,,
13,,,0.20465192221166364,0.20465192221166364,1.0000000000000002,0.20464154011165603,0.20464154011165603,2.185152713488343e-05,0.010982796268610002,0.010982796268610002,,,,,,,,,,,,,,,,,,,,,,,
14,,,0.2046426060825292,0.2046426060825292,1.0,0.20464142665506407,0.20464142665506407,1.8913616842569281e-06,0.0009316899855183198,0.0009316899855183198,,,,,,,,,,,,,,,,,,,,,,,
15,,,0.20464154011165603,0.20464154011165603,1.0000000000000002,0.2046413532065057,0.2046413532065057,5.836872016906929e-07,2.185152713488343e-05,2.185152713488343e-05,,,,,,,,,,,,,,,,,,,,,,,
16,,,0.20464214904419753,0.20464214904419753,1.0,0.20464135023291635,0.20464135023291635,1.7696794365639546e-08,4.829853181838196e-05,4.829853181838196e-05,,,,,,,,,,,,,,,,,,,,,,,
17,,,0.20464142665506407,0.20464142665506407,1.0000000000000002,0.20464135023291635,0.20464135023291635,1.7696794365639546e-08,1.8913616842569281e-06,1.8913616842569281e-06,,,,,,,,,,,,,,,,,,,,,,,
18,,,0.2046413532065057,0.2046413532065057,1.0000000000000002,,,,5.836872016906929e-07,5.836872016906929e-07,,,,,,,,,,,,,,,,,,,,,,,
19,,,0.20464135023291635,0.20464135023291635,1.0,,,,1.7696794365639546e-08,1.7696794365639546e-08,,,,,,,,,,,,,,,,,,,,,,,
