Iteration,custom_tag,backend,cost_approx,cost_exact,cosine_sim,acc_cost_approx,acc_cost_exact,fidelities,fidelities_cost,fidelities_grad,archt,rhs,qubits,layers,parameters,seed_init,exact,shots,depth,cnots,operator,innerp,cost,optimizer,rotations,entangler,mixer,driver,driver_per,initial_qaoa,sabre,mapomatic,DD
0,full_vqa_aer_powell_1,simulator,0.17320760939316227,0.17443249371049835,,0.17320760939316227,0.17443249371049835,0.0005001098418146151,0.0005001098418146151,,linear_alternating,hnx,5.0,3.0,29.0,14.0,False,100000.0,13.0,0.0,SatoLiu21,HTest,Sato21_Nonnorm,POWELL,ry,cz,rx,rzz,ryy,hadamards,True,False,False
1,,,0.17581402131106574,0.17443249371049835,,-1.0621065089219024,-1.0598789310687882,0.7064087102513408,0.0005001098418146151,,,,,,,,,,17.0,2.0,,,,,,,,,,,,,
2,,,0.15136974858242602,0.1491240479711274,,-4.238405581144814,-4.116355536946661,0.8496474683593852,0.0036035102655151245,,,,,,,,,,18.0,3.0,,,,,,,,,,,,,
3,,,0.1886893640387655,0.18790340966900013,,-4.238405581144814,-4.116355536946661,0.8496474683593852,0.007602397901410042,,,,,,,,,,19.0,4.0,,,,,,,,,,,,,
4,,,0.14899813869064327,0.1491240479711274,,,,,0.0036035102655151245,,,,,,,,,,20.0,5.0,,,,,,,,,,,,,
5,,,0.15253107982933495,0.15104659767491702,,,,,0.005839657964398726,,,,,,,,,,174.0,59.0,,,,,,,,,,,,,
6,,,0.1545667302891116,0.15603567615029906,,,,,0.0022027884132446367,,,,,,,,,,,,,,,,,,,,,,,,
7,,,0.14674478448068892,0.14789884957190053,,,,,0.004241737550479361,,,,,,,,,,,,,,,,,,,,,,,,
8,,,0.15046860427790845,0.14776090611938306,,,,,0.004518050277067953,,,,,,,,,,,,,,,,,,,,,,,,
9,,,0.14729845346936163,0.1481859857647305,,,,,0.004019118417674148,,,,,,,,,,,,,,,,,,,,,,,,
10,,,0.1455107372972257,0.14781681544982528,,,,,0.004347642526538431,,,,,,,,,,,,,,,,,,,,,,,,
11,,,0.14806315474436113,0.14778419630856052,,,,,0.0044128850035242235,,,,,,,,,,,,,,,,,,,,,,,,
12,,,0.14825084482481174,0.1478473343622375,,,,,0.004302603360791698,,,,,,,,,,,,,,,,,,,,,,,,
13,,,0.14963329438651807,0.14781681544982528,,,,,0.004347642526538431,,,,,,,,,,,,,,,,,,,,,,,,
14,,,0.14070569148843326,0.14141050925226284,,,,,0.011026327655752868,,,,,,,,,,,,,,,,,,,,,,,,
15,,,0.17111652609104627,0.1713262875455062,,,,,0.012553740170355144,,,,,,,,,,,,,,,,,,,,,,,,
16,,,0.14208791055407727,0.14141050925226284,,,,,0.011026327655752868,,,,,,,,,,,,,,,,,,,,,,,,
17,,,0.1497989231628068,0.1497040589748424,,,,,0.013610008640145272,,,,,,,,,,,,,,,,,,,,,,,,
18,,,0.14050454909462545,0.14107738722915616,,,,,0.008596534308460795,,,,,,,,,,,,,,,,,,,,,,,,
19,,,0.14027489040547572,0.14135933812906024,,,,,0.00819962348422467,,,,,,,,,,,,,,,,,,,,,,,,
20,,,0.1433544926370247,0.14309730830933448,,,,,0.0067058434069175,,,,,,,,,,,,,,,,,,,,,,,,
21,,,0.1449845030466806,0.1418981872495267,,,,,0.007631782936550603,,,,,,,,,,,,,,,,,,,,,,,,
22,,,0.14352003736872915,0.14154611782910512,,,,,0.007983461532561586,,,,,,,,,,,,,,,,,,,,,,,,
23,,,0.1419334765123548,0.14124177401990684,,,,,0.008351771923312531,,,,,,,,,,,,,,,,,,,,,,,,
24,,,0.14293866728525076,0.141427863847654,,,,,0.008117182612039241,,,,,,,,,,,,,,,,,,,,,,,,
25,,,0.14170677380211152,0.14131300477058212,,,,,0.008257811582535057,,,,,,,,,,,,,,,,,,,,,,,,
26,,,0.14130771205245088,0.14139109473615066,,,,,0.008160914207059283,,,,,,,,,,,,,,,,,,,,,,,,
27,,,0.1393756763169156,0.14135933812906024,,,,,0.00819962348422467,,,,,,,,,,,,,,,,,,,,,,,,
28,,,0.09035144562411038,0.09024749004630306,,,,,0.00025119737557969385,,,,,,,,,,,,,,,,,,,,,,,,
29,,,0.02692754276985078,0.028142927335176128,,,,,0.010970384500329717,,,,,,,,,,,,,,,,,,,,,,,,
30,,,-0.019861136000016186,-0.020015233220281252,,,,,0.0012840372862583107,,,,,,,,,,,,,,,,,,,,,,,,
31,,,0.06280253584561052,0.0621264631500645,,,,,0.0010547241059390648,,,,,,,,,,,,,,,,,,,,,,,,
32,,,-0.021163062310342633,-0.020015233220281252,,,,,0.0012840372862583107,,,,,,,,,,,,,,,,,,,,,,,,
33,,,0.13782193354557365,0.13757417208322492,,,,,0.021281863815827518,,,,,,,,,,,,,,,,,,,,,,,,
34,,,-0.024003807651945493,-0.02343314553734274,,,,,0.019809188120723586,,,,,,,,,,,,,,,,,,,,,,,,
35,,,-0.030269312454830135,-0.0305264715869949,,,,,0.01018333289475508,,,,,,,,,,,,,,,,,,,,,,,,
36,,,-0.030846024935931943,-0.03038616524108683,,,,,0.01096021982005145,,,,,,,,,,,,,,,,,,,,,,,,
37,,,-0.03024155486338884,-0.029605218755146198,,,,,0.013046398187524793,,,,,,,,,,,,,,,,,,,,,,,,
38,,,-0.030567597154227733,-0.030155641148198912,,,,,0.011754008196328977,,,,,,,,,,,,,,,,,,,,,,,,
39,,,-0.03200822888168364,-0.03038616524108683,,,,,0.01096021982005145,,,,,,,,,,,,,,,,,,,,,,,,
40,,,-0.07391704890204918,-0.07566915357493895,,,,,0.030341314529571353,,,,,,,,,,,,,,,,,,,,,,,,
41,,,-0.07583864960858987,-0.07613796367866156,,,,,0.03722376938326031,,,,,,,,,,,,,,,,,,,,,,,,
42,,,-0.08761844721877252,-0.08809102720780092,,,,,0.04003759617964272,,,,,,,,,,,,,,,,,,,,,,,,
43,,,-0.08899664677837044,-0.08809102720780092,,,,,0.04003759617964272,,,,,,,,,,,,,,,,,,,,,,,,
44,,,-0.08655266934795407,-0.08647258107690044,,,,,0.03773634351735865,,,,,,,,,,,,,,,,,,,,,,,,
45,,,-0.08589714705945857,-0.08612691338393455,,,,,0.04034613452098398,,,,,,,,,,,,,,,,,,,,,,,,
46,,,-0.08901192142253476,-0.08810702162170482,,,,,0.039896102800396765,,,,,,,,,,,,,,,,,,,,,,,,
47,,,-0.08842484513483567,-0.08809843058009506,,,,,0.03980852813870356,,,,,,,,,,,,,,,,,,,,,,,,
48,,,-0.08633747010243233,-0.08810702162170482,,,,,0.039896102800396765,,,,,,,,,,,,,,,,,,,,,,,,
49,,,0.01851832814139104,0.018606527569932998,,,,,0.003480710105406015,,,,,,,,,,,,,,,,,,,,,,,,
50,,,-0.18960203826652236,-0.18970650449316248,,,,,0.2415489799483829,,,,,,,,,,,,,,,,,,,,,,,,
51,,,-0.16841945561989302,-0.1696545268281316,,,,,0.26299904677007274,,,,,,,,,,,,,,,,,,,,,,,,
52,,,-0.1895885423784834,-0.18970650449316248,,,,,0.2415489799483829,,,,,,,,,,,,,,,,,,,,,,,,
53,,,-0.16594537286486846,-0.16557457469460587,,,,,0.16775117593556002,,,,,,,,,,,,,,,,,,,,,,,,
54,,,-0.1924502089630542,-0.1931380995211322,,,,,0.27331988407702634,,,,,,,,,,,,,,,,,,,,,,,,
55,,,-0.19328425949065395,-0.19354104794546143,,,,,0.2671544377760674,,,,,,,,,,,,,,,,,,,,,,,,
56,,,-0.1925880081233672,-0.19350711197058845,,,,,0.26598611561865265,,,,,,,,,,,,,,,,,,,,,,,,
57,,,-0.19351974809637418,-0.19350608510516412,,,,,0.2699454700453544,,,,,,,,,,,,,,,,,,,,,,,,
58,,,-0.19379924030712198,-0.1934099295275814,,,,,0.27132822605712836,,,,,,,,,,,,,,,,,,,,,,,,
