Iteration,custom_tag,backend,cost_approx,cost_exact,cosine_sim,acc_cost_approx,acc_cost_exact,fidelities,fidelities_cost,fidelities_grad,archt,rhs,qubits,layers,parameters,seed_init,exact,shots,depth,cnots,operator,innerp,cost,optimizer,rotations,entangler,mixer,driver,driver_per,initial_qaoa,sabre,mapomatic,DD
0,full_vqa_aer_powell_1,simulator,-9.56937799043064e-05,-0.0011326114516817393,,-9.56937799043064e-05,-0.0011326114516817393,0.007823531314619192,0.007823531314619192,,linear_alternating,hnx,5.0,3.0,29.0,4.0,False,100.0,13.0,0.0,SatoLiu21,HTest,Sato21_Innerp,POWELL,ry,cz,rx,rzz,ryy,hadamards,True,False,False
1,,,-0.0,-0.0011326114516817393,,-0.11614814814814815,-0.055205182541348256,0.18410802757643885,0.007823531314619192,,,,,,,,,,17.0,2.0,,,,,,,,,,,,,
2,,,-0.0019875776397515537,-0.000607744440511591,,-3.698000000000022,-1.437130053102953,0.6943908743132393,0.00465668824398958,,,,,,,,,,18.0,3.0,,,,,,,,,,,,,
3,,,-0.0,-0.00016967711925132918,,-3.6818181818181888,-1.5155593856830196,0.7731502865496906,1.589366882558435e-05,,,,,,,,,,19.0,4.0,,,,,,,,,,,,,
4,,,-0.0,-0.000607744440511591,,,,,0.00465668824398958,,,,,,,,,,20.0,5.0,,,,,,,,,,,,,
5,,,-0.01317073170731709,-0.00015522063184074457,,,,,0.002198461994970807,,,,,,,,,,174.0,59.0,,,,,,,,,,,,,
6,,,-0.00020408163265306158,-6.684184072197956e-06,,,,,0.0009810438927296738,,,,,,,,,,,,,,,,,,,,,,,,
7,,,-0.00273504273504274,-0.00023049766078508545,,,,,0.0026326218348641755,,,,,,,,,,,,,,,,,,,,,,,,
8,,,-0.0012413793103448298,-8.855290821684868e-05,,,,,0.0017680848523832769,,,,,,,,,,,,,,,,,,,,,,,,
9,,,-0.0006015037593984974,-0.00016507991385436644,,,,,0.002257513949170978,,,,,,,,,,,,,,,,,,,,,,,,
10,,,-0.0005405405405405415,-0.0001455894796176304,,,,,0.0021399087176156026,,,,,,,,,,,,,,,,,,,,,,,,
11,,,-0.00019607843137254936,-0.00015522063184074457,,,,,0.002198461994970807,,,,,,,,,,,,,,,,,,,,,,,,
12,,,-0.011034482758620677,-6.678709766836615e-05,,,,,0.0002027810352941094,,,,,,,,,,,,,,,,,,,,,,,,
13,,,-0.0059756097560975515,-0.0008838266131082331,,,,,0.0017705870476735464,,,,,,,,,,,,,,,,,,,,,,,,
14,,,-0.0001869158878504676,-6.678709766836615e-05,,,,,0.0002027810352941094,,,,,,,,,,,,,,,,,,,,,,,,
15,,,-0.005806451612903231,-0.0003840157312209179,,,,,6.806505187776258e-05,,,,,,,,,,,,,,,,,,,,,,,,
16,,,-0.0005405405405405415,-0.0006081109717322444,,,,,0.0004793470577235814,,,,,,,,,,,,,,,,,,,,,,,,
17,,,-0.008749999999999987,-0.00031795956263970196,,,,,1.790877203707061e-05,,,,,,,,,,,,,,,,,,,,,,,,
18,,,-0.01670103092783504,-0.00020776653294308242,,,,,8.160052379200522e-06,,,,,,,,,,,,,,,,,,,,,,,,
19,,,-0.00476190476190477,-0.00014690314939528104,,,,,5.224838850893303e-05,,,,,,,,,,,,,,,,,,,,,,,,
20,,,-0.0002020202020202024,-0.0002485277204426115,,,,,2.2075110488616358e-08,,,,,,,,,,,,,,,,,,,,,,,,
21,,,-0.0008247422680412387,-0.00018368630699534916,,,,,2.0507275847986172e-05,,,,,,,,,,,,,,,,,,,,,,,,
22,,,-0.013965517241379302,-0.00022309485066570253,,,,,3.3214181518149668e-06,,,,,,,,,,,,,,,,,,,,,,,,
23,,,-0.014727272727272743,-0.00019845840427021945,,,,,1.2217958996807079e-05,,,,,,,,,,,,,,,,,,,,,,,,
24,,,-0.0006400000000000011,-0.00021484409147521613,,,,,5.647651790353374e-06,,,,,,,,,,,,,,,,,,,,,,,,
25,,,-0.0007272727272727285,-0.00020776653294308242,,,,,8.160052379200522e-06,,,,,,,,,,,,,,,,,,,,,,,,
26,,,-0.014065934065934049,-0.01668325836259654,,,,,0.034014858689398804,,,,,,,,,,,,,,,,,,,,,,,,
27,,,-0.024810126582278484,-0.04047346700141479,,,,,0.14129889880243526,,,,,,,,,,,,,,,,,,,,,,,,
28,,,-0.07309941520467836,-0.039596365294809636,,,,,0.15195313834248061,,,,,,,,,,,,,,,,,,,,,,,,
29,,,-0.01301075268817204,-0.03227233407826876,,,,,0.13210881933711502,,,,,,,,,,,,,,,,,,,,,,,,
30,,,-0.010989010989010985,-0.039596365294809636,,,,,0.15195313834248061,,,,,,,,,,,,,,,,,,,,,,,,
31,,,-0.024810126582278484,-0.03756103919741126,,,,,0.1496371615278277,,,,,,,,,,,,,,,,,,,,,,,,
32,,,-0.006242038216560501,-0.035811289910307194,,,,,0.14483525100619957,,,,,,,,,,,,,,,,,,,,,,,,
33,,,-0.037051282051282074,-0.03815439182526763,,,,,0.15083973198825024,,,,,,,,,,,,,,,,,,,,,,,,
34,,,-0.05345454545454544,-0.03853743467925961,,,,,0.15144249341961358,,,,,,,,,,,,,,,,,,,,,,,,
35,,,-0.049830508474576256,-0.03898423573636777,,,,,0.1519141094435174,,,,,,,,,,,,,,,,,,,,,,,,
36,,,-0.03084337349397592,-0.038762352396000455,,,,,0.15171574497239904,,,,,,,,,,,,,,,,,,,,,,,,
37,,,-0.014756097560975606,-0.03853743467925961,,,,,0.15144249341961358,,,,,,,,,,,,,,,,,,,,,,,,
