Iteration,custom_tag,backend,cost_approx,cost_exact,cosine_sim,acc_cost_approx,acc_cost_exact,fidelities,fidelities_cost,fidelities_grad,archt,rhs,qubits,layers,parameters,seed_init,exact,shots,depth,cnots,operator,innerp,cost,optimizer,rotations,entangler,mixer,driver,driver_per,initial_qaoa,sabre,mapomatic,DD
0,full_vqa_exact_bfgs_1,simulator,-0.00020175074747302683,-0.00020175074747302683,0.9999999999999999,-0.00020175074747302683,-0.00020175074747302683,2.833206069839602e-07,2.833206069839602e-07,2.833206069839602e-07,linear_alternating,hnx,8.0,2.0,36.0,12.0,True,1000.0,,,exact,Statevec,Sato21_Innerp,L_BFGS_B,ry,cz,rx,rzz,ryy,hadamards,True,False,False
1,,,-0.024764762824983747,-0.024764762824983747,0.9999999999999999,-0.14725086022330758,-0.14725086022330758,0.11167226179011609,0.044151393591338114,0.044151393591338114,,,,,,,,,,,,,,,,,,,,,,,
2,,,-0.10037741478299622,-0.10037741478299622,1.0,-0.14727401602280313,-0.14727401602280313,0.11175929330414584,0.08132815250505845,0.08132815250505845,,,,,,,,,,,,,,,,,,,,,,,
3,,,-4.754969637721347e-06,-4.754969637721347e-06,0.9999999999999999,-1.1326825039987787,-1.1326825039987787,0.40158286008037825,5.073515087221362e-05,5.073515087221362e-05,,,,,,,,,,,,,,,,,,,,,,,
4,,,-8.202189556798209e-07,-8.202189556798209e-07,0.9999999999999999,-1.1519560850563326,-1.1519560850563326,0.42697254407020424,0.002109037541209308,0.002109037541209308,,,,,,,,,,,,,,,,,,,,,,,
5,,,-0.1319843124048027,-0.1319843124048027,0.9999999999999998,-1.5222695553242576,-1.5222695553242576,0.4709579331218518,0.10583375053690806,0.10583375053690806,,,,,,,,,,,,,,,,,,,,,,,
6,,,-0.1471519919052982,-0.1471519919052982,0.9999999999999998,-2.1558376498629226,-2.1558376498629226,0.5628349719393936,0.11177464696622338,0.11177464696622338,,,,,,,,,,,,,,,,,,,,,,,
7,,,-0.14725086022330758,-0.14725086022330758,1.0,-3.221467905067275,-3.221467905067275,0.6776445202987286,0.11167226179011609,0.11167226179011609,,,,,,,,,,,,,,,,,,,,,,,
8,,,-0.003519458512315021,-0.003519458512315021,1.0,-4.415739505110458,-4.415739505110458,0.7068779456523359,0.007037900224330541,0.007037900224330541,,,,,,,,,,,,,,,,,,,,,,,
9,,,-0.14692608705994487,-0.14692608705994487,1.0000000000000002,-5.701703556993399,-5.701703556993399,0.6723145342687004,0.1118698727545206,0.1118698727545206,,,,,,,,,,,,,,,,,,,,,,,
10,,,-0.14727401602280313,-0.14727401602280313,1.0,-6.983845717340531,-6.983845717340531,0.6957107097667993,0.11175929330414584,0.11175929330414584,,,,,,,,,,,,,,,,,,,,,,,
11,,,-0.1668447884021415,-0.1668447884021415,1.0,-8.978715285803139,-8.978715285803139,0.758770726421864,0.12088091326409695,0.12088091326409695,,,,,,,,,,,,,,,,,,,,,,,
12,,,-0.2706501895056282,-0.2706501895056282,1.0,-13.122134983296306,-13.122134983296306,0.8061082420525805,0.16142400172707183,0.16142400172707183,,,,,,,,,,,,,,,,,,,,,,,
13,,,-1.067888766448012,-1.067888766448012,1.0,-14.230410315606631,-14.230410315606631,0.8194293835317029,0.3603262653673256,0.3603262653673256,,,,,,,,,,,,,,,,,,,,,,,
14,,,-0.011428207225684295,-0.011428207225684295,1.0000000000000002,-16.16906406198848,-16.16906406198848,0.8241169866954067,0.04384241773189182,0.04384241773189182,,,,,,,,,,,,,,,,,,,,,,,
15,,,-0.945397866733148,-0.945397866733148,1.0000000000000002,-20.105365940955814,-20.105365940955814,0.8494608492185498,0.46653386942776465,0.46653386942776465,,,,,,,,,,,,,,,,,,,,,,,
16,,,-1.1326825039987787,-1.1326825039987787,0.9999999999999998,-21.711397049603026,-21.711397049603026,0.8588846503037029,0.40158286008037825,0.40158286008037825,,,,,,,,,,,,,,,,,,,,,,,
17,,,-1.7392128221452777e-06,-1.7392128221452777e-06,1.0,-24.298429823643545,-24.298429823643545,0.8682102440160794,1.781545458116424e-05,1.781545458116424e-05,,,,,,,,,,,,,,,,,,,,,,,
18,,,-0.8662905255837842,-0.8662905255837842,1.0,-25.940991493457542,-25.940991493457542,0.8708584915762716,0.5091624464638537,0.5091624464638537,,,,,,,,,,,,,,,,,,,,,,,
19,,,-1.1519560850563326,-1.1519560850563326,0.9999999999999998,-29.094116580189123,-29.094116580189123,0.8798076925924684,0.42697254407020424,0.42697254407020424,,,,,,,,,,,,,,,,,,,,,,,
20,,,-1.5222695553242576,-1.5222695553242576,1.0,-36.121510050386824,-36.121510050386824,0.8925115292385241,0.4709579331218518,0.4709579331218518,,,,,,,,,,,,,,,,,,,,,,,
21,,,-0.00481556006675266,-0.00481556006675266,0.9999999999999998,-39.51036652692111,-39.51036652692111,0.8955727415085686,0.028423879522179344,0.028423879522179344,,,,,,,,,,,,,,,,,,,,,,,
22,,,-0.07843983236056928,-0.07843983236056928,0.9999999999999998,-42.552734808112334,-42.552734808112334,0.8986567490494662,0.2722252543737861,0.2722252543737861,,,,,,,,,,,,,,,,,,,,,,,
23,,,-2.1558376498629226,-2.1558376498629226,1.0000000000000002,-43.39820774620245,-43.39820774620245,0.8982507779450397,0.5628349719393936,0.5628349719393936,,,,,,,,,,,,,,,,,,,,,,,
24,,,-3.221467905067275,-3.221467905067275,1.0000000000000002,-45.23311811986692,-45.23311811986692,0.9016207372256407,0.6776445202987286,0.6776445202987286,,,,,,,,,,,,,,,,,,,,,,,
25,,,-0.08756134246632369,-0.08756134246632369,1.0000000000000002,-49.79102181469543,-49.79102181469543,0.909553715057334,0.05067340462774516,0.05067340462774516,,,,,,,,,,,,,,,,,,,,,,,
26,,,-4.415739505110458,-4.415739505110458,1.0000000000000002,-51.6608931947873,-51.6608931947873,0.9090794231763829,0.7068779456523359,0.7068779456523359,,,,,,,,,,,,,,,,,,,,,,,
27,,,-5.701703556993399,-5.701703556993399,0.9999999999999998,-53.2235844194342,-53.2235844194342,0.9116619117162544,0.6723145342687004,0.6723145342687004,,,,,,,,,,,,,,,,,,,,,,,
28,,,-2.738942117552748,-2.738942117552748,1.0,-54.40697988565175,-54.40697988565175,0.9117198729468905,0.6442802930396546,0.6442802930396546,,,,,,,,,,,,,,,,,,,,,,,
29,,,-6.983845717340531,-6.983845717340531,1.0,-55.458626205375474,-55.458626205375474,0.9163720144036107,0.6957107097667993,0.6957107097667993,,,,,,,,,,,,,,,,,,,,,,,
30,,,-0.41570355575566115,-0.41570355575566115,1.0,-56.33353225492642,-56.33353225492642,0.9179215736322518,0.24770049043300896,0.24770049043300896,,,,,,,,,,,,,,,,,,,,,,,
31,,,-8.978715285803139,-8.978715285803139,0.9999999999999999,-56.69360883467343,-56.69360883467343,0.9188622146202233,0.758770726421864,0.758770726421864,,,,,,,,,,,,,,,,,,,,,,,
32,,,-13.122134983296306,-13.122134983296306,1.0,-57.71527609064863,-57.71527609064863,0.9226369351509073,0.8061082420525805,0.8061082420525805,,,,,,,,,,,,,,,,,,,,,,,
33,,,-1.7118617691629088,-1.7118617691629088,1.0,-59.87473681571525,-59.87473681571525,0.9374346798339124,0.6910712896781981,0.6910712896781981,,,,,,,,,,,,,,,,,,,,,,,
34,,,-14.230410315606631,-14.230410315606631,1.0,-60.48537830477929,-60.48537830477929,0.9431549339186291,0.8194293835317029,0.8194293835317029,,,,,,,,,,,,,,,,,,,,,,,
35,,,-16.16906406198848,-16.16906406198848,1.0000000000000002,-61.49428670398079,-61.49428670398079,0.9496329516029491,0.8241169866954067,0.8241169866954067,,,,,,,,,,,,,,,,,,,,,,,
36,,,-14.483138290520483,-14.483138290520483,1.0000000000000002,-62.63940480873106,-62.63940480873106,0.9579371642414751,0.8633895000162728,0.8633895000162728,,,,,,,,,,,,,,,,,,,,,,,
