Iteration,custom_tag,backend,cost_approx,cost_exact,cosine_sim,acc_cost_approx,acc_cost_exact,fidelities,fidelities_cost,fidelities_grad,archt,rhs,qubits,layers,parameters,seed_init,exact,shots,depth,cnots,operator,innerp,cost,optimizer,rotations,entangler,mixer,driver,driver_per,initial_qaoa,sabre,mapomatic,DD
0,full_vqa_aer_bfgs_1,simulator,108.29302708361193,108.74755131193785,0.9949006835579508,108.29302708361193,108.74755131193785,0.003235931552962554,0.003235931552962554,0.003235931552962554,linear_alternating,hnx,5.0,3.0,29.0,3.0,False,1000.0,13.0,0.0,SatoLiu21,HTest,Sato21_Nonnorm,L_BFGS_B,ry,cz,rx,rzz,ryy,hadamards,True,False,False
1,,,56.75747658952977,58.64085838304661,0.994461856651351,56.75747658952977,58.64085838304661,0.01842346980137417,0.01842346980137417,0.01842346980137417,,,,,,,,,17.0,2.0,,,,,,,,,,,,,
2,,,47.71307597101708,47.30185177831141,0.998093875808856,47.71307597101708,47.30185177831141,0.14236498098493353,0.14236498098493353,0.14236498098493353,,,,,,,,,18.0,3.0,,,,,,,,,,,,,
3,,,10.939757267720493,10.86303565493698,0.9974366500160494,10.939757267720493,10.86303565493698,0.3078443354101715,0.3078443354101715,0.3078443354101715,,,,,,,,,19.0,4.0,,,,,,,,,,,,,
4,,,21.018159785042247,20.570754232678325,0.9982435518244094,0.7607493213470287,0.6421994364228963,0.4312995052771441,0.36576006523031207,0.36576006523031207,,,,,,,,,20.0,5.0,,,,,,,,,,,,,
5,,,0.7607493213470287,0.6421994364228963,0.985872086180392,-2.174641742165302,-1.2279731105505853,0.5311571739575204,0.4312995052771441,0.4312995052771441,,,,,,,,,174.0,59.0,,,,,,,,,,,,,
6,,,-2.174641742165302,-1.2279731105505853,0.9843058791906364,-3.3918017787017716,-2.991692521854361,0.6226209108116242,0.5311571739575204,0.5311571739575204,,,,,,,,,,,,,,,,,,,,,,,
7,,,-3.3918017787017716,-2.991692521854361,0.9138449236930416,-3.497597251844493,-3.7939693196896602,0.7090912092073446,0.6226209108116242,0.6226209108116242,,,,,,,,,,,,,,,,,,,,,,,
8,,,-3.497597251844493,-3.7939693196896602,0.8911467221929246,-5.31797517072928,-4.118347392064561,0.7752696321907595,0.7090912092073446,0.7090912092073446,,,,,,,,,,,,,,,,,,,,,,,
9,,,-5.31797517072928,-4.118347392064561,0.8808868557104448,-5.31797517072928,-4.118347392064561,0.7752696321907595,0.7752696321907595,0.7752696321907595,,,,,,,,,,,,,,,,,,,,,,,
10,,,-4.87008564566872,-4.256049551934264,0.7870659073489317,-5.31797517072928,-4.118347392064561,0.7752696321907595,0.8050481872858705,0.8050481872858705,,,,,,,,,,,,,,,,,,,,,,,
11,,,-4.8336906361999,-4.139752753669265,0.7870277102780092,,,,0.7785948111543297,0.7785948111543297,,,,,,,,,,,,,,,,,,,,,,,
12,,,-3.2726774740606,-4.118663101698018,0.7664566242325346,,,,0.7753172718598403,0.7753172718598403,,,,,,,,,,,,,,,,,,,,,,,
13,,,-4.538912063261662,-4.118347408006065,0.8234252741639939,,,,0.7752696345953006,0.7752696345953006,,,,,,,,,,,,,,,,,,,,,,,
14,,,-4.721284038191022,-4.118347392064561,0.6710320347492554,,,,0.7752696321907595,0.7752696321907595,,,,,,,,,,,,,,,,,,,,,,,
15,,,-4.966140218898498,-4.118347392064561,0.8258474917799805,,,,0.7752696321907595,0.7752696321907595,,,,,,,,,,,,,,,,,,,,,,,
