Iteration,custom_tag,backend,cost_approx,cost_exact,cosine_sim,acc_cost_approx,acc_cost_exact,fidelities,fidelities_cost,fidelities_grad,archt,rhs,qubits,layers,parameters,seed_init,exact,shots,depth,cnots,operator,innerp,cost,optimizer,rotations,entangler,mixer,driver,driver_per,initial_qaoa,sabre,mapomatic,DD
0,full_vqa_exact_bfgs_1,simulator,15.743545948257937,15.743545948257937,1.0,15.743545948257937,15.743545948257937,0.028547191645758092,0.028547191645758092,0.028547191645758092,linear_alternating,hnx,3.0,2.0,11.0,12.0,True,1000.0,,,exact,Statevec,Sato21_Nonnorm,L_BFGS_B,ry,cz,rx,rzz,ryy,hadamards,True,False,False
1,,,7.954627423361497,7.954627423361497,0.9999999999999999,7.954627423361497,7.954627423361497,0.12443320933243014,0.12443320933243014,0.12443320933243014,,,,,,,,,,,,,,,,,,,,,,,
2,,,3.8059519987796526,3.8059519987796526,1.0,3.8059519987796526,3.8059519987796526,0.12713532943018196,0.12713532943018196,0.12713532943018196,,,,,,,,,,,,,,,,,,,,,,,
3,,,2.8465687414639715,2.8465687414639715,1.0000000000000002,2.8465687414639715,2.8465687414639715,0.14139841946469264,0.14139841946469264,0.14139841946469264,,,,,,,,,,,,,,,,,,,,,,,
4,,,2.7150014504953437,2.7150014504953437,0.9999999999999999,2.7150014504953437,2.7150014504953437,0.15578061650568953,0.15578061650568953,0.15578061650568953,,,,,,,,,,,,,,,,,,,,,,,
5,,,2.649802511348969,2.649802511348969,1.0,2.4522996618637354,2.4522996618637354,0.17991282725819768,0.16034007952677926,0.16034007952677926,,,,,,,,,,,,,,,,,,,,,,,
6,,,2.4522996618637354,2.4522996618637354,1.0,1.6762392034708693,1.6762392034708693,0.3020266748564589,0.17991282725819768,0.17991282725819768,,,,,,,,,,,,,,,,,,,,,,,
7,,,1.6762392034708693,1.6762392034708693,1.0,0.9850892106968844,0.9850892106968844,0.49646033722691285,0.3020266748564589,0.3020266748564589,,,,,,,,,,,,,,,,,,,,,,,
8,,,2.237233600194546,2.237233600194546,1.0,0.5865810152877157,0.5865810152877157,0.5104134450313645,0.5738928174615067,0.5738928174615067,,,,,,,,,,,,,,,,,,,,,,,
9,,,0.9850892106968844,0.9850892106968844,0.9999999999999999,0.1605687157981877,0.1605687157981877,0.4785717990820287,0.49646033722691285,0.49646033722691285,,,,,,,,,,,,,,,,,,,,,,,
10,,,0.5865810152877157,0.5865810152877157,1.0,-0.4229535377058471,-0.4229535377058471,0.3795843744215771,0.5104134450313645,0.5104134450313645,,,,,,,,,,,,,,,,,,,,,,,
11,,,0.1605687157981877,0.1605687157981877,1.0,-0.6244172675176456,-0.6244172675176456,0.40699738872738483,0.4785717990820287,0.4785717990820287,,,,,,,,,,,,,,,,,,,,,,,
12,,,-0.4229535377058471,-0.4229535377058471,1.0,-0.7631981510129093,-0.7631981510129093,0.5430151963891612,0.3795843744215771,0.3795843744215771,,,,,,,,,,,,,,,,,,,,,,,
13,,,-0.6244172675176456,-0.6244172675176456,1.0,-0.8488595869908981,-0.8488595869908981,0.7267453243028452,0.40699738872738483,0.40699738872738483,,,,,,,,,,,,,,,,,,,,,,,
14,,,-0.7631981510129093,-0.7631981510129093,1.0,-0.9041224016759223,-0.9041224016759223,0.8451735119790829,0.5430151963891612,0.5430151963891612,,,,,,,,,,,,,,,,,,,,,,,
15,,,-0.8488595869908981,-0.8488595869908981,1.0000000000000002,-0.9403666689681678,-0.9403666689681678,0.9341393012452733,0.7267453243028452,0.7267453243028452,,,,,,,,,,,,,,,,,,,,,,,
16,,,-0.9041224016759223,-0.9041224016759223,0.9999999999999999,-0.9602622738665276,-0.9602622738665276,0.9926300845455313,0.8451735119790829,0.8451735119790829,,,,,,,,,,,,,,,,,,,,,,,
17,,,-0.9403666689681678,-0.9403666689681678,1.0000000000000002,-0.963905007034217,-0.963905007034217,0.9955193163837741,0.9341393012452733,0.9341393012452733,,,,,,,,,,,,,,,,,,,,,,,
18,,,-0.9602622738665276,-0.9602622738665276,1.0,-0.9666917715243415,-0.9666917715243415,0.9969330174553404,0.9926300845455313,0.9926300845455313,,,,,,,,,,,,,,,,,,,,,,,
19,,,-0.944276623794891,-0.944276623794891,1.0000000000000002,-0.9684585922675936,-0.9684585922675936,0.9984420330500271,0.9907109981121641,0.9907109981121641,,,,,,,,,,,,,,,,,,,,,,,
20,,,-0.963905007034217,-0.963905007034217,1.0000000000000002,-0.9686583915634787,-0.9686583915634787,0.997898457462913,0.9955193163837741,0.9955193163837741,,,,,,,,,,,,,,,,,,,,,,,
21,,,-0.9666917715243415,-0.9666917715243415,1.0000000000000002,-0.9687444096373129,-0.9687444096373129,0.9976151523965231,0.9969330174553404,0.9969330174553404,,,,,,,,,,,,,,,,,,,,,,,
22,,,-0.9654406110036203,-0.9654406110036203,1.0000000000000002,-0.9688795862892584,-0.9688795862892584,0.9968753523953179,0.9983538756026665,0.9983538756026665,,,,,,,,,,,,,,,,,,,,,,,
23,,,-0.9684585922675936,-0.9684585922675936,1.0,-0.9689989395689206,-0.9689989395689206,0.9965498993520391,0.9984420330500271,0.9984420330500271,,,,,,,,,,,,,,,,,,,,,,,
24,,,-0.9686583915634787,-0.9686583915634787,1.0,-0.9692891767075446,-0.9692891767075446,0.9962222837439565,0.997898457462913,0.997898457462913,,,,,,,,,,,,,,,,,,,,,,,
25,,,-0.9687444096373129,-0.9687444096373129,1.0,-0.9700627693360415,-0.9700627693360415,0.9962280047463248,0.9976151523965231,0.9976151523965231,,,,,,,,,,,,,,,,,,,,,,,
26,,,-0.9688795862892584,-0.9688795862892584,1.0,-0.9709309462811969,-0.9709309462811969,0.9977643341378287,0.9968753523953179,0.9968753523953179,,,,,,,,,,,,,,,,,,,,,,,
27,,,-0.9689989395689206,-0.9689989395689206,0.9999999999999999,-0.9716515002811282,-0.9716515002811282,0.9991972098863182,0.9965498993520391,0.9965498993520391,,,,,,,,,,,,,,,,,,,,,,,
28,,,-0.9692891767075446,-0.9692891767075446,1.0000000000000002,-0.9717843141824332,-0.9717843141824332,0.9997014976643368,0.9962222837439565,0.9962222837439565,,,,,,,,,,,,,,,,,,,,,,,
29,,,-0.9700627693360415,-0.9700627693360415,1.0,-0.9719722054295722,-0.9719722054295722,0.9996952746413182,0.9962280047463248,0.9962280047463248,,,,,,,,,,,,,,,,,,,,,,,
30,,,-0.9709309462811969,-0.9709309462811969,1.0,-0.972035930301959,-0.972035930301959,0.9996516250933941,0.9977643341378287,0.9977643341378287,,,,,,,,,,,,,,,,,,,,,,,
31,,,-0.9716515002811282,-0.9716515002811282,1.0,-0.9721023578305392,-0.9721023578305392,0.9997880186505085,0.9991972098863182,0.9991972098863182,,,,,,,,,,,,,,,,,,,,,,,
32,,,-0.9717843141824332,-0.9717843141824332,1.0000000000000002,-0.9721534536614864,-0.9721534536614864,0.999917423774675,0.9997014976643368,0.9997014976643368,,,,,,,,,,,,,,,,,,,,,,,
33,,,-0.9719722054295722,-0.9719722054295722,0.9999999999999998,-0.9722127593051141,-0.9722127593051141,0.9999829102384843,0.9996952746413182,0.9996952746413182,,,,,,,,,,,,,,,,,,,,,,,
34,,,-0.972035930301959,-0.972035930301959,1.0000000000000002,-0.9722140579248203,-0.9722140579248203,0.9999923680275321,0.9996516250933941,0.9996516250933941,,,,,,,,,,,,,,,,,,,,,,,
35,,,-0.9721023578305392,-0.9721023578305392,1.0,-0.9722214018057318,-0.9722214018057318,0.9999983018386149,0.9997880186505085,0.9997880186505085,,,,,,,,,,,,,,,,,,,,,,,
36,,,-0.9721534536614864,-0.9721534536614864,1.0,-0.9722220546096181,-0.9722220546096181,0.9999996450382951,0.999917423774675,0.999917423774675,,,,,,,,,,,,,,,,,,,,,,,
37,,,-0.9722127593051141,-0.9722127593051141,0.9999999999999999,-0.9722221912125624,-0.9722221912125624,0.999999957949169,0.9999829102384843,0.9999829102384843,,,,,,,,,,,,,,,,,,,,,,,
38,,,-0.9722140579248203,-0.9722140579248203,1.0000000000000002,-0.9722222028521231,-0.9722222028521231,0.999999988656207,0.9999923680275321,0.9999923680275321,,,,,,,,,,,,,,,,,,,,,,,
39,,,-0.9722214018057318,-0.9722214018057318,1.0,-0.9722222106654547,-0.9722222106654547,0.9999999956226486,0.9999983018386149,0.9999983018386149,,,,,,,,,,,,,,,,,,,,,,,
40,,,-0.9722220546096181,-0.9722220546096181,0.9999999999999999,-0.9722222187110111,-0.9722222187110111,0.999999999181479,0.9999996450382951,0.9999996450382951,,,,,,,,,,,,,,,,,,,,,,,
41,,,-0.9722221912125624,-0.9722221912125624,0.9999999999999998,-0.9722222210497177,-0.9722222210497177,0.9999999997976601,0.999999957949169,0.999999957949169,,,,,,,,,,,,,,,,,,,,,,,
42,,,-0.9722222028521231,-0.9722222028521231,0.9999999999999999,-0.9722222220902703,-0.9722222220902703,0.9999999999753095,0.999999988656207,0.999999988656207,,,,,,,,,,,,,,,,,,,,,,,
43,,,-0.9722222106654547,-0.9722222106654547,1.0,-0.9722222220902703,-0.9722222220902703,0.9999999999753095,0.9999999956226486,0.9999999956226486,,,,,,,,,,,,,,,,,,,,,,,
44,,,-0.9722222187110111,-0.9722222187110111,1.0,,,,0.999999999181479,0.999999999181479,,,,,,,,,,,,,,,,,,,,,,,
45,,,-0.9722222210497177,-0.9722222210497177,1.0000000000000002,,,,0.9999999997976601,0.9999999997976601,,,,,,,,,,,,,,,,,,,,,,,
