Iteration,custom_tag,backend,cost_approx,cost_exact,cosine_sim,acc_cost_approx,acc_cost_exact,fidelities,fidelities_cost,fidelities_grad,archt,rhs,qubits,layers,parameters,seed_init,exact,shots,depth,cnots,operator,innerp,cost,optimizer,rotations,entangler,mixer,driver,driver_per,initial_qaoa,sabre,mapomatic,DD
0,full_vqa_aer_spsa_1,simulator,-0.001213198864192696,-0.0012549475261695827,,-0.007644739919975371,-0.006488082667642761,0.038350507552554695,0.021395758602627362,,linear_alternating,hnx,5.0,3.0,29.0,1.0,False,10000.0,13.0,0.0,SatoLiu21,HTest,Sato21_Innerp,SPSA,ry,cz,rx,rzz,ryy,hadamards,True,False,False
1,,,-0.004400056682915773,-0.0039492935428122895,,-0.013543385079504745,-0.00761299049065119,0.02453255030580492,0.015039260095742428,,,,,,,,,,17.0,2.0,,,,,,,,,,,,,
2,,,-0.0025468276310090937,-0.0031209313766714995,,-0.00536290538498078,-0.013169451589976842,0.03912043399017816,0.04315590413979954,,,,,,,,,,18.0,3.0,,,,,,,,,,,,,
3,,,-0.020298263277120566,-0.01709540881720409,,-0.012872324021756356,-0.005922181761621873,0.029874948553525474,0.03608805345426651,,,,,,,,,,19.0,4.0,,,,,,,,,,,,,
4,,,-0.004611097517092477,-0.003267735914142907,,-0.010499196572040702,-0.014847515724038236,0.08844725017530387,0.007129656878322164,,,,,,,,,,20.0,5.0,,,,,,,,,,,,,
5,,,-0.0025441893119682825,-0.002895410421901885,,-0.015334834000470914,-0.01009290175828834,0.048657560535802453,0.04230971865091874,,,,,,,,,,174.0,59.0,,,,,,,,,,,,,
6,,,-0.00873809226633382,-0.008303202484548189,,-0.0024203320071340376,-0.015320369975577706,0.09317557654981583,0.05501518831834692,,,,,,,,,,,,,,,,,,,,,,,,
7,,,-0.0014112305690611533,-0.0017217776497945392,,-0.00446230197767902,-0.002637957313200233,0.009944633204707225,0.0174556153134971,,,,,,,,,,,,,,,,,,,,,,,,
8,,,-0.001566553619459712,-0.0014624084812645095,,-0.008747071804447469,-0.004256147496228645,0.008696140215523271,0.01120303855240257,,,,,,,,,,,,,,,,,,,,,,,,
9,,,-0.02908057797164668,-0.027878165220022816,,-0.018625653675382343,-0.008229221319751996,0.036840816812240613,0.11282952221897087,,,,,,,,,,,,,,,,,,,,,,,,
10,,,-1.1162098474513228e-05,-2.385838612874824e-08,,-0.005886863945007962,-0.019095089750498458,0.08190557008212365,0.0031992003677597104,,,,,,,,,,,,,,,,,,,,,,,,
11,,,-0.0023800423728813557,-0.002907263516569445,,-0.025706508422664625,-0.005024841612077501,0.014566548301802016,0.013045533154833222,,,,,,,,,,,,,,,,,,,,,,,,
12,,,-0.028188264991996056,-0.03037835840070741,,-0.019021628750412134,-0.026036362366068704,0.05486080258669505,0.07639418758867328,,,,,,,,,,,,,,,,,,,,,,,,
