Iteration,custom_tag,backend,cost_approx,cost_exact,cosine_sim,acc_cost_approx,acc_cost_exact,fidelities,fidelities_cost,fidelities_grad,archt,rhs,qubits,layers,parameters,seed_init,exact,shots,depth,cnots,operator,innerp,cost,optimizer,rotations,entangler,mixer,driver,driver_per,initial_qaoa,sabre,mapomatic,DD
0,full_vqa_exact_bfgs_1,simulator,-9.993346283005884e-05,-9.993346283005884e-05,1.0000000000000002,-9.993346283005884e-05,-9.993346283005884e-05,0.00027508139270802836,0.00027508139270802836,0.00027508139270802836,linear_alternating,hnx,5.0,2.0,21.0,11.0,True,1000.0,,,exact,Statevec,Sato21_Innerp,L_BFGS_B,ry,cz,rx,rzz,ryy,hadamards,True,False,False
1,,,-0.01814788432965271,-0.01814788432965271,1.0000000000000002,-0.06316023520434474,-0.06316023520434474,0.12347418434544037,0.06063775565258953,0.06063775565258953,,,,,,,,,,,,,,,,,,,,,,,
2,,,-0.06316023520434474,-0.06316023520434474,1.0,-0.06317138655503474,-0.06317138655503474,0.12437773242226663,0.12347418434544037,0.12347418434544037,,,,,,,,,,,,,,,,,,,,,,,
3,,,-8.228842442040485e-05,-8.228842442040485e-05,1.0,-0.4321592416592902,-0.4321592416592902,0.42913254901591735,0.004007744374334449,0.004007744374334449,,,,,,,,,,,,,,,,,,,,,,,
4,,,-0.06317138655503474,-0.06317138655503474,1.0,-0.4536803350168653,-0.4536803350168653,0.4868319340535762,0.12437773242226663,0.12437773242226663,,,,,,,,,,,,,,,,,,,,,,,
5,,,-0.14113855838535647,-0.14113855838535647,1.0,-0.6606512996488366,-0.6606512996488366,0.57184715859239,0.2035853583187418,0.2035853583187418,,,,,,,,,,,,,,,,,,,,,,,
6,,,-0.3484524820299686,-0.3484524820299686,0.9999999999999998,-1.1249606528834333,-1.1249606528834333,0.6622263956278535,0.45029294891850963,0.45029294891850963,,,,,,,,,,,,,,,,,,,,,,,
7,,,-0.38976166760423653,-0.38976166760423653,1.0000000000000002,-1.3021371532480641,-1.3021371532480641,0.6827979029648766,0.3687213611371626,0.3687213611371626,,,,,,,,,,,,,,,,,,,,,,,
8,,,-0.4321592416592902,-0.4321592416592902,1.0000000000000002,-2.613946144197781,-2.613946144197781,0.8125970759525593,0.42913254901591735,0.42913254901591735,,,,,,,,,,,,,,,,,,,,,,,
9,,,-0.0005996296525147973,-0.0005996296525147973,0.9999999999999999,-2.740453249698013,-2.740453249698013,0.8081328780429489,5.932880976437186e-05,5.932880976437186e-05,,,,,,,,,,,,,,,,,,,,,,,
10,,,-0.3232047877352312,-0.3232047877352312,0.9999999999999998,-2.8596038015957435,-2.8596038015957435,0.8088195616828039,0.5467699136195409,0.5467699136195409,,,,,,,,,,,,,,,,,,,,,,,
11,,,-0.4536803350168653,-0.4536803350168653,0.9999999999999999,-3.512410162679611,-3.512410162679611,0.8545418566710392,0.4868319340535762,0.4868319340535762,,,,,,,,,,,,,,,,,,,,,,,
12,,,-0.6606512996488366,-0.6606512996488366,1.0,-3.820499802881776,-3.820499802881776,0.8667956809549611,0.57184715859239,0.57184715859239,,,,,,,,,,,,,,,,,,,,,,,
13,,,-0.9481033367086683,-0.9481033367086683,1.0000000000000002,-4.087482828872418,-4.087482828872418,0.8655955733839669,0.6132289895885512,0.6132289895885512,,,,,,,,,,,,,,,,,,,,,,,
14,,,-1.1249606528834333,-1.1249606528834333,1.0000000000000002,-4.52922479352509,-4.52922479352509,0.8660103578452141,0.6622263956278535,0.6622263956278535,,,,,,,,,,,,,,,,,,,,,,,
15,,,-0.0005508164932486552,-0.0005508164932486552,1.0,-4.757941416720939,-4.757941416720939,0.8751473993175398,0.005557737548280984,0.005557737548280984,,,,,,,,,,,,,,,,,,,,,,,
16,,,-1.4801299176421122e-05,-1.4801299176421122e-05,1.0,-4.813152491973736,-4.813152491973736,0.8955539954919165,0.0015478389168589093,0.0015478389168589093,,,,,,,,,,,,,,,,,,,,,,,
17,,,-0.05874291347821691,-0.05874291347821691,0.9999999999999999,-4.957598758099714,-4.957598758099714,0.9044800440621164,0.20005781850267143,0.20005781850267143,,,,,,,,,,,,,,,,,,,,,,,
18,,,-1.3021371532480641,-1.3021371532480641,1.0,-5.095563665248592,-5.095563665248592,0.916854463450114,0.6827979029648766,0.6827979029648766,,,,,,,,,,,,,,,,,,,,,,,
19,,,-1.7528804102670008,-1.7528804102670008,1.0000000000000002,-5.305164914374317,-5.305164914374317,0.9568434605989623,0.7533576781163086,0.7533576781163086,,,,,,,,,,,,,,,,,,,,,,,
