Iteration,custom_tag,backend,cost_approx,cost_exact,cosine_sim,acc_cost_approx,acc_cost_exact,fidelities,fidelities_cost,fidelities_grad,archt,rhs,qubits,layers,parameters,seed_init,exact,shots,depth,cnots,operator,innerp,cost,optimizer,rotations,entangler,mixer,driver,driver_per,initial_qaoa,sabre,mapomatic,DD
0,full_vqa_exact_bfgs_1,simulator,-0.008241450101804007,-0.008241450101804007,1.0,-0.008241450101804007,-0.008241450101804007,0.01620155668345393,0.01620155668345393,0.01620155668345393,linear_alternating,hnx,3.0,2.0,11.0,13.0,True,1000.0,,,exact,Statevec,Sato21_Innerp,L_BFGS_B,ry,cz,rx,rzz,ryy,hadamards,True,False,False
1,,,-0.25281931816985936,-0.25281931816985936,0.9999999999999998,-0.6483356595070519,-0.6483356595070519,0.886596205731762,0.5247407168673908,0.5247407168673908,,,,,,,,,,,,,,,,,,,,,,,
2,,,-0.07804258152283224,-0.07804258152283224,1.0,-0.6495002477710575,-0.6495002477710575,0.8899015657935689,0.20065902117882384,0.20065902117882384,,,,,,,,,,,,,,,,,,,,,,,
3,,,-0.6202769220961964,-0.6202769220961964,1.0,-0.7113143024957838,-0.7113143024957838,0.9268864134058483,0.8790468524788352,0.8790468524788352,,,,,,,,,,,,,,,,,,,,,,,
4,,,-0.600087285660585,-0.600087285660585,1.0,-0.7254859627624328,-0.7254859627624328,0.9312755433572645,0.8487038650083113,0.8487038650083113,,,,,,,,,,,,,,,,,,,,,,,
5,,,-0.6483356595070519,-0.6483356595070519,1.0000000000000002,-0.7786648512313854,-0.7786648512313854,0.9392452226494051,0.886596205731762,0.886596205731762,,,,,,,,,,,,,,,,,,,,,,,
6,,,-0.052905622664405814,-0.052905622664405814,1.0000000000000002,-0.8141803331706251,-0.8141803331706251,0.9491519966261343,0.17786502100310572,0.17786502100310572,,,,,,,,,,,,,,,,,,,,,,,
7,,,-0.6495002477710575,-0.6495002477710575,1.0000000000000002,-0.8933134595136669,-0.8933134595136669,0.9793389127919159,0.8899015657935689,0.8899015657935689,,,,,,,,,,,,,,,,,,,,,,,
8,,,-0.7113143024957838,-0.7113143024957838,1.0000000000000002,-0.9173857548914592,-0.9173857548914592,0.9786654135965458,0.9268864134058483,0.9268864134058483,,,,,,,,,,,,,,,,,,,,,,,
9,,,-0.7254859627624328,-0.7254859627624328,1.0,-0.9553043185641547,-0.9553043185641547,0.9956957674894162,0.9312755433572645,0.9312755433572645,,,,,,,,,,,,,,,,,,,,,,,
10,,,-0.7294611953297855,-0.7294611953297855,1.0,-0.957517090979018,-0.957517090979018,0.9956781359852623,0.9321083431886298,0.9321083431886298,,,,,,,,,,,,,,,,,,,,,,,
11,,,-0.744761677308371,-0.744761677308371,1.0,-0.9590274189144884,-0.9590274189144884,0.995125564644795,0.9350731056587022,0.9350731056587022,,,,,,,,,,,,,,,,,,,,,,,
12,,,-0.7786648512313854,-0.7786648512313854,1.0,-0.961201018284644,-0.961201018284644,0.9938207043844812,0.9392452226494051,0.9392452226494051,,,,,,,,,,,,,,,,,,,,,,,
13,,,-0.7405446597489315,-0.7405446597489315,1.0,-0.9657255794287007,-0.9657255794287007,0.9910866696245623,0.9343481751908159,0.9343481751908159,,,,,,,,,,,,,,,,,,,,,,,
