Iteration,custom_tag,backend,cost_approx,cost_exact,cosine_sim,acc_cost_approx,acc_cost_exact,fidelities,fidelities_cost,fidelities_grad,archt,rhs,qubits,layers,parameters,seed_init,exact,shots,depth,cnots,operator,innerp,cost,optimizer,rotations,entangler,mixer,driver,driver_per,initial_qaoa,sabre,mapomatic,DD
0,full_vqa_exact_bfgs_1,simulator,-0.0001348097212815467,-0.0001348097212815467,0.9999999999999998,-0.0001348097212815467,-0.0001348097212815467,6.245472037288784e-05,6.245472037288784e-05,6.245472037288784e-05,linear_alternating,hnx,5.0,3.0,29.0,12.0,True,1000.0,,,exact,Statevec,Sato21_Innerp,L_BFGS_B,ry,cx,rx,rzz,ryy,hadamards,True,False,False
1,,,-0.04061955764573515,-0.04061955764573515,1.0,-0.10426904580465922,-0.10426904580465922,0.1799606881887287,0.08730708580500687,0.08730708580500687,,,,,,,,,,,,,,,,,,,,,,,
2,,,-0.06323575640227945,-0.06323575640227945,1.0,-0.10434606227909356,-0.10434606227909356,0.178594812952739,0.13202603211083527,0.13202603211083527,,,,,,,,,,,,,,,,,,,,,,,
3,,,-0.021199094830437915,-0.021199094830437915,1.0,-0.8468535551097865,-0.8468535551097865,0.5336810541244842,0.04957951805872307,0.04957951805872307,,,,,,,,,,,,,,,,,,,,,,,
4,,,-0.0006313548323427457,-0.0006313548323427457,1.0,-0.8850338113845805,-0.8850338113845805,0.583019977314707,0.005665425186712894,0.005665425186712894,,,,,,,,,,,,,,,,,,,,,,,
5,,,-0.10353281847071226,-0.10353281847071226,0.9999999999999998,-1.2325870671179118,-1.2325870671179118,0.7701297130547547,0.18299651615804002,0.18299651615804002,,,,,,,,,,,,,,,,,,,,,,,
6,,,-0.10426904580465922,-0.10426904580465922,1.0,-1.6150713869145947,-1.6150713869145947,0.8592400322959266,0.1799606881887287,0.1799606881887287,,,,,,,,,,,,,,,,,,,,,,,
7,,,-0.015938402509364496,-0.015938402509364496,1.0,-1.8779094820967586,-1.8779094820967586,0.8659232196494652,0.03350642857616816,0.03350642857616816,,,,,,,,,,,,,,,,,,,,,,,
8,,,-0.06753533799797745,-0.06753533799797745,1.0,-2.406464585510669,-2.406464585510669,0.8736436446546405,0.09595876358289096,0.09595876358289096,,,,,,,,,,,,,,,,,,,,,,,
9,,,-0.10434606227909356,-0.10434606227909356,0.9999999999999998,-3.5101234738816887,-3.5101234738816887,0.9049257816260773,0.178594812952739,0.178594812952739,,,,,,,,,,,,,,,,,,,,,,,
10,,,-0.15549522827399498,-0.15549522827399498,1.0,-4.0515174840513275,-4.0515174840513275,0.8914385631138804,0.21956004786172167,0.21956004786172167,,,,,,,,,,,,,,,,,,,,,,,
11,,,-0.5014254821226029,-0.5014254821226029,1.0,-4.424871709119852,-4.424871709119852,0.9223230824054087,0.39252739176703194,0.39252739176703194,,,,,,,,,,,,,,,,,,,,,,,
