Iteration,custom_tag,backend,cost_approx,cost_exact,cosine_sim,acc_cost_approx,acc_cost_exact,fidelities,fidelities_cost,fidelities_grad,archt,rhs,qubits,layers,parameters,seed_init,exact,shots,depth,cnots,operator,innerp,cost,optimizer,rotations,entangler,mixer,driver,driver_per,initial_qaoa,sabre,mapomatic,DD
0,full_vqa_exact_bfgs_1,simulator,0.997979438388258,0.997979438388258,1.0,0.997979438388258,0.997979438388258,0.003235931552962554,0.003235931552962554,0.003235931552962554,linear_alternating,hnx,5.0,3.0,29.0,3.0,True,1000.0,,,exact,Statevec,BravoPrieto20_Global,L_BFGS_B,ry,cz,rx,rzz,ryy,hadamards,True,False,False
1,,,0.9831210728561434,0.9831210728561434,1.0,0.9650102350844638,0.9650102350844638,0.17720627614476228,0.027429314490651693,0.027429314490651693,,,,,,,,,,,,,,,,,,,,,,,
2,,,0.9997903930961709,0.9997903930961709,0.9999999999999999,0.9647408604372235,0.9647408604372235,0.189945718333623,0.018704906121228757,0.018704906121228757,,,,,,,,,,,,,,,,,,,,,,,
3,,,0.9650102350844638,0.9650102350844638,1.0,0.9480302422686138,0.9480302422686138,0.2993042695304767,0.17720627614476228,0.17720627614476228,,,,,,,,,,,,,,,,,,,,,,,
4,,,0.9964802000837618,0.9964802000837618,1.0,0.9397137915326974,0.9397137915326974,0.34348433922237115,0.011483081672566977,0.011483081672566977,,,,,,,,,,,,,,,,,,,,,,,
5,,,0.9998554031541589,0.9998554031541589,1.0000000000000002,0.933337960127585,0.933337960127585,0.39361625783671883,0.04047121144180869,0.04047121144180869,,,,,,,,,,,,,,,,,,,,,,,
6,,,0.965094363334784,0.965094363334784,1.0000000000000002,0.9211974064277322,0.9211974064277322,0.5017032797953628,0.20283863725194265,0.20283863725194265,,,,,,,,,,,,,,,,,,,,,,,
7,,,0.9647408604372235,0.9647408604372235,1.0,0.9160527980517087,0.9160527980517087,0.5559945481400477,0.189945718333623,0.189945718333623,,,,,,,,,,,,,,,,,,,,,,,
8,,,0.9598079994511489,0.9598079994511489,1.0000000000000002,0.9058980142782297,0.9058980142782297,0.7174090622790372,0.2108034415616755,0.2108034415616755,,,,,,,,,,,,,,,,,,,,,,,
9,,,0.9480302422686138,0.9480302422686138,1.0,0.9003054566722629,0.9003054566722629,0.7484294790344055,0.2993042695304767,0.2993042695304767,,,,,,,,,,,,,,,,,,,,,,,
10,,,0.9397137915326974,0.9397137915326974,1.0,0.8968218336957072,0.8968218336957072,0.7393692602931669,0.34348433922237115,0.34348433922237115,,,,,,,,,,,,,,,,,,,,,,,
11,,,0.933337960127585,0.933337960127585,1.0,0.8867640817801269,0.8867640817801269,0.7811416971433095,0.39361625783671883,0.39361625783671883,,,,,,,,,,,,,,,,,,,,,,,
12,,,0.9211974064277322,0.9211974064277322,1.0,0.8810435683285486,0.8810435683285486,0.8057055435708613,0.5017032797953628,0.5017032797953628,,,,,,,,,,,,,,,,,,,,,,,
13,,,0.9582082390419425,0.9582082390419425,0.9999999999999999,0.8780955370652274,0.8780955370652274,0.8384310315802083,0.7014745905677061,0.7014745905677061,,,,,,,,,,,,,,,,,,,,,,,
14,,,0.9160527980517087,0.9160527980517087,1.0,0.8750637363845842,0.8750637363845842,0.8247455703407017,0.5559945481400477,0.5559945481400477,,,,,,,,,,,,,,,,,,,,,,,
15,,,0.9058980142782297,0.9058980142782297,0.9999999999999998,0.8684072757536005,0.8684072757536005,0.8304506846216105,0.7174090622790372,0.7174090622790372,,,,,,,,,,,,,,,,,,,,,,,
