Iteration,custom_tag,backend,cost_approx,cost_exact,cosine_sim,acc_cost_approx,acc_cost_exact,fidelities,fidelities_cost,fidelities_grad,archt,rhs,qubits,layers,parameters,seed_init,exact,shots,depth,cnots,operator,innerp,cost,optimizer,rotations,entangler,mixer,driver,driver_per,initial_qaoa,sabre,mapomatic,DD
0,full_vqa_exact_bfgs_1,simulator,33.49678140025267,33.49678140025267,1.0000000000000002,33.49678140025267,33.49678140025267,0.0010585791639157504,0.0010585791639157504,0.0010585791639157504,linear_alternating,hn,5.0,3.0,29.0,6.0,True,1000.0,,,exact,Statevec,Sato21_Nonnorm,L_BFGS_B,ry,cz,rx,rzz,ryy,hadamards,True,False,False
1,,,16.6543403064788,16.6543403064788,1.0,16.6543403064788,16.6543403064788,5.1903658080255505e-05,5.1903658080255505e-05,5.1903658080255505e-05,,,,,,,,,,,,,,,,,,,,,,,
2,,,9.098686132872908,9.098686132872908,1.0,9.098686132872908,9.098686132872908,0.023305223481721843,0.023305223481721843,0.023305223481721843,,,,,,,,,,,,,,,,,,,,,,,
3,,,2.5884107086651253,2.5884107086651253,1.0000000000000002,2.5884107086651253,2.5884107086651253,0.07331125908119451,0.07331125908119451,0.07331125908119451,,,,,,,,,,,,,,,,,,,,,,,
4,,,0.5868057377555943,0.5868057377555943,1.0,0.5868057377555943,0.5868057377555943,0.13726843050434426,0.13726843050434426,0.13726843050434426,,,,,,,,,,,,,,,,,,,,,,,
5,,,-0.48825483776747797,-0.48825483776747797,1.0000000000000002,-0.48825483776747797,-0.48825483776747797,0.264564710636598,0.264564710636598,0.264564710636598,,,,,,,,,,,,,,,,,,,,,,,
6,,,-1.270187095199941,-1.270187095199941,0.9999999999999998,-1.270187095199941,-1.270187095199941,0.5814919401288453,0.5814919401288453,0.5814919401288453,,,,,,,,,,,,,,,,,,,,,,,
7,,,-1.360411090874773,-1.360411090874773,1.0000000000000002,-1.360411090874773,-1.360411090874773,0.7313896175889099,0.7313896175889099,0.7313896175889099,,,,,,,,,,,,,,,,,,,,,,,
8,,,-1.6328833464396932,-1.6328833464396932,0.9999999999999999,-1.6328833464396932,-1.6328833464396932,0.7549193814439864,0.7549193814439864,0.7549193814439864,,,,,,,,,,,,,,,,,,,,,,,
9,,,-1.898338138151219,-1.898338138151219,0.9999999999999998,-1.898338138151219,-1.898338138151219,0.7891472553286292,0.7891472553286292,0.7891472553286292,,,,,,,,,,,,,,,,,,,,,,,
