Iteration,custom_tag,backend,cost_approx,cost_exact,cosine_sim,acc_cost_approx,acc_cost_exact,fidelities,fidelities_cost,fidelities_grad,archt,rhs,qubits,layers,parameters,seed_init,exact,shots,depth,cnots,operator,innerp,cost,optimizer,rotations,entangler,mixer,driver,driver_per,initial_qaoa,sabre,mapomatic,DD
0,full_vqa_exact_bfgs_1,simulator,0.9998759691834782,0.9998759691834782,0.9999999999999999,0.9998759691834782,0.9998759691834782,0.003419072364854692,0.003419072364854692,0.003419072364854692,linear_alternating,hnx,8.0,1.0,22.0,1.0,True,1000.0,,,exact,Statevec,BravoPrieto20_Global,L_BFGS_B,ry,cz,rx,rzz,ryy,hadamards,True,False,False
1,,,0.9992822305193119,0.9992822305193119,1.0,0.9992822305193119,0.9992822305193119,0.003405458944172127,0.003405458944172127,0.003405458944172127,,,,,,,,,,,,,,,,,,,,,,,
2,,,0.9999999279491409,0.9999999279491409,0.9999999999999998,0.99925396571923,0.99925396571923,0.002759113972104347,0.00013761601902737082,0.00013761601902737082,,,,,,,,,,,,,,,,,,,,,,,
3,,,0.99925396571923,0.99925396571923,0.9999999999999998,0.9981538276271523,0.9981538276271523,0.004384939239738968,0.002759113972104347,0.002759113972104347,,,,,,,,,,,,,,,,,,,,,,,
4,,,0.9989964186453797,0.9989964186453797,1.0,0.9977019783835184,0.9977019783835184,0.003751386022191866,0.003199859977840287,0.003199859977840287,,,,,,,,,,,,,,,,,,,,,,,
5,,,0.9981538276271523,0.9981538276271523,1.0000000000000002,0.9966307056762314,0.9966307056762314,0.0017384716254413492,0.004384939239738968,0.004384939239738968,,,,,,,,,,,,,,,,,,,,,,,
6,,,0.9999935059008244,0.9999935059008244,1.0,0.995569162103236,0.995569162103236,0.000935558055472143,6.608753693188807e-06,6.608753693188807e-06,,,,,,,,,,,,,,,,,,,,,,,
7,,,0.9977019783835184,0.9977019783835184,0.9999999999999999,0.99490786580321,0.99490786580321,0.0006223569353085636,0.003751386022191866,0.003751386022191866,,,,,,,,,,,,,,,,,,,,,,,
8,,,0.9966307056762314,0.9966307056762314,1.0000000000000002,0.99394677683468,0.99394677683468,0.00030588002352216373,0.0017384716254413492,0.0017384716254413492,,,,,,,,,,,,,,,,,,,,,,,
9,,,0.9961046262644155,0.9961046262644155,1.0,0.9919175553257719,0.9919175553257719,3.471368830715528e-05,0.0006610487119492618,0.0006610487119492618,,,,,,,,,,,,,,,,,,,,,,,
