Iteration,custom_tag,backend,cost_approx,cost_exact,cosine_sim,acc_cost_approx,acc_cost_exact,fidelities,fidelities_cost,fidelities_grad,archt,rhs,qubits,layers,parameters,seed_init,exact,shots,depth,cnots,operator,innerp,cost,optimizer,rotations,entangler,mixer,driver,driver_per,initial_qaoa,sabre,mapomatic,DD
0,full_vqa_aer_nft_hyper_1,simulator,76.35022287822892,75.7025224279003,,76.35022287822892,75.7025224279003,0.01047465164069068,0.01047465164069068,,linear_alternating,hnx,5.0,3.0,29.0,10.0,False,10000.0,13.0,0.0,SatoLiu21,HTest,Sato21_Nonnorm,NFT,ry,cz,rx,rzz,ryy,hadamards,True,False,False
1,,,40.06446018754092,40.074285205582285,,0.5850147845247144,39.240077560212185,0.03860069232173588,0.03687722941009804,,,,,,,,,,17.0,2.0,,,,,,,,,,,,,
2,,,97.71211632902583,98.37572545637056,,-4.223686351677444,35.23071828913141,0.04516060228709692,0.00223688390362609,,,,,,,,,,18.0,3.0,,,,,,,,,,,,,
3,,,49.455982142706944,49.6036016825826,,-5.204710843494238,19.255814729952533,0.040509721389732446,0.04022761440307356,,,,,,,,,,19.0,4.0,,,,,,,,,,,,,
4,,,79.39008561284909,79.31275757764536,,-5.45793378096178,18.988663110139786,0.040157592316580844,0.005972684145666813,,,,,,,,,,20.0,5.0,,,,,,,,,,,,,
5,,,34.346772737170966,34.76812845871629,,-5.491751309383903,18.995445790586736,0.0394809553438698,0.003152073924225069,,,,,,,,,,174.0,59.0,,,,,,,,,,,,,
6,,,18.66404938924749,18.742514538686383,,-6.615376325146216,18.627505232815967,0.040316154319999915,0.0597272201364167,,,,,,,,,,,,,,,,,,,,,,,,
7,,,19.099221976037608,19.442486880751925,,-6.202392933040932,18.61938026334353,0.04022747927235699,0.021541497195870344,,,,,,,,,,,,,,,,,,,,,,,,
8,,,22.111589007494207,21.61934557344518,,-6.202392933040932,18.38350344786992,0.0377656808091224,0.019007840704396903,,,,,,,,,,,,,,,,,,,,,,,,
9,,,23.380381838539144,23.611744862924517,,,18.226670222968533,0.032772283374680744,0.002413999025635586,,,,,,,,,,,,,,,,,,,,,,,,
10,,,23.835752747581104,23.855819137486417,,,14.733033377554827,0.017296493122269323,0.05488096810029552,,,,,,,,,,,,,,,,,,,,,,,,
11,,,75.93599418025559,76.73655887903047,,,14.162090189533144,0.02045089376504797,0.011326398294050063,,,,,,,,,,,,,,,,,,,,,,,,
12,,,65.14479965649898,64.29803404093933,,,13.60891764387588,0.018660578496106608,0.030476803382664442,,,,,,,,,,,,,,,,,,,,,,,,
13,,,33.362870259814656,33.68303220426444,,,10.521243952899853,0.06373816810723963,0.02382453438898537,,,,,,,,,,,,,,,,,,,,,,,,
14,,,32.4897829494477,32.33475265624189,,,10.521521906145457,0.06372757142065809,0.016797794207840507,,,,,,,,,,,,,,,,,,,,,,,,
