Iteration,custom_tag,backend,cost_approx,cost_exact,cosine_sim,acc_cost_approx,acc_cost_exact,fidelities,fidelities_cost,fidelities_grad,archt,rhs,qubits,layers,parameters,seed_init,exact,shots,depth,cnots,operator,innerp,cost,optimizer,rotations,entangler,mixer,driver,driver_per,initial_qaoa,sabre,mapomatic,DD
0,full_vqa_exact_bfgs_1,simulator,0.5406573812988242,0.5406573812988242,1.0,0.5406573812988242,0.5406573812988242,7.347218631137022e-06,7.347218631137022e-06,7.347218631137022e-06,linear_alternating,hnx,8.0,0.0,8.0,3.0,True,1000.0,,,exact,Statevec,BravoPrieto20_Local,L_BFGS_B,ry,cz,rx,rzz,ryy,hadamards,True,False,False
1,,,0.44231636305171296,0.44231636305171296,1.0000000000000002,0.27337360794840726,0.27337360794840726,0.11037408752689683,0.002129341953375783,0.002129341953375783,,,,,,,,,,,,,,,,,,,,,,,
2,,,0.27337360794840726,0.27337360794840726,1.0000000000000002,0.15550997982372017,0.15550997982372017,0.38732491456618395,0.11037408752689683,0.11037408752689683,,,,,,,,,,,,,,,,,,,,,,,
3,,,0.15550997982372017,0.15550997982372017,1.0,0.1345165271351418,0.1345165271351418,0.5153392533466009,0.38732491456618395,0.38732491456618395,,,,,,,,,,,,,,,,,,,,,,,
4,,,0.21730253738036953,0.21730253738036953,1.0,0.13310122897589854,0.13310122897589854,0.5677723160126567,0.19847877442223497,0.19847877442223497,,,,,,,,,,,,,,,,,,,,,,,
5,,,0.1345165271351418,0.1345165271351418,0.9999999999999999,0.13275449164222816,0.13275449164222816,0.5825844168574698,0.5153392533466009,0.5153392533466009,,,,,,,,,,,,,,,,,,,,,,,
6,,,0.13310122897589854,0.13310122897589854,0.9999999999999998,0.131797225429083,0.131797225429083,0.6722223315695411,0.5677723160126567,0.5677723160126567,,,,,,,,,,,,,,,,,,,,,,,
7,,,0.13275449164222816,0.13275449164222816,0.9999999999999999,0.13011467423992693,0.13011467423992693,0.6668658529261012,0.5825844168574698,0.5825844168574698,,,,,,,,,,,,,,,,,,,,,,,
8,,,0.1322676428395034,0.1322676428395034,1.0,0.12865845210524454,0.12865845210524454,0.4986072783339103,0.6131616512410981,0.6131616512410981,,,,,,,,,,,,,,,,,,,,,,,
9,,,0.131797225429083,0.131797225429083,1.0000000000000002,0.12700632992822455,0.12700632992822455,0.515180155185733,0.6722223315695411,0.6722223315695411,,,,,,,,,,,,,,,,,,,,,,,
10,,,0.13011467423992693,0.13011467423992693,0.9999999999999998,0.12676394808457156,0.12676394808457156,0.47557627705551203,0.6668658529261012,0.6668658529261012,,,,,,,,,,,,,,,,,,,,,,,
11,,,0.12865845210524454,0.12865845210524454,1.0,0.12653678680801803,0.12653678680801803,0.4428680092775238,0.4986072783339103,0.4986072783339103,,,,,,,,,,,,,,,,,,,,,,,
12,,,0.12700632992822455,0.12700632992822455,1.0,0.12625169104333392,0.12625169104333392,0.34013026902432597,0.515180155185733,0.515180155185733,,,,,,,,,,,,,,,,,,,,,,,
13,,,0.12676394808457156,0.12676394808457156,0.9999999999999999,0.12604805857360554,0.12604805857360554,0.21816362914900214,0.47557627705551203,0.47557627705551203,,,,,,,,,,,,,,,,,,,,,,,
14,,,0.12653678680801803,0.12653678680801803,1.0,0.12597309063427795,0.12597309063427795,0.14542678453275362,0.4428680092775238,0.4428680092775238,,,,,,,,,,,,,,,,,,,,,,,
15,,,0.12625169104333392,0.12625169104333392,1.0,0.12585347816104056,0.12585347816104056,0.0598249541103787,0.34013026902432597,0.34013026902432597,,,,,,,,,,,,,,,,,,,,,,,
16,,,0.12604805857360554,0.12604805857360554,1.0000000000000002,0.12580767300732626,0.12580767300732626,0.007814564032666787,0.21816362914900214,0.21816362914900214,,,,,,,,,,,,,,,,,,,,,,,
17,,,0.12639170595906465,0.12639170595906465,1.0000000000000002,0.12580416765383148,0.12580416765383148,0.0031771705038858805,0.024895561687979288,0.024895561687979288,,,,,,,,,,,,,,,,,,,,,,,
18,,,0.12597309063427795,0.12597309063427795,0.9999999999999998,0.12580100068295558,0.12580100068295558,4.8616839749018786e-05,0.14542678453275362,0.14542678453275362,,,,,,,,,,,,,,,,,,,,,,,
19,,,0.12585347816104056,0.12585347816104056,1.0000000000000002,0.125800916211448,0.125800916211448,5.647682341232587e-06,0.0598249541103787,0.0598249541103787,,,,,,,,,,,,,,,,,,,,,,,
20,,,0.12580767300732626,0.12580767300732626,1.0000000000000002,0.12580088831076208,0.12580088831076208,6.660499481149547e-08,0.007814564032666787,0.007814564032666787,,,,,,,,,,,,,,,,,,,,,,,
21,,,0.1258229557431518,0.1258229557431518,1.0,0.12580088831076208,0.12580088831076208,6.660499481149547e-08,0.00032609822780547883,0.00032609822780547883,,,,,,,,,,,,,,,,,,,,,,,
22,,,0.12580416765383148,0.12580416765383148,1.0,,,,0.0031771705038858805,0.0031771705038858805,,,,,,,,,,,,,,,,,,,,,,,
23,,,0.12580100068295558,0.12580100068295558,1.0,,,,4.8616839749018786e-05,4.8616839749018786e-05,,,,,,,,,,,,,,,,,,,,,,,
24,,,0.12580104764884925,0.12580104764884925,1.0,,,,1.126779690556626e-05,1.126779690556626e-05,,,,,,,,,,,,,,,,,,,,,,,
25,,,0.125800916211448,0.125800916211448,1.0,,,,5.647682341232587e-06,5.647682341232587e-06,,,,,,,,,,,,,,,,,,,,,,,
26,,,0.12580088831076208,0.12580088831076208,0.9999999999999999,,,,6.660499481149547e-08,6.660499481149547e-08,,,,,,,,,,,,,,,,,,,,,,,
