Iteration,custom_tag,backend,cost_approx,cost_exact,cosine_sim,acc_cost_approx,acc_cost_exact,fidelities,fidelities_cost,fidelities_grad,archt,rhs,qubits,layers,parameters,seed_init,exact,shots,depth,cnots,operator,innerp,cost,optimizer,rotations,entangler,mixer,driver,driver_per,initial_qaoa,sabre,mapomatic,DD
0,full_vqa_exact_bfgs_1,simulator,-0.001406205530711367,-0.001406205530711367,1.0,-0.001406205530711367,-0.001406205530711367,0.015920054965490673,0.015920054965490673,0.015920054965490673,linear_alternating,hnx,5.0,2.0,21.0,7.0,True,1000.0,,,exact,Statevec,Sato21_Innerp,L_BFGS_B,ry,cx,rx,rzz,ryy,hadamards,True,False,False
1,,,-0.10389747571899847,-0.10389747571899847,1.0,-0.0022205882669437812,-0.0022205882669437812,0.006502426095445759,0.08550154265833328,0.08550154265833328,,,,,,,,,,,,,,,,,,,,,,,
2,,,-0.16877769989355088,-0.16877769989355088,1.0,-0.5991117525018231,-0.5991117525018231,0.49060647191742224,0.4752796176506011,0.4752796176506011,,,,,,,,,,,,,,,,,,,,,,,
3,,,-0.0022205882669437812,-0.0022205882669437812,1.0,-0.5991639991183703,-0.5991639991183703,0.49282873722173764,0.006502426095445759,0.006502426095445759,,,,,,,,,,,,,,,,,,,,,,,
4,,,-0.00039248274386856607,-0.00039248274386856607,1.0,-0.6051702182729093,-0.6051702182729093,0.5078257844037487,0.0006355912720298917,0.0006355912720298917,,,,,,,,,,,,,,,,,,,,,,,
5,,,-0.029097520914844282,-0.029097520914844282,0.9999999999999998,-1.5332153017058565,-1.5332153017058565,0.5945309892630044,0.030044358859840196,0.030044358859840196,,,,,,,,,,,,,,,,,,,,,,,
6,,,-0.5668749713610459,-0.5668749713610459,1.0,-1.6177707607362612,-1.6177707607362612,0.6051522105005581,0.4600454424739059,0.4600454424739059,,,,,,,,,,,,,,,,,,,,,,,
7,,,-0.04849914811963075,-0.04849914811963075,1.0,-2.2048266675814276,-2.2048266675814276,0.629359267560473,0.059959620996890894,0.059959620996890894,,,,,,,,,,,,,,,,,,,,,,,
8,,,-0.5610901604659538,-0.5610901604659538,0.9999999999999999,-2.5102891231479925,-2.5102891231479925,0.6258678663844605,0.5002655776913847,0.5002655776913847,,,,,,,,,,,,,,,,,,,,,,,
9,,,-0.5991117525018231,-0.5991117525018231,1.0000000000000002,-3.1306615750937374,-3.1306615750937374,0.6888830881802216,0.49060647191742224,0.49060647191742224,,,,,,,,,,,,,,,,,,,,,,,
