Iteration,custom_tag,backend,cost_approx,cost_exact,cosine_sim,acc_cost_approx,acc_cost_exact,fidelities,fidelities_cost,fidelities_grad,archt,rhs,qubits,layers,parameters,seed_init,exact,shots,depth,cnots,operator,innerp,cost,optimizer,rotations,entangler,mixer,driver,driver_per,initial_qaoa,sabre,mapomatic,DD
0,full_vqa_aer_nft_hyper_1,simulator,0.12961696645502685,0.12023255861204768,,0.12961696645502685,0.12023255861204768,0.06075804561751194,0.06075804561751194,,linear_alternating,hnx,5.0,3.0,29.0,5.0,False,1000.0,13.0,0.0,SatoLiu21,HTest,Sato21_Nonnorm,NFT,ry,cz,rx,rzz,ryy,hadamards,True,False,False
1,,,0.11659425974051205,0.10088038100909656,,-0.6841522840433621,0.0025914289255131767,0.011427929965999213,0.018413054967111448,,,,,,,,,,17.0,2.0,,,,,,,,,,,,,
2,,,0.09358785054698891,0.0918127258749198,,-1.8136818518770443,0.05018231228504743,0.019112699575972954,0.045325077213554936,,,,,,,,,,18.0,3.0,,,,,,,,,,,,,
3,,,0.024636253597341486,0.011739372329795012,,-3.1874721107937343,0.0032406263957823317,0.09077198351307175,0.026518692509766746,,,,,,,,,,19.0,4.0,,,,,,,,,,,,,
4,,,0.05026135676061652,0.05258531970062626,,-2.6107253417986156,-0.0017731247632210376,0.08085067348343897,0.00013605036938427076,,,,,,,,,,20.0,5.0,,,,,,,,,,,,,
5,,,-0.027799123399335438,-0.023039804920612788,,-3.834825547373549,-0.00412956841104224,0.09299749684301716,0.13413670406945657,,,,,,,,,,174.0,59.0,,,,,,,,,,,,,
6,,,0.10752576177501279,0.10288698727862297,,-3.915062961017155,-0.028795409579371406,0.1285166991229635,0.029149966110312307,,,,,,,,,,,,,,,,,,,,,,,,
7,,,0.050428634837033436,0.041250920985367666,,-5.645929071301021,-0.030078081374996384,0.1306241701040582,0.06009613559901227,,,,,,,,,,,,,,,,,,,,,,,,
8,,,-0.0079029710947241,-0.005854142596850211,,-5.645929071301021,-0.09353662490411024,0.2823249751547731,0.03273734190059544,,,,,,,,,,,,,,,,,,,,,,,,
9,,,0.03102963720183331,0.03823793669879145,,,-0.09339984327854109,0.2791773309028662,0.005123999102357325,,,,,,,,,,,,,,,,,,,,,,,,
10,,,-0.0010510070543847563,0.0009723174021774384,,,-0.09699367872954441,0.3029859726160048,0.10925599461524545,,,,,,,,,,,,,,,,,,,,,,,,
11,,,0.07177026078523983,0.0695878380599671,,,-0.09736423500997832,0.3019253609750498,0.004080458304483592,,,,,,,,,,,,,,,,,,,,,,,,
12,,,-0.035575360378974165,-0.0418080465682207,,,-0.09734251840344091,0.30175561632413345,0.1349775458024039,,,,,,,,,,,,,,,,,,,,,,,,
13,,,0.010729355124862035,0.011589401101665031,,,-0.09977032798591781,0.32057139190051925,0.04864168932857038,,,,,,,,,,,,,,,,,,,,,,,,
14,,,-0.017612001118111342,-0.009040849928858551,,,-0.09981961726003145,0.3197233366877491,0.08204558411357127,,,,,,,,,,,,,,,,,,,,,,,,
15,,,0.06973809762030325,0.07736778841387536,,,-0.127245749907912,0.41286068167025314,0.0026076101660044804,,,,,,,,,,,,,,,,,,,,,,,,
16,,,-0.10983590198500136,-0.10902261343869636,,,-0.13180749400919398,0.44637023078072524,0.31605686330784216,,,,,,,,,,,,,,,,,,,,,,,,
17,,,-0.06026287865815301,-0.05039247293852736,,,-0.14890029986124553,0.5067559575425771,0.13467667267812283,,,,,,,,,,,,,,,,,,,,,,,,
18,,,-0.03432136956320675,-0.03676776735226635,,,-0.15907942315374238,0.5467456875070907,0.14780082473138773,,,,,,,,,,,,,,,,,,,,,,,,
19,,,-0.06428515407892356,-0.06593467866883085,,,-0.15908840203658745,0.5461641229069352,0.2541649621026779,,,,,,,,,,,,,,,,,,,,,,,,
20,,,-0.008620188839742499,-0.013399131042027643,,,-0.15910296031326282,0.545352264958627,0.05908962329068204,,,,,,,,,,,,,,,,,,,,,,,,
21,,,-0.03824775153832817,-0.04177056373330488,,,-0.1592005291010244,0.5453354392801647,0.1622612776943548,,,,,,,,,,,,,,,,,,,,,,,,
22,,,-0.04965998032406952,-0.054445710743658095,,,-0.1730199987013685,0.5946829245770516,0.14109437998875954,,,,,,,,,,,,,,,,,,,,,,,,
23,,,-0.04555996167881241,-0.045468614778620874,,,-0.18954206683250446,0.673040376048861,0.1271961782603892,,,,,,,,,,,,,,,,,,,,,,,,
24,,,-0.04443997576226082,-0.04891143441086052,,,-0.1898584380395437,0.6769360230613062,0.17676356446304078,,,,,,,,,,,,,,,,,,,,,,,,
25,,,-0.08401372424364742,-0.07869124842095773,,,-0.18984108644511583,0.6769894563094518,0.24743720619460877,,,,,,,,,,,,,,,,,,,,,,,,
26,,,-0.04423533970616273,-0.04083309278598884,,,-0.19114050201386681,0.6808940319340037,0.0780807054924615,,,,,,,,,,,,,,,,,,,,,,,,
27,,,-0.043631557501014724,-0.056211765000908416,,,-0.1911160260941359,0.6808634804844663,0.1793074825171203,,,,,,,,,,,,,,,,,,,,,,,,
28,,,-0.05026345846574691,-0.05644315343462683,,,-0.19109589118199025,0.6806278763038405,0.1423302223808554,,,,,,,,,,,,,,,,,,,,,,,,
