Iteration,custom_tag,backend,cost_approx,cost_exact,cosine_sim,acc_cost_approx,acc_cost_exact,fidelities,fidelities_cost,fidelities_grad,archt,rhs,qubits,layers,parameters,seed_init,exact,shots,depth,cnots,operator,innerp,cost,optimizer,rotations,entangler,mixer,driver,driver_per,initial_qaoa,sabre,mapomatic,DD
0,full_vqa_aer_nft_hyper_2,simulator,-0.009275362318840592,-0.006340100878395437,,-0.009275362318840592,-0.006340100878395437,0.006295018949043717,0.006295018949043717,,linear_alternating,hnx,5.0,3.0,29.0,12.0,False,100.0,13.0,0.0,SatoLiu21,HTest,Sato21_Innerp,NFT,ry,cz,rx,rzz,ryy,hadamards,True,False,False
1,,,-0.006066350710900482,-0.011259792174330442,,-0.48484848484848486,-0.00916706406156059,0.011347907691708365,0.022805849876077137,,,,,,,,,,17.0,2.0,,,,,,,,,,,,,
2,,,-0.00045197740112994426,-0.00017769945949515579,,-0.8799999999999996,-0.28284232405688786,0.2982133168526324,0.001506272005442502,,,,,,,,,,18.0,3.0,,,,,,,,,,,,,
3,,,-0.1429729729729729,-0.16389106705345385,,-0.8620512820512825,-0.1996631807896303,0.20530301145167237,0.21435468061793644,,,,,,,,,,19.0,4.0,,,,,,,,,,,,,
4,,,-0.007153284671532837,-0.022516724168440524,,-1.0657894736842106,-0.30981897539093123,0.22315941116788393,0.09755204786839441,,,,,,,,,,20.0,5.0,,,,,,,,,,,,,
5,,,-0.06963855421686743,-0.09664374434636812,,-1.7066666666666679,-0.3094738525471433,0.22355848823395233,0.18630929801254761,,,,,,,,,,174.0,59.0,,,,,,,,,,,,,
6,,,-0.1877777777777778,-0.11089514114256749,,-0.8604444444444443,-0.3242351065942709,0.23698846467831983,0.11604311657244179,,,,,,,,,,,,,,,,,,,,,,,,
7,,,-0.28125000000000006,-0.2787855140095077,,-0.3599999999999998,-0.3223848618086219,0.23647663769417174,0.19791782967319174,,,,,,,,,,,,,,,,,,,,,,,,
8,,,-0.024693877551020402,-0.007570344369793887,,-1.085128205128205,-0.3721669954890348,0.39677818351006877,0.03837912391978274,,,,,,,,,,,,,,,,,,,,,,,,
9,,,-0.11559999999999994,-0.1733620877536287,,-2.0878260869565217,-0.40724235451128216,0.4483716125627578,0.09896124306617,,,,,,,,,,,,,,,,,,,,,,,,
10,,,-0.1278260869565217,-0.1505844685063449,,-2.7138461538461565,-0.47341828758841475,0.47064267889898437,0.1249551174762804,,,,,,,,,,,,,,,,,,,,,,,,
11,,,-0.14173228346456698,-0.11994867489155232,,-1.2272222222222227,-0.47213675959380375,0.471910491509969,0.19013263156962187,,,,,,,,,,,,,,,,,,,,,,,,
12,,,-0.04349397590361445,-0.027096100010530144,,-4.54545454545455,-0.6238816435326678,0.6274893685743829,0.05411488139094651,,,,,,,,,,,,,,,,,,,,,,,,
13,,,-0.07534883720930229,-0.0537106071156951,,-3.571428571428574,-0.6339698361139532,0.6378245188774799,0.09200396204781483,,,,,,,,,,,,,,,,,,,,,,,,
14,,,-0.0674766355140187,-0.1432146198855882,,-1.0565714285714292,-0.7244846841290908,0.6516862462406886,0.14833149097357598,,,,,,,,,,,,,,,,,,,,,,,,
15,,,-0.006371681415929208,-0.022231520140260103,,-1.5234482758620693,-0.7141100313684366,0.6523488670260309,0.0035499301510268,,,,,,,,,,,,,,,,,,,,,,,,
16,,,-0.446896551724138,-0.31011278129243675,,-1.201250000000002,-0.7082216486814921,0.6498027315008541,0.3945531941341737,,,,,,,,,,,,,,,,,,,,,,,,
17,,,-0.062051282051282054,-0.07669085114990061,,-1.2960000000000003,-0.7335663119480577,0.6663359710970862,0.07438525167038328,,,,,,,,,,,,,,,,,,,,,,,,
18,,,-0.32999999999999996,-0.33273026439062425,,-1.4864516129032266,-0.7655226181249901,0.6742922213014884,0.38202438262895416,,,,,,,,,,,,,,,,,,,,,,,,
19,,,-0.48484848484848486,-0.40724235451128216,,-7.744000000000026,-0.7722431333719334,0.671656085578443,0.4483716125627578,,,,,,,,,,,,,,,,,,,,,,,,
20,,,-0.028613138686131395,-0.040817531385588406,,-1.8400000000000016,-0.7757051136624348,0.6522173797570179,0.1267288309613973,,,,,,,,,,,,,,,,,,,,,,,,
21,,,-0.2289719626168224,-0.29109200904749755,,-2.0878260869565217,-0.7185892249188606,0.5845218099353615,0.34925185291080035,,,,,,,,,,,,,,,,,,,,,,,,
22,,,-0.09382978723404256,-0.17604836728790638,,-1.6200000000000003,-0.7886757264953147,0.5899207435387547,0.19198856733269176,,,,,,,,,,,,,,,,,,,,,,,,
23,,,-0.11755555555555551,-0.13741681729810531,,-1.7640000000000016,-0.7912963575415387,0.5903211810620321,0.28305977023820716,,,,,,,,,,,,,,,,,,,,,,,,
24,,,-0.9411764705882358,-0.6191961824261255,,-1.7640000000000016,-0.7847522872821604,0.5923217572831443,0.6244537598493517,,,,,,,,,,,,,,,,,,,,,,,,
25,,,-0.036923076923076927,-0.0411046813135016,,,-0.7882600006834037,0.5749756463251869,0.03286266597069842,,,,,,,,,,,,,,,,,,,,,,,,
26,,,-0.31578947368421056,-0.41593327378190087,,,-0.7920139006699941,0.5765066319931113,0.4692386056928181,,,,,,,,,,,,,,,,,,,,,,,,
27,,,-0.20535211267605635,-0.182127204249569,,,-0.8300970219379946,0.590227332127894,0.18944117311021816,,,,,,,,,,,,,,,,,,,,,,,,
28,,,-0.21491228070175433,-0.21169916406685246,,,-0.9180343256585609,0.6594053050194234,0.497278376537992,,,,,,,,,,,,,,,,,,,,,,,,
29,,,-0.059169811320754724,-0.04033720217591684,,,-0.8167928409476962,0.5605187539153365,0.18000220258081556,,,,,,,,,,,,,,,,,,,,,,,,
30,,,-0.1,-0.13608289085667136,,,-0.820022208109051,0.5607761069052645,0.3053028469582947,,,,,,,,,,,,,,,,,,,,,,,,
31,,,-0.2112068965517241,-0.16426428483423822,,,-0.8165350265094783,0.5601741430115381,0.34705204764185016,,,,,,,,,,,,,,,,,,,,,,,,
32,,,-0.21441176470588236,-0.25164962403113555,,,-0.8844075046298896,0.5567523886411091,0.44455140308046265,,,,,,,,,,,,,,,,,,,,,,,,
33,,,-0.24685714285714283,-0.18037875353967436,,,-0.8991288896147029,0.5681582505009325,0.22608767718319328,,,,,,,,,,,,,,,,,,,,,,,,
34,,,-0.39862068965517244,-0.3894239357537532,,,-0.8918109686108989,0.5677153606532342,0.48560004201446727,,,,,,,,,,,,,,,,,,,,,,,,
35,,,-0.22724637681159426,-0.19478550473101033,,,-0.8977104522440695,0.5676438939733907,0.19638397012201272,,,,,,,,,,,,,,,,,,,,,,,,
36,,,-0.2168141592920354,-0.25296428661693077,,,-0.8868327449563345,0.5677982299873092,0.45266026277348576,,,,,,,,,,,,,,,,,,,,,,,,
37,,,-0.08445945945945946,-0.08862011697846413,,,-0.9425897540325924,0.5704269448342035,0.23195185032882637,,,,,,,,,,,,,,,,,,,,,,,,
38,,,-0.8799999999999996,-0.7655226181249901,,,-1.027408822432267,0.6552166243071048,0.6742922213014884,,,,,,,,,,,,,,,,,,,,,,,,
39,,,-0.324494382022472,-0.2783894275667839,,,-1.0315868838065574,0.6559574452584837,0.308584544370068,,,,,,,,,,,,,,,,,,,,,,,,
40,,,-0.2464102564102565,-0.15543917322880074,,,-1.0401734482842016,0.6591941491021835,0.366971613289155,,,,,,,,,,,,,,,,,,,,,,,,
41,,,-0.37692307692307686,-0.32618865520245227,,,-1.061793123245928,0.6614241660842651,0.2411542042435145,,,,,,,,,,,,,,,,,,,,,,,,
42,,,-0.19314285714285717,-0.2375511911539386,,,-1.1218014445437121,0.6926501549674519,0.4461423834087242,,,,,,,,,,,,,,,,,,,,,,,,
43,,,-0.26470588235294124,-0.31092183009787133,,,-1.2121837499368988,0.7007405891534162,0.2570483198678732,,,,,,,,,,,,,,,,,,,,,,,,
44,,,-0.9696969696969697,-0.4855931885426368,,,-1.2234691503603239,0.7018882906956837,0.4033764119106677,,,,,,,,,,,,,,,,,,,,,,,,
45,,,-0.04987012987012987,-0.03648644955542102,,,-1.3072822657504028,0.717754462162187,0.1964113804781716,,,,,,,,,,,,,,,,,,,,,,,,
46,,,-0.1562162162162162,-0.18593252012795297,,,-1.3561154302045724,0.7299168608798686,0.40709500281559324,,,,,,,,,,,,,,,,,,,,,,,,
