Iteration,custom_tag,backend,cost_approx,cost_exact,cosine_sim,acc_cost_approx,acc_cost_exact,fidelities,fidelities_cost,fidelities_grad,archt,rhs,qubits,layers,parameters,seed_init,exact,shots,depth,cnots,operator,innerp,cost,optimizer,rotations,entangler,mixer,driver,driver_per,initial_qaoa,sabre,mapomatic,DD
0,full_vqa_exact_bfgs_1,simulator,-0.004304949620301852,-0.004304949620301852,0.9999999999999999,-0.004304949620301852,-0.004304949620301852,0.023899284850536027,0.023899284850536027,0.023899284850536027,linear,hnx,5.0,5.0,30.0,2.0,True,1000.0,,,exact,Statevec,Sato21_Innerp,L_BFGS_B,ry,cz,rx,rzz,ryy,hadamards,True,False,False
1,,,-0.20413574448574243,-0.20413574448574243,0.9999999999999999,-0.6660538364670412,-0.6660538364670412,0.6538903763277807,0.41334098814719544,0.41334098814719544,,,,,,,,,,,,,,,,,,,,,,,
2,,,-0.0023959289360194914,-0.0023959289360194914,1.0,-0.6667752787866501,-0.6667752787866501,0.6527131189672757,0.003913804410672671,0.003913804410672671,,,,,,,,,,,,,,,,,,,,,,,
3,,,-0.6558796049427312,-0.6558796049427312,1.0,-1.546715595234546,-1.546715595234546,0.844990147438393,0.6469096594476669,0.6469096594476669,,,,,,,,,,,,,,,,,,,,,,,
4,,,-0.6011154134764458,-0.6011154134764458,1.0,-2.317858074943436,-2.317858074943436,0.8848098049280844,0.6436278152868429,0.6436278152868429,,,,,,,,,,,,,,,,,,,,,,,
5,,,-0.6660538364670412,-0.6660538364670412,1.0000000000000002,-2.6563819251417056,-2.6563819251417056,0.915996040609428,0.6538903763277807,0.6538903763277807,,,,,,,,,,,,,,,,,,,,,,,
6,,,-0.10660476958794866,-0.10660476958794866,1.0,-3.0511205014509843,-3.0511205014509843,0.9314986110274242,0.27102678470507,0.27102678470507,,,,,,,,,,,,,,,,,,,,,,,
7,,,-0.6667752787866501,-0.6667752787866501,1.0000000000000002,-3.385996154933629,-3.385996154933629,0.9291914121725172,0.6527131189672757,0.6527131189672757,,,,,,,,,,,,,,,,,,,,,,,
8,,,-0.9490881694709941,-0.9490881694709941,0.9999999999999999,-3.879581580467054,-3.879581580467054,0.926291493839662,0.717924418329171,0.717924418329171,,,,,,,,,,,,,,,,,,,,,,,
9,,,-1.546715595234546,-1.546715595234546,1.0,-3.9770143285896356,-3.9770143285896356,0.9306837540160603,0.844990147438393,0.844990147438393,,,,,,,,,,,,,,,,,,,,,,,
10,,,-2.317858074943436,-2.317858074943436,1.0000000000000002,-4.005472671318682,-4.005472671318682,0.9353360648675265,0.8848098049280844,0.8848098049280844,,,,,,,,,,,,,,,,,,,,,,,
11,,,-1.1770517795798896,-1.1770517795798896,0.9999999999999999,-4.043829186100917,-4.043829186100917,0.9337916515062183,0.8346594909604472,0.8346594909604472,,,,,,,,,,,,,,,,,,,,,,,
12,,,-2.6563819251417056,-2.6563819251417056,1.0,-4.053150392419467,-4.053150392419467,0.9339017308005005,0.915996040609428,0.915996040609428,,,,,,,,,,,,,,,,,,,,,,,
13,,,-3.0511205014509843,-3.0511205014509843,1.0,-4.061322439244613,-4.061322439244613,0.9347669022917131,0.9314986110274242,0.9314986110274242,,,,,,,,,,,,,,,,,,,,,,,
14,,,-0.5891505216293563,-0.5891505216293563,1.0,-4.072408730016775,-4.072408730016775,0.9368851091163634,0.545130083163638,0.545130083163638,,,,,,,,,,,,,,,,,,,,,,,
15,,,-3.385996154933629,-3.385996154933629,1.0000000000000002,-4.081270007640326,-4.081270007640326,0.9395219177268214,0.9291914121725172,0.9291914121725172,,,,,,,,,,,,,,,,,,,,,,,
16,,,-3.879581580467054,-3.879581580467054,1.0000000000000002,-4.084241733003357,-4.084241733003357,0.9408349552491934,0.926291493839662,0.926291493839662,,,,,,,,,,,,,,,,,,,,,,,
17,,,-3.9770143285896356,-3.9770143285896356,1.0000000000000002,-4.085749155339294,-4.085749155339294,0.9416256358567561,0.9306837540160603,0.9306837540160603,,,,,,,,,,,,,,,,,,,,,,,
18,,,-4.005472671318682,-4.005472671318682,1.0,-4.086833357363697,-4.086833357363697,0.9424874518959958,0.9353360648675265,0.9353360648675265,,,,,,,,,,,,,,,,,,,,,,,
19,,,-4.043829186100917,-4.043829186100917,1.0000000000000002,-4.0873698485975405,-4.0873698485975405,0.9430045201666346,0.9337916515062183,0.9337916515062183,,,,,,,,,,,,,,,,,,,,,,,
20,,,-4.053150392419467,-4.053150392419467,1.0000000000000002,-4.087824686641843,-4.087824686641843,0.9435565755787878,0.9339017308005005,0.9339017308005005,,,,,,,,,,,,,,,,,,,,,,,
21,,,-4.061322439244613,-4.061322439244613,1.0000000000000002,-4.0879699598777,-4.0879699598777,0.9437584611233364,0.9347669022917131,0.9347669022917131,,,,,,,,,,,,,,,,,,,,,,,
