Iteration,custom_tag,backend,cost_approx,cost_exact,cosine_sim,acc_cost_approx,acc_cost_exact,fidelities,fidelities_cost,fidelities_grad,archt,rhs,qubits,layers,parameters,seed_init,exact,shots,depth,cnots,operator,innerp,cost,optimizer,rotations,entangler,mixer,driver,driver_per,initial_qaoa,sabre,mapomatic,DD
0,full_vqa_aer_powell_1,simulator,-0.006031821612349919,-0.006340100878395437,,-0.006031821612349919,-0.006340100878395437,0.006295018949043717,0.006295018949043717,,linear_alternating,hnx,5.0,3.0,29.0,12.0,False,100000.0,13.0,0.0,SatoLiu21,HTest,Sato21_Innerp,POWELL,ry,cz,rx,rzz,ryy,hadamards,True,False,False
1,,,-0.006128559973225325,-0.006340100878395437,,-2.503573796088133,-2.4546859632956854,0.8934315062830113,0.006295018949043717,,,,,,,,,,17.0,2.0,,,,,,,,,,,,,
2,,,-0.010905391677740319,-0.011174867115724844,,-3.9357647561509577,-3.7975977130887735,0.8973993911625798,0.017950814821243322,,,,,,,,,,18.0,3.0,,,,,,,,,,,,,
3,,,-0.008717280078391969,-0.00832347764973724,,-4.132385434363825,-4.057163011833703,0.8962409787405778,0.022556514191115422,,,,,,,,,,19.0,4.0,,,,,,,,,,,,,
4,,,-0.011161866744420164,-0.011174867115724844,,,,,0.017950814821243322,,,,,,,,,,20.0,5.0,,,,,,,,,,,,,
5,,,-0.011243426033944223,-0.011197280696092814,,,,,0.023070729025959035,,,,,,,,,,174.0,59.0,,,,,,,,,,,,,
6,,,-0.010402384992870823,-0.01040096289177177,,,,,0.02427894068564858,,,,,,,,,,,,,,,,,,,,,,,,
7,,,-0.011710237155141714,-0.01142677273396987,,,,,0.02116063222510788,,,,,,,,,,,,,,,,,,,,,,,,
8,,,-0.010833572781867985,-0.011428798414258886,,,,,0.02102989024771436,,,,,,,,,,,,,,,,,,,,,,,,
9,,,-0.011214221118546792,-0.011380912552609264,,,,,0.021982937758631145,,,,,,,,,,,,,,,,,,,,,,,,
10,,,-0.01210060975609756,-0.011415771506252623,,,,,0.02148747628688713,,,,,,,,,,,,,,,,,,,,,,,,
11,,,-0.011059845473848855,-0.011404900804864943,,,,,0.021681684145133783,,,,,,,,,,,,,,,,,,,,,,,,
12,,,-0.011518847077742098,-0.011420945311956405,,,,,0.021364451358805683,,,,,,,,,,,,,,,,,,,,,,,,
13,,,-0.012144970782046502,-0.011415771506252623,,,,,0.02148747628688713,,,,,,,,,,,,,,,,,,,,,,,,
14,,,-0.05745437145396134,-0.05540083798837089,,,,,0.1343454842204091,,,,,,,,,,,,,,,,,,,,,,,,
15,,,-0.14610544631026087,-0.14405494973031718,,,,,0.2675269930024005,,,,,,,,,,,,,,,,,,,,,,,,
16,,,-0.0003664500832761839,-0.00037805834627681106,,,,,0.014672933966565799,,,,,,,,,,,,,,,,,,,,,,,,
17,,,-0.14332617459993033,-0.14405494973031718,,,,,0.2675269930024005,,,,,,,,,,,,,,,,,,,,,,,,
18,,,-0.06490277387561386,-0.06469594410195455,,,,,0.2003414902872279,,,,,,,,,,,,,,,,,,,,,,,,
19,,,-0.1314884706691897,-0.1309708910675137,,,,,0.24674822363892146,,,,,,,,,,,,,,,,,,,,,,,,
20,,,-0.14818883462606533,-0.14684475363544308,,,,,0.26704156253149963,,,,,,,,,,,,,,,,,,,,,,,,
21,,,-0.14482552387040262,-0.14670656800495344,,,,,0.2657455005460845,,,,,,,,,,,,,,,,,,,,,,,,
22,,,-0.14060357596001338,-0.14662330264470153,,,,,0.2673768779251016,,,,,,,,,,,,,,,,,,,,,,,,
23,,,-0.14662624271937372,-0.1469043095185095,,,,,0.26667365557269684,,,,,,,,,,,,,,,,,,,,,,,,
24,,,-0.14836308338361287,-0.14684475363544308,,,,,0.26704156253149963,,,,,,,,,,,,,,,,,,,,,,,,
25,,,-0.07242396486287385,-0.07228446321640904,,,,,0.21748130151827597,,,,,,,,,,,,,,,,,,,,,,,,
26,,,-0.08402027205636034,-0.08177059963201098,,,,,0.11375808197689032,,,,,,,,,,,,,,,,,,,,,,,,
27,,,-0.14775153684564332,-0.14684475363544308,,,,,0.26704156253149963,,,,,,,,,,,,,,,,,,,,,,,,
28,,,-0.15253775676581163,-0.15300571957282008,,,,,0.23438442030895126,,,,,,,,,,,,,,,,,,,,,,,,
29,,,-0.13438636865706874,-0.1327926973143068,,,,,0.19417361696244262,,,,,,,,,,,,,,,,,,,,,,,,
30,,,-0.15804235393776317,-0.15666928965211468,,,,,0.25246253972234217,,,,,,,,,,,,,,,,,,,,,,,,
31,,,-0.15613493780971255,-0.1566113733295786,,,,,0.25382335150253976,,,,,,,,,,,,,,,,,,,,,,,,
32,,,-0.15483688782899663,-0.1561842185761931,,,,,0.24627530905543046,,,,,,,,,,,,,,,,,,,,,,,,
33,,,-0.1575019583712211,-0.15662111914912627,,,,,0.2502141372482341,,,,,,,,,,,,,,,,,,,,,,,,
34,,,-0.15362711643657204,-0.15667110988487648,,,,,0.2516376754957946,,,,,,,,,,,,,,,,,,,,,,,,
35,,,-0.15529792194940942,-0.15666433820340653,,,,,0.2526972670396603,,,,,,,,,,,,,,,,,,,,,,,,
36,,,-0.1589432222236183,-0.1566727879419977,,,,,0.2521498674929681,,,,,,,,,,,,,,,,,,,,,,,,
37,,,-0.16057797513898425,-0.15667312351166376,,,,,0.25190802621986497,,,,,,,,,,,,,,,,,,,,,,,,
38,,,-0.15611503696625262,-0.15667312351166376,,,,,0.25190802621986497,,,,,,,,,,,,,,,,,,,,,,,,
39,,,-0.2701211191957738,-0.27401186846602643,,,,,0.32015329585373437,,,,,,,,,,,,,,,,,,,,,,,,
40,,,-0.10101145194444908,-0.10017693851051121,,,,,0.1462761403925242,,,,,,,,,,,,,,,,,,,,,,,,
41,,,-0.2769936198455631,-0.27401186846602643,,,,,0.32015329585373437,,,,,,,,,,,,,,,,,,,,,,,,
42,,,-0.23148698975427304,-0.23039997279330687,,,,,0.28689521233468107,,,,,,,,,,,,,,,,,,,,,,,,
43,,,-0.248958325588046,-0.2519625032511874,,,,,0.31097511994329874,,,,,,,,,,,,,,,,,,,,,,,,
44,,,-0.2727743319194816,-0.2737032015114908,,,,,0.3195085475956989,,,,,,,,,,,,,,,,,,,,,,,,
45,,,-0.275169187507203,-0.27283972335145773,,,,,0.32014764364142473,,,,,,,,,,,,,,,,,,,,,,,,
46,,,-0.27543904041563816,-0.2738618586346455,,,,,0.3202566918884208,,,,,,,,,,,,,,,,,,,,,,,,
47,,,-0.2754468436737242,-0.2740095587307666,,,,,0.31997182669440993,,,,,,,,,,,,,,,,,,,,,,,,
48,,,-0.270547424,-0.2739662853952171,,,,,0.3202084332896504,,,,,,,,,,,,,,,,,,,,,,,,
49,,,-0.27430962395863256,-0.27402862337851613,,,,,0.32008215711234206,,,,,,,,,,,,,,,,,,,,,,,,
50,,,-0.27843877976872,-0.27401186846602643,,,,,0.32015329585373437,,,,,,,,,,,,,,,,,,,,,,,,
51,,,-0.20178244830801295,-0.20125386306246482,,,,,0.23529720731459022,,,,,,,,,,,,,,,,,,,,,,,,
52,,,-0.13772595916970798,-0.13191034078426345,,,,,0.16635184241194959,,,,,,,,,,,,,,,,,,,,,,,,
53,,,-0.2739915304741693,-0.27401186846602643,,,,,0.32015329585373437,,,,,,,,,,,,,,,,,,,,,,,,
54,,,-0.2511284943930211,-0.25246883803466164,,,,,0.2984459236973984,,,,,,,,,,,,,,,,,,,,,,,,
55,,,-0.2570980568185029,-0.2599704574061601,,,,,0.30358751524100946,,,,,,,,,,,,,,,,,,,,,,,,
56,,,-0.27674989936061023,-0.27433024598246397,,,,,0.3207258111673073,,,,,,,,,,,,,,,,,,,,,,,,
57,,,-0.2733214815136011,-0.2708230111755134,,,,,0.3174752201017682,,,,,,,,,,,,,,,,,,,,,,,,
58,,,-0.27615814837628394,-0.2739927361095676,,,,,0.32051034790923716,,,,,,,,,,,,,,,,,,,,,,,,
59,,,-0.27151217840871755,-0.2742979443373029,,,,,0.32072162534907667,,,,,,,,,,,,,,,,,,,,,,,,
60,,,-0.27673882233589564,-0.274322915732314,,,,,0.32063207276191064,,,,,,,,,,,,,,,,,,,,,,,,
61,,,-0.2766756931382543,-0.27434446192511963,,,,,0.3207023066977287,,,,,,,,,,,,,,,,,,,,,,,,
62,,,-0.2763437118451191,-0.2743391401839649,,,,,0.320720613796057,,,,,,,,,,,,,,,,,,,,,,,,
63,,,-0.273296666857241,-0.2743201042900976,,,,,0.3207266078332191,,,,,,,,,,,,,,,,,,,,,,,,
64,,,-0.27632086805555556,-0.2743341488131733,,,,,0.3207243775403947,,,,,,,,,,,,,,,,,,,,,,,,
65,,,-0.27584529842480054,-0.27432669260373943,,,,,0.3207264649673274,,,,,,,,,,,,,,,,,,,,,,,,
66,,,-0.2743992509491593,-0.2743318591444008,,,,,0.320725327426467,,,,,,,,,,,,,,,,,,,,,,,,
67,,,-0.27091512702078535,-0.2743285356965329,,,,,0.32072618895253874,,,,,,,,,,,,,,,,,,,,,,,,
68,,,-0.2708240345193464,-0.27433024598246397,,,,,0.3207258111673073,,,,,,,,,,,,,,,,,,,,,,,,
69,,,-0.30119316673725816,-0.2987664243957455,,,,,0.33046176748303685,,,,,,,,,,,,,,,,,,,,,,,,
70,,,-0.04757705310633135,-0.047597099516153596,,,,,0.09207239084298428,,,,,,,,,,,,,,,,,,,,,,,,
71,,,-0.3010684584009595,-0.2987664243957455,,,,,0.33046176748303685,,,,,,,,,,,,,,,,,,,,,,,,
72,,,-0.17823608941407768,-0.18081572201570428,,,,,0.2584704870924202,,,,,,,,,,,,,,,,,,,,,,,,
73,,,-0.33766911572923014,-0.33845250069205435,,,,,0.34679318633440465,,,,,,,,,,,,,,,,,,,,,,,,
74,,,-0.3298654140087749,-0.32861882309550916,,,,,0.343103935943179,,,,,,,,,,,,,,,,,,,,,,,,
75,,,-0.33141481766549746,-0.3393036092061355,,,,,0.3470996277437094,,,,,,,,,,,,,,,,,,,,,,,,
76,,,-0.3282096871739822,-0.32966010267598095,,,,,0.3434524004539468,,,,,,,,,,,,,,,,,,,,,,,,
77,,,-0.3345958758559414,-0.33618311787927385,,,,,0.3459494735641021,,,,,,,,,,,,,,,,,,,,,,,,
78,,,-0.33162219754493505,-0.33824466651566437,,,,,0.34671674131569336,,,,,,,,,,,,,,,,,,,,,,,,
79,,,-0.33540282193449616,-0.33898975342292126,,,,,0.3469893306093071,,,,,,,,,,,,,,,,,,,,,,,,
80,,,-0.3428569260338714,-0.33868842185872206,,,,,0.34687963914496134,,,,,,,,,,,,,,,,,,,,,,,,
81,,,-0.3374388321258472,-0.33882557829569215,,,,,0.3469296955976153,,,,,,,,,,,,,,,,,,,,,,,,
82,,,-0.33573186291111934,-0.33868842185872206,,,,,0.34687963914496134,,,,,,,,,,,,,,,,,,,,,,,,
83,,,-0.24896999656249105,-0.24943864138838845,,,,,0.294510504902157,,,,,,,,,,,,,,,,,,,,,,,,
84,,,-0.07395320418374875,-0.0750205532872971,,,,,0.1350814886674385,,,,,,,,,,,,,,,,,,,,,,,,
85,,,-0.3435968199708339,-0.33868842185872206,,,,,0.34687963914496134,,,,,,,,,,,,,,,,,,,,,,,,
86,,,-0.2380878912929148,-0.23477506689900943,,,,,0.2966835875007104,,,,,,,,,,,,,,,,,,,,,,,,
87,,,-0.3490618677938781,-0.3482581191092441,,,,,0.34630957595906836,,,,,,,,,,,,,,,,,,,,,,,,
88,,,-0.35614135517865964,-0.3519229615731036,,,,,0.3495227804866003,,,,,,,,,,,,,,,,,,,,,,,,
89,,,-0.3539748067838866,-0.3517181373304178,,,,,0.34967092280475087,,,,,,,,,,,,,,,,,,,,,,,,
90,,,-0.35183961929139596,-0.3517379191362113,,,,,0.3488631601307174,,,,,,,,,,,,,,,,,,,,,,,,
91,,,-0.347056200400672,-0.3519669289815172,,,,,0.3494257010310208,,,,,,,,,,,,,,,,,,,,,,,,
92,,,-0.34596948688490103,-0.35190580114607534,,,,,0.34954477025813835,,,,,,,,,,,,,,,,,,,,,,,,
93,,,-0.3518820170644566,-0.3519443310232725,,,,,0.34948752389249393,,,,,,,,,,,,,,,,,,,,,,,,
94,,,-0.3453362358217256,-0.3519229615731036,,,,,0.3495227804866003,,,,,,,,,,,,,,,,,,,,,,,,
95,,,-0.21548726227564713,-0.21097738156934845,,,,,0.17275818601913154,,,,,,,,,,,,,,,,,,,,,,,,
96,,,-0.09310056176119728,-0.09381904355145919,,,,,0.3178714403432033,,,,,,,,,,,,,,,,,,,,,,,,
97,,,-0.3468084321322485,-0.3519229615731036,,,,,0.3495227804866003,,,,,,,,,,,,,,,,,,,,,,,,
98,,,-0.2589252527774624,-0.26021349198347277,,,,,0.39521153260263564,,,,,,,,,,,,,,,,,,,,,,,,
99,,,-0.3346399319830461,-0.33913531749932496,,,,,0.29116667012560893,,,,,,,,,,,,,,,,,,,,,,,,
100,,,-0.3495460614812601,-0.3552927563578945,,,,,0.33613731745412906,,,,,,,,,,,,,,,,,,,,,,,,
101,,,-0.35936627585165803,-0.3554032654849804,,,,,0.33389102863474324,,,,,,,,,,,,,,,,,,,,,,,,
102,,,-0.35764966743295,-0.3532203465487977,,,,,0.3185556645292721,,,,,,,,,,,,,,,,,,,,,,,,
103,,,-0.3527504581619581,-0.354975551298287,,,,,0.3266226506753714,,,,,,,,,,,,,,,,,,,,,,,,
104,,,-0.3523675060719249,-0.3553792051807391,,,,,0.3311529670929882,,,,,,,,,,,,,,,,,,,,,,,,
105,,,-0.35705440139780237,-0.3554143005924531,,,,,0.332850843749372,,,,,,,,,,,,,,,,,,,,,,,,
106,,,-0.3550639628728844,-0.35537501626260004,,,,,0.3347530386030096,,,,,,,,,,,,,,,,,,,,,,,,
107,,,-0.3591525365281498,-0.3554104246711312,,,,,0.3334945441507938,,,,,,,,,,,,,,,,,,,,,,,,
