Iteration,custom_tag,backend,cost_approx,cost_exact,cosine_sim,acc_cost_approx,acc_cost_exact,fidelities,fidelities_cost,fidelities_grad,archt,rhs,qubits,layers,parameters,seed_init,exact,shots,depth,cnots,operator,innerp,cost,optimizer,rotations,entangler,mixer,driver,driver_per,initial_qaoa,sabre,mapomatic,DD
0,full_vqa_exact_bfgs_1,simulator,-5.936615836695986e-05,-5.936615836695986e-05,0.9999999999999998,-5.936615836695986e-05,-5.936615836695986e-05,0.005116503966561281,0.005116503966561281,0.005116503966561281,linear_alternating,hnx,5.0,3.0,29.0,10.0,True,1000.0,,,exact,Statevec,Sato21_Innerp,L_BFGS_B,ry,cx,rx,rzz,ryy,hadamards,True,False,False
1,,,-0.010845396065233829,-0.010845396065233829,1.0,-0.2441399749513569,-0.2441399749513569,0.20402705018860504,0.05261360002751151,0.05261360002751151,,,,,,,,,,,,,,,,,,,,,,,
2,,,-0.15034548656193514,-0.15034548656193514,1.0,-0.244144726400349,-0.244144726400349,0.20457014785665045,0.23713764921345387,0.23713764921345387,,,,,,,,,,,,,,,,,,,,,,,
3,,,-0.046896861375945606,-0.046896861375945606,1.0000000000000002,-0.7060886642750278,-0.7060886642750278,0.5076669423436696,0.09732521224544796,0.09732521224544796,,,,,,,,,,,,,,,,,,,,,,,
4,,,-0.23945464079627662,-0.23945464079627662,0.9999999999999998,-0.9548230392967565,-0.9548230392967565,0.6016638812718222,0.21748529601468744,0.21748529601468744,,,,,,,,,,,,,,,,,,,,,,,
5,,,-0.24396070471765874,-0.24396070471765874,1.0000000000000002,-1.1813820983676278,-1.1813820983676278,0.66114743325704,0.20671504638231064,0.20671504638231064,,,,,,,,,,,,,,,,,,,,,,,
6,,,-0.2441399749513569,-0.2441399749513569,0.9999999999999999,-1.5752325233450142,-1.5752325233450142,0.7339182790242024,0.20402705018860504,0.20402705018860504,,,,,,,,,,,,,,,,,,,,,,,
7,,,-0.007333031601343397,-0.007333031601343397,1.0,-1.9983722045339536,-1.9983722045339536,0.7642293660414963,0.03650057630590113,0.03650057630590113,,,,,,,,,,,,,,,,,,,,,,,
8,,,-0.244144726400349,-0.244144726400349,1.0,-2.443378875471446,-2.443378875471446,0.7615149280773058,0.20457014785665045,0.20457014785665045,,,,,,,,,,,,,,,,,,,,,,,
9,,,-0.2519407195146323,-0.2519407195146323,0.9999999999999999,-2.9093618880515844,-2.9093618880515844,0.7792902731537134,0.20917291463892956,0.20917291463892956,,,,,,,,,,,,,,,,,,,,,,,
10,,,-0.2846860941637968,-0.2846860941637968,1.0,-3.0582998156024543,-3.0582998156024543,0.8097921649804338,0.2278200692545966,0.2278200692545966,,,,,,,,,,,,,,,,,,,,,,,
11,,,-0.43726733535300827,-0.43726733535300827,1.0,-3.9381319497012433,-3.9381319497012433,0.8587231478116195,0.3041141846500971,0.3041141846500971,,,,,,,,,,,,,,,,,,,,,,,
12,,,-0.7060886642750278,-0.7060886642750278,1.0,-4.889716052339289,-4.889716052339289,0.8988975180003116,0.5076669423436696,0.5076669423436696,,,,,,,,,,,,,,,,,,,,,,,
13,,,-0.7295977091194052,-0.7295977091194052,0.9999999999999999,-5.506911296073099,-5.506911296073099,0.9107265214870621,0.6380496422289761,0.6380496422289761,,,,,,,,,,,,,,,,,,,,,,,
14,,,-0.9548230392967565,-0.9548230392967565,1.0000000000000002,-5.730242402908452,-5.730242402908452,0.911263938333112,0.6016638812718222,0.6016638812718222,,,,,,,,,,,,,,,,,,,,,,,
15,,,-0.000623497307381941,-0.000623497307381941,1.0000000000000002,-5.871393598618306,-5.871393598618306,0.9157685997014106,0.036116227739306984,0.036116227739306984,,,,,,,,,,,,,,,,,,,,,,,
16,,,-0.5070003098708135,-0.5070003098708135,1.0000000000000002,-6.286381576303788,-6.286381576303788,0.9305081003100789,0.6389893906747439,0.6389893906747439,,,,,,,,,,,,,,,,,,,,,,,
17,,,-1.1813820983676278,-1.1813820983676278,1.0,-7.090709585435584,-7.090709585435584,0.9394222613384955,0.66114743325704,0.66114743325704,,,,,,,,,,,,,,,,,,,,,,,
18,,,-1.027097433679842,-1.027097433679842,1.0000000000000002,-7.451939497159624,-7.451939497159624,0.9396958736466913,0.7304687517087027,0.7304687517087027,,,,,,,,,,,,,,,,,,,,,,,
19,,,-1.5752325233450142,-1.5752325233450142,0.9999999999999999,-7.870960332260982,-7.870960332260982,0.9543512336929995,0.7339182790242024,0.7339182790242024,,,,,,,,,,,,,,,,,,,,,,,
20,,,-1.4927890152957133,-1.4927890152957133,0.9999999999999999,-8.105092755946762,-8.105092755946762,0.9519916336186748,0.7357325930817652,0.7357325930817652,,,,,,,,,,,,,,,,,,,,,,,
21,,,-1.9983722045339536,-1.9983722045339536,1.0000000000000002,-8.348212898778625,-8.348212898778625,0.9530861211551869,0.7642293660414963,0.7642293660414963,,,,,,,,,,,,,,,,,,,,,,,
22,,,-2.0042309824867726,-2.0042309824867726,1.0,-8.557091592856453,-8.557091592856453,0.9510464225114418,0.7031754378683532,0.7031754378683532,,,,,,,,,,,,,,,,,,,,,,,
23,,,-2.443378875471446,-2.443378875471446,1.0,-8.878673001965131,-8.878673001965131,0.9453784936702653,0.7615149280773058,0.7615149280773058,,,,,,,,,,,,,,,,,,,,,,,
24,,,-2.411430835680206,-2.411430835680206,0.9999999999999999,-8.958100042936158,-8.958100042936158,0.9221817277134283,0.7760614105914256,0.7760614105914256,,,,,,,,,,,,,,,,,,,,,,,
25,,,-2.9093618880515844,-2.9093618880515844,0.9999999999999998,-9.17037942177908,-9.17037942177908,0.9334279677953301,0.7792902731537134,0.7792902731537134,,,,,,,,,,,,,,,,,,,,,,,
26,,,-3.0582998156024543,-3.0582998156024543,1.0,-9.228630233395492,-9.228630233395492,0.9393501663119876,0.8097921649804338,0.8097921649804338,,,,,,,,,,,,,,,,,,,,,,,
27,,,-3.9381319497012433,-3.9381319497012433,0.9999999999999999,-9.312262777865513,-9.312262777865513,0.9405367936039034,0.8587231478116195,0.8587231478116195,,,,,,,,,,,,,,,,,,,,,,,
28,,,-4.889716052339289,-4.889716052339289,0.9999999999999999,-9.478984084465495,-9.478984084465495,0.9478574589611817,0.8988975180003116,0.8988975180003116,,,,,,,,,,,,,,,,,,,,,,,
29,,,-4.728936157963274,-4.728936157963274,1.0,-9.659159895607118,-9.659159895607118,0.9600914280976414,0.9110008341525918,0.9110008341525918,,,,,,,,,,,,,,,,,,,,,,,
30,,,-5.506911296073099,-5.506911296073099,0.9999999999999999,-9.815136105860748,-9.815136105860748,0.9743003929456329,0.9107265214870621,0.9107265214870621,,,,,,,,,,,,,,,,,,,,,,,
31,,,-5.387840457905773,-5.387840457905773,1.0,-9.893669426440859,-9.893669426440859,0.9795319912046327,0.906550263554901,0.906550263554901,,,,,,,,,,,,,,,,,,,,,,,
32,,,-5.730242402908452,-5.730242402908452,1.0,-9.9779293286693,-9.9779293286693,0.9815697717221163,0.911263938333112,0.911263938333112,,,,,,,,,,,,,,,,,,,,,,,
33,,,-5.871393598618306,-5.871393598618306,1.0,-10.053997960745646,-10.053997960745646,0.9831824843593326,0.9157685997014106,0.9157685997014106,,,,,,,,,,,,,,,,,,,,,,,
34,,,-6.286381576303788,-6.286381576303788,1.0,-10.175130170070261,-10.175130170070261,0.9910266375853295,0.9305081003100789,0.9305081003100789,,,,,,,,,,,,,,,,,,,,,,,
35,,,-6.258341743016138,-6.258341743016138,1.0,-10.195239366762433,-10.195239366762433,0.9935678149599496,0.9217735386489994,0.9217735386489994,,,,,,,,,,,,,,,,,,,,,,,
36,,,-7.090709585435584,-7.090709585435584,1.0,-10.296229037968104,-10.296229037968104,0.9926612028656132,0.9394222613384955,0.9394222613384955,,,,,,,,,,,,,,,,,,,,,,,
37,,,-7.451939497159624,-7.451939497159624,1.0000000000000002,-10.326068837236162,-10.326068837236162,0.9934972896850696,0.9396958736466913,0.9396958736466913,,,,,,,,,,,,,,,,,,,,,,,
38,,,-7.870960332260982,-7.870960332260982,1.0,-10.36994265651618,-10.36994265651618,0.9944532831766595,0.9543512336929995,0.9543512336929995,,,,,,,,,,,,,,,,,,,,,,,
39,,,-8.105092755946762,-8.105092755946762,1.0000000000000002,-10.404113784524029,-10.404113784524029,0.9957018071835029,0.9519916336186748,0.9519916336186748,,,,,,,,,,,,,,,,,,,,,,,
40,,,-8.348212898778625,-8.348212898778625,0.9999999999999999,-10.46521202873215,-10.46521202873215,0.9957640594622957,0.9530861211551869,0.9530861211551869,,,,,,,,,,,,,,,,,,,,,,,
41,,,-8.557091592856453,-8.557091592856453,1.0000000000000002,-10.50140690863467,-10.50140690863467,0.9955281149505162,0.9510464225114418,0.9510464225114418,,,,,,,,,,,,,,,,,,,,,,,
42,,,-8.878673001965131,-8.878673001965131,0.9999999999999998,-10.576716125288314,-10.576716125288314,0.9952480270951052,0.9453784936702653,0.9453784936702653,,,,,,,,,,,,,,,,,,,,,,,
43,,,-8.958100042936158,-8.958100042936158,1.0,-10.664397962317409,-10.664397962317409,0.9946043165341417,0.9221817277134283,0.9221817277134283,,,,,,,,,,,,,,,,,,,,,,,
44,,,-9.17037942177908,-9.17037942177908,0.9999999999999998,-10.695980475840805,-10.695980475840805,0.9934848783476118,0.9334279677953301,0.9334279677953301,,,,,,,,,,,,,,,,,,,,,,,
45,,,-9.228630233395492,-9.228630233395492,1.0,-10.775921213569404,-10.775921213569404,0.9957010257481657,0.9393501663119876,0.9393501663119876,,,,,,,,,,,,,,,,,,,,,,,
46,,,-9.312262777865513,-9.312262777865513,1.0000000000000002,-10.805428543254578,-10.805428543254578,0.9964591638379784,0.9405367936039034,0.9405367936039034,,,,,,,,,,,,,,,,,,,,,,,
47,,,-9.478984084465495,-9.478984084465495,0.9999999999999998,-10.83051018517438,-10.83051018517438,0.996231989367292,0.9478574589611817,0.9478574589611817,,,,,,,,,,,,,,,,,,,,,,,
48,,,-9.659159895607118,-9.659159895607118,1.0,-10.842933239750751,-10.842933239750751,0.9963589247823367,0.9600914280976414,0.9600914280976414,,,,,,,,,,,,,,,,,,,,,,,
49,,,-9.815136105860748,-9.815136105860748,1.0000000000000002,-10.86661062659696,-10.86661062659696,0.9968945772121783,0.9743003929456329,0.9743003929456329,,,,,,,,,,,,,,,,,,,,,,,
50,,,-9.893669426440859,-9.893669426440859,1.0,-10.901306874886481,-10.901306874886481,0.9974693045705426,0.9795319912046327,0.9795319912046327,,,,,,,,,,,,,,,,,,,,,,,
51,,,-9.9779293286693,-9.9779293286693,1.0,-10.901306874886481,-10.901306874886481,0.9974693045705426,0.9815697717221163,0.9815697717221163,,,,,,,,,,,,,,,,,,,,,,,
52,,,-10.053997960745646,-10.053997960745646,1.0000000000000002,,,,0.9831824843593326,0.9831824843593326,,,,,,,,,,,,,,,,,,,,,,,
53,,,-10.175130170070261,-10.175130170070261,0.9999999999999999,,,,0.9910266375853295,0.9910266375853295,,,,,,,,,,,,,,,,,,,,,,,
54,,,-10.195239366762433,-10.195239366762433,1.0,,,,0.9935678149599496,0.9935678149599496,,,,,,,,,,,,,,,,,,,,,,,
55,,,-10.296229037968104,-10.296229037968104,1.0,,,,0.9926612028656132,0.9926612028656132,,,,,,,,,,,,,,,,,,,,,,,
56,,,-10.326068837236162,-10.326068837236162,1.0,,,,0.9934972896850696,0.9934972896850696,,,,,,,,,,,,,,,,,,,,,,,
57,,,-10.36994265651618,-10.36994265651618,1.0000000000000002,,,,0.9944532831766595,0.9944532831766595,,,,,,,,,,,,,,,,,,,,,,,
58,,,-10.404113784524029,-10.404113784524029,1.0,,,,0.9957018071835029,0.9957018071835029,,,,,,,,,,,,,,,,,,,,,,,
59,,,-10.46521202873215,-10.46521202873215,1.0,,,,0.9957640594622957,0.9957640594622957,,,,,,,,,,,,,,,,,,,,,,,
60,,,-10.50140690863467,-10.50140690863467,1.0000000000000002,,,,0.9955281149505162,0.9955281149505162,,,,,,,,,,,,,,,,,,,,,,,
61,,,-10.576716125288314,-10.576716125288314,0.9999999999999999,,,,0.9952480270951052,0.9952480270951052,,,,,,,,,,,,,,,,,,,,,,,
62,,,-10.664397962317409,-10.664397962317409,0.9999999999999999,,,,0.9946043165341417,0.9946043165341417,,,,,,,,,,,,,,,,,,,,,,,
63,,,-10.695980475840805,-10.695980475840805,0.9999999999999998,,,,0.9934848783476118,0.9934848783476118,,,,,,,,,,,,,,,,,,,,,,,
64,,,-10.775921213569404,-10.775921213569404,1.0,,,,0.9957010257481657,0.9957010257481657,,,,,,,,,,,,,,,,,,,,,,,
65,,,-10.805428543254578,-10.805428543254578,1.0000000000000002,,,,0.9964591638379784,0.9964591638379784,,,,,,,,,,,,,,,,,,,,,,,
66,,,-10.83051018517438,-10.83051018517438,1.0,,,,0.996231989367292,0.996231989367292,,,,,,,,,,,,,,,,,,,,,,,
67,,,-10.842933239750751,-10.842933239750751,1.0,,,,0.9963589247823367,0.9963589247823367,,,,,,,,,,,,,,,,,,,,,,,
68,,,-10.86661062659696,-10.86661062659696,1.0000000000000002,,,,0.9968945772121783,0.9968945772121783,,,,,,,,,,,,,,,,,,,,,,,
69,,,-10.901306874886481,-10.901306874886481,1.0000000000000002,,,,0.9974693045705426,0.9974693045705426,,,,,,,,,,,,,,,,,,,,,,,
