Iteration,custom_tag,backend,cost_approx,cost_exact,cosine_sim,acc_cost_approx,acc_cost_exact,fidelities,fidelities_cost,fidelities_grad,archt,rhs,qubits,layers,parameters,seed_init,exact,shots,depth,cnots,operator,innerp,cost,optimizer,rotations,entangler,mixer,driver,driver_per,initial_qaoa,sabre,mapomatic,DD
0,full_vqa_exact_bfgs_1,simulator,-0.025073639484584756,-0.025073639484584756,1.0000000000000002,-0.025073639484584756,-0.025073639484584756,0.1038253427591816,0.1038253427591816,0.1038253427591816,linear,hnx,5.0,5.0,30.0,0.0,True,1000.0,,,exact,Statevec,Sato21_Innerp,L_BFGS_B,ry,cz,rx,rzz,ryy,hadamards,True,False,False
1,,,-0.85232703545107,-0.85232703545107,1.0000000000000002,-1.1540365174461265,-1.1540365174461265,0.7804020413878338,0.7302270198350486,0.7302270198350486,,,,,,,,,,,,,,,,,,,,,,,
2,,,-0.019892372835442963,-0.019892372835442963,1.0,-1.1545837050008387,-1.1545837050008387,0.7808489628052222,0.12302089547043775,0.12302089547043775,,,,,,,,,,,,,,,,,,,,,,,
3,,,-0.1812487746180437,-0.1812487746180437,0.9999999999999999,-2.443102155062399,-2.443102155062399,0.829584375382154,0.45492784837495287,0.45492784837495287,,,,,,,,,,,,,,,,,,,,,,,
4,,,-1.1540365174461265,-1.1540365174461265,1.0000000000000002,-2.5954232210976125,-2.5954232210976125,0.837959810506112,0.7804020413878338,0.7804020413878338,,,,,,,,,,,,,,,,,,,,,,,
5,,,-0.0003237610925648743,-0.0003237610925648743,1.0,-3.1614082329389555,-3.1614082329389555,0.8681015955724192,0.0032237094990524105,0.0032237094990524105,,,,,,,,,,,,,,,,,,,,,,,
6,,,-1.117209391434931,-1.117209391434931,1.0000000000000002,-3.2712632573448017,-3.2712632573448017,0.8938684661057884,0.7802195591178795,0.7802195591178795,,,,,,,,,,,,,,,,,,,,,,,
7,,,-1.1545837050008387,-1.1545837050008387,1.0,-3.5049246490062287,-3.5049246490062287,0.9060967108452396,0.7808489628052222,0.7808489628052222,,,,,,,,,,,,,,,,,,,,,,,
8,,,-1.312016238420534,-1.312016238420534,1.0000000000000002,-3.6112560284523423,-3.6112560284523423,0.9057114538030544,0.7911530298522257,0.7911530298522257,,,,,,,,,,,,,,,,,,,,,,,
9,,,-2.0503479264317597,-2.0503479264317597,0.9999999999999998,-3.7129752019809104,-3.7129752019809104,0.9129370790595557,0.8205104424615525,0.8205104424615525,,,,,,,,,,,,,,,,,,,,,,,
10,,,-0.8253890260366017,-0.8253890260366017,1.0000000000000002,-3.81769195965552,-3.81769195965552,0.9264217034049178,0.7347334448928339,0.7347334448928339,,,,,,,,,,,,,,,,,,,,,,,
11,,,-2.443102155062399,-2.443102155062399,1.0,-3.9087587609026158,-3.9087587609026158,0.9367625059336481,0.829584375382154,0.829584375382154,,,,,,,,,,,,,,,,,,,,,,,
12,,,-2.0142757485101335,-2.0142757485101335,0.9999999999999998,-4.011192967641269,-4.011192967641269,0.9435169872272061,0.8337278586468438,0.8337278586468438,,,,,,,,,,,,,,,,,,,,,,,
13,,,-2.5954232210976125,-2.5954232210976125,1.0000000000000002,-4.047632651311259,-4.047632651311259,0.9425542752690906,0.837959810506112,0.837959810506112,,,,,,,,,,,,,,,,,,,,,,,
14,,,-3.1614082329389555,-3.1614082329389555,1.0,-4.0561928515742345,-4.0561928515742345,0.9429550643852209,0.8681015955724192,0.8681015955724192,,,,,,,,,,,,,,,,,,,,,,,
15,,,-3.2712632573448017,-3.2712632573448017,1.0,-4.061593204729654,-4.061593204729654,0.9432537904427836,0.8938684661057884,0.8938684661057884,,,,,,,,,,,,,,,,,,,,,,,
16,,,-3.275071466261992,-3.275071466261992,1.0000000000000002,-4.0674560171118985,-4.0674560171118985,0.9431288944538357,0.9085180538871421,0.9085180538871421,,,,,,,,,,,,,,,,,,,,,,,
17,,,-3.5049246490062287,-3.5049246490062287,1.0000000000000002,-4.076095392246281,-4.076095392246281,0.9429028009335327,0.9060967108452396,0.9060967108452396,,,,,,,,,,,,,,,,,,,,,,,
18,,,-3.6112560284523423,-3.6112560284523423,1.0,-4.0786073417504864,-4.0786073417504864,0.9428104950942093,0.9057114538030544,0.9057114538030544,,,,,,,,,,,,,,,,,,,,,,,
19,,,-3.7129752019809104,-3.7129752019809104,1.0,-4.081106601806728,-4.081106601806728,0.942759362287243,0.9129370790595557,0.9129370790595557,,,,,,,,,,,,,,,,,,,,,,,
20,,,-3.81769195965552,-3.81769195965552,0.9999999999999998,-4.08172480135822,-4.08172480135822,0.9430010178403179,0.9264217034049178,0.9264217034049178,,,,,,,,,,,,,,,,,,,,,,,
21,,,-3.9087587609026158,-3.9087587609026158,1.0,-4.082170818990976,-4.082170818990976,0.9433364210538018,0.9367625059336481,0.9367625059336481,,,,,,,,,,,,,,,,,,,,,,,
22,,,-4.011192967641269,-4.011192967641269,1.0,-4.082760966172441,-4.082760966172441,0.9439335356597448,0.9435169872272061,0.9435169872272061,,,,,,,,,,,,,,,,,,,,,,,
23,,,-3.970130744020149,-3.970130744020149,1.0,-4.083562901968092,-4.083562901968092,0.9446723183527602,0.9376353933717295,0.9376353933717295,,,,,,,,,,,,,,,,,,,,,,,
24,,,-4.047632651311259,-4.047632651311259,0.9999999999999998,-4.084406815757138,-4.084406815757138,0.9450554831179685,0.9425542752690906,0.9425542752690906,,,,,,,,,,,,,,,,,,,,,,,
25,,,-4.0561928515742345,-4.0561928515742345,1.0,-4.084555105281395,-4.084555105281395,0.9449232330654362,0.9429550643852209,0.9429550643852209,,,,,,,,,,,,,,,,,,,,,,,
26,,,-4.061593204729654,-4.061593204729654,0.9999999999999998,-4.0847093108123484,-4.0847093108123484,0.944669524135799,0.9432537904427836,0.9432537904427836,,,,,,,,,,,,,,,,,,,,,,,
27,,,-4.0674560171118985,-4.0674560171118985,1.0,-4.084750912079901,-4.084750912079901,0.9445324946269719,0.9431288944538357,0.9431288944538357,,,,,,,,,,,,,,,,,,,,,,,
28,,,-4.076095392246281,-4.076095392246281,1.0,-4.0847846668489725,-4.0847846668489725,0.9444083627932994,0.9429028009335327,0.9429028009335327,,,,,,,,,,,,,,,,,,,,,,,
29,,,-4.066865103001219,-4.066865103001219,0.9999999999999999,-4.084884194145662,-4.084884194145662,0.9440916088577967,0.9420582424197529,0.9420582424197529,,,,,,,,,,,,,,,,,,,,,,,
30,,,-4.0786073417504864,-4.0786073417504864,1.0,-4.084924460541682,-4.084924460541682,0.9439861892532666,0.9428104950942093,0.9428104950942093,,,,,,,,,,,,,,,,,,,,,,,
31,,,-4.081106601806728,-4.081106601806728,1.0000000000000002,-4.0849767870379825,-4.0849767870379825,0.943939688754673,0.942759362287243,0.942759362287243,,,,,,,,,,,,,,,,,,,,,,,
32,,,-4.08172480135822,-4.08172480135822,1.0,-4.085070513699564,-4.085070513699564,0.9439528473298291,0.9430010178403179,0.9430010178403179,,,,,,,,,,,,,,,,,,,,,,,
33,,,-4.082170818990976,-4.082170818990976,0.9999999999999998,-4.085177168704876,-4.085177168704876,0.9439546272089094,0.9433364210538018,0.9433364210538018,,,,,,,,,,,,,,,,,,,,,,,
34,,,-4.082760966172441,-4.082760966172441,0.9999999999999998,-4.085285966261221,-4.085285966261221,0.9440385094260036,0.9439335356597448,0.9439335356597448,,,,,,,,,,,,,,,,,,,,,,,
35,,,-4.083562901968092,-4.083562901968092,1.0000000000000002,-4.08537380924654,-4.08537380924654,0.9440557643384409,0.9446723183527602,0.9446723183527602,,,,,,,,,,,,,,,,,,,,,,,
36,,,-4.084406815757138,-4.084406815757138,0.9999999999999999,-4.085514804609512,-4.085514804609512,0.9439818039028016,0.9450554831179685,0.9450554831179685,,,,,,,,,,,,,,,,,,,,,,,
37,,,-4.083732554767459,-4.083732554767459,1.0,-4.085762452531299,-4.085762452531299,0.9438070037864853,0.9445502251263368,0.9445502251263368,,,,,,,,,,,,,,,,,,,,,,,
