Iteration,custom_tag,backend,cost_approx,cost_exact,cosine_sim,acc_cost_approx,acc_cost_exact,fidelities,fidelities_cost,fidelities_grad,archt,rhs,qubits,layers,parameters,seed_init,exact,shots,depth,cnots,operator,innerp,cost,optimizer,rotations,entangler,mixer,driver,driver_per,initial_qaoa,sabre,mapomatic,DD
0,full_vqa_exact_bfgs_1,simulator,67.0676244327494,67.0676244327494,1.0,67.0676244327494,67.0676244327494,0.00024381967617429434,0.00024381967617429434,0.00024381967617429434,linear_alternating,hnx,5.0,1.0,13.0,3.0,True,1000.0,,,exact,Statevec,Sato21_Nonnorm,L_BFGS_B,ry,cz,rx,rzz,ryy,hadamards,True,False,False
1,,,41.59411900793424,41.59411900793424,1.0,41.59411900793424,41.59411900793424,0.002810183563395806,0.002810183563395806,0.002810183563395806,,,,,,,,,,,,,,,,,,,,,,,
2,,,8.91965284900184,8.91965284900184,1.0,8.91965284900184,8.91965284900184,4.682965052958319e-06,4.682965052958319e-06,4.682965052958319e-06,,,,,,,,,,,,,,,,,,,,,,,
3,,,1.389384326293904,1.389384326293904,0.9999999999999999,1.389384326293904,1.389384326293904,0.00024081720237563743,0.00024081720237563743,0.00024081720237563743,,,,,,,,,,,,,,,,,,,,,,,
4,,,0.06675220646278118,0.06675220646278118,0.9999999999999998,0.06675220646278118,0.06675220646278118,0.007187383661242278,0.007187383661242278,0.007187383661242278,,,,,,,,,,,,,,,,,,,,,,,
5,,,-0.016041964780015162,-0.016041964780015162,1.0,-0.016041964780015162,-0.016041964780015162,0.0165724211652379,0.0165724211652379,0.0165724211652379,,,,,,,,,,,,,,,,,,,,,,,
6,,,-0.02266367565656308,-0.02266367565656308,0.9999999999999999,-0.02266367565656308,-0.02266367565656308,0.02515282511837414,0.02515282511837414,0.02515282511837414,,,,,,,,,,,,,,,,,,,,,,,
7,,,-0.03239066551018238,-0.03239066551018238,0.9999999999999998,-0.03239066551018238,-0.03239066551018238,0.04912064708845206,0.04912064708845206,0.04912064708845206,,,,,,,,,,,,,,,,,,,,,,,
8,,,-0.12572274327131977,-0.12572274327131977,0.9999999999999999,-0.12572274327131977,-0.12572274327131977,0.6427420363917385,0.6427420363917385,0.6427420363917385,,,,,,,,,,,,,,,,,,,,,,,
9,,,-0.17289969563268034,-0.17289969563268034,0.9999999999999998,-0.17289969563268034,-0.17289969563268034,0.6143790396277267,0.6143790396277267,0.6143790396277267,,,,,,,,,,,,,,,,,,,,,,,
10,,,-0.6170205984984244,-0.6170205984984244,0.9999999999999998,-0.6170205984984244,-0.6170205984984244,0.637640831431435,0.637640831431435,0.637640831431435,,,,,,,,,,,,,,,,,,,,,,,
11,,,34.84540177456232,34.84540177456232,1.0,-0.9027730046439669,-0.9027730046439669,0.6019557226943442,0.05478427535890237,0.05478427535890237,,,,,,,,,,,,,,,,,,,,,,,
12,,,-0.7383933918405987,-0.7383933918405987,1.0,-1.1999460829609778,-1.1999460829609778,0.7197672314427761,0.6405076010332965,0.6405076010332965,,,,,,,,,,,,,,,,,,,,,,,
