Iteration,custom_tag,backend,cost_approx,cost_exact,cosine_sim,acc_cost_approx,acc_cost_exact,fidelities,fidelities_cost,fidelities_grad,archt,rhs,qubits,layers,parameters,seed_init,exact,shots,depth,cnots,operator,innerp,cost,optimizer,rotations,entangler,mixer,driver,driver_per,initial_qaoa,sabre,mapomatic,DD
0,full_vqa_exact_bfgs_1,simulator,52.04724486114512,52.04724486114512,1.0,52.04724486114512,52.04724486114512,0.06387921308591218,0.06387921308591218,0.06387921308591218,linear_alternating,hnx,3.0,2.0,11.0,1.0,True,1000.0,,,exact,Statevec,Sato21_Nonnorm,L_BFGS_B,ry,cz,rx,rzz,ryy,hadamards,True,False,False
1,,,22.64565370084204,22.64565370084204,0.9999999999999998,22.64565370084204,22.64565370084204,0.19450351812989203,0.19450351812989203,0.19450351812989203,,,,,,,,,,,,,,,,,,,,,,,
2,,,12.786672173960921,12.786672173960921,1.0,12.786672173960921,12.786672173960921,0.3966010592745239,0.3966010592745239,0.3966010592745239,,,,,,,,,,,,,,,,,,,,,,,
3,,,4.8425744559110715,4.8425744559110715,1.0,4.8425744559110715,4.8425744559110715,0.5820771167340445,0.5820771167340445,0.5820771167340445,,,,,,,,,,,,,,,,,,,,,,,
4,,,2.1162037090315464,2.1162037090315464,1.0,2.1162037090315464,2.1162037090315464,0.6827881079426928,0.6827881079426928,0.6827881079426928,,,,,,,,,,,,,,,,,,,,,,,
5,,,1.7376350772343225,1.7376350772343225,0.9999999999999999,1.7376350772343225,1.7376350772343225,0.7119033657679192,0.7119033657679192,0.7119033657679192,,,,,,,,,,,,,,,,,,,,,,,
6,,,1.5362921407014936,1.5362921407014936,1.0,1.5362921407014936,1.5362921407014936,0.7063332193411187,0.7063332193411187,0.7063332193411187,,,,,,,,,,,,,,,,,,,,,,,
7,,,0.7199452863422894,0.7199452863422894,1.0,0.7199452863422894,0.7199452863422894,0.6228839404665096,0.6228839404665096,0.6228839404665096,,,,,,,,,,,,,,,,,,,,,,,
8,,,-0.06151557630236986,-0.06151557630236986,0.9999999999999998,-0.06151557630236986,-0.06151557630236986,0.4290302611721103,0.4290302611721103,0.4290302611721103,,,,,,,,,,,,,,,,,,,,,,,
9,,,-0.5355327429759809,-0.5355327429759809,1.0,-0.5355327429759809,-0.5355327429759809,0.394468243801609,0.394468243801609,0.394468243801609,,,,,,,,,,,,,,,,,,,,,,,
10,,,-0.6074519135904015,-0.6074519135904015,0.9999999999999998,-0.6074519135904015,-0.6074519135904015,0.4355710034244435,0.4355710034244435,0.4355710034244435,,,,,,,,,,,,,,,,,,,,,,,
11,,,-0.7301274778590646,-0.7301274778590646,1.0,-0.7301274778590646,-0.7301274778590646,0.5665471398806342,0.5665471398806342,0.5665471398806342,,,,,,,,,,,,,,,,,,,,,,,
12,,,-0.8111740775782729,-0.8111740775782729,1.0,-0.8111740775782729,-0.8111740775782729,0.7002512813160934,0.7002512813160934,0.7002512813160934,,,,,,,,,,,,,,,,,,,,,,,
13,,,-0.9176799463050714,-0.9176799463050714,0.9999999999999999,-0.9176799463050714,-0.9176799463050714,0.9745273655595792,0.9745273655595792,0.9745273655595792,,,,,,,,,,,,,,,,,,,,,,,
14,,,-0.9606930485037771,-0.9606930485037771,1.0,-0.9606930485037771,-0.9606930485037771,0.9982309016757466,0.9982309016757466,0.9982309016757466,,,,,,,,,,,,,,,,,,,,,,,
15,,,-0.9621435311264849,-0.9621435311264849,1.0,-0.9688974457779501,-0.9688974457779501,0.9988447506923385,0.995895848150181,0.995895848150181,,,,,,,,,,,,,,,,,,,,,,,
16,,,-0.9688974457779501,-0.9688974457779501,1.0000000000000002,-0.9711570713253477,-0.9711570713253477,0.9993536986546909,0.9988447506923385,0.9988447506923385,,,,,,,,,,,,,,,,,,,,,,,
17,,,-0.9711570713253477,-0.9711570713253477,1.0,-0.9717809857445617,-0.9717809857445617,0.9999500582442418,0.9993536986546909,0.9993536986546909,,,,,,,,,,,,,,,,,,,,,,,
18,,,-0.9717809857445617,-0.9717809857445617,1.0,-0.9718894378788138,-0.9718894378788138,0.999619737789936,0.9999500582442418,0.9999500582442418,,,,,,,,,,,,,,,,,,,,,,,
19,,,-0.9718894378788138,-0.9718894378788138,0.9999999999999999,-0.9720889530641167,-0.9720889530641167,0.9998043229716504,0.999619737789936,0.999619737789936,,,,,,,,,,,,,,,,,,,,,,,
20,,,-0.9720889530641167,-0.9720889530641167,0.9999999999999999,-0.9721127781395184,-0.9721127781395184,0.9998508454487424,0.9998043229716504,0.9998043229716504,,,,,,,,,,,,,,,,,,,,,,,
21,,,-0.9721127781395184,-0.9721127781395184,1.0,-0.9721556017599711,-0.9721556017599711,0.999897810796876,0.9998508454487424,0.9998508454487424,,,,,,,,,,,,,,,,,,,,,,,
22,,,-0.9721556017599711,-0.9721556017599711,1.0,-0.972188813359952,-0.972188813359952,0.9999524364749574,0.999897810796876,0.999897810796876,,,,,,,,,,,,,,,,,,,,,,,
23,,,-0.972188813359952,-0.972188813359952,1.0,-0.9722019835251742,-0.9722019835251742,0.9999761181986799,0.9999524364749574,0.9999524364749574,,,,,,,,,,,,,,,,,,,,,,,
24,,,-0.9722019835251742,-0.9722019835251742,1.0000000000000002,-0.9722171090386115,-0.9722171090386115,0.999997459905921,0.9999761181986799,0.9999761181986799,,,,,,,,,,,,,,,,,,,,,,,
25,,,-0.9722171090386115,-0.9722171090386115,1.0,-0.972221958949144,-0.972221958949144,0.9999997106614994,0.999997459905921,0.999997459905921,,,,,,,,,,,,,,,,,,,,,,,
26,,,-0.972221958949144,-0.972221958949144,1.0000000000000002,-0.9722221912005381,-0.9722221912005381,0.9999999231235118,0.9999997106614994,0.9999997106614994,,,,,,,,,,,,,,,,,,,,,,,
