Iteration,custom_tag,backend,cost_approx,cost_exact,cosine_sim,acc_cost_approx,acc_cost_exact,fidelities,fidelities_cost,fidelities_grad,archt,rhs,qubits,layers,parameters,seed_init,exact,shots,depth,cnots,operator,innerp,cost,optimizer,rotations,entangler,mixer,driver,driver_per,initial_qaoa,sabre,mapomatic,DD
0,full_vqa_exact_bfgs_1,simulator,0.5813873923188254,0.5813873923188254,1.0000000000000002,0.5813873923188254,0.5813873923188254,2.171246889445231e-05,2.171246889445231e-05,2.171246889445231e-05,linear_alternating,hnx,8.0,2.0,36.0,2.0,True,1000.0,,,exact,Statevec,BravoPrieto20_Local,L_BFGS_B,ry,cz,rx,rzz,ryy,hadamards,True,False,False
1,,,0.4600976175745094,0.4600976175745094,1.0,0.4600976175745094,0.4600976175745094,0.00016332769994537038,0.00016332769994537038,0.00016332769994537038,,,,,,,,,,,,,,,,,,,,,,,
2,,,0.4809275657497623,0.4809275657497623,1.0000000000000002,0.36310058946737667,0.36310058946737667,0.0006347562453171498,0.0016284679370332426,0.0016284679370332426,,,,,,,,,,,,,,,,,,,,,,,
3,,,0.36310058946737667,0.36310058946737667,1.0,0.280873256753983,0.280873256753983,0.0009090580065458679,0.0006347562453171498,0.0006347562453171498,,,,,,,,,,,,,,,,,,,,,,,
4,,,0.280873256753983,0.280873256753983,1.0,0.21533169877013922,0.21533169877013922,0.00309023760779795,0.0009090580065458679,0.0009090580065458679,,,,,,,,,,,,,,,,,,,,,,,
5,,,0.21533169877013922,0.21533169877013922,0.9999999999999999,0.16339648776176594,0.16339648776176594,0.008868028267470764,0.00309023760779795,0.00309023760779795,,,,,,,,,,,,,,,,,,,,,,,
6,,,0.16339648776176594,0.16339648776176594,1.0000000000000002,0.14113782293043609,0.14113782293043609,0.008363124199056937,0.008868028267470764,0.008868028267470764,,,,,,,,,,,,,,,,,,,,,,,
7,,,0.14113782293043609,0.14113782293043609,0.9999999999999999,0.13182787971601884,0.13182787971601884,0.009032666665966242,0.008363124199056937,0.008363124199056937,,,,,,,,,,,,,,,,,,,,,,,
8,,,0.13182787971601884,0.13182787971601884,1.0,0.12848288009762024,0.12848288009762024,0.009096319611725407,0.009032666665966242,0.009032666665966242,,,,,,,,,,,,,,,,,,,,,,,
9,,,0.12848288009762024,0.12848288009762024,1.0,0.12769251026179368,0.12769251026179368,0.008960159456762283,0.009096319611725407,0.009096319611725407,,,,,,,,,,,,,,,,,,,,,,,
10,,,0.12769251026179368,0.12769251026179368,0.9999999999999999,0.12698139088929686,0.12698139088929686,0.008824080872436236,0.008960159456762283,0.008960159456762283,,,,,,,,,,,,,,,,,,,,,,,
