Iteration,custom_tag,backend,cost_approx,cost_exact,cosine_sim,acc_cost_approx,acc_cost_exact,fidelities,fidelities_cost,fidelities_grad,archt,rhs,qubits,layers,parameters,seed_init,exact,shots,depth,cnots,operator,innerp,cost,optimizer,rotations,entangler,mixer,driver,driver_per,initial_qaoa,sabre,mapomatic,DD
0,full_vqa_aer_nft_hyper_2,simulator,-0.0004238106425251338,-0.0004753348227156277,,-0.0004238106425251338,-0.0004753348227156277,0.018454754132197104,0.018454754132197104,,linear_alternating,hnx,5.0,3.0,29.0,6.0,False,100000.0,13.0,0.0,SatoLiu21,HTest,Sato21_Innerp,NFT,ry,cz,rx,rzz,ryy,hadamards,True,False,False
1,,,-0.00087775577847532,-0.0009455872617441686,,-0.3070823793741063,-0.0009445773286556464,0.0095534030209499,0.009881054929121325,,,,,,,,,,17.0,2.0,,,,,,,,,,,,,
2,,,-1.016243564708e-06,-7.169090863758852e-06,,-1.209527282085122,-0.0019914011235561023,0.03611324224106929,0.008596067329983739,,,,,,,,,,18.0,3.0,,,,,,,,,,,,,
3,,,-1.0154260420508988e-05,-2.643304531388638e-05,,-1.4189188265451456,-0.056480730860955265,0.17106511315613107,0.0023396258081052187,,,,,,,,,,19.0,4.0,,,,,,,,,,,,,
4,,,-0.002106415052946881,-0.002122726792782215,,-1.688208414043583,-0.11699681197331224,0.2051835430890429,0.03481845885058946,,,,,,,,,,20.0,5.0,,,,,,,,,,,,,
5,,,-0.03713076096284031,-0.03767597325672856,,-1.9441972899345483,-0.11649285233823768,0.2011021725413587,0.16483770205330206,,,,,,,,,,174.0,59.0,,,,,,,,,,,,,
6,,,-0.01679301795621309,-0.01650313847674698,,-2.167649647988841,-0.14105961519951832,0.2119016971267122,0.018838177733334686,,,,,,,,,,,,,,,,,,,,,,,,
7,,,-0.11695342908136093,-0.11659136841485061,,-2.3795747179847475,-0.2692287468182595,0.25213156720576424,0.2101243877626055,,,,,,,,,,,,,,,,,,,,,,,,
8,,,-1.8899279231442323e-05,-2.3734404616789034e-06,,-2.4560208142493662,-0.2816733939006534,0.27146522851306487,0.016008758747497336,,,,,,,,,,,,,,,,,,,,,,,,
9,,,-0.07134815757575758,-0.07059396674343323,,-2.5709936708041066,-0.3076073964552678,0.28417701278468405,0.05890032716310004,,,,,,,,,,,,,,,,,,,,,,,,
10,,,-0.06374637200067479,-0.06837268786560528,,-2.726557679130382,-0.30641563387093895,0.29134802244856656,0.1583284763592933,,,,,,,,,,,,,,,,,,,,,,,,
11,,,-0.06983359389674974,-0.07009703842155576,,-2.7822895943357966,-0.39177319019715995,0.32005871665192703,0.15456604427939913,,,,,,,,,,,,,,,,,,,,,,,,
12,,,-0.015136528947785482,-0.01588443815080169,,-2.822884880840022,-0.41656178794118465,0.33453100365383986,0.058103628442875054,,,,,,,,,,,,,,,,,,,,,,,,
13,,,-0.005135500371214247,-0.005318346149471288,,-2.8890043963183563,-0.6370490067352529,0.5558593609645497,0.016824600125787237,,,,,,,,,,,,,,,,,,,,,,,,
14,,,-0.31442901647831745,-0.3119316612012299,,-2.953230240461294,-0.7937122804777473,0.5804579266256433,0.2717455187902364,,,,,,,,,,,,,,,,,,,,,,,,
15,,,-0.1521984027350589,-0.15474372998754787,,-2.9816775898991144,-0.9669171477782413,0.6496967736759169,0.2426423899716077,,,,,,,,,,,,,,,,,,,,,,,,
16,,,-0.05116437633309636,-0.05039952988326575,,-2.9923150068263644,-1.024756289456069,0.6694827607580098,0.04731818285046577,,,,,,,,,,,,,,,,,,,,,,,,
17,,,-0.046115760161893005,-0.045110209160294026,,-3.1762441302203213,-1.1526260813698823,0.7006836537907861,0.07012180502965326,,,,,,,,,,,,,,,,,,,,,,,,
18,,,-0.14032398377301425,-0.1409493772573319,,-3.282772718123082,-1.1996934030198405,0.7044251796347407,0.22281508467645222,,,,,,,,,,,,,,,,,,,,,,,,
19,,,-0.3070823793741063,-0.3076073964552678,,-3.276933528733292,-1.2006363165627087,0.7038230973811282,0.28417701278468405,,,,,,,,,,,,,,,,,,,,,,,,
20,,,-0.14309236387295202,-0.14192377769849976,,-3.238068018186687,-1.2192064964885114,0.7298259545907043,0.2103369485122245,,,,,,,,,,,,,,,,,,,,,,,,
21,,,-0.09032561374866989,-0.08915076473720054,,-3.3312337245179062,-1.2181105258256273,0.730326242454626,0.08718290785850148,,,,,,,,,,,,,,,,,,,,,,,,
22,,,-0.03850787872325842,-0.038361084688096035,,-3.3642883839999933,-1.3175091461270458,0.7345292921895299,0.06553133238608537,,,,,,,,,,,,,,,,,,,,,,,,
23,,,-0.21374918159633358,-0.20909584678740942,,-3.4677310915215407,-1.3190922251496198,0.7349234495167829,0.2574085026202294,,,,,,,,,,,,,,,,,,,,,,,,
24,,,-0.061011523278700595,-0.062236580829399264,,-3.4677310915215407,-1.3297830732948097,0.737035938226676,0.08781983723110269,,,,,,,,,,,,,,,,,,,,,,,,
25,,,-0.15862929682275262,-0.15584880612743304,,,-1.35491983522683,0.749871871548036,0.25374318030802995,,,,,,,,,,,,,,,,,,,,,,,,
26,,,-0.6324825693993664,-0.632783614250101,,,-1.3551393626115804,0.7500865320907184,0.5535173458534298,,,,,,,,,,,,,,,,,,,,,,,,
27,,,-0.005530888995275061,-0.005062822543860299,,,-1.3920006354279575,0.7509849955270814,0.005472247773395631,,,,,,,,,,,,,,,,,,,,,,,,
28,,,-0.2743280095017542,-0.27195337956414795,,,-1.3945950897246564,0.7537260949218845,0.43018114451876527,,,,,,,,,,,,,,,,,,,,,,,,
29,,,-0.04510893050553275,-0.04450462911880879,,,-1.4130878292632278,0.7611911597944614,0.15880126955406568,,,,,,,,,,,,,,,,,,,,,,,,
30,,,-0.5104966810828793,-0.5071480964070563,,,-1.413219352168408,0.761187181065498,0.5327584835581785,,,,,,,,,,,,,,,,,,,,,,,,
31,,,-0.12928919947124326,-0.1292064600982349,,,-1.68913685663843,0.7723548515664839,0.12079446915675156,,,,,,,,,,,,,,,,,,,,,,,,
32,,,-0.12354760597809887,-0.12338664854521766,,,-1.6892272030803444,0.7725746282330558,0.2077367008747391,,,,,,,,,,,,,,,,,,,,,,,,
33,,,-0.31905361553477857,-0.31633164932479707,,,-1.6707913220684585,0.7824093582253414,0.4680311602377633,,,,,,,,,,,,,,,,,,,,,,,,
34,,,-0.18405022592207182,-0.18575591896959867,,,-1.6737120016512868,0.7843043868187786,0.12677860320073384,,,,,,,,,,,,,,,,,,,,,,,,
35,,,-1.0307700882700328,-1.0355761807168589,,,-1.6975813327256195,0.7862532901984277,0.6417242741021141,,,,,,,,,,,,,,,,,,,,,,,,
36,,,-0.12884732754306383,-0.13016254389179194,,,-1.7060359690487419,0.7879395776574454,0.28662756699542424,,,,,,,,,,,,,,,,,,,,,,,,
37,,,-0.24527558305388938,-0.24168843439122698,,,-1.706666771784363,0.7886551736672635,0.42044526712325403,,,,,,,,,,,,,,,,,,,,,,,,
38,,,-1.209527282085122,-1.1996934030198405,,,-1.812228026082825,0.8068407043243703,0.7044251796347407,,,,,,,,,,,,,,,,,,,,,,,,
39,,,-0.21542444125486976,-0.21577078059223592,,,-1.8223214202149953,0.8040853766979822,0.45602242074228777,,,,,,,,,,,,,,,,,,,,,,,,
40,,,-0.22754351337592588,-0.22415459313036248,,,-1.8275180210246604,0.8048541948354804,0.2617915577429654,,,,,,,,,,,,,,,,,,,,,,,,
41,,,-0.678730343839542,-0.6920590709089416,,,-1.8574431341716253,0.812169475364415,0.5079908433753586,,,,,,,,,,,,,,,,,,,,,,,,
42,,,-0.252045861489235,-0.2517108881121547,,,-1.850086962881471,0.8160520526194527,0.2243991747353165,,,,,,,,,,,,,,,,,,,,,,,,
43,,,-0.5398325339052547,-0.5458937861075095,,,-1.9589175106163292,0.8215585647054995,0.33828514542741084,,,,,,,,,,,,,,,,,,,,,,,,
44,,,-0.5693747725704574,-0.5799054725822874,,,-1.9591639327335002,0.8228775227367738,0.3925494804915153,,,,,,,,,,,,,,,,,,,,,,,,
45,,,-0.17326396543852593,-0.17359414056644698,,,-1.9628164319835038,0.8231209559053312,0.46308003011890936,,,,,,,,,,,,,,,,,,,,,,,,
46,,,-0.05935041755464144,-0.05856955865484175,,,-2.0137716453197565,0.8563173238799269,0.2788629193397543,,,,,,,,,,,,,,,,,,,,,,,,
47,,,-0.16741126809234325,-0.16790735653167577,,,-2.020041367456916,0.856508423519209,0.3330362250957874,,,,,,,,,,,,,,,,,,,,,,,,
48,,,-0.19285999144307744,-0.19489138122782013,,,-2.020649765106421,0.856793420615536,0.4031670409518787,,,,,,,,,,,,,,,,,,,,,,,,
49,,,-0.27212317701000976,-0.26793910188578307,,,-2.0496212715119664,0.8607007760867678,0.435891218003508,,,,,,,,,,,,,,,,,,,,,,,,
50,,,-0.2000763895320897,-0.20018588121285957,,,-2.0495789901203634,0.860719275009366,0.3048716577739404,,,,,,,,,,,,,,,,,,,,,,,,
51,,,-0.6923701628018919,-0.6928815080339837,,,-2.1116816596017816,0.8620733758836269,0.4745401623632893,,,,,,,,,,,,,,,,,,,,,,,,
52,,,-0.3876922142493638,-0.3920493199560043,,,-2.1149000973076206,0.8622904245400728,0.2758821651223473,,,,,,,,,,,,,,,,,,,,,,,,
53,,,-0.17392388734636455,-0.17249278359436995,,,-2.1368002877037098,0.8653428276732905,0.3494792327597854,,,,,,,,,,,,,,,,,,,,,,,,
54,,,-0.1929548439090287,-0.19500040252596157,,,-2.145156912726994,0.864915043136418,0.4012874901749466,,,,,,,,,,,,,,,,,,,,,,,,
55,,,-0.3178845354827988,-0.3175192179997538,,,-2.144895813865054,0.8649431494725849,0.34776733569835183,,,,,,,,,,,,,,,,,,,,,,,,
56,,,-0.4901586610720854,-0.48886418587282504,,,-2.1462995709629644,0.864824799541088,0.4033488456793487,,,,,,,,,,,,,,,,,,,,,,,,
57,,,-1.4189188265451456,-1.3920006354279575,,,-2.148183178961147,0.86474683944729,0.7509849955270814,,,,,,,,,,,,,,,,,,,,,,,,
58,,,-0.5195723941383283,-0.5233080998169587,,,-2.148313849065047,0.8647992163257954,0.3313567152525279,,,,,,,,,,,,,,,,,,,,,,,,
59,,,-0.7006050134867828,-0.6920228646088681,,,-2.1489092744986142,0.8647968639310787,0.4223868172347627,,,,,,,,,,,,,,,,,,,,,,,,
60,,,-0.926045317107036,-0.9394106951549615,,,-2.327981201716459,0.8692877046916934,0.45561900181649145,,,,,,,,,,,,,,,,,,,,,,,,
61,,,-0.6697656127913694,-0.6603845140606989,,,-2.3399299555533344,0.8715944768026059,0.3055744501579405,,,,,,,,,,,,,,,,,,,,,,,,
62,,,-0.12659007835150965,-0.12664584440219068,,,-2.3651643412463583,0.8746853296247896,0.37660754616976616,,,,,,,,,,,,,,,,,,,,,,,,
63,,,-0.1240929851102211,-0.12356058221867611,,,-2.3765494377505,0.8739324407127621,0.3846046179269216,,,,,,,,,,,,,,,,,,,,,,,,
64,,,-0.29276263104907674,-0.294672941327619,,,-2.3976358728092553,0.8746583808858379,0.5309687028612604,,,,,,,,,,,,,,,,,,,,,,,,
65,,,-0.05864009481130691,-0.05924233212692092,,,-2.4010712244929557,0.8753618588063636,0.25519608509330155,,,,,,,,,,,,,,,,,,,,,,,,
66,,,-0.2931343638418734,-0.295912406855338,,,-2.4081096726027034,0.8765664005597896,0.49764711233789766,,,,,,,,,,,,,,,,,,,,,,,,
67,,,-0.28826740185018046,-0.2887528206659013,,,-2.4054228390403085,0.8766816743858606,0.2888228715000593,,,,,,,,,,,,,,,,,,,,,,,,
68,,,-0.33405743559225376,-0.34147710358510286,,,-2.4111820281917313,0.8751233350411105,0.2873609391004424,,,,,,,,,,,,,,,,,,,,,,,,
69,,,-0.5679314789348172,-0.577659779388576,,,-2.411121303481343,0.8751215111690561,0.49982037210656866,,,,,,,,,,,,,,,,,,,,,,,,
