Iteration,custom_tag,backend,cost_approx,cost_exact,cosine_sim,acc_cost_approx,acc_cost_exact,fidelities,fidelities_cost,fidelities_grad,archt,rhs,qubits,layers,parameters,seed_init,exact,shots,depth,cnots,operator,innerp,cost,optimizer,rotations,entangler,mixer,driver,driver_per,initial_qaoa,sabre,mapomatic,DD
0,full_vqa_exact_bfgs_1,simulator,-0.005318943360295506,-0.005318943360295506,1.0,-0.005318943360295506,-0.005318943360295506,0.031114802630930194,0.031114802630930194,0.031114802630930194,linear_alternating,hnx,3.0,0.0,3.0,11.0,True,1000.0,,,exact,Statevec,Sato21_Innerp,L_BFGS_B,ry,cz,rx,rzz,ryy,hadamards,True,False,False
1,,,-0.12515728901956333,-0.12515728901956333,0.9999999999999999,-0.5233807575527878,-0.5233807575527878,0.730685153704597,0.2523482088719366,0.2523482088719366,,,,,,,,,,,,,,,,,,,,,,,
2,,,-0.3344261976582459,-0.3344261976582459,1.0,-0.5272578121592786,-0.5272578121592786,0.715647402551554,0.24986778769924134,0.24986778769924134,,,,,,,,,,,,,,,,,,,,,,,
3,,,-0.46949850689029843,-0.46949850689029843,1.0000000000000002,-0.649585068460953,-0.649585068460953,0.8587501770277682,0.7432488957530343,0.7432488957530343,,,,,,,,,,,,,,,,,,,,,,,
4,,,-0.5233807575527878,-0.5233807575527878,1.0000000000000002,-0.6656622858669388,-0.6656622858669388,0.9207098938781573,0.730685153704597,0.730685153704597,,,,,,,,,,,,,,,,,,,,,,,
5,,,-0.010717120906014057,-0.010717120906014057,0.9999999999999998,-0.6660997322769651,-0.6660997322769651,0.922234798661568,0.008903284050035083,0.008903284050035083,,,,,,,,,,,,,,,,,,,,,,,
6,,,-0.5272578121592786,-0.5272578121592786,0.9999999999999999,-0.6666627652732652,-0.6666627652732652,0.9238280615530288,0.715647402551554,0.715647402551554,,,,,,,,,,,,,,,,,,,,,,,
7,,,-0.649585068460953,-0.649585068460953,1.0,-0.666666666621035,-0.666666666621035,0.9238310708135415,0.8587501770277682,0.8587501770277682,,,,,,,,,,,,,,,,,,,,,,,
8,,,-0.6656622858669388,-0.6656622858669388,1.0,-0.666666666621035,-0.666666666621035,0.9238310708135415,0.9207098938781573,0.9207098938781573,,,,,,,,,,,,,,,,,,,,,,,
9,,,-0.6590422778803935,-0.6590422778803935,0.9999999999999999,,,,0.920936936038204,0.920936936038204,,,,,,,,,,,,,,,,,,,,,,,
10,,,-0.6660997322769651,-0.6660997322769651,1.0,,,,0.922234798661568,0.922234798661568,,,,,,,,,,,,,,,,,,,,,,,
11,,,-0.6666627652732652,-0.6666627652732652,1.0,,,,0.9238280615530288,0.9238280615530288,,,,,,,,,,,,,,,,,,,,,,,
12,,,-0.666666666621035,-0.666666666621035,1.0,,,,0.9238310708135415,0.9238310708135415,,,,,,,,,,,,,,,,,,,,,,,
