Iteration,custom_tag,backend,cost_approx,cost_exact,cosine_sim,acc_cost_approx,acc_cost_exact,fidelities,fidelities_cost,fidelities_grad,archt,rhs,qubits,layers,parameters,seed_init,exact,shots,depth,cnots,operator,innerp,cost,optimizer,rotations,entangler,mixer,driver,driver_per,initial_qaoa,sabre,mapomatic,DD
0,full_vqa_aer_nft_hyper_2,simulator,75.16116385125297,75.7025224279003,,75.16116385125297,75.7025224279003,0.01047465164069068,0.01047465164069068,,linear_alternating,hnx,5.0,3.0,29.0,10.0,False,10000.0,13.0,0.0,SatoLiu21,HTest,Sato21_Nonnorm,NFT,ry,cz,rx,rzz,ryy,hadamards,True,False,False
1,,,39.976250963115525,40.074285205582285,,18.674016858487985,39.25268978826744,0.03837472586471978,0.03687722941009804,,,,,,,,,,17.0,2.0,,,,,,,,,,,,,
2,,,98.12719047254356,98.37572545637056,,8.032741946365215,35.400341928936875,0.04494003176251762,0.00223688390362609,,,,,,,,,,18.0,3.0,,,,,,,,,,,,,
3,,,50.30627336542278,49.80667990416696,,5.297470782173669,19.663225597279652,0.040635519072850394,0.040452441768702274,,,,,,,,,,19.0,4.0,,,,,,,,,,,,,
4,,,78.95049354726984,78.810973501372,,-0.8747254483084299,19.480441407623164,0.040538576686891814,0.005762174782327054,,,,,,,,,,20.0,5.0,,,,,,,,,,,,,
5,,,35.23496857675973,35.09098399971884,,-2.4559237746365694,19.489790550351692,0.040018432820451325,0.0031969996667551956,,,,,,,,,,174.0,59.0,,,,,,,,,,,,,
6,,,19.58633147103152,19.03102807734675,,-3.1732869318930366,18.83062441499976,0.041413465208445695,0.0591744654661015,,,,,,,,,,,,,,,,,,,,,,,,
7,,,20.11116056425161,19.976402829351372,,-4.264523002751447,18.82990479427054,0.04127895749540002,0.0215673425243807,,,,,,,,,,,,,,,,,,,,,,,,
8,,,21.837144827502616,22.061101540313356,,-4.70806712472195,18.68900634298498,0.039674575639003236,0.01910546439457278,,,,,,,,,,,,,,,,,,,,,,,,
9,,,23.97180815017276,23.794658524278695,,-4.684668277145258,18.4553759074456,0.03362623046726837,0.002950429316202153,,,,,,,,,,,,,,,,,,,,,,,,
10,,,24.3065297168033,23.573554250299576,,-5.187267883222002,14.761197466989682,0.01238663840880741,0.05309459640102675,,,,,,,,,,,,,,,,,,,,,,,,
11,,,79.290878454992,78.71315680220741,,-5.532061686296241,14.65092808867536,0.013557695436850627,0.010705395205812337,,,,,,,,,,,,,,,,,,,,,,,,
12,,,62.71045869277816,62.40892910181651,,-5.192003847310212,13.692232866044469,0.010707241516331104,0.03219907071428824,,,,,,,,,,,,,,,,,,,,,,,,
13,,,33.279748173496344,33.2178182701181,,-4.9612489581070855,11.016149799096556,0.07399832699895131,0.026749677211190988,,,,,,,,,,,,,,,,,,,,,,,,
14,,,32.4813771970978,32.47996014371271,,-5.5802552385027155,10.964449464416742,0.07379267943561903,0.015436421670211626,,,,,,,,,,,,,,,,,,,,,,,,
15,,,29.69197096628698,30.75698236791192,,-6.457785169607262,10.875469774787536,0.07245904253763231,0.03719303398984604,,,,,,,,,,,,,,,,,,,,,,,,
16,,,26.93402345917633,26.633932523826296,,-6.158770750702866,9.978814449013903,0.06954764433845707,0.008925332115525125,,,,,,,,,,,,,,,,,,,,,,,,
17,,,32.869996537929495,32.79750026766715,,-5.8148888193978925,9.369434170706327,0.06519601373961709,0.06317405582646031,,,,,,,,,,,,,,,,,,,,,,,,
18,,,27.185893372274155,27.49593504402325,,-4.652026391313283,7.297944876529117,0.07031106941892933,0.0009208383019778146,,,,,,,,,,,,,,,,,,,,,,,,
19,,,18.674016858487985,18.4553759074456,,-4.682696857112871,7.300446405876101,0.07037040766928908,0.03362623046726837,,,,,,,,,,,,,,,,,,,,,,,,
20,,,38.91958670112197,38.530044289168686,,-5.914436936900332,7.3049847432496815,0.06945049590982465,0.05763150459029053,,,,,,,,,,,,,,,,,,,,,,,,
21,,,18.981970345341704,19.190219522639847,,-5.90761885839004,6.487954424676099,0.010908238419911046,0.00037114673002062315,,,,,,,,,,,,,,,,,,,,,,,,
22,,,24.498384711278824,24.154073842517324,,-6.4295957179854915,6.428531753062957,0.010961833443897551,0.020697065136037248,,,,,,,,,,,,,,,,,,,,,,,,
23,,,27.09288849850555,26.694419284335748,,-4.832732347960985,6.282109259442293,0.010824265102499715,0.0001830755787755434,,,,,,,,,,,,,,,,,,,,,,,,
24,,,33.0241288213788,32.61455454601579,,-4.832732347960985,6.036950878712336,0.010487142013721643,0.014231022670340912,,,,,,,,,,,,,,,,,,,,,,,,
25,,,21.902044654755656,22.136168855209608,,,5.375727182930034,0.013181278034859793,0.0020587695709659935,,,,,,,,,,,,,,,,,,,,,,,,
26,,,23.00845160275224,23.432455948967245,,,5.306221980525633,0.013066061925734094,0.05394721443140762,,,,,,,,,,,,,,,,,,,,,,,,
27,,,12.809104785939953,12.813383180839892,,,5.2828388417090855,0.013433108012730408,0.1433396853160432,,,,,,,,,,,,,,,,,,,,,,,,
28,,,56.09561569368906,56.96527919838534,,,5.274648598566958,0.013209039904413591,0.033823650124080076,,,,,,,,,,,,,,,,,,,,,,,,
29,,,60.78067590262455,61.49158774532631,,,0.4111608084738152,0.3370497726219996,0.04031713038570788,,,,,,,,,,,,,,,,,,,,,,,,
30,,,31.514573593584892,31.866326332571763,,,-0.18491345572609136,0.3370497726219996,0.04897160127223439,,,,,,,,,,,,,,,,,,,,,,,,
31,,,27.706087666019425,28.04278513310357,,,-0.3905764737865761,0.3401683012227644,0.026527652690176155,,,,,,,,,,,,,,,,,,,,,,,,
32,,,19.494845011971254,19.456132669246074,,,-0.3931000458334232,0.3399424519960843,0.034544432095124596,,,,,,,,,,,,,,,,,,,,,,,,
33,,,29.76935665623555,29.639270505519036,,,-0.4290272020632883,0.33964513658913115,0.03795473718302639,,,,,,,,,,,,,,,,,,,,,,,,
34,,,14.780434703991979,14.335139907638313,,,-0.9041842973519847,0.37733931026313267,0.02937012430325432,,,,,,,,,,,,,,,,,,,,,,,,
35,,,20.774789393895954,20.66550291026309,,,-0.8856400903957309,0.37912746372569583,0.04063355594229226,,,,,,,,,,,,,,,,,,,,,,,,
36,,,22.25161640221157,22.163160942956523,,,-1.0398063201316592,0.381125051454839,0.054455062341811994,,,,,,,,,,,,,,,,,,,,,,,,
37,,,41.66130494871196,41.80112181848099,,,-1.0404135775302366,0.381832507977994,0.016318089524278764,,,,,,,,,,,,,,,,,,,,,,,,
38,,,8.032741946365215,7.297944876529117,,,-1.7476393289905205,0.39618980388195185,0.07031106941892933,,,,,,,,,,,,,,,,,,,,,,,,
39,,,23.93616577540435,23.70740309593553,,,-1.7421679580946927,0.40661312339261974,0.03284742271002081,,,,,,,,,,,,,,,,,,,,,,,,
40,,,22.89400600912654,23.20717233591863,,,-1.770798040202443,0.40614816085229305,0.03754200971537752,,,,,,,,,,,,,,,,,,,,,,,,
41,,,15.420579005160505,15.767802547377325,,,-1.7881815099510492,0.4100450139030384,0.021619220329856484,,,,,,,,,,,,,,,,,,,,,,,,
42,,,16.314776364058638,16.34534604579237,,,-1.851092609156801,0.40972789254227027,0.05203856547865942,,,,,,,,,,,,,,,,,,,,,,,,
43,,,10.011694332337393,9.841191172195947,,,-2.273184898909326,0.4920782154533432,0.025146180088273774,,,,,,,,,,,,,,,,,,,,,,,,
44,,,19.408614780126936,19.80511492613014,,,-2.3562027891711383,0.49134849277566206,0.2822474993987849,,,,,,,,,,,,,,,,,,,,,,,,
45,,,67.0970362364657,66.96147214722426,,,-2.435666173993437,0.4969818451178611,0.006717451126470318,,,,,,,,,,,,,,,,,,,,,,,,
46,,,73.54738665042441,72.48306687516887,,,-2.5088443582885547,0.5118908619317394,0.004322268219527705,,,,,,,,,,,,,,,,,,,,,,,,
47,,,33.19826131722385,33.65889817378367,,,-2.5509388214769486,0.5252887396274574,0.006475663385529286,,,,,,,,,,,,,,,,,,,,,,,,
48,,,27.875530708166856,28.29200069285685,,,-2.5491816682160535,0.5246608086672558,0.004569073292600449,,,,,,,,,,,,,,,,,,,,,,,,
49,,,23.893113781884036,23.515166314634033,,,-2.551317874918629,0.5263168376950428,0.007020410532378045,,,,,,,,,,,,,,,,,,,,,,,,
50,,,18.669630977943413,18.113905914523123,,,-2.6213078201872246,0.5289939905732294,0.004012779684879279,,,,,,,,,,,,,,,,,,,,,,,,
51,,,16.217968587273194,16.13651991814949,,,-2.7015714013685943,0.6277029473390424,0.0005840061255881935,,,,,,,,,,,,,,,,,,,,,,,,
52,,,9.733545480205633,10.102461997625918,,,-2.785500785595511,0.6284724566822336,0.014558544342831378,,,,,,,,,,,,,,,,,,,,,,,,
53,,,31.66074037892742,30.68426560984849,,,-2.865540727617241,0.6332910439494533,0.004987836105184208,,,,,,,,,,,,,,,,,,,,,,,,
54,,,35.045524589867924,34.6849560633602,,,-2.8955619075958228,0.6383267300315494,0.008416390431685015,,,,,,,,,,,,,,,,,,,,,,,,
55,,,15.960173597415727,16.242313346511065,,,-2.895442416198308,0.638311129464543,0.0017770934615967166,,,,,,,,,,,,,,,,,,,,,,,,
56,,,14.747881615817164,14.938927981821488,,,-2.9896057089873938,0.6378574558778759,0.014279950798086225,,,,,,,,,,,,,,,,,,,,,,,,
57,,,5.297470782173669,5.2828388417090855,,,-3.000564290577927,0.6362477041538466,0.013433108012730408,,,,,,,,,,,,,,,,,,,,,,,,
58,,,12.713807184622373,12.594619752072663,,,-3.001066748990087,0.6364386192186501,0.002034143182277079,,,,,,,,,,,,,,,,,,,,,,,,
59,,,13.27614174560863,13.344132256159392,,,-4.1461373897693745,0.9366459102312602,0.014115268046466765,,,,,,,,,,,,,,,,,,,,,,,,
60,,,0.21865328522529956,0.5302366976800436,,,-4.209553067299578,0.9366459102312602,0.31808142677636636,,,,,,,,,,,,,,,,,,,,,,,,
61,,,9.919119825468604,9.583334638534746,,,-4.300233679737041,0.9388209652163242,0.5278363606902389,,,,,,,,,,,,,,,,,,,,,,,,
62,,,1.3671356875986505,1.6026621453991328,,,-4.310668367810773,0.9391353292246007,0.3370497726219996,,,,,,,,,,,,,,,,,,,,,,,,
63,,,-0.08225648018831778,-0.43324554840320284,,,-4.308958108651768,0.9392541768739856,0.3370497726219996,,,,,,,,,,,,,,,,,,,,,,,,
64,,,38.696199407773804,39.02484451966218,,,-4.35893136742294,0.9448857263968564,0.20972091311314978,,,,,,,,,,,,,,,,,,,,,,,,
65,,,47.64347981287966,47.699178396203315,,,-4.532874041284853,0.9467388769719038,0.13182904309303725,,,,,,,,,,,,,,,,,,,,,,,,
66,,,45.13914374088004,45.34603355905555,,,-4.546848205227268,0.947287904790718,0.1540779743590356,,,,,,,,,,,,,,,,,,,,,,,,
67,,,46.33103834755262,46.20850507241956,,,-4.546610246703599,0.9462270279544264,0.1868811472826113,,,,,,,,,,,,,,,,,,,,,,,,
68,,,9.603781052602956,9.459914353384887,,,-4.562034494794281,0.9459151620209891,0.17057009265429476,,,,,,,,,,,,,,,,,,,,,,,,
69,,,10.95041172136671,11.233928873081155,,,-4.564903799052576,0.9456228974511839,0.169373412493139,,,,,,,,,,,,,,,,,,,,,,,,
70,,,6.7183252616937486,7.215646385228065,,,-4.5749543012588365,0.9454196416931673,0.33406954998993793,,,,,,,,,,,,,,,,,,,,,,,,
71,,,14.687606021042145,14.725551847495863,,,-4.574305326150785,0.9451475511464261,0.06061600477166177,,,,,,,,,,,,,,,,,,,,,,,,
72,,,6.8209482910177694,7.320533650439299,,,-4.576800511344025,0.9449459320344548,0.3016596233082489,,,,,,,,,,,,,,,,,,,,,,,,
73,,,7.116497505601234,6.536265726224474,,,-4.577811582078693,0.9456151394975006,0.10207189026913317,,,,,,,,,,,,,,,,,,,,,,,,
74,,,45.43594603209133,45.389375411305835,,,-4.584311685673148,0.9460136790610698,0.15959985958579664,,,,,,,,,,,,,,,,,,,,,,,,
75,,,37.993232785092026,38.003778704916556,,,-4.600554947782731,0.9468705173029492,0.2221037397466201,,,,,,,,,,,,,,,,,,,,,,,,
76,,,-0.8747254483084299,-1.0398063201316592,,,-4.623737654583619,0.9497050876495757,0.381125051454839,,,,,,,,,,,,,,,,,,,,,,,,
77,,,19.311066702165085,19.005895868129944,,,-4.625307363055932,0.9538369030334934,0.1646593321134043,,,,,,,,,,,,,,,,,,,,,,,,
78,,,18.157439701307567,18.3347163948202,,,-4.649657634643523,0.9557667394508271,0.2183571282778956,,,,,,,,,,,,,,,,,,,,,,,,
79,,,17.63694976846605,17.524305727738508,,,-4.645800543037104,0.9546027736598667,0.12349476500154134,,,,,,,,,,,,,,,,,,,,,,,,
80,,,8.087708879391206,8.020584793681033,,,-4.632898865829652,0.9547175858107267,0.27296557165437124,,,,,,,,,,,,,,,,,,,,,,,,
81,,,13.452662410135618,13.0593078806124,,,-4.632914333851526,0.9550299867047428,0.12133570676887823,,,,,,,,,,,,,,,,,,,,,,,,
82,,,9.610131106225976,10.441715136248735,,,-4.70554712702712,0.9554701208655119,0.29357358964312485,,,,,,,,,,,,,,,,,,,,,,,,
83,,,12.515108117506955,12.331165859091877,,,-4.719909777233357,0.9573238150156227,0.19768108512532664,,,,,,,,,,,,,,,,,,,,,,,,
84,,,13.87699790172325,14.134770832693036,,,-4.7235197300000005,0.9579723795815611,0.20901096225447907,,,,,,,,,,,,,,,,,,,,,,,,
