Iteration,custom_tag,backend,cost_approx,cost_exact,cosine_sim,acc_cost_approx,acc_cost_exact,fidelities,fidelities_cost,fidelities_grad,archt,rhs,qubits,layers,parameters,seed_init,exact,shots,depth,cnots,operator,innerp,cost,optimizer,rotations,entangler,mixer,driver,driver_per,initial_qaoa,sabre,mapomatic,DD
0,full_vqa_aer_nft_hyper_1,simulator,-0.02046599038974906,-0.019383403545085248,,-0.02046599038974906,-0.019383403545085248,0.06075804561751194,0.06075804561751194,,linear_alternating,hnx,5.0,3.0,29.0,5.0,False,10000.0,13.0,0.0,SatoLiu21,HTest,Sato21_Innerp,NFT,ry,cz,rx,rzz,ryy,hadamards,True,False,False
1,,,-0.004036282944680193,-0.0034682944622183728,,-1.8112335463258777,-0.032279636425273366,0.053771853922388216,0.018413054967111448,,,,,,,,,,17.0,2.0,,,,,,,,,,,,,
2,,,-0.02867924970691676,-0.030593262904940924,,-2.9408944266495913,-0.03583022021544117,0.0546655864516757,0.045325077213554936,,,,,,,,,,18.0,3.0,,,,,,,,,,,,,
3,,,-0.0033366645541851505,-0.003302788293254068,,-3.2261471341874604,-0.03665393188718162,0.0669009973912134,0.019395290140679807,,,,,,,,,,19.0,4.0,,,,,,,,,,,,,
4,,,-0.020377829564112073,-0.021091758563208062,,-3.5602096225018527,-0.0928766780073032,0.18767785678432114,0.0355969722480348,,,,,,,,,,20.0,5.0,,,,,,,,,,,,,
5,,,-0.007717626483447846,-0.006601231635879148,,-3.923364895330121,-0.12610103669487674,0.26592231538102173,0.006015043984681576,,,,,,,,,,174.0,59.0,,,,,,,,,,,,,
6,,,-0.025585796051863112,-0.022635864151270807,,-4.590805843543829,-0.13093462030884293,0.28142598091508086,0.06405755093109936,,,,,,,,,,,,,,,,,,,,,,,,
7,,,-4.120639534883685e-05,-0.0002541454728879192,,-3.8294695447409817,-0.13348291127752843,0.29465924825749357,0.003950880108546765,,,,,,,,,,,,,,,,,,,,,,,,
8,,,-0.09877056826304499,-0.09923067443700266,,-3.8294695447409817,-0.14444283875705957,0.2846338413543096,0.1837370304087068,,,,,,,,,,,,,,,,,,,,,,,,
9,,,-0.01279014684983419,-0.01045861829365421,,,-0.14576383582306443,0.28189555713794523,0.01116951733375856,,,,,,,,,,,,,,,,,,,,,,,,
10,,,-0.11816935989669802,-0.1177097429055356,,,-0.15797106270133832,0.28409029655635504,0.2570255452034732,,,,,,,,,,,,,,,,,,,,,,,,
11,,,-0.06799469711885543,-0.07101442846795349,,,-0.20334080905999413,0.3249459581182827,0.22507570659047207,,,,,,,,,,,,,,,,,,,,,,,,
12,,,-0.028669575070821546,-0.02712947609697934,,,-0.2057043315207522,0.32691013892855725,0.06495124536902042,,,,,,,,,,,,,,,,,,,,,,,,
13,,,-0.03332764124651635,-0.03622679237564872,,,-0.20559979007722307,0.32619188155311396,0.06686511223252717,,,,,,,,,,,,,,,,,,,,,,,,
14,,,-0.06271381528882738,-0.0652245676489804,,,-0.3269163933907207,0.3425649347628792,0.2417214060555737,,,,,,,,,,,,,,,,,,,,,,,,
15,,,-0.0316503566846292,-0.032240414766899476,,,-0.3243707926087076,0.3433172938259301,0.17141626408686497,,,,,,,,,,,,,,,,,,,,,,,,
16,,,-0.07217322677322681,-0.07468332272061884,,,-0.3333476535965807,0.3344304053277191,0.12506574285790936,,,,,,,,,,,,,,,,,,,,,,,,
17,,,-0.058596074782167364,-0.05927513942392489,,,-0.3282852383438924,0.3068789785374252,0.10746434695771173,,,,,,,,,,,,,,,,,,,,,,,,
18,,,-0.04784295302013425,-0.05098838244773932,,,-0.35889071925072485,0.311895241968943,0.18205646016077473,,,,,,,,,,,,,,,,,,,,,,,,
19,,,-0.08822123011809678,-0.08629841087817626,,,-0.45835029508750486,0.5843133771025206,0.17577085561434305,,,,,,,,,,,,,,,,,,,,,,,,
20,,,-0.024094526729923623,-0.02241405062116769,,,-0.47338899561222164,0.587606141716422,0.10996512573029929,,,,,,,,,,,,,,,,,,,,,,,,
21,,,-0.1566156514657981,-0.1564549076536518,,,-0.4742062351782048,0.5882432106385598,0.273790830081165,,,,,,,,,,,,,,,,,,,,,,,,
22,,,-0.008300087686333463,-0.010532155131937114,,,-0.5447978782439074,0.6049355714265094,0.05314283287950887,,,,,,,,,,,,,,,,,,,,,,,,
23,,,-0.08477009026591847,-0.08720486576327309,,,-0.7913215850501453,0.70314595531916,0.19062818253308228,,,,,,,,,,,,,,,,,,,,,,,,
24,,,-0.06248291364535267,-0.06694388510054551,,,-1.1127240474638285,0.7772351351180358,0.13656636496289096,,,,,,,,,,,,,,,,,,,,,,,,
25,,,-0.09420077943769133,-0.09648629231014594,,,-1.1130931178395378,0.7741514668447802,0.1689027589199798,,,,,,,,,,,,,,,,,,,,,,,,
26,,,-0.10464219992427114,-0.10088511330164128,,,-1.270685092217931,0.7886244498875918,0.1580966792862273,,,,,,,,,,,,,,,,,,,,,,,,
27,,,-0.023100265271006597,-0.02146012071114194,,,-1.2688380190711235,0.7892979858004978,0.09283999454556476,,,,,,,,,,,,,,,,,,,,,,,,
28,,,-0.16124383430594086,-0.1548245814334223,,,-1.2667407581194985,0.791825129566139,0.25301524489161187,,,,,,,,,,,,,,,,,,,,,,,,
29,,,-0.048642382469601404,-0.04807423581773936,,,-1.2621765963695621,0.7889331021626271,0.15349790785602033,,,,,,,,,,,,,,,,,,,,,,,,
30,,,-0.09078703401607155,-0.09066445688359888,,,-1.602056100160166,0.8234944156238657,0.19004161785670173,,,,,,,,,,,,,,,,,,,,,,,,
31,,,-0.07752605042016802,-0.07893463504383666,,,-1.6219288237742586,0.8236882590722456,0.1919086740505007,,,,,,,,,,,,,,,,,,,,,,,,
32,,,-0.12523325476330777,-0.11870419634632275,,,-1.8001989471542603,0.8281470246509994,0.15253738493969804,,,,,,,,,,,,,,,,,,,,,,,,
33,,,-0.17096875248048682,-0.17266600675675775,,,-2.025444934549681,0.833221466625027,0.12269560733528528,,,,,,,,,,,,,,,,,,,,,,,,
34,,,-0.12734139835645975,-0.1266396156400406,,,-2.0272143545879624,0.8324459020325627,0.21861215059243544,,,,,,,,,,,,,,,,,,,,,,,,
35,,,-0.10030408308183919,-0.09840299684536083,,,-2.115519882491388,0.8378021945611487,0.1992434196799273,,,,,,,,,,,,,,,,,,,,,,,,
36,,,-0.0556383357807146,-0.0536088142435488,,,-2.135429557427375,0.8385740198749877,0.11360954316402379,,,,,,,,,,,,,,,,,,,,,,,,
37,,,-0.003894068418734399,-0.004724058140552653,,,-2.267768336197472,0.8444335824765964,0.000246226590259519,,,,,,,,,,,,,,,,,,,,,,,,
38,,,-0.5892361483007211,-0.5794468508278653,,,-2.3915195372164026,0.8384127970438618,0.5992501170634225,,,,,,,,,,,,,,,,,,,,,,,,
39,,,-0.3223572119393031,-0.3304105848292948,,,-2.437255043010248,0.8395974526396571,0.3393406268281431,,,,,,,,,,,,,,,,,,,,,,,,
40,,,-0.18486193390452865,-0.17421804206346342,,,-2.463295027546254,0.8395218594546857,0.24850315319647884,,,,,,,,,,,,,,,,,,,,,,,,
41,,,-0.20550330269959782,-0.22172195440600034,,,-2.5484577649633917,0.8317159718326769,0.27476128610325445,,,,,,,,,,,,,,,,,,,,,,,,
