Iteration,custom_tag,backend,cost_approx,cost_exact,cosine_sim,acc_cost_approx,acc_cost_exact,fidelities,fidelities_cost,fidelities_grad,archt,rhs,qubits,layers,parameters,seed_init,exact,shots,depth,cnots,operator,innerp,cost,optimizer,rotations,entangler,mixer,driver,driver_per,initial_qaoa,sabre,mapomatic,DD
0,full_vqa_exact_bfgs_1,simulator,0.13741126699593395,0.13741126699593395,0.9999999999999999,0.13741126699593395,0.13741126699593395,0.01831663784245017,0.01831663784245017,0.01831663784245017,linear_alternating,hnx,5.0,1.0,13.0,0.0,True,1000.0,,,exact,Statevec,Sato21_Nonnorm,L_BFGS_B,ry,cz,rx,rzz,ryy,hadamards,True,False,False
1,,,0.3595978906469044,0.3595978906469044,1.0,-0.009142549976826451,-0.009142549976826451,0.025600639185142916,0.043188186375192186,0.043188186375192186,,,,,,,,,,,,,,,,,,,,,,,
2,,,-0.009142549976826451,-0.009142549976826451,0.9999999999999999,-0.5082413454242103,-0.5082413454242103,0.5638087619815376,0.025600639185142916,0.025600639185142916,,,,,,,,,,,,,,,,,,,,,,,
3,,,-0.009701774709287367,-0.009701774709287367,1.0,-0.509157089109938,-0.509157089109938,0.56596424131973,0.026919565627203018,0.026919565627203018,,,,,,,,,,,,,,,,,,,,,,,
4,,,-0.01219220419049251,-0.01219220419049251,1.0000000000000002,-0.5405142961344531,-0.5405142961344531,0.6165381996244805,0.032644937202395176,0.032644937202395176,,,,,,,,,,,,,,,,,,,,,,,
5,,,-0.027680204160945066,-0.027680204160945066,1.0,-0.6699960642814471,-0.6699960642814471,0.6822374391402799,0.06333360832136802,0.06333360832136802,,,,,,,,,,,,,,,,,,,,,,,
6,,,-0.2247304664743773,-0.2247304664743773,1.0,-0.834650665304601,-0.834650665304601,0.6425259467484744,0.3083435569967664,0.3083435569967664,,,,,,,,,,,,,,,,,,,,,,,
7,,,3.0940243247171257,3.0940243247171257,0.9999999999999999,-1.0762223698696722,-1.0762223698696722,0.6982777681423146,0.036245755809884886,0.036245755809884886,,,,,,,,,,,,,,,,,,,,,,,
8,,,-0.39300502714723967,-0.39300502714723967,0.9999999999999999,-1.210921232093831,-1.210921232093831,0.724628481198087,0.4659168136542691,0.4659168136542691,,,,,,,,,,,,,,,,,,,,,,,
9,,,-0.5063136460248389,-0.5063136460248389,1.0,-1.4608641852885016,-1.4608641852885016,0.7538938121027466,0.5672954387448254,0.5672954387448254,,,,,,,,,,,,,,,,,,,,,,,
10,,,-0.5082413454242103,-0.5082413454242103,1.0000000000000002,-1.7356063895746963,-1.7356063895746963,0.7443236499120627,0.5638087619815376,0.5638087619815376,,,,,,,,,,,,,,,,,,,,,,,
11,,,35915.993435458804,35915.993435458804,1.0,-1.909530764843232,-1.909530764843232,0.7624368477174496,0.018783581811735648,0.018783581811735648,,,,,,,,,,,,,,,,,,,,,,,
12,,,-0.508283961522873,-0.508283961522873,0.9999999999999999,-2.0483941919112207,-2.0483941919112207,0.7986431510067595,0.5638716819160154,0.5638716819160154,,,,,,,,,,,,,,,,,,,,,,,
13,,,-0.509157089109938,-0.509157089109938,1.0000000000000002,-2.164539440825634,-2.164539440825634,0.8460042398979961,0.56596424131973,0.56596424131973,,,,,,,,,,,,,,,,,,,,,,,
14,,,-0.5162236027184895,-0.5162236027184895,1.0000000000000002,-2.3169728285245803,-2.3169728285245803,0.8380489828625335,0.5772606367760916,0.5772606367760916,,,,,,,,,,,,,,,,,,,,,,,
15,,,-0.5405142961344531,-0.5405142961344531,1.0000000000000002,-2.629071944242562,-2.629071944242562,0.8103819005239856,0.6165381996244805,0.6165381996244805,,,,,,,,,,,,,,,,,,,,,,,
16,,,-0.6699960642814471,-0.6699960642814471,1.0,-2.866193952800736,-2.866193952800736,0.8037935567641219,0.6822374391402799,0.6822374391402799,,,,,,,,,,,,,,,,,,,,,,,
17,,,-0.834650665304601,-0.834650665304601,1.0,-3.154021272523106,-3.154021272523106,0.8451416174864835,0.6425259467484744,0.6425259467484744,,,,,,,,,,,,,,,,,,,,,,,
18,,,-1.0762223698696722,-1.0762223698696722,0.9999999999999999,-3.5825996714034964,-3.5825996714034964,0.9022656044281685,0.6982777681423146,0.6982777681423146,,,,,,,,,,,,,,,,,,,,,,,
19,,,11.077191655351546,11.077191655351546,0.9999999999999998,-3.734215239039176,-3.734215239039176,0.9291300649570167,0.01976064829227671,0.01976064829227671,,,,,,,,,,,,,,,,,,,,,,,
20,,,-1.210921232093831,-1.210921232093831,0.9999999999999999,-3.8552861234317612,-3.8552861234317612,0.9323461899556668,0.724628481198087,0.724628481198087,,,,,,,,,,,,,,,,,,,,,,,
21,,,2.9599202506137683,2.9599202506137683,1.0,-3.921680083989702,-3.921680083989702,0.9336285283041247,0.12000309966975717,0.12000309966975717,,,,,,,,,,,,,,,,,,,,,,,
22,,,-1.4608641852885016,-1.4608641852885016,0.9999999999999998,-3.9426596631904953,-3.9426596631904953,0.9445323836351072,0.7538938121027466,0.7538938121027466,,,,,,,,,,,,,,,,,,,,,,,
23,,,-1.7356063895746963,-1.7356063895746963,1.0,-3.965819360983671,-3.965819360983671,0.9432568259783219,0.7443236499120627,0.7443236499120627,,,,,,,,,,,,,,,,,,,,,,,
24,,,-1.70784469096531,-1.70784469096531,0.9999999999999999,-3.967609087539961,-3.967609087539961,0.9426105628954125,0.7227677827318836,0.7227677827318836,,,,,,,,,,,,,,,,,,,,,,,
25,,,-1.909530764843232,-1.909530764843232,0.9999999999999998,-3.9683601984545676,-3.9683601984545676,0.9422019310957864,0.7624368477174496,0.7624368477174496,,,,,,,,,,,,,,,,,,,,,,,
26,,,-1.8593961684042568,-1.8593961684042568,0.9999999999999998,-3.970088560638996,-3.970088560638996,0.9422345605526441,0.7739776587884356,0.7739776587884356,,,,,,,,,,,,,,,,,,,,,,,
27,,,-2.0483941919112207,-2.0483941919112207,0.9999999999999999,-3.973833403653168,-3.973833403653168,0.9425500368894872,0.7986431510067595,0.7986431510067595,,,,,,,,,,,,,,,,,,,,,,,
28,,,-1.7571705145898489,-1.7571705145898489,1.0,-3.977672446485966,-3.977672446485966,0.9432659852784339,0.77342792470776,0.77342792470776,,,,,,,,,,,,,,,,,,,,,,,
29,,,-2.164539440825634,-2.164539440825634,1.0000000000000002,-3.9789853041908656,-3.9789853041908656,0.9425832828571876,0.8460042398979961,0.8460042398979961,,,,,,,,,,,,,,,,,,,,,,,
30,,,-2.3169728285245803,-2.3169728285245803,1.0000000000000002,-3.979927469713692,-3.979927469713692,0.9424934473180114,0.8380489828625335,0.8380489828625335,,,,,,,,,,,,,,,,,,,,,,,
31,,,-2.6200867677868414,-2.6200867677868414,1.0000000000000002,-3.980084823891167,-3.980084823891167,0.942347509732274,0.7563628311031251,0.7563628311031251,,,,,,,,,,,,,,,,,,,,,,,
32,,,-2.629071944242562,-2.629071944242562,1.0,-3.9801653640087493,-3.9801653640087493,0.9421113585977547,0.8103819005239856,0.8103819005239856,,,,,,,,,,,,,,,,,,,,,,,
33,,,4.451697505795351,4.451697505795351,1.0000000000000002,-3.9802011630858627,-3.9802011630858627,0.941912999719157,0.6101649636877212,0.6101649636877212,,,,,,,,,,,,,,,,,,,,,,,
34,,,-2.866193952800736,-2.866193952800736,1.0,-3.9802724126389175,-3.9802724126389175,0.9415981390535151,0.8037935567641219,0.8037935567641219,,,,,,,,,,,,,,,,,,,,,,,
35,,,-2.959636934318181,-2.959636934318181,1.0,-3.9803163480480213,-3.9803163480480213,0.9414577364395154,0.8753618498198635,0.8753618498198635,,,,,,,,,,,,,,,,,,,,,,,
36,,,-3.154021272523106,-3.154021272523106,1.0,-3.9804000149988044,-3.9804000149988044,0.9413429449295924,0.8451416174864835,0.8451416174864835,,,,,,,,,,,,,,,,,,,,,,,
37,,,-3.5825996714034964,-3.5825996714034964,1.0,-3.980546938355946,-3.980546938355946,0.9412335767722974,0.9022656044281685,0.9022656044281685,,,,,,,,,,,,,,,,,,,,,,,
38,,,-2.818839211929561,-2.818839211929561,1.0,-3.9807701915021294,-3.9807701915021294,0.9411719052064536,0.8613749782499142,0.8613749782499142,,,,,,,,,,,,,,,,,,,,,,,
39,,,-3.734215239039176,-3.734215239039176,1.0,-3.98116479075033,-3.98116479075033,0.9412583554463462,0.9291300649570167,0.9291300649570167,,,,,,,,,,,,,,,,,,,,,,,
40,,,-3.8552861234317612,-3.8552861234317612,0.9999999999999998,-3.981913212721683,-3.981913212721683,0.9412172078866381,0.9323461899556668,0.9323461899556668,,,,,,,,,,,,,,,,,,,,,,,
41,,,-3.749313089872536,-3.749313089872536,0.9999999999999999,-3.9827774199898656,-3.9827774199898656,0.9415296806021073,0.9305254780434726,0.9305254780434726,,,,,,,,,,,,,,,,,,,,,,,
42,,,-3.921680083989702,-3.921680083989702,0.9999999999999998,-3.9832722821898416,-3.9832722821898416,0.9417062715341877,0.9336285283041247,0.9336285283041247,,,,,,,,,,,,,,,,,,,,,,,
43,,,-3.9426596631904953,-3.9426596631904953,0.9999999999999999,-3.9841842593221086,-3.9841842593221086,0.9419562198056143,0.9445323836351072,0.9445323836351072,,,,,,,,,,,,,,,,,,,,,,,
44,,,-3.965819360983671,-3.965819360983671,1.0,-3.984573435160664,-3.984573435160664,0.9424751443919207,0.9432568259783219,0.9432568259783219,,,,,,,,,,,,,,,,,,,,,,,
45,,,-3.96534518983872,-3.96534518983872,1.0000000000000002,-3.9853208747559186,-3.9853208747559186,0.9413691046943136,0.9417951191640028,0.9417951191640028,,,,,,,,,,,,,,,,,,,,,,,
46,,,-3.967609087539961,-3.967609087539961,1.0,-3.9853745295091447,-3.9853745295091447,0.9412083943490579,0.9426105628954125,0.9426105628954125,,,,,,,,,,,,,,,,,,,,,,,
47,,,-3.9683601984545676,-3.9683601984545676,0.9999999999999999,-3.985701539670676,-3.985701539670676,0.9414045405186001,0.9422019310957864,0.9422019310957864,,,,,,,,,,,,,,,,,,,,,,,
48,,,-3.970088560638996,-3.970088560638996,1.0,-3.9857463738525656,-3.9857463738525656,0.941308342800354,0.9422345605526441,0.9422345605526441,,,,,,,,,,,,,,,,,,,,,,,
49,,,-3.973833403653168,-3.973833403653168,1.0000000000000002,-3.9858548887467258,-3.9858548887467258,0.941555652037535,0.9425500368894872,0.9425500368894872,,,,,,,,,,,,,,,,,,,,,,,
50,,,-3.977672446485966,-3.977672446485966,1.0,-3.9860547730022566,-3.9860547730022566,0.9416133002434901,0.9432659852784339,0.9432659852784339,,,,,,,,,,,,,,,,,,,,,,,
51,,,-3.974997084891215,-3.974997084891215,1.0,-3.9860547730022566,-3.9860547730022566,0.9416133002434901,0.9403830613754095,0.9403830613754095,,,,,,,,,,,,,,,,,,,,,,,
52,,,-3.9789853041908656,-3.9789853041908656,1.0000000000000002,,,,0.9425832828571876,0.9425832828571876,,,,,,,,,,,,,,,,,,,,,,,
53,,,-3.979927469713692,-3.979927469713692,1.0,,,,0.9424934473180114,0.9424934473180114,,,,,,,,,,,,,,,,,,,,,,,
54,,,-3.980084823891167,-3.980084823891167,0.9999999999999998,,,,0.942347509732274,0.942347509732274,,,,,,,,,,,,,,,,,,,,,,,
55,,,-3.9801653640087493,-3.9801653640087493,1.0,,,,0.9421113585977547,0.9421113585977547,,,,,,,,,,,,,,,,,,,,,,,
56,,,-3.979830297318872,-3.979830297318872,1.0,,,,0.9412569410493017,0.9412569410493017,,,,,,,,,,,,,,,,,,,,,,,
57,,,-3.9802011630858627,-3.9802011630858627,1.0,,,,0.941912999719157,0.941912999719157,,,,,,,,,,,,,,,,,,,,,,,
58,,,-3.9802724126389175,-3.9802724126389175,1.0,,,,0.9415981390535151,0.9415981390535151,,,,,,,,,,,,,,,,,,,,,,,
59,,,-3.9803163480480213,-3.9803163480480213,0.9999999999999998,,,,0.9414577364395154,0.9414577364395154,,,,,,,,,,,,,,,,,,,,,,,
60,,,-3.9804000149988044,-3.9804000149988044,1.0,,,,0.9413429449295924,0.9413429449295924,,,,,,,,,,,,,,,,,,,,,,,
61,,,-3.980546938355946,-3.980546938355946,0.9999999999999998,,,,0.9412335767722974,0.9412335767722974,,,,,,,,,,,,,,,,,,,,,,,
62,,,-3.9807701915021294,-3.9807701915021294,1.0,,,,0.9411719052064536,0.9411719052064536,,,,,,,,,,,,,,,,,,,,,,,
63,,,-3.98116479075033,-3.98116479075033,1.0000000000000002,,,,0.9412583554463462,0.9412583554463462,,,,,,,,,,,,,,,,,,,,,,,
64,,,-3.981913212721683,-3.981913212721683,1.0,,,,0.9412172078866381,0.9412172078866381,,,,,,,,,,,,,,,,,,,,,,,
65,,,-3.9827774199898656,-3.9827774199898656,1.0,,,,0.9415296806021073,0.9415296806021073,,,,,,,,,,,,,,,,,,,,,,,
66,,,-3.9832722821898416,-3.9832722821898416,1.0,,,,0.9417062715341877,0.9417062715341877,,,,,,,,,,,,,,,,,,,,,,,
67,,,-3.9841842593221086,-3.9841842593221086,1.0,,,,0.9419562198056143,0.9419562198056143,,,,,,,,,,,,,,,,,,,,,,,
68,,,-3.984573435160664,-3.984573435160664,0.9999999999999999,,,,0.9424751443919207,0.9424751443919207,,,,,,,,,,,,,,,,,,,,,,,
69,,,-3.9853208747559186,-3.9853208747559186,0.9999999999999999,,,,0.9413691046943136,0.9413691046943136,,,,,,,,,,,,,,,,,,,,,,,
70,,,-3.9853745295091447,-3.9853745295091447,1.0,,,,0.9412083943490579,0.9412083943490579,,,,,,,,,,,,,,,,,,,,,,,
71,,,-3.985701539670676,-3.985701539670676,0.9999999999999998,,,,0.9414045405186001,0.9414045405186001,,,,,,,,,,,,,,,,,,,,,,,
72,,,-3.9857463738525656,-3.9857463738525656,1.0000000000000002,,,,0.941308342800354,0.941308342800354,,,,,,,,,,,,,,,,,,,,,,,
