Iteration,custom_tag,backend,cost_approx,cost_exact,cosine_sim,acc_cost_approx,acc_cost_exact,fidelities,fidelities_cost,fidelities_grad,archt,rhs,qubits,layers,parameters,seed_init,exact,shots,depth,cnots,operator,innerp,cost,optimizer,rotations,entangler,mixer,driver,driver_per,initial_qaoa,sabre,mapomatic,DD
0,full_vqa_exact_bfgs_1,simulator,-0.0009377365996182099,-0.0009377365996182099,0.9999999999999999,-0.0009377365996182099,-0.0009377365996182099,0.0015289625329404546,0.0015289625329404546,0.0015289625329404546,linear_alternating,hnx,5.0,1.0,13.0,2.0,True,1000.0,,,exact,Statevec,Sato21_Innerp,L_BFGS_B,ry,cx,rx,rzz,ryy,hadamards,True,False,False
1,,,-0.03204943389391351,-0.03204943389391351,0.9999999999999998,-0.2972848191528587,-0.2972848191528587,0.4023100926871899,0.09270515448172555,0.09270515448172555,,,,,,,,,,,,,,,,,,,,,,,
2,,,-0.0014593797144394811,-0.0014593797144394811,1.0,-1.3044099881852977,-1.3044099881852977,0.7606557239711063,5.860615953608631e-05,5.860615953608631e-05,,,,,,,,,,,,,,,,,,,,,,,
3,,,-0.24389185962406376,-0.24389185962406376,1.0000000000000002,-1.3347871608840023,-1.3347871608840023,0.7712281521591067,0.38349784200156856,0.38349784200156856,,,,,,,,,,,,,,,,,,,,,,,
4,,,-0.29608957086195575,-0.29608957086195575,1.0,-2.3136896860151794,-2.3136896860151794,0.8249675257811653,0.39569324551256835,0.39569324551256835,,,,,,,,,,,,,,,,,,,,,,,
5,,,-0.2972848191528587,-0.2972848191528587,1.0,-2.5072920217776407,-2.5072920217776407,0.8410409479702488,0.4023100926871899,0.4023100926871899,,,,,,,,,,,,,,,,,,,,,,,
6,,,-0.7554284854425393,-0.7554284854425393,1.0,-2.938327594734178,-2.938327594734178,0.8623019226974805,0.6291293212681676,0.6291293212681676,,,,,,,,,,,,,,,,,,,,,,,
7,,,-0.22843453768417302,-0.22843453768417302,0.9999999999999999,-3.147770836585837,-3.147770836585837,0.8693824941436359,0.4673911712588681,0.4673911712588681,,,,,,,,,,,,,,,,,,,,,,,
8,,,-1.3044099881852977,-1.3044099881852977,1.0,-3.2313524686477715,-3.2313524686477715,0.8712781547919028,0.7606557239711063,0.7606557239711063,,,,,,,,,,,,,,,,,,,,,,,
9,,,-0.018579894627165926,-0.018579894627165926,0.9999999999999999,-3.3208061372385953,-3.3208061372385953,0.8703698634395857,0.04651859029026761,0.04651859029026761,,,,,,,,,,,,,,,,,,,,,,,
10,,,-1.2084762786279615,-1.2084762786279615,0.9999999999999999,-3.35981243543994,-3.35981243543994,0.8699563684155156,0.7704572579271323,0.7704572579271323,,,,,,,,,,,,,,,,,,,,,,,
11,,,-1.3347871608840023,-1.3347871608840023,1.0,-3.3963154283313126,-3.3963154283313126,0.875768307600814,0.7712281521591067,0.7712281521591067,,,,,,,,,,,,,,,,,,,,,,,
12,,,-1.71398691201805,-1.71398691201805,1.0,-3.5897689141831974,-3.5897689141831974,0.9067590215862132,0.7977329194057654,0.7977329194057654,,,,,,,,,,,,,,,,,,,,,,,
13,,,-1.9784877352093209,-1.9784877352093209,1.0,-3.682988836840981,-3.682988836840981,0.9314327705416559,0.8173913500337561,0.8173913500337561,,,,,,,,,,,,,,,,,,,,,,,
14,,,-2.3136896860151794,-2.3136896860151794,1.0,-3.7588812104919134,-3.7588812104919134,0.9341345707814749,0.8249675257811653,0.8249675257811653,,,,,,,,,,,,,,,,,,,,,,,
15,,,-1.9752539588066993,-1.9752539588066993,1.0,-3.796674486587424,-3.796674486587424,0.9384003175719793,0.8465835268782945,0.8465835268782945,,,,,,,,,,,,,,,,,,,,,,,
16,,,-2.5072920217776407,-2.5072920217776407,0.9999999999999998,-3.8273674687703685,-3.8273674687703685,0.9440262362962475,0.8410409479702488,0.8410409479702488,,,,,,,,,,,,,,,,,,,,,,,
17,,,-2.938327594734178,-2.938327594734178,1.0000000000000002,-3.8879691140916797,-3.8879691140916797,0.9476989997045622,0.8623019226974805,0.8623019226974805,,,,,,,,,,,,,,,,,,,,,,,
18,,,-3.147770836585837,-3.147770836585837,0.9999999999999998,-3.8970291515956084,-3.8970291515956084,0.9479557743956264,0.8693824941436359,0.8693824941436359,,,,,,,,,,,,,,,,,,,,,,,
19,,,-3.2313524686477715,-3.2313524686477715,0.9999999999999998,-3.9023988707299515,-3.9023988707299515,0.948344571849333,0.8712781547919028,0.8712781547919028,,,,,,,,,,,,,,,,,,,,,,,
20,,,-3.3208061372385953,-3.3208061372385953,1.0000000000000002,-3.903238623516135,-3.903238623516135,0.9480663124097791,0.8703698634395857,0.8703698634395857,,,,,,,,,,,,,,,,,,,,,,,
21,,,-3.35981243543994,-3.35981243543994,1.0000000000000002,-3.9049021929239096,-3.9049021929239096,0.9481855128652343,0.8699563684155156,0.8699563684155156,,,,,,,,,,,,,,,,,,,,,,,
22,,,-3.3963154283313126,-3.3963154283313126,0.9999999999999999,-3.9060763208429026,-3.9060763208429026,0.9477819719208941,0.875768307600814,0.875768307600814,,,,,,,,,,,,,,,,,,,,,,,
23,,,-3.5897689141831974,-3.5897689141831974,1.0,-3.9069123740032685,-3.9069123740032685,0.9481009065874578,0.9067590215862132,0.9067590215862132,,,,,,,,,,,,,,,,,,,,,,,
24,,,-3.682988836840981,-3.682988836840981,0.9999999999999999,-3.9075098276558924,-3.9075098276558924,0.948173527837667,0.9314327705416559,0.9314327705416559,,,,,,,,,,,,,,,,,,,,,,,
25,,,-3.7588812104919134,-3.7588812104919134,1.0,-3.908657141237481,-3.908657141237481,0.9474519605957705,0.9341345707814749,0.9341345707814749,,,,,,,,,,,,,,,,,,,,,,,
26,,,-3.796674486587424,-3.796674486587424,1.0,-3.9091890183084934,-3.9091890183084934,0.9467573741727751,0.9384003175719793,0.9384003175719793,,,,,,,,,,,,,,,,,,,,,,,
27,,,-3.8273674687703685,-3.8273674687703685,1.0,-3.910383219299364,-3.910383219299364,0.9448538204356283,0.9440262362962475,0.9440262362962475,,,,,,,,,,,,,,,,,,,,,,,
28,,,-3.8879691140916797,-3.8879691140916797,1.0000000000000002,-3.9116611142443505,-3.9116611142443505,0.9428892928661473,0.9476989997045622,0.9476989997045622,,,,,,,,,,,,,,,,,,,,,,,
29,,,-3.885708407459766,-3.885708407459766,1.0000000000000002,-3.913512523436513,-3.913512523436513,0.9408421573537938,0.9475880893960087,0.9475880893960087,,,,,,,,,,,,,,,,,,,,,,,
30,,,-3.8970291515956084,-3.8970291515956084,1.0,-3.9166226692011374,-3.9166226692011374,0.9393114566869727,0.9479557743956264,0.9479557743956264,,,,,,,,,,,,,,,,,,,,,,,
31,,,-3.9023988707299515,-3.9023988707299515,1.0,-3.9196468833402864,-3.9196468833402864,0.9393164381354636,0.948344571849333,0.948344571849333,,,,,,,,,,,,,,,,,,,,,,,
32,,,-3.903238623516135,-3.903238623516135,1.0,-3.9270657726413187,-3.9270657726413187,0.9413577714282365,0.9480663124097791,0.9480663124097791,,,,,,,,,,,,,,,,,,,,,,,
33,,,-3.9049021929239096,-3.9049021929239096,0.9999999999999999,-3.937420129426,-3.937420129426,0.9438790930203718,0.9481855128652343,0.9481855128652343,,,,,,,,,,,,,,,,,,,,,,,
34,,,-3.9060763208429026,-3.9060763208429026,1.0000000000000002,-3.9477479618970372,-3.9477479618970372,0.943695803388491,0.9477819719208941,0.9477819719208941,,,,,,,,,,,,,,,,,,,,,,,
35,,,-3.9069123740032685,-3.9069123740032685,1.0,-3.9531173112187896,-3.9531173112187896,0.9453794237088478,0.9481009065874578,0.9481009065874578,,,,,,,,,,,,,,,,,,,,,,,
36,,,-3.9075098276558924,-3.9075098276558924,1.0000000000000002,-3.9663021737083515,-3.9663021737083515,0.9410315544254318,0.948173527837667,0.948173527837667,,,,,,,,,,,,,,,,,,,,,,,
37,,,-3.908657141237481,-3.908657141237481,1.0000000000000002,-3.9724270622849636,-3.9724270622849636,0.9412428508725481,0.9474519605957705,0.9474519605957705,,,,,,,,,,,,,,,,,,,,,,,
38,,,-3.9042460209507404,-3.9042460209507404,1.0,-3.9789380470874893,-3.9789380470874893,0.941302993485443,0.9433279342622202,0.9433279342622202,,,,,,,,,,,,,,,,,,,,,,,
39,,,-3.9091890183084934,-3.9091890183084934,0.9999999999999999,-3.9819260240218783,-3.9819260240218783,0.9414470762494115,0.9467573741727751,0.9467573741727751,,,,,,,,,,,,,,,,,,,,,,,
40,,,-3.910383219299364,-3.910383219299364,0.9999999999999998,-3.982576131430913,-3.982576131430913,0.9423552867586901,0.9448538204356283,0.9448538204356283,,,,,,,,,,,,,,,,,,,,,,,
41,,,-3.9116611142443505,-3.9116611142443505,1.0000000000000002,-3.983011906365284,-3.983011906365284,0.941743087021124,0.9428892928661473,0.9428892928661473,,,,,,,,,,,,,,,,,,,,,,,
42,,,-3.913512523436513,-3.913512523436513,1.0,-3.98308130159427,-3.98308130159427,0.941564573829475,0.9408421573537938,0.9408421573537938,,,,,,,,,,,,,,,,,,,,,,,
43,,,-3.9166226692011374,-3.9166226692011374,0.9999999999999999,-3.9831275601062344,-3.9831275601062344,0.9414873814946267,0.9393114566869727,0.9393114566869727,,,,,,,,,,,,,,,,,,,,,,,
44,,,-3.9196468833402864,-3.9196468833402864,1.0000000000000002,-3.983354456641416,-3.983354456641416,0.9414546044577203,0.9393164381354636,0.9393164381354636,,,,,,,,,,,,,,,,,,,,,,,
45,,,-3.9270657726413187,-3.9270657726413187,1.0,-3.9833986914858968,-3.9833986914858968,0.9412866091177474,0.9413577714282365,0.9413577714282365,,,,,,,,,,,,,,,,,,,,,,,
46,,,-3.937420129426,-3.937420129426,1.0,-3.9838264565774355,-3.9838264565774355,0.9416122669420984,0.9438790930203718,0.9438790930203718,,,,,,,,,,,,,,,,,,,,,,,
47,,,-3.9477479618970372,-3.9477479618970372,0.9999999999999998,-3.9840206273148238,-3.9840206273148238,0.9419028713187989,0.943695803388491,0.943695803388491,,,,,,,,,,,,,,,,,,,,,,,
48,,,-3.9531173112187896,-3.9531173112187896,1.0,-3.9844069659595798,-3.9844069659595798,0.9424639142008646,0.9453794237088478,0.9453794237088478,,,,,,,,,,,,,,,,,,,,,,,
49,,,-3.9553352616309354,-3.9553352616309354,0.9999999999999999,-3.9848419980538132,-3.9848419980538132,0.9433815211081069,0.9317380704153972,0.9317380704153972,,,,,,,,,,,,,,,,,,,,,,,
50,,,-3.9663021737083515,-3.9663021737083515,1.0,-3.985343182988574,-3.985343182988574,0.9434046266145103,0.9410315544254318,0.9410315544254318,,,,,,,,,,,,,,,,,,,,,,,
51,,,-3.949506040489561,-3.949506040489561,0.9999999999999998,-3.985343182988574,-3.985343182988574,0.9434046266145103,0.940429523312987,0.940429523312987,,,,,,,,,,,,,,,,,,,,,,,
52,,,-3.9724270622849636,-3.9724270622849636,0.9999999999999998,,,,0.9412428508725481,0.9412428508725481,,,,,,,,,,,,,,,,,,,,,,,
53,,,-3.9789380470874893,-3.9789380470874893,0.9999999999999999,,,,0.941302993485443,0.941302993485443,,,,,,,,,,,,,,,,,,,,,,,
54,,,-3.9819260240218783,-3.9819260240218783,1.0,,,,0.9414470762494115,0.9414470762494115,,,,,,,,,,,,,,,,,,,,,,,
55,,,-3.982576131430913,-3.982576131430913,1.0,,,,0.9423552867586901,0.9423552867586901,,,,,,,,,,,,,,,,,,,,,,,
56,,,-3.983011906365284,-3.983011906365284,1.0,,,,0.941743087021124,0.941743087021124,,,,,,,,,,,,,,,,,,,,,,,
57,,,-3.98308130159427,-3.98308130159427,0.9999999999999998,,,,0.941564573829475,0.941564573829475,,,,,,,,,,,,,,,,,,,,,,,
58,,,-3.9831275601062344,-3.9831275601062344,0.9999999999999998,,,,0.9414873814946267,0.9414873814946267,,,,,,,,,,,,,,,,,,,,,,,
59,,,-3.983354456641416,-3.983354456641416,1.0000000000000002,,,,0.9414546044577203,0.9414546044577203,,,,,,,,,,,,,,,,,,,,,,,
60,,,-3.9833986914858968,-3.9833986914858968,0.9999999999999999,,,,0.9412866091177474,0.9412866091177474,,,,,,,,,,,,,,,,,,,,,,,
61,,,-3.9838264565774355,-3.9838264565774355,1.0,,,,0.9416122669420984,0.9416122669420984,,,,,,,,,,,,,,,,,,,,,,,
62,,,-3.9840206273148238,-3.9840206273148238,1.0,,,,0.9419028713187989,0.9419028713187989,,,,,,,,,,,,,,,,,,,,,,,
63,,,-3.9844069659595798,-3.9844069659595798,0.9999999999999998,,,,0.9424639142008646,0.9424639142008646,,,,,,,,,,,,,,,,,,,,,,,
64,,,-3.9848419980538132,-3.9848419980538132,1.0,,,,0.9433815211081069,0.9433815211081069,,,,,,,,,,,,,,,,,,,,,,,
65,,,-3.985343182988574,-3.985343182988574,0.9999999999999998,,,,0.9434046266145103,0.9434046266145103,,,,,,,,,,,,,,,,,,,,,,,
